Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@eagles fans you can take Carson Wentz. We will take this. Get in line now...Sign up… https://t.co/FQ0DCgpXWU,Fri Apr 29 22:36:13 +0000 2016,en,0,False,0,False,,Dave Chang,davidchang
"RT @milkbarstore: it's true! it's true! #milkbarchelsea is here, and just in time for your friday afternoon treat! ($1 soft serve!)  https:…",Fri Apr 29 13:41:19 +0000 2016,en,6,False,0,False,,Dave Chang,davidchang
Very exciting!! @milkbarstore opens new Chelsea location today. Go get a limited time $1 cereal… https://t.co/fYPlqvvmsv,Fri Apr 29 13:30:39 +0000 2016,en,3,False,17,False,"{'coordinates': [-73.9991447, 40.7441053], 'type': 'Point'}",Dave Chang,davidchang
"If you want this pork amazement thing we call the ""Ernesto"": please sign up ando to get in line https://t.co/Ix2XSkWlUR",Thu Apr 28 21:09:35 +0000 2016,en,4,False,21,False,,Dave Chang,davidchang
"RT @LuckyPeach: ""Pho is the future of noodles in America."" — @davidchang https://t.co/yyRsOobbaJ https://t.co/5KaM6XX1KB",Thu Apr 28 18:14:32 +0000 2016,en,21,False,0,False,,Dave Chang,davidchang
The rumors are true I have a photographic memory and can speed read the new issue of @luckypeach… https://t.co/o4YU7HIvA9,Thu Apr 28 04:24:54 +0000 2016,en,4,False,23,False,"{'coordinates': [-76.11369, 36.91032], 'type': 'Point'}",Dave Chang,davidchang
Congrats to @luckypeach on @beardfoundation publication of the year!!!! Fucking outstanding. https://t.co/cKtubX7J2L,Wed Apr 27 01:59:10 +0000 2016,en,28,False,179,False,,Dave Chang,davidchang
RT @beardfoundation: You can learn more about our Publication of the Year in this essay by our Journalism Awards committee: https://t.co/SS…,Wed Apr 27 01:52:47 +0000 2016,en,6,False,0,False,,Dave Chang,davidchang
RT @LuckyPeach: Constant inspiration: the haenyo divers of Korea. Meet these amazing women here: https://t.co/pTHm36Dh4x https://t.co/rRp9h…,Tue Apr 26 20:18:19 +0000 2016,en,26,False,0,False,,Dave Chang,davidchang
"Rigatoni &amp; Ramps. Nishi special last night 
Photo cred (@Dvpper_Chef ) @ Momofuku Nishi https://t.co/p4Dijrpucm",Tue Apr 26 12:42:39 +0000 2016,en,4,False,17,False,"{'coordinates': [-73.99892, 40.74441], 'type': 'Point'}",Dave Chang,davidchang
Let's go @Mets. Get some Fuku too https://t.co/ms7VAUAsYM,Tue Apr 26 00:08:28 +0000 2016,en,18,False,134,False,,Dave Chang,davidchang
"RT @momofuku: dc, patio weather is here. starting today, ccdc will serve lunch, happy hour, and dinner alfresco: https://t.co/Yza5nyJAaF",Mon Apr 18 16:32:03 +0000 2016,en,5,False,0,False,,Dave Chang,davidchang
@plattypants @NoceraNYT we fired Randy Whitman that's finally some good news,Thu Apr 14 05:03:19 +0000 2016,en,0,False,0,False,,Dave Chang,davidchang
@plattypants @NoceraNYT missed a good one. That's what you get for being jaded old dudes,Thu Apr 14 05:00:38 +0000 2016,en,0,False,1,False,,Dave Chang,davidchang
Nice wiki page for Danny Willet https://t.co/BUqLlZaPSQ,Sun Apr 10 22:33:16 +0000 2016,en,31,False,52,False,,Dave Chang,davidchang
RT @nytimes: Bruce Springsteen cancels North Carolina concert over bias law https://t.co/YjXti9mIcz https://t.co/dovHEfXUaU,Sat Apr 09 05:52:47 +0000 2016,en,807,False,0,False,,Dave Chang,davidchang
RT @momofuku: new menu from chef de cuisine peter jensen and the shōtō team: https://t.co/RfKpyNgSu3 https://t.co/sIpe1zA2fw,Wed Apr 06 21:10:14 +0000 2016,ro,6,False,0,False,,Dave Chang,davidchang
Momofuku Seiobo: can't remember the last time I sat down and ate here. It was truly tremendous.… https://t.co/DI3OiETL0g,Tue Apr 05 18:58:09 +0000 2016,en,3,False,28,False,"{'coordinates': [151.19615141, -33.8697587], 'type': 'Point'}",Dave Chang,davidchang
Learn something every time I'm back: Manjimup Marron vs Queensland Red-clawed Yabbies. Both… https://t.co/gI2t8pJ8Ru,Mon Apr 04 06:42:39 +0000 2016,en,4,False,21,False,"{'coordinates': [151.19615141, -33.8697587], 'type': 'Point'}",Dave Chang,davidchang
"@plattypants Scratchpad: 0 stars
2 stars for tasty ichiban ramen
1 star deducted because I'm not in a good mood 
1 star deducted for apathy",Sat Apr 02 23:46:51 +0000 2016,en,1,False,11,False,,Dave Chang,davidchang
"Stole first base right in front of Mr. Met. About to steal second  

Mrs. Mets loves @momofuku.… https://t.co/JI6xhD0Ebh",Wed Mar 30 18:01:05 +0000 2016,en,7,False,42,False,"{'coordinates': [-73.84602157, 40.75683419], 'type': 'Point'}",Dave Chang,davidchang
Game on!!! Hey batter batter...swing batter: opening day April 8th @momofuku behind section 102.… https://t.co/4yXtPTXXLW,Wed Mar 30 14:17:28 +0000 2016,en,8,False,31,False,"{'coordinates': [-73.84602157, 40.75683419], 'type': 'Point'}",Dave Chang,davidchang
"RT @EaterNY: Fuku Citi Field
Fuku Citi Field
Fuku Citi Field
Fuku Citi Field
Fuku Citi Field
Fuku Citi Fi
https://t.co/51ewOEYO2q https://t…",Wed Mar 30 14:04:10 +0000 2016,und,32,False,0,False,,Dave Chang,davidchang
So honored to be part of the @ezraklein podcast thanks for having me  https://t.co/Xu5VYUB112,Tue Mar 29 20:55:06 +0000 2016,en,5,False,36,False,,Dave Chang,davidchang
Momofuku ramen. Probably version #163. Better than ever #nsfw @ Momofuku Noodle Bar https://t.co/f9gbtDXl8Q,Tue Mar 29 14:29:31 +0000 2016,en,15,False,66,False,"{'coordinates': [-73.98438, 40.7292], 'type': 'Point'}",Dave Chang,davidchang
"RIP Jim Harrison, super gourmand who ""...was not so much like Hemingway as he was like something out of Hemingway"" https://t.co/e7jlwleIKp",Sun Mar 27 22:38:12 +0000 2016,en,57,False,115,False,,Dave Chang,davidchang
indulgence https://t.co/ppEqnpz0ML,Wed Mar 23 20:52:27 +0000 2016,en,2,False,21,False,,Dave Chang,davidchang
"Thank you for feedback @tejalrao we are working hard to make necessary impromevments, bit by bit: https://t.co/LOMI7ku084",Wed Mar 23 20:37:30 +0000 2016,en,1,False,27,False,,Dave Chang,davidchang
RT @Ian_Mosby: Racist restaurant review reconfirms my article on MSG &amp; the invention of the Chinese restaurant syndrome @davidchang https:/…,Wed Mar 23 20:12:13 +0000 2016,en,11,False,0,False,,Dave Chang,davidchang
"it's never written or intended to be harmful, which is why its like carbon monoxide poisoning. MSG rules 
https://t.co/qC2GhDCt67 via @Eater",Wed Mar 23 18:40:37 +0000 2016,en,41,False,96,False,,Dave Chang,davidchang
"RT @soniachopra: ""Distaste for a people's food is a tangible way to express distaste for the people themselves."" https://t.co/bGAldGxlhU",Wed Mar 23 18:19:58 +0000 2016,en,40,False,0,False,,Dave Chang,davidchang
"RT @maple: World, meet Ando. Ando, meet world. Huge congrats to @davidchang &amp; @momofuku. NYC just got a little more delicious. https://t.co…",Tue Mar 22 16:12:57 +0000 2016,en,21,False,0,False,,Dave Chang,davidchang
https://t.co/996pMRkzWa https://t.co/LKPGRziJdQ,Tue Mar 22 15:01:02 +0000 2016,und,7,False,32,False,,Dave Chang,davidchang
@emilyjwils @jheil let's discuss this on john's podcast. Seriously happy to help stop the head shaking,Mon Mar 21 21:50:32 +0000 2016,en,0,False,5,False,,Dave Chang,davidchang
Congrats c_mdi Matthew Rudofker for making the @beardfoundation list for rising star chef. One… https://t.co/cEI0RGoHzw,Wed Mar 16 23:30:35 +0000 2016,en,5,False,20,False,"{'coordinates': [-73.9857, 40.73166], 'type': 'Point'}",Dave Chang,davidchang
"RT @beardfoundation: Rising Star Chef of the Year: @boisfiredbread, Angela Dimayuga, @GraeNonas, Matt Rudofker, @danisotoinnes, @JTomaska #…",Tue Mar 15 23:14:15 +0000 2016,in,13,False,0,False,,Dave Chang,davidchang
