Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
#SB50 #YOLO https://t.co/QpMaPAjeHM,Sun Feb 07 22:11:52 +0000 2016,und,0,False,14,False,,dnishar,deepnishar
"IEX founder Brad ""Flashboy"" Katsuyama at Churchill Club event w/ Michael Lewis #eyeopener #supportIEX #churchillclub https://t.co/dgfRZL2omT",Fri Jan 22 03:34:04 +0000 2016,en,2,False,2,False,,dnishar,deepnishar
Brilliant! https://t.co/YW1sLrUJ1c,Mon Dec 14 02:42:08 +0000 2015,en,2,False,2,False,,dnishar,deepnishar
@arjunsethi great conversation over dinner!,Thu Oct 22 04:53:41 +0000 2015,en,0,False,2,False,,dnishar,deepnishar
Thrilled to be a founding member of the Boardlist. #ChoosePossibility [http://t.co/dSWMNFSj2w],Thu Jul 16 00:34:27 +0000 2015,en,0,False,11,False,,dnishar,deepnishar
RT @jesskah: Polyvore + Pinterest = ❤️ http://t.co/GC1xBeTHaV http://t.co/b9UeilEqXS,Wed Jul 08 19:51:40 +0000 2015,und,8,False,0,False,,dnishar,deepnishar
Innovative take on mobile ads by @InMobi and @NaveenTewari being unveiled next week - https://t.co/jXE7GJ9YPd,Wed Jul 08 19:50:19 +0000 2015,en,24,False,15,False,,dnishar,deepnishar
"Thanks to all my friends, colleagues and well wishers for your wishes as I embark on my next professional journey. https://t.co/vXHt6fbLbf.…",Thu Jul 02 03:45:05 +0000 2015,en,3,False,23,False,,dnishar,deepnishar
Excited to start my next professional chapter at Softbank - https://t.co/UKx9vBXIq9,Wed Jul 01 13:40:18 +0000 2015,en,6,False,46,False,,dnishar,deepnishar
"What we observe is not nature itself, but nature exposed to our method of questioning. - Heisenberg",Mon Jun 01 22:31:04 +0000 2015,en,4,False,7,False,,dnishar,deepnishar
@girlrising amazing to hear Martha Adams speak at the @CastillejaNews View360 tonight. Super Powerful!! http://t.co/she19tq9TE,Sun Apr 19 05:26:06 +0000 2015,en,0,False,0,False,,dnishar,deepnishar
The obstacle to sernity is the mind - Oded Noy http://t.co/z83LvnP4yz,Wed Apr 01 03:25:31 +0000 2015,en,1,False,3,False,,dnishar,deepnishar
The maiden Coco Jack experience (as seen on #sharktank) http://t.co/z9Fax0MONh,Sat Mar 28 18:54:07 +0000 2015,en,0,False,2,False,,dnishar,deepnishar
"#LeanInTogether campaign launches today. Good. India bans BBC documentary ""India's Daughter."" Bad.",Fri Mar 06 00:26:59 +0000 2015,en,1,False,3,False,,dnishar,deepnishar
@rashmi - it was great catching up - two friends chatting about life - fast becoming a lost art ...,Mon Feb 23 23:28:44 +0000 2015,en,0,False,0,False,,dnishar,deepnishar
One of my favorite services recently launched in LA. What did people do for parking in SF before Zirx??? http://t.co/H83nMDvvFa,Mon Dec 01 17:00:45 +0000 2014,en,1,False,2,False,,dnishar,deepnishar
Might be my best one yet. Happy thanksgiving! http://t.co/dJxBmV4rPO,Fri Nov 28 00:36:24 +0000 2014,en,0,False,10,False,,dnishar,deepnishar
Richard Dawkins and Steve Jurvetson discuss secularism. http://t.co/LnjpUXigjK,Fri Nov 14 04:29:27 +0000 2014,en,0,False,1,False,,dnishar,deepnishar
A beautiful day in San Francisco. http://t.co/pdKffUSzue,Thu Nov 06 00:45:29 +0000 2014,en,0,False,12,False,,dnishar,deepnishar
Perseverance is genius in disguise.,Sat Oct 25 20:27:57 +0000 2014,en,44,False,50,False,,dnishar,deepnishar
@thisisdebasish Not yet decided. Watch this space :),Sun Oct 19 23:43:06 +0000 2014,en,0,False,3,False,,dnishar,deepnishar
cute and punchy! http://t.co/k2D0B1A3v2,Sun Oct 19 23:41:29 +0000 2014,en,5,False,2,False,,dnishar,deepnishar
Caution is the enemy of creativity.,Sun Oct 19 19:38:50 +0000 2014,en,43,False,45,False,,dnishar,deepnishar
"RT @jonfortt: Monday 10/20, @CNBC exclusive: Satya Nadella’s 1st TV interview as Microsoft CEO, w/ Jon Fortt http://t.co/AXuqn0CWEg",Sat Oct 18 18:16:02 +0000 2014,en,4,False,0,False,,dnishar,deepnishar
BetterWorks is out of stealth today with the first enterprise goals platform. http://t.co/CPyZSi45lY,Tue Sep 23 17:14:09 +0000 2014,en,4,False,2,False,,dnishar,deepnishar
Thanks for all the love and support my friends! I am excited about my next chapter. Will keep you posted :-),Sat Aug 23 17:54:51 +0000 2014,en,2,False,23,False,,dnishar,deepnishar
Great to see Gaurav Garg and @peter_wagner's new firm in the spotlight! http://t.co/Y4uV1pe1DN,Wed Aug 06 18:22:38 +0000 2014,en,1,False,1,False,,dnishar,deepnishar
Such a powerful story RIcky. Hats off to you! ?anchorTime=1406672721956&amp;deepLinkCommentId=5900013024390950912&amp;trk=mp-detais-tw-cmnt,Tue Jul 29 22:25:43 +0000 2014,en,0,False,0,False,,dnishar,deepnishar
@hunterwalk Thanks for the reach out. Send me a private note with a screen shot of what you are experiencing. Thanks! @LinkedIn,Sat Jul 26 23:06:38 +0000 2014,en,0,False,3,False,,dnishar,deepnishar
Ryan and Mark photobomb via VC as Jeff congratulates Aatif on D.R.E.A.M - fun Friday at LinkedIn.  http://t.co/LU4AoQZnGQ,Fri Jul 25 18:07:40 +0000 2014,en,1,False,0,False,,dnishar,deepnishar
Thank you Ajay. I feel that we all have these stories in us - hope that the post inspires more people to talk about …http://t.co/6t0p1fURjt,Mon Jul 21 04:09:09 +0000 2014,en,3,False,3,False,,dnishar,deepnishar
"One of the best tech investors of our times, Roger McNamee on what Uber should really become. wdyt? http://t.co/aLjDPv7NIO",Sun Jun 15 20:31:54 +0000 2014,en,0,False,3,False,,dnishar,deepnishar
Brain Drain --&gt; Brain Regain : A story that's played out in China and India now manifests itself in the UAE - http://t.co/9wV4HoKcPT,Wed Jun 11 16:07:45 +0000 2014,en,0,False,1,False,,dnishar,deepnishar
Observed in the wild - a Google self driving car.  http://t.co/hCzd6YrUC9,Wed Jun 04 18:23:47 +0000 2014,en,1,False,0,False,,dnishar,deepnishar
Definitely a seminal moment in US energy policy. http://t.co/dyLPe5WWOM,Tue Jun 03 15:29:10 +0000 2014,en,4,False,1,False,,dnishar,deepnishar
Excited to see my colleagues @sstubo and @nickbesbeas' posts on LinkedIn this morning - http://t.co/YU8eipk0ay and …,Mon Jun 02 17:40:31 +0000 2014,en,0,False,1,False,,dnishar,deepnishar
LinkedIn ranks amongst the top 100 most valuable brands in the world - Congratulations to the team! We've come a lon…http://t.co/gMmiRlZJig,Wed May 21 16:49:02 +0000 2014,en,3,False,2,False,,dnishar,deepnishar
Great thoughts Keith. Particularly like the idea about pre-meeting reflection. Far too many attendees just show up a…http://t.co/ZhBVXCq4w7,Wed May 21 16:13:47 +0000 2014,en,2,False,1,False,,dnishar,deepnishar
The Silicon Valley version of the ice cream truck on a hot summer afternoon - root beer floats at LinkedIn #ilovewor…http://t.co/qEilGymEVH,Fri May 16 21:26:00 +0000 2014,en,0,False,2,False,,dnishar,deepnishar
The Silicon Valley version of an ice cream truck on a hot summer afternoon - root beer floats and ice cream sundaes at LinkedIn. #ilovework…,Fri May 16 21:18:53 +0000 2014,en,0,False,1,False,,dnishar,deepnishar
Intellectual honesty is an important trait in any executive. Jeff Jones demonstrates it in this well written post. http://t.co/LZqCo0awta,Wed May 14 00:24:57 +0000 2014,en,1,False,3,False,,dnishar,deepnishar
Unusual visitors at LinkedIn today. Happy Friday! http://t.co/ZE57qrEhgV,Fri May 09 19:16:15 +0000 2014,en,0,False,1,False,,dnishar,deepnishar
Excited to deepen our relationship with Evernote! http://t.co/PCeH0rGDtf,Wed May 07 15:07:11 +0000 2014,en,2,False,1,False,,dnishar,deepnishar
