Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"On startups and market timing: ""And any massive investment that you have is going to transcend multiple cycles"" @briansin @theinformation",Fri Apr 22 16:32:16 +0000 2016,en,0,False,1,False,,Kevin Mahaffey,dropalltables
Why every internal enterprise service should use SSO and *NEVER* directly accept AD/LDAP credentials: https://t.co/BMz6zNtGgO,Thu Apr 21 20:46:37 +0000 2016,en,0,False,2,False,,Kevin Mahaffey,dropalltables
RT @PopSci: SpaceX has successfully landed its rocket on a droneship https://t.co/6JCTZgEXtP https://t.co/GretSID7mq,Fri Apr 08 22:06:34 +0000 2016,en,432,False,0,False,,Kevin Mahaffey,dropalltables
"This is a good, nuanced, view of product-market fit in the enterprise https://t.co/17HVqMgUbI Well done @mmullany",Thu Mar 31 15:32:52 +0000 2016,en,1,False,2,False,,Kevin Mahaffey,dropalltables
"...but if you are good at operationalizing data, additional context can be extremely helpful.",Tue Mar 22 15:58:11 +0000 2016,en,0,False,2,False,,Kevin Mahaffey,dropalltables
"RT @sama: Wow they really let anyone into YC these days, definitely jumped the shark. Great job @jaltma! https://t.co/8uFLFmKC7b",Tue Mar 22 15:56:39 +0000 2016,en,42,False,0,False,,Kevin Mahaffey,dropalltables
One thing I learned using data to find threats. More data doesn't help unless you can already make operational use of data you have.,Tue Mar 22 14:38:02 +0000 2016,en,2,False,6,False,,Kevin Mahaffey,dropalltables
@ethankurz @johnnie @ScottThurm phones can be hacked. What?!?,Tue Mar 22 14:24:26 +0000 2016,en,1,False,2,False,,Kevin Mahaffey,dropalltables
"RT @dotMudge: Inside the Intelligence Community, smart leaders follow very similar rules.

#NIE

h/t @a_picazo https://t.co/9WA92nF3Q8",Tue Mar 22 14:23:50 +0000 2016,en,103,False,0,False,,Kevin Mahaffey,dropalltables
"@adamjodonnell yes, Vinge uses it in that and a Deepness in the Sky. Was coding something recently involving time and reminded me :)",Tue Mar 22 14:19:47 +0000 2016,en,0,False,0,False,,Kevin Mahaffey,dropalltables
