Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@agarwal me too! and gin isn't my #1 - but Coqueta...mmmm!,Thu Apr 07 03:33:52 +0000 2016,en,0,False,1,False,,Eric Hahn,e_hahn
W00t! Evan Hahn's wonderful book on Express is out! Definitely a must read ;-) https://t.co/LWjnoKxcPC. Congrats to the author!!!,Wed Apr 06 22:30:40 +0000 2016,en,0,False,2,False,,Eric Hahn,e_hahn
W00t! https://t.co/utlOvtCsNS,Fri Apr 01 17:00:53 +0000 2016,und,0,False,1,False,,Eric Hahn,e_hahn
RT @EvanHahn: Dream of a book about Express.js written by me…now imagine it 50% off today w/ code dotd010116au…your dream is real https://t…,Sat Jan 02 03:24:17 +0000 2016,en,3,False,0,False,,Eric Hahn,e_hahn
@DashlaneSupport @dashlane The dashlane guys ROCK!!! Custom build (for now) and all is well! very happy to see great customer support!!,Tue Dec 29 01:23:05 +0000 2015,en,0,False,0,False,,Eric Hahn,e_hahn
@DashlaneSupport @dashlane The dashlane guys ROCK!!! Custom build (for now) and all is well! very happy to see great customer support!!,Tue Dec 29 01:22:18 +0000 2015,en,0,False,0,False,,Eric Hahn,e_hahn
"@DashlaneSupport YAY! how to find my support ticket? I have the #, but don't know the URL to access and it wasn't mentioned in email...",Tue Dec 29 00:37:14 +0000 2015,en,0,False,0,False,,Eric Hahn,e_hahn
Beware those thinking about moving to @dashlane. It crashes consistently on iOS 9.2 - at least for me. @DashlaneSupport working on it.,Mon Dec 28 20:22:17 +0000 2015,en,0,False,0,False,,Eric Hahn,e_hahn
"@rtmstatus getting ""There was a problem loading Remember The Milk. :("" - looks like server returning 503?",Tue Dec 22 00:49:01 +0000 2015,en,0,False,0,False,,Eric Hahn,e_hahn
Amazon Bans Sales Of Apple TV And Chromecast On Its Site. No like. https://t.co/fhe0c9aRtG,Thu Oct 01 22:11:19 +0000 2015,en,0,False,1,False,,Eric Hahn,e_hahn
RT @mikebelshe: What a world! http://t.co/0A0HvhX8ar @tugboatvc @dshader @e_hahn,Sat Sep 05 20:47:38 +0000 2015,en,2,False,0,False,,Eric Hahn,e_hahn
"City of Draper Declares July 14 ""Proofpoint Cybersecurity Awareness Day http://t.co/kH1AaX3Kr3",Thu Jul 16 16:37:23 +0000 2015,en,0,False,0,False,,Eric Hahn,e_hahn
Congrats to @stitchapp and @sugarcrm! Working with @sniyogi was a blast - hope to do it again! http://t.co/twuvC6Jnz4,Mon Mar 09 22:29:14 +0000 2015,en,2,False,3,False,,Eric Hahn,e_hahn
"So many smart people on both sides of #netneutrality. For my part, glad the robber barons were defeated. http://t.co/1nmU4K7dTm",Thu Feb 26 18:42:53 +0000 2015,en,1,False,0,False,,Eric Hahn,e_hahn
RT @BitGo: Excited to announce we've launched our platform API to secure and scale the next generation of bitcoin businesses!  http://t.co/…,Thu Jan 29 15:10:11 +0000 2015,en,25,False,0,False,,Eric Hahn,e_hahn
RT @BitGo: BREAKING. @Bitstamp partners with @BitGo for multi-sig #bitcoin security and relaunches exchange http://t.co/Yg8FMQo2iB,Fri Jan 09 20:11:52 +0000 2015,en,122,False,0,False,,Eric Hahn,e_hahn
RT @TechCrunch: Facebook Acquires Wit․ai To Help With Speech Recognition And Voice Interfaces. http://t.co/uiDD59E1kp by @joshconstine,Mon Jan 05 21:45:29 +0000 2015,en,63,False,0,False,,Eric Hahn,e_hahn
RT @lxbrun: Great NPR story about Wit.ai http://t.co/oa9qVDKrHW,Sun Nov 16 01:35:19 +0000 2014,en,13,False,0,False,,Eric Hahn,e_hahn
RT @stitchapp: And the winners are @yellowandy @yuklai @ierceg @msanjayk from@stitchapp! Congratulations! #df14hack #thankyouSFDC http://t.…,Thu Oct 16 23:45:25 +0000 2014,en,28,False,0,False,,Eric Hahn,e_hahn
Congrats to @witnl on their awesome funding! https://t.co/OU8qLTTCOQ,Wed Oct 15 14:20:14 +0000 2014,en,0,False,1,False,,Eric Hahn,e_hahn
Congrats to @stitchapp on their awesome launch! Congrats to Stich on their awesome launch! http://t.co/dLfVduu2QG,Wed Oct 08 16:43:49 +0000 2014,en,1,False,3,False,,Eric Hahn,e_hahn
@MostafaSorkhabi hi! I've forwarded your tweet to the hiring company. Thanks!,Sat Aug 17 16:37:40 +0000 2013,en,0,False,0,False,,Eric Hahn,e_hahn
"One of my companies is looking for an mobile engineer to join the team. Well funded, growing fast, message me for details.",Sat Aug 10 03:00:12 +0000 2013,en,0,False,0,False,,Eric Hahn,e_hahn
@adamhuda heya adam - wondering if I might reconnect - best coordinates for you?,Wed May 29 03:28:13 +0000 2013,en,0,False,1,False,,Eric Hahn,e_hahn
