Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@thekenyeung  yes? ;),Thu Apr 21 15:37:55 +0000 2016,und,0,False,1,False,,Farhad Mohit,farhad667
"RT @johndoerr: 1/ Am becoming KPCB Chair.  Not a big change, or retirement.  Will keep investing for Kleiner and family funds. Spend more t…",Fri Apr 01 06:16:10 +0000 2016,en,36,False,0,False,,Farhad Mohit,farhad667
"@tookwancottage @Flipagram @ForbesAsia @MissLaraBelle just fyi my full quote ended ""...not as a sensationalized story by mainstream media.""",Sun Jan 10 09:37:19 +0000 2016,en,0,False,3,False,,Farhad Mohit,farhad667
@MotorheadForNo1 @redcatz12 We @flipagram would love to help... please DM me and we'll try our best to help out...,Thu Jan 07 14:25:38 +0000 2016,en,0,False,1,False,,Farhad Mohit,farhad667
RT @iman__sadri: 5 apps that made us say 'wow' in 2015 From @USATODAY • 2 from Persians @farhad667 and @kayvz #Periscope #Flipagram  https:…,Wed Dec 23 05:03:27 +0000 2015,en,2,False,0,False,,Farhad Mohit,farhad667
Wow! Thanks USA Today: 5 apps that made us say 'wow' in 2015 https://t.co/npnN0Iy1wi via @usatoday,Tue Dec 22 19:12:17 +0000 2015,en,0,False,2,False,,Farhad Mohit,farhad667
"@editoremacb thx for putting me on 100 Persian Tech Entrepreneurs List, but here is my correct Linkedin address: https://t.co/uMqxAfswH9",Mon Dec 21 07:32:12 +0000 2015,en,0,False,2,False,,Farhad Mohit,farhad667
"@msmohit @apartovi actually, not just where you were born, your dad is Iranian Maryam, so you're on the list too, you radical you!",Fri Dec 18 04:15:58 +0000 2015,en,0,False,1,False,,Farhad Mohit,farhad667
"Important article, very well written... thx @apartovi https://t.co/80uy58wGyT",Thu Dec 17 06:04:51 +0000 2015,en,2,False,4,False,,Farhad Mohit,farhad667
Thanks Google for naming @Flipagram one of the Best Apps of 2015! https://t.co/8nAeb5cxie https://t.co/u5VZ8eQsyZ,Fri Dec 04 05:57:15 +0000 2015,en,4,False,9,False,,Farhad Mohit,farhad667
RT @PRNAlert: Winner of #FREEDOM: A Shared Dream announced by @FarhangFoundation and awarded to #CecilBalmond! https://t.co/8UaO4nIXfd,Sat Nov 14 19:16:22 +0000 2015,en,3,False,0,False,,Farhad Mohit,farhad667
RT @btaylor: Congrats to @sundarpichai on his well deserved promotion to CEO of @Google. One of the most capable technology leaders I have …,Tue Aug 11 15:47:39 +0000 2015,en,66,False,0,False,,Farhad Mohit,farhad667
RT @treehcapital: With Flipagram @farhad667 channels Babe Ruth “It’s hard to beat a person who never gives up.” http://t.co/OUZoGDzCtn,Thu Jul 23 05:16:14 +0000 2015,en,3,False,0,False,,Farhad Mohit,farhad667
RT @tgm: Great interview with @farhad667 founder of @Flipagram - dude went through 4 pivots -persistence matters! http://t.co/jRk9bX116k,Tue Jul 21 04:50:13 +0000 2015,en,16,False,0,False,,Farhad Mohit,farhad667
@rosine75006 haha... This belongs on an episode of silly-con valley.,Wed Jun 17 06:12:40 +0000 2015,en,0,False,2,False,,Farhad Mohit,farhad667
"@JoeHobot Our 3rd kid is on the way! Plus one startup, is all anyone not called @elonmusk can handle!! ;)",Mon Apr 27 14:54:14 +0000 2015,en,0,False,0,False,,Farhad Mohit,farhad667
@JoeHobot thx man! @Flipagram more than makes up for it. :),Fri Apr 24 13:58:11 +0000 2015,en,0,False,0,False,,Farhad Mohit,farhad667
"@SoCal_Rob @Flipagram outgrew that historic spot... :( we're now at Santa Monica Blvd &amp; Beverly Glen, not as glam but still #Eastofthe405 :)",Wed Mar 11 16:17:05 +0000 2015,en,1,False,4,False,,Farhad Mohit,farhad667
"@talgurevich thanks, but as they say, no pain, no gain! :)",Fri Feb 27 05:00:55 +0000 2015,en,0,False,1,False,,Farhad Mohit,farhad667
"@businessinsider as a 3xLA entrep - http://t.co/cUbSgzdQYC, Shopzilla, and @Flipagram - I couldn't disagree more. http://t.co/6AvBcBrqtQ",Thu Feb 12 15:31:59 +0000 2015,en,0,False,1,False,,Farhad Mohit,farhad667
@dawallach no such limit on @Flipagram ;),Sun Feb 01 07:10:02 +0000 2015,en,0,False,2,False,,Farhad Mohit,farhad667
"@derekkinsman anyone considering Los Angeles, give me a shout @flipagram (100m users in one year!) is looking to add UX/UI/Design/PM + Devs.",Mon Jan 19 08:45:06 +0000 2015,en,0,False,2,False,,Farhad Mohit,farhad667
RT @HankusMackimus: Anybody remember me saying a while back to be watching for a false flag internet hack so the government could get contr…,Mon Dec 22 06:12:13 +0000 2014,en,395,False,0,False,,Farhad Mohit,farhad667
"RT @Flipagram: We’re excited to be featured on the iTunes @AppStore in Best of 2014, Photo, and Look Back at 2014! We're thankful! http://t…",Fri Dec 19 01:54:13 +0000 2014,en,23,False,0,False,,Farhad Mohit,farhad667
RT @shabihr: @farhad667 @Flipagram Congrats to the entire team. This is cool! http://t.co/d3KIJFaVxl,Fri Dec 12 05:28:32 +0000 2014,en,1,False,0,False,,Farhad Mohit,farhad667
RT @Jason: nice ink for @naval &amp; @AngelList http://t.co/JYBKXFPbRA my $10m @theLAUNCHfund is investing like a $70m fund w/my syndicate. 12 …,Wed Nov 19 07:49:59 +0000 2014,en,8,False,0,False,,Farhad Mohit,farhad667
@Persianpreneur Thx! :),Wed Oct 08 05:45:06 +0000 2014,und,0,False,0,False,,Farhad Mohit,farhad667
RT @OccupyMemphis: let's not RT @OccupyWallStNYC: Let's spend more money on wars... #OWS http://t.co/MGiFqt4Dps #WarEconomy,Fri Sep 26 04:07:50 +0000 2014,en,59,False,0,False,,Farhad Mohit,farhad667
Dear @BarackObama: please watch this video of yourself talking about #netneutrality and keep your word http://t.co/6hawhE4Yn1,Wed Sep 24 14:51:19 +0000 2014,en,3,False,2,False,,Farhad Mohit,farhad667
RT @OccupyWallStNYC: Could this be a conflict of interest? http://t.co/1f7kmpisk6,Mon Sep 01 14:34:26 +0000 2014,en,542,False,0,False,,Farhad Mohit,farhad667
RT @revenueexpert: Answer by @farhad667 to What's Burning Man like? http://t.co/ObTudhBhAk,Mon Sep 01 14:33:01 +0000 2014,en,1,False,0,False,,Farhad Mohit,farhad667
@jennablaha thanks for meeting with @colechasen and I re: @Flipagram. It was great to hear all your ideas and enthusiasm! :),Thu Aug 28 13:54:29 +0000 2014,en,0,False,1,False,,Farhad Mohit,farhad667
"RT @Flipagram: At Flipagram, a music-loving 'chief intangibles officer' lives on http://t.co/Dm0e1z9Bek",Thu Aug 14 05:53:36 +0000 2014,en,4,False,0,False,,Farhad Mohit,farhad667
@SoCal_Rob actually OOO this week... come by of 8/7 onwards,Sun Jul 27 20:39:01 +0000 2014,en,0,False,0,False,,Farhad Mohit,farhad667
@SoCal_Rob @farhad667 yes it's al @Flipagram stay tuned! ;),Sun Jul 27 19:13:22 +0000 2014,en,0,False,0,False,,Farhad Mohit,farhad667
"@SoCal_Rob @Flipagram sorry rob, just saw this!  Talk about busy... :) next time!",Sun Jul 27 03:24:06 +0000 2014,en,0,False,0,False,,Farhad Mohit,farhad667
RT @SBLACommunity: LA's @Flipagram located on the world famous #SunsetStrip. cc @Farhad667 #SiliconBeach #Flipagram http://t.co/jQGFwa7NVF,Wed Jul 16 04:07:56 +0000 2014,en,1,False,0,False,,Farhad Mohit,farhad667
@endredavids thank you! Must check our translation service.,Mon Jul 07 14:34:05 +0000 2014,en,0,False,0,False,,Farhad Mohit,farhad667
"@Salliemeta I got distracted by my latest project @Flipagram, but happy to share the blueprint and join the cause.  Let's catch up.",Sun Jun 08 02:53:44 +0000 2014,en,0,False,0,False,,Farhad Mohit,farhad667
"Statue of Liberty West? :) Farhang Foundation commissioning ""Freedom"" urban art sculpture as a permanent gift to LA http://t.co/vd2n1dcId7",Thu Jun 05 01:29:09 +0000 2014,en,0,False,2,False,,Farhad Mohit,farhad667
RT @MapLight: Congrats to @SunFoundation on 8 years of hard work to open up our government and make it more accountable. http://t.co/ZUY6jc…,Thu Apr 24 16:27:15 +0000 2014,en,3,False,0,False,,Farhad Mohit,farhad667
@SoCal_Rob I don't. West side is actually a great place to live but commuting out is a lot easier than in. So I'd put my startup east of 405,Sun Apr 06 02:32:41 +0000 2014,en,1,False,1,False,,Farhad Mohit,farhad667
My answer to What advice would you give to an entrepreneur who is moving their startup to Los Angeles? http://t.co/6AvBcBrYQq,Sun Apr 06 02:00:21 +0000 2014,en,1,False,7,False,,Farhad Mohit,farhad667
"@SherminehRo @dilleybrian nice work! we're all set for PR right now, but as we grow I'll be sure to keep you in mind. thx. Farhad.",Wed Feb 12 07:06:42 +0000 2014,en,0,False,2,False,,Farhad Mohit,farhad667
RT @sayahcnn: Future of #Citizenjournalism - Watch this report created w/smart phone &amp; free @flipagram app https://t.co/hp66jzln6k @CNN_Opm…,Wed Feb 12 01:37:22 +0000 2014,en,7,False,0,False,,Farhad Mohit,farhad667
"@persianwine yes, of course! :)",Sun Feb 02 15:20:59 +0000 2014,en,0,False,0,False,,Farhad Mohit,farhad667
@ashlynramseyy curious as to why you think that?,Sat Jan 04 20:05:08 +0000 2014,en,0,False,1,False,,Farhad Mohit,farhad667
"@simplylaurennn_ flipagram, but I'm biased... ;)",Fri Jan 03 04:05:18 +0000 2014,en,0,False,1,False,,Farhad Mohit,farhad667
@benbradley66 try it and see: http://t.co/lNN7Z90uef,Thu Jan 02 22:26:19 +0000 2014,en,1,False,0,False,,Farhad Mohit,farhad667
