Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@xlitt @SecretMediaInc @AdTechMeetupUK why not. When do you plan the next one?,Thu Apr 07 13:18:40 +0000 2016,en,0,False,2,False,,Frédéric Montagnon,fred_montagnon
RT @AurelieCoudouel: Le Débrief de la semaine avec @fred_montagnon (#SecretMedia) https://t.co/vzTNuUGKvM,Fri Apr 01 07:09:27 +0000 2016,fr,3,False,0,False,,Frédéric Montagnon,fred_montagnon
@Grunjoo dans ce cas il faut faire le changement chez votre nouveau registrar. Je ne peux rien faire de mon côté :),Wed Mar 30 10:26:55 +0000 2016,fr,0,False,1,False,,Frédéric Montagnon,fred_montagnon
RT @langl00is: C est parti! https://t.co/luNiJfDNLN,Wed Mar 09 20:04:09 +0000 2016,fr,7,False,0,False,,Frédéric Montagnon,fred_montagnon
Merci @NRauline ! https://t.co/59KxYOlL1c,Mon Feb 22 21:31:18 +0000 2016,fr,0,False,1,False,,Frédéric Montagnon,fred_montagnon
@fredwilson We've been working on a solution to Adblock for 2+ years. We work with major publishers. Who do you advise to meet at @usv?,Wed Feb 17 12:48:41 +0000 2016,en,0,False,0,False,,Frédéric Montagnon,fred_montagnon
@transhumanbob of course it's possible. Roughly 1/3 of adblocking happens at a network level,Thu Jan 28 16:03:47 +0000 2016,en,0,False,1,False,,Frédéric Montagnon,fred_montagnon
@mitchdeg ça n'empêche pas de faire du vélo manifestement :)  @cathbarba @ilan @morganhermand https://t.co/o1YohQMH9V,Sat Jan 23 20:27:24 +0000 2016,fr,2,False,5,False,,Frédéric Montagnon,fred_montagnon
"Video: ""How big a threat is adblocking to publishers?"" subject https://t.co/ep2e10mKLU via @NiemanLab",Fri Dec 11 19:54:00 +0000 2015,en,3,False,6,False,,Frédéric Montagnon,fred_montagnon
@jason_kint @RickJWaghorn @nandabraune a carrier has to ask a user if he wants to block. A private network (ex: in an office) has not :(,Thu Dec 03 01:40:53 +0000 2015,en,0,False,1,False,,Frédéric Montagnon,fred_montagnon
