Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Facebook ""identity confirmation"" blue checkmarks are the new ""profile photo with shirt off""",Thu Apr 07 05:04:40 +0000 2016,en,1,False,1,False,,Fritz Lanman,Fritzanity
Great article from one of my absolute favorite companies...  https://t.co/0NmdpdhifX,Wed Mar 30 12:56:47 +0000 2016,en,0,False,1,False,,Fritz Lanman,Fritzanity
@ariellezuck Rad! DM me or @hereplusme your email and we can invite you to some of our VIP events!,Tue Mar 22 10:54:08 +0000 2016,en,1,False,0,False,,Fritz Lanman,Fritzanity
@ariellezuck @DopplerLabs wait til you try them at a live music event. @coachella 2016?,Tue Mar 22 03:15:04 +0000 2016,en,1,False,0,False,,Fritz Lanman,Fritzanity
@StephenCurry30 good to get those ones out of your system every so often. Onward and upward,Mon Mar 21 03:43:34 +0000 2016,en,0,False,0,False,,Fritz Lanman,Fritzanity
RT @dnak: Used the @hereplusme Here Active Listening earbuds last night at a concert. Incredible and game changing. https://t.co/L0i92EVskX,Sat Mar 05 13:37:39 +0000 2016,en,3,False,0,False,,Fritz Lanman,Fritzanity
RT @TradewindsMusic: @DopplerLabs just got my new @hereplusme Noise canceling is astounding.  A necessity on all flights.  @JetBlue  #zzz h…,Sat Mar 05 13:34:58 +0000 2016,en,3,False,0,False,,Fritz Lanman,Fritzanity
genius https://t.co/RH2Bp38oex,Sun Feb 28 18:59:00 +0000 2016,lt,0,False,2,False,,Fritz Lanman,Fritzanity
@coachella is going to be amazing this year. and it will be all the more so with @hereplusme https://t.co/9zGcVe1TTl,Wed Jan 13 22:06:12 +0000 2016,en,1,False,4,False,,Fritz Lanman,Fritzanity
@dwaxd @hunterwalk @crunchbase my first deal. Have been reverting to the mean ever since...,Thu Nov 19 23:34:27 +0000 2015,en,0,False,6,False,,Fritz Lanman,Fritzanity
@paultoo those msft guys must have been nuts,Thu Nov 19 23:28:20 +0000 2015,en,0,False,1,False,,Fritz Lanman,Fritzanity
This is an awesome tribute. credit given where due. Rare in tech these days https://t.co/HNoSmFeX2e,Mon Nov 16 20:05:27 +0000 2015,en,1,False,5,False,,Fritz Lanman,Fritzanity
@moraitakis @workable the mobile web is dead (as evidenced by 90% of mobile mins in native apps) so very glad to hear iOS app coming!,Fri Nov 06 04:46:55 +0000 2015,en,0,False,0,False,,Fritz Lanman,Fritzanity
@Workable when are you releasing an iOS app?,Thu Nov 05 15:22:40 +0000 2015,en,0,False,0,False,,Fritz Lanman,Fritzanity
Hilarious / scary: https://t.co/uSqPtsvhrF Maybe we can get @jack to run (cc @reidhoffman @NBerggruen pls help),Fri Oct 23 21:38:12 +0000 2015,en,2,False,3,False,,Fritz Lanman,Fritzanity
@brianp @Square @twitter @jack unprecedented,Fri Oct 23 01:15:58 +0000 2015,en,0,False,0,False,,Fritz Lanman,Fritzanity
@paultoo or they become OEMd powered by tech company OS / Saas?,Wed Oct 21 18:55:50 +0000 2015,en,0,False,1,False,,Fritz Lanman,Fritzanity
RT @businessinsider: I got to try the new earbuds that don't play music but let you 'remix' the sounds around you http://t.co/6Ax5CRFbwf ht…,Thu Oct 01 15:36:06 +0000 2015,en,33,False,0,False,,Fritz Lanman,Fritzanity
"RT @TheGameKage: Also, no, I dont want notifications when random-person-I-follow tweets. If I did I'd have set that up. For the tenth time.…",Sat Sep 26 17:13:32 +0000 2015,en,1,False,0,False,,Fritz Lanman,Fritzanity
"RT @johnolilly: Excited about our newest investment, DWNLD (http://t.co/4oV1LLx40w). https://t.co/Jh6OipThxw",Thu Sep 17 15:36:01 +0000 2015,en,11,False,0,False,,Fritz Lanman,Fritzanity
@dwaxd @zackbogue wow literally asked him 60 mins ago about more kids and he played it cool. Congrats! #pokerface,Tue Sep 01 05:19:24 +0000 2015,en,3,False,7,False,,Fritz Lanman,Fritzanity
@LinkedInHelp Getting ERR_TOO_MANY_REDIRECTS msg. Tried from another browser and other computer and same issue. pls help!,Tue Jul 28 21:58:42 +0000 2015,en,0,False,0,False,,Fritz Lanman,Fritzanity
@hunterwalk i'm just tuning in did I miss something?,Sun Jul 05 23:17:09 +0000 2015,en,0,False,2,False,,Fritz Lanman,Fritzanity
@hblodget @fredwilson 3/ perhaps just natural 'growth IRR' reverting to mean as markets get more liquid / efficient cc @trengriffin @pmarca,Tue Jun 30 13:51:18 +0000 2015,en,0,False,0,False,,Fritz Lanman,Fritzanity
@hblodget @fredwilson 2/ it feels like multiples high but w/o data hard to confirm from those charts.,Tue Jun 30 13:50:02 +0000 2015,en,0,False,0,False,,Fritz Lanman,Fritzanity
