Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
The hot water recirculation pump broke in our house. I think this is the ultimate first world problem.,Thu Apr 28 15:43:00 +0000 2016,en,0,False,6,False,,Gabor Cselle,gabor
@miradu I didn't know you were a real estate mogul. Also wow Seattle is reasonably priced ...,Wed Apr 27 15:46:46 +0000 2016,en,0,False,1,False,,Gabor Cselle,gabor
"Great article in The Atlantic about enjoying the journey, not comparing how far you got: https://t.co/w8dfTbCOXc",Tue Apr 26 16:17:21 +0000 2016,en,3,False,2,False,,Gabor Cselle,gabor
RT @AtlasCselle: Dad were you looking for this? https://t.co/3BdwoKXjkf,Wed Apr 20 16:17:02 +0000 2016,en,3,False,0,False,,Gabor Cselle,gabor
.@AtlasCselle taking a little plunge on a hike in Yosemite. https://t.co/uSSVzxGADX,Mon Apr 18 17:01:29 +0000 2016,en,3,False,13,False,,Gabor Cselle,gabor
SF evening sky right now. https://t.co/Ch02yZYInp,Sun Apr 17 02:59:11 +0000 2016,en,2,False,20,False,,Gabor Cselle,gabor
@miradu Congrats Ducker! Can't wait to see what you build next.,Fri Apr 15 04:27:55 +0000 2016,en,1,False,3,False,,Gabor Cselle,gabor
"@gillyworks I think you can set your location in your Twitter settings on the web, not sure how to do it in the apps",Thu Apr 14 14:33:07 +0000 2016,en,1,False,2,False,,Gabor Cselle,gabor
Steamed ice fish. Yum. https://t.co/Gkk89Zamih,Mon Apr 11 02:15:29 +0000 2016,en,2,False,6,False,,Gabor Cselle,gabor
"Spending the week in Yosemite. We got really lucky: great weather, no clouds! https://t.co/pkHrtNDg0p",Thu Apr 07 01:48:53 +0000 2016,en,3,False,17,False,,Gabor Cselle,gabor
Erica and I are in the New York Times Weddings section! https://t.co/CpotgVFvLJ,Sun Apr 03 16:03:21 +0000 2016,en,5,False,47,False,,Gabor Cselle,gabor
Final wedding preparations! Head is near exploding.,Fri Apr 01 20:40:18 +0000 2016,en,1,False,18,False,,Gabor Cselle,gabor
Reserved a @TeslaMotors Model 3. Hope my $1000 didn't fall victim to one big April Fool's joke.,Fri Apr 01 17:37:41 +0000 2016,en,0,False,6,False,,Gabor Cselle,gabor
