Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @Inc: It cost $1 million and 28 months but this startup fought off a patent troll @lindsayblakely https://t.co/s5VipIXbBc,Fri Apr 29 18:03:29 +0000 2016,en,33,False,0,False,,Gil Elbaz,gilelbaz
RT @mcuban: “Beating Back the Patent Trolls” by @gilelbaz https://t.co/UtHl6zZ5fA,Fri Apr 29 00:42:12 +0000 2016,en,42,False,0,False,,Gil Elbaz,gilelbaz
Thank you @lindsayblakely for sharing @factual’s patent troll victory.  Innovation 1 Thugs 0!  https://t.co/xaOElPcGMa via @inc,Thu Apr 28 22:29:30 +0000 2016,en,3,False,10,False,,Gil Elbaz,gilelbaz
Yup.  We weren't the only one they went after. @KJMagee @NewCo @johnbattelle @factual,Wed Apr 27 21:11:48 +0000 2016,en,0,False,2,False,,Gil Elbaz,gilelbaz
Thank you @NewCo and @johnbattelle for sharing my story about patent trolls.  So thankful for outpouring of support.  @factual,Wed Apr 27 16:21:53 +0000 2016,en,0,False,5,False,,Gil Elbaz,gilelbaz
"RT @hunterwalk: ""Patent laws aren’t promoting innovation as much as fomenting a tax on it."" TY @gilelbaz for fighting a patent troll https:…",Wed Apr 27 16:10:54 +0000 2016,en,48,False,0,False,,Gil Elbaz,gilelbaz
RT @epaley: 3/ MA State Senator @KarenSpilka has a bill before her committee that can help protect MA cos from innovation-stifling patent t…,Wed Apr 27 15:57:31 +0000 2016,en,1,False,0,False,,Gil Elbaz,gilelbaz
RT @epaley: 2/ the story of how @factual fought back against patent trolls by @gilelbaz - this tax on innovation has to stop! https://t.co/…,Wed Apr 27 15:57:18 +0000 2016,en,1,False,0,False,,Gil Elbaz,gilelbaz
Thank you @epaley for helping broadcast my story about challenges with patent trolls.  Glad to hear @KarenSpilka is working on it.,Wed Apr 27 15:57:05 +0000 2016,en,2,False,4,False,,Gil Elbaz,gilelbaz
Thanks @hunterwalk for sharing my story.  I really appreciate the support.,Wed Apr 27 06:16:46 +0000 2016,en,0,False,5,False,,Gil Elbaz,gilelbaz
Thanks @jeff for the support and for the retweet.,Wed Apr 27 06:12:38 +0000 2016,en,0,False,1,False,,Gil Elbaz,gilelbaz
Thanks @jeff_jordan for the vote of support! I hope to learn more about your experiences if you are open to sharing.,Wed Apr 27 06:10:03 +0000 2016,en,0,False,1,False,,Gil Elbaz,gilelbaz
Accessible data only helps innovation if it can be used; read why I fought a patent troll to protect innovation https://t.co/6VpYamA4CY,Thu Apr 21 14:06:20 +0000 2016,en,19,False,23,False,,Gil Elbaz,gilelbaz
RT @factual: Caltech grads who founded LA tech startups. including our CEO @gilelbaz. &gt; https://t.co/fb0dKuVcCo via @builtinla,Fri Mar 18 02:49:48 +0000 2016,en,3,False,0,False,,Gil Elbaz,gilelbaz
RT @LATechDigest: 21 Reasons to Move to Los Angeles https://t.co/dLbdEwiWgx #longla https://t.co/iahp3PbHD7,Wed Mar 02 18:11:32 +0000 2016,en,14,False,0,False,,Gil Elbaz,gilelbaz
RT @iab: IAB Mobile Center Member Spotlight: Video Q&amp;A w/ @factual Director of Marketing Vikas Gupta https://t.co/gn6KDXyisz https://t.co/D…,Tue Feb 23 23:04:08 +0000 2016,en,4,False,0,False,,Gil Elbaz,gilelbaz
"I never make margaritas, but randomly made one this evening. I just found out it National Margarita Day today. Am I a #MargaritaSavant?",Tue Feb 23 03:31:31 +0000 2016,en,0,False,6,False,,Gil Elbaz,gilelbaz
Welcome @rob_jonas!  I'm very excited you have joined and eager to work with you to build on @factual momentum. https://t.co/sffhHFPFWX,Thu Feb 11 17:00:15 +0000 2016,en,3,False,12,False,,Gil Elbaz,gilelbaz
"@jamescham that's the compliment of the week, maybe year.  Thank you.  So nice to get to spend time with you.",Fri Feb 05 03:48:39 +0000 2016,en,1,False,2,False,,Gil Elbaz,gilelbaz
A few reasons to take a look at the @factual summer intern program: https://t.co/ftVQQNdMqH (More from our amazing former interns soon!),Tue Feb 02 19:28:13 +0000 2016,en,6,False,4,False,,Gil Elbaz,gilelbaz
@FortuneMagazine,Sat Jan 30 17:39:53 +0000 2016,und,0,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: Our team works hard to keep our #data fresh! Infographic on 2015 updates to Global Places: https://t.co/Sy6mTeBan2 https://t.c…,Fri Jan 29 18:53:16 +0000 2016,en,12,False,0,False,,Gil Elbaz,gilelbaz
@lpolovets hi Leo polo boots this is Gil elbows,Fri Jan 29 02:23:16 +0000 2016,en,0,False,1,False,,Gil Elbaz,gilelbaz
I spoke to @lum at @AdelphicMobile about #mobile #advertising #data with @Factual. Read the interview here: https://t.co/3EgV3Al0yS,Thu Jan 14 00:39:31 +0000 2016,en,9,False,11,False,,Gil Elbaz,gilelbaz
"@followrene Thanks so much, Rene! @factual @DCVC @mattocko",Sat Dec 12 17:51:04 +0000 2015,en,1,False,3,False,,Gil Elbaz,gilelbaz
"@peterpham Thanks for fundraising wisdom you've generously shared!  Also, you and team @ScienceInc are amazing.  Go #LA !",Thu Dec 10 22:14:57 +0000 2015,en,1,False,6,False,,Gil Elbaz,gilelbaz
Thank you @factual team for building a great company and @lizzadwoskin @WSJ for sharing our news. What a journey! https://t.co/BcFt55F24i,Thu Dec 10 17:22:28 +0000 2015,en,17,False,26,False,,Gil Elbaz,gilelbaz
RT @MediaPost: .@factual and @TheTradeDeskInc patner for location-based mobile advertising https://t.co/JM7d6TkpNE @mp_benfred,Wed Oct 28 03:09:07 +0000 2015,en,8,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: A big thank you to @gsterling and @GoBrandify for having our CEO @gilelbaz on stage at #BrandifyIt2015 yesterday! http://t.co/…,Fri Sep 18 17:27:59 +0000 2015,en,2,False,0,False,,Gil Elbaz,gilelbaz
RT @gsterling: Factual Announces Deals With Apple And Facebook For Improved Location Data: Marketers and publishers are just ... http://t.c…,Tue Sep 08 18:08:40 +0000 2015,en,9,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: We provide high quality places #data to @facebook and #Apple - read about it in @adage http://t.co/l6hUyJVDmX,Mon Aug 31 17:06:15 +0000 2015,en,8,False,0,False,,Gil Elbaz,gilelbaz
"@qhardy Thank goodness that people unlike fish won't overindulge when unlimited ""fish food"" is available.",Mon Jun 08 03:07:08 +0000 2015,en,0,False,2,False,,Gil Elbaz,gilelbaz
"RT @factual: May Engineer Blog- @factual, no Bros, no Pets. @shimanovsky talks unsentimental system administration http://t.co/U7FdAMqxEl #…",Thu May 28 18:21:13 +0000 2015,en,4,False,0,False,,Gil Elbaz,gilelbaz
@jasonnazar @LAClippers I like the intensity. #gameface,Fri May 15 03:14:33 +0000 2015,en,0,False,2,False,,Gil Elbaz,gilelbaz
@khambadkone thanks for the shout out!,Thu Apr 30 19:00:15 +0000 2015,en,0,False,0,False,,Gil Elbaz,gilelbaz
@dbasch No repetition of digits!  No reuse of password from 2006!  Don't include your child's name!  Please use a truer random generator!,Thu Apr 30 02:58:24 +0000 2015,en,0,False,1,False,,Gil Elbaz,gilelbaz
@nelsonkcheng then you must not have watched the future '15 western conference finals between the Warriors and the Clippers,Fri Apr 24 03:25:45 +0000 2015,en,0,False,0,False,"{'coordinates': [-118.4049618, 34.0340482], 'type': 'Point'}",Gil Elbaz,gilelbaz
Just one of the many reasons @Factual data is just so... #factual. Read blog post on validating mobile location data: http://t.co/GUJNoTYtmc,Wed Apr 22 02:39:36 +0000 2015,en,3,False,13,False,,Gil Elbaz,gilelbaz
RT @AmSciMag: Crawling Toward a Wiser Web With @CommonCrawl: http://t.co/zYS3MEOmFf #compsci #data #science http://t.co/kGuag4976G,Thu Apr 16 22:30:56 +0000 2015,en,28,False,0,False,,Gil Elbaz,gilelbaz
"Enjoyed speaking with @IndexVentures about  sourcing, recruiting and keeping top-quality employees. http://t.co/CRxMR6hVmW",Mon Mar 30 20:35:06 +0000 2015,en,12,False,18,False,,Gil Elbaz,gilelbaz
RT @IndexVentures: .@Factual Founder @GilElbaz on 10 Things to Know About Building &amp; Retaining A Great Team. http://t.co/VMQVMe3DXd,Mon Mar 30 20:05:18 +0000 2015,en,10,False,0,False,,Gil Elbaz,gilelbaz
"RT @factual: In an effort to provide the highest quality data, we added 13 new companies to our Trusted Data Contributor Program http://t.c…",Thu Mar 26 19:24:39 +0000 2015,en,2,False,0,False,,Gil Elbaz,gilelbaz
"@dwaxd @peterpham I can vouch that David's daughter is professional, courteous and gets the job done. @pakman @MCProHosting @PixelmonMod",Sun Mar 22 21:13:38 +0000 2015,en,0,False,2,False,,Gil Elbaz,gilelbaz
"Um, yeah, I think my mother-in-law cracked my Twitter acct and then sent me a personal message directed to me.... from me.  #gotmyattention",Sat Mar 21 04:02:02 +0000 2015,en,0,False,9,False,"{'coordinates': [-118.4048789, 34.0341057], 'type': 'Point'}",Gil Elbaz,gilelbaz
RT @amir: Brand new day for apps that have location/maps features. Why? Tools! https://t.co/fxamBwZFoc @Mapbox @mapillary @Mapsense @factual,Thu Mar 19 23:39:55 +0000 2015,en,6,False,0,False,,Gil Elbaz,gilelbaz
RT @charu1603: @gilelbaz My pleasure! You have touched countless of us with your innovations and inspiring feats!,Tue Mar 17 22:15:08 +0000 2015,en,1,False,0,False,,Gil Elbaz,gilelbaz
Thanks @charu1603 for letting me join #goingagainsttheflow series to talk about #entrepreneurship and location #data http://t.co/f8MdAX3gVz,Tue Mar 17 01:11:57 +0000 2015,en,2,False,6,False,,Gil Elbaz,gilelbaz
RT @Mazzeo: |LIVE NOW| SXSW Jam and open Lowercase office hours - Come to Driskill lobby #meerkat http://t.co/VDo4J9AUpD,Sat Mar 14 18:55:17 +0000 2015,en,59,False,0,False,,Gil Elbaz,gilelbaz
"@mazzeo I'm just jumping on the exciting Mazzeo Meerkat wagon, here.",Sat Mar 14 18:54:14 +0000 2015,en,0,False,0,False,,Gil Elbaz,gilelbaz
"@mazzeo Thx for shoutout, man.",Sat Mar 14 18:52:31 +0000 2015,en,0,False,1,False,,Gil Elbaz,gilelbaz
RT @streetfightmag: On Street Fight: @GilElbaz — Location Isn’t Just Where You Are http://t.co/FLkqDgZ59e #LDS15,Tue Mar 10 16:38:22 +0000 2015,en,3,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: A big thank you to @streetfightmag &amp; @laurarich for having @gilelbaz and Factual at #LDS15. We’ll chat #data anytime.,Fri Mar 06 14:50:50 +0000 2015,en,1,False,0,False,,Gil Elbaz,gilelbaz
A nice next chapter at Criteo for the nice (and very capable) folks at @datapop. Read @jasonlehmbeck on Fire &amp; Nice: https://t.co/aufz6qoc6C,Mon Mar 02 22:28:36 +0000 2015,en,4,False,3,False,,Gil Elbaz,gilelbaz
@qhardy Yes.  Great to hear you will be spending time in LA!  I'll reach out to coordinate.,Mon Mar 02 16:29:18 +0000 2015,en,0,False,0,False,,Gil Elbaz,gilelbaz
"Thanks @qhardy for your thought-provoking piece on AI. Resulted in some interesting afternoon reading, Bostrom, etc.  http://t.co/itBJvwbz1m",Mon Mar 02 02:38:28 +0000 2015,en,3,False,9,False,,Gil Elbaz,gilelbaz
Congrats to team on great #Geopulse release: customized audiences through Tailored Location Segments.  http://t.co/h8bWvfVSXR @factual,Thu Feb 26 19:55:49 +0000 2015,en,1,False,4,False,,Gil Elbaz,gilelbaz
Looking forward to this!  MT @factual Our CEO @gilelbaz is keynoting @USC’s 5th Annual Geospatial Summit Friday. http://t.co/D6VuZmHTra,Wed Feb 25 18:31:18 +0000 2015,en,2,False,5,False,,Gil Elbaz,gilelbaz
RT @ethan_anderson: I agree with @gilelbaz here on the future of local search and hope @mytime will play a part in building it! http://t.co…,Sun Feb 22 01:07:21 +0000 2015,en,2,False,0,False,,Gil Elbaz,gilelbaz
"@ethan_anderson I think @mytime is already playing a role building the future.  Onwards, upwards, and more personalized!",Sun Feb 22 00:38:01 +0000 2015,en,2,False,0,False,,Gil Elbaz,gilelbaz
"@dpatil Great news.  Yeah, I think your title qualifies as 'big data'.",Thu Feb 19 03:25:38 +0000 2015,en,0,False,2,False,,Gil Elbaz,gilelbaz
Great @gigaom article about @johnbattelle and @NewCoFest. Excited to see what 2015 brings: https://t.co/9UQ6HKqwZL,Thu Feb 19 01:38:57 +0000 2015,en,0,False,2,False,,Gil Elbaz,gilelbaz
@J0NATHAN_G Thanks for shout-out.  Will do best to Shake It Up #TheCars style (not to be confused with @TaylorSwift's catchy Shake It Off).,Wed Feb 18 13:46:07 +0000 2015,en,0,False,0,False,,Gil Elbaz,gilelbaz
RT @streetfightmag: On Street Fight: Factual CEO Says Machine Learning Could Upend Local Search http://t.co/TXVykCfx3Z @gilelbaz @factual,Wed Feb 18 02:33:53 +0000 2015,en,9,False,0,False,,Gil Elbaz,gilelbaz
Great to talk to @stevenhjacobs about local search. Looking forward to more at the @streetfightmag Local Data Summit http://t.co/Q1Mw2dfxaO,Tue Feb 17 23:29:11 +0000 2015,en,3,False,2,False,,Gil Elbaz,gilelbaz
"RT @amplifyla: ""Forget Silicon Valley! The Real LA Story Is Its Hot Tech Startups"" @ClubW @Factual @CurbStand @WashioApp @Flipagram http://…",Fri Feb 13 21:58:27 +0000 2015,en,38,False,0,False,,Gil Elbaz,gilelbaz
Great story by @RadioBWatt including @tenone10's @dwaxd about the importance of shared work spaces for LA Tech http://t.co/neOXUFtlY4,Fri Feb 06 19:14:32 +0000 2015,en,3,False,4,False,,Gil Elbaz,gilelbaz
"@karanortman Ironically, the same can be said about the photographer who likely also missed out on fully experiencing the unique moment.",Fri Feb 06 07:49:56 +0000 2015,en,0,False,0,False,,Gil Elbaz,gilelbaz
RT @TaniaDamha: Wow!!! 75 people already rsvp's for @LAIoTMeetup in LA! Join us @factual. Learn about the #iot revolution - rsvp here http:…,Thu Feb 05 16:38:25 +0000 2015,en,2,False,0,False,,Gil Elbaz,gilelbaz
RT @brunobowden: Wayne Rosing - Google's first VP Eng - now building robotic telescopes at LCOGT. With @gilelbaz and myself. http://t.co/Cq…,Wed Feb 04 21:45:11 +0000 2015,en,3,False,0,False,,Gil Elbaz,gilelbaz
"@dwaxd Clear and thoughtful post, but you fool no one. Advising founders to be cautious &amp; discriminating, surely there's an ulterior motive.",Sat Jan 31 17:06:08 +0000 2015,en,0,False,0,False,,Gil Elbaz,gilelbaz
RT @dwaxd: I just published “Founders Keepers. An Investor is forever.” https://t.co/wHJuAGH7F1,Sat Jan 31 17:02:23 +0000 2015,en,5,False,0,False,,Gil Elbaz,gilelbaz
"In 2014, over 250 startups were funded in LA. Read more from @saraashleyo in her article @CNNMoney http://t.co/lB77PO6oZp",Thu Jan 15 23:53:41 +0000 2015,en,1,False,6,False,,Gil Elbaz,gilelbaz
RT @factual: We've been busy! Read about updates to @factual 's Global Places data in the last quarter  http://t.co/nPIRUnAMDA,Tue Jan 13 17:50:28 +0000 2015,en,3,False,0,False,,Gil Elbaz,gilelbaz
"RT @factual_aaron: Looking forward to tonight's LA Machine Learning meetup at @CrossCampusLA, sponsored by @factual http://t.co/0oiKWUtcEE",Tue Jan 13 16:50:39 +0000 2015,en,1,False,0,False,,Gil Elbaz,gilelbaz
RT @dwaxd: Proud to announce @tenone10 investment in @Zirtual http://t.co/r2UWXQ7Klz,Mon Jan 12 17:58:23 +0000 2015,en,3,False,0,False,,Gil Elbaz,gilelbaz
"RT @bill_michels: Yahoo Directory sunsets. 20 years since the fist consumer web ""search"" product. http://t.co/ppjXp6ySQO @sengineland",Mon Dec 29 22:25:59 +0000 2014,en,1,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: Thanks @MMMagTweets for the article on our new ad tools and including our partners @Cadreon_IPG and @HorizonMediaInc http://t.…,Wed Dec 17 20:49:12 +0000 2014,en,2,False,0,False,,Gil Elbaz,gilelbaz
"RT @factual: Check out our new ad tools for proximity and audience targeting used by @StrikeAd , @weatherchannel , @TurnPlatform http://t.c…",Wed Dec 17 20:45:19 +0000 2014,en,7,False,0,False,,Gil Elbaz,gilelbaz
Proud of @factual's announcement today about new ad tools that help our partners put location data to use: http://t.co/OPEdZyGGjP,Wed Dec 17 20:44:23 +0000 2014,en,1,False,1,False,,Gil Elbaz,gilelbaz
"NPR on the need for more math in pre-k: ""just 58 seconds out of a 5-hour preschool day was spent on math activities."" http://t.co/LexGKAMrxq",Tue Dec 09 21:40:38 +0000 2014,en,1,False,2,False,,Gil Elbaz,gilelbaz
"RT @factual: Thanks to @SimplySalad for delivering a delicious, #healthy lunch for our team at HQ! Perfect post holiday meal. http://t.co/i…",Fri Dec 05 20:16:23 +0000 2014,en,2,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: Our Dir. of Marketing @VikasAGupta spoke with @geomarketing about the role of location data this holiday season http://t.co/Vb…,Wed Dec 03 17:23:35 +0000 2014,en,4,False,0,False,,Gil Elbaz,gilelbaz
@stephendeberry What a wonderful milestone!  Congrats and Happy Thanksgiving.,Thu Nov 27 18:48:12 +0000 2014,en,0,False,1,False,,Gil Elbaz,gilelbaz
"Agreed!  @kncukier @gatesfoundation @amy_harmon And ""Data Underlying Published Research Results Will Be Accessible and Open Immediately"".",Mon Nov 24 23:09:59 +0000 2014,en,2,False,0,False,,Gil Elbaz,gilelbaz
.@zalzally @nuzzel Also extremely important is their requirement that underlying data must also be immediately accessible. @gatesfoundation,Mon Nov 24 23:03:06 +0000 2014,en,3,False,5,False,,Gil Elbaz,gilelbaz
RT @factual: A big thank you to @MilkenInstitute and @mlevram for having us at the #CAsummit! @gilelbaz http://t.co/jInm6Fl8KQ,Fri Nov 21 03:19:46 +0000 2014,en,2,False,0,False,,Gil Elbaz,gilelbaz
RT @johnbattelle: Work w a neutral data first co. Leverage the non neutral platforms (FB GOOG) @gilelbaz @factual #newcoLA http://t.co/9Coo…,Thu Nov 20 01:50:00 +0000 2014,en,8,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: We’re excited to partner with @FirstData to produce advanced business &amp; consumer insights! http://t.co/aNoIRh4vfR #Data #SMB,Wed Nov 19 00:34:11 +0000 2014,en,7,False,0,False,,Gil Elbaz,gilelbaz
RT @factual: One week until @NewCoFest in LA! Join us at Factual HQ for @gilelbaz's #data first chat. Register here: http://t.co/v5r8aCWAXs…,Thu Nov 13 00:30:43 +0000 2014,en,1,False,0,False,,Gil Elbaz,gilelbaz
"@patrick_koppula This is important analysis, so I will look forward to digging in more deeply. @HLP90042 @OxyNews",Sun Oct 26 18:05:48 +0000 2014,en,0,False,0,False,,Gil Elbaz,gilelbaz
@dannysullivan These aren't the droids you're looking for.,Fri Oct 24 03:27:40 +0000 2014,en,0,False,2,False,,Gil Elbaz,gilelbaz
@shabnams The data thanks you.,Sun Oct 19 22:44:00 +0000 2014,en,0,False,0,False,,Gil Elbaz,gilelbaz
RT @MMAglobal: Today's #location webinar with @Smaato &amp; @factual is kicking off at 2pm EST!  Join us for a great session: http://t.co/g0iBF…,Tue Oct 14 17:51:55 +0000 2014,en,1,False,0,False,,Gil Elbaz,gilelbaz
"Join @factual, @Smaato &amp; @MMA_NA for an Intro to Location-Based Audiences via webinar on today @ 11AM PT! Register &gt; http://t.co/amaC9d72nE",Tue Oct 14 16:31:24 +0000 2014,en,3,False,3,False,,Gil Elbaz,gilelbaz
RT @Smerity: Interested in how we use #AWS at @CommonCrawl? Check out https://t.co/FsQyVVURuR,Fri Oct 10 02:46:56 +0000 2014,en,7,False,0,False,,Gil Elbaz,gilelbaz
".@cityofthetown Pub concerns w/partnering w/competitive companies unsurprising, shows value of neutral data partners http://t.co/pqOs0hPR4B",Wed Oct 08 18:04:40 +0000 2014,en,2,False,0,False,,Gil Elbaz,gilelbaz
"Thanks @msuster for the inclusion in your powerful article about the LA Tech Ecosystem, the fastest growing in the US http://t.co/sLciwaPGLv",Wed Oct 08 17:56:28 +0000 2014,en,2,False,5,False,,Gil Elbaz,gilelbaz
"RT @twbell: Think Place data is static? http://t.co/cdW2mt0ik9 Last Q @factual added 6.7 MM places, chucked out 5.6 MM, and updated 23.4 MM…",Tue Oct 07 20:39:50 +0000 2014,en,6,False,0,False,,Gil Elbaz,gilelbaz
"RT @factual: . @gilelbaz speaks with @econtentmag about data's biggest challenge- having too much!"" http://t.co/8BrNXstXij",Fri Sep 26 00:28:58 +0000 2014,en,1,False,0,False,,Gil Elbaz,gilelbaz
"@lemonodor Does that use GPS location, or does it rely on SONAR or barometric pressure to measure altitude? (Regardless, it's cool stuff.)",Wed Sep 24 05:36:38 +0000 2014,en,0,False,0,False,,Gil Elbaz,gilelbaz
Tesla Model S now uses location-based awesomeness to predict when the suspension should be set for high clearance. http://t.co/sOWYwyZLh4,Tue Sep 23 18:56:07 +0000 2014,en,7,False,5,False,,Gil Elbaz,gilelbaz
"@dannysullivan @latimes Yes, surprising and nice to know, but it is based on assumption that 1/3 of your 'pool' is the deck. Generally true?",Sat Sep 13 18:00:37 +0000 2014,en,0,False,0,False,,Gil Elbaz,gilelbaz
Thank you @issielapowsky for including @factual in your #thenextbigthingyoumissed series for @wired http://t.co/ogQONkutgk,Tue Sep 09 23:14:51 +0000 2014,en,4,False,8,False,,Gil Elbaz,gilelbaz
