Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Learning the way of the Samurai https://t.co/sm2xHoiaOf,Fri Apr 15 08:24:15 +0000 2016,en,0,False,10,False,,gil penchina,gilpenchina
https://t.co/rHmulyGnGn,Fri Apr 15 08:24:15 +0000 2016,und,1,False,1,False,,gil penchina,gilpenchina
https://t.co/lIhdwoHitN,Fri Apr 15 08:24:14 +0000 2016,und,0,False,0,False,,gil penchina,gilpenchina
https://t.co/wG9AdveFFu,Fri Apr 15 08:24:12 +0000 2016,und,0,False,0,False,,gil penchina,gilpenchina
RT @adamnash: Introducing Wealthfront 3.0: The next generation of financial advice. https://t.co/9rzCCDG15X https://t.co/LlZhkihCA4,Thu Mar 31 21:10:45 +0000 2016,en,36,False,0,False,,gil penchina,gilpenchina
Get 6 FREE meals delivered to your house  https://t.co/ux63wDhozl https://t.co/rMgcedLuiX,Mon Mar 14 03:06:08 +0000 2016,en,1,False,0,False,,gil penchina,gilpenchina
YORK Athletics Mfg. is 'Footwear for Fighters' and fits the spirit of the best entrepreneurs. Check them out at https://t.co/iPJSq2p0lV,Sat Feb 27 20:09:56 +0000 2016,en,2,False,3,False,,gil penchina,gilpenchina
RT @trinityventures: .@trinityventures welcomes @schwark as General Partner - Welcome to the Trinity Family!  https://t.co/c10e1ejAkG https…,Tue Feb 16 18:07:58 +0000 2016,en,11,False,0,False,,gil penchina,gilpenchina
"I get 30 min of maid service daily for &gt;$10 a day - kitchen cleaned, bed made, etc EVERY DAY. Get $25 off here

https://t.co/k3UG8IB3cv",Tue Feb 09 23:24:57 +0000 2016,en,0,False,6,False,,gil penchina,gilpenchina
"Can you vote me up on Product Hunt?

https://t.co/DNVbWGCzrP",Mon Feb 08 19:51:10 +0000 2016,en,3,False,15,False,,gil penchina,gilpenchina
"Google tops Apple briefly

https://t.co/1HyAR1ZFVx",Mon Feb 08 18:25:48 +0000 2016,en,3,False,11,False,,gil penchina,gilpenchina
RT @Wealthfront: We're excited to announce Portfolio Review. Are you invested the right way? Find out today! https://t.co/IOskj9RK7d https:…,Wed Jan 13 20:18:04 +0000 2016,en,13,False,0,False,,gil penchina,gilpenchina
#Battery team - nice work with the dress that doubled as the biggest champagne glass holder EVER https://t.co/r7BXAxXc7n,Sat Jan 02 02:16:04 +0000 2016,en,1,False,3,False,,gil penchina,gilpenchina
https://t.co/pQD5pYUCtF,Thu Dec 31 17:23:53 +0000 2015,und,0,False,7,False,,gil penchina,gilpenchina
RT @flightvc: Partner @gilpenchina is nominated for Angel Investor of the Year!  https://t.co/r2WgzEXCEv,Wed Dec 30 04:25:54 +0000 2015,en,6,False,0,False,,gil penchina,gilpenchina
https://t.co/EKW6jz4xRN,Tue Dec 29 05:50:39 +0000 2015,und,0,False,1,False,,gil penchina,gilpenchina
https://t.co/BcRLWLw6Nv,Tue Dec 29 05:50:37 +0000 2015,und,0,False,1,False,,gil penchina,gilpenchina
https://t.co/bUkbkDScRd,Tue Dec 29 05:50:35 +0000 2015,und,0,False,1,False,,gil penchina,gilpenchina
https://t.co/2Di7Im8Jc6,Tue Dec 29 05:50:33 +0000 2015,und,0,False,1,False,,gil penchina,gilpenchina
https://t.co/oik2X5kfgK,Tue Dec 29 05:50:29 +0000 2015,und,0,False,0,False,,gil penchina,gilpenchina
I've been kidnaped and taken to a Motley Crue concert. Save me! https://t.co/paxI1qvcsh,Tue Dec 29 05:33:00 +0000 2015,en,0,False,1,False,,gil penchina,gilpenchina
https://t.co/v5b6dCpxUI,Sun Dec 27 18:17:43 +0000 2015,und,0,False,2,False,,gil penchina,gilpenchina
https://t.co/bvIghkjXXt,Sun Dec 27 18:17:40 +0000 2015,und,0,False,1,False,,gil penchina,gilpenchina
https://t.co/kWe90CPeeF,Sun Dec 27 18:17:38 +0000 2015,und,0,False,2,False,,gil penchina,gilpenchina
