Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @expa: Never be afraid to hard reset. Pushing the reset button is better than hoping for the best,Sun Apr 24 03:13:31 +0000 2016,en,44,False,0,False,,Gmc,gmc
RT @FastCompany: Hubble telescope captures giant star blowing bubbles into space https://t.co/GBxKKOnHP7 https://t.co/rSzLRuymKK,Sat Apr 23 03:01:10 +0000 2016,en,45,False,0,False,,Gmc,gmc
"RT @tferriss: If you're looking for elite startup mentoring (example: co-founder of @Uber), check this out... https://t.co/JBHj0nAuE7",Fri Apr 22 23:44:43 +0000 2016,en,24,False,0,False,,Gmc,gmc
"""It's bots all the way down""",Fri Apr 22 23:12:52 +0000 2016,en,2,False,8,False,,Gmc,gmc
"RT @pgcornwell: This was his passport photo, people. His PASSPORT PHOTO. #Prince https://t.co/IzCVzFz1KK",Fri Apr 22 06:54:25 +0000 2016,en,6802,False,0,False,,Gmc,gmc
RT @nytimesarts: How Prince rebelled against the music industry https://t.co/mK6tuUyCur https://t.co/AlZMgJFdii,Fri Apr 22 02:17:23 +0000 2016,en,98,False,0,False,,Gmc,gmc
RT @thinkLA: 99.9% of audience has used @Uber in LA. 🚗 Surprised? #thinkAuto,Fri Apr 22 01:19:29 +0000 2016,en,4,False,0,False,,Gmc,gmc
RT @expa: Apply for Expa Labs by May 2nd: we provide $500k + 6mo of office space in SF or NYC + expert advice on your product: https://t.co…,Thu Apr 21 21:57:07 +0000 2016,en,59,False,0,False,,Gmc,gmc
RT @connordphillips: My thoughts on why @hashtagkit works as a product and business model: https://t.co/IfJoiRAUAo #startup via @Medium htt…,Thu Apr 21 21:57:04 +0000 2016,en,6,False,0,False,,Gmc,gmc
RT @jvrionis: 1. Show up. 2. Work hard. 3. Be kind. 4. Take the high road.  Now that's a code of honor to live by.,Thu Apr 21 21:57:00 +0000 2016,en,83,False,0,False,,Gmc,gmc
"RT @metabase: Loooong list of databases for storing time series, https://t.co/aiKZGUH3Er",Thu Apr 21 21:15:08 +0000 2016,en,4,False,0,False,,Gmc,gmc
"1,000,000,000,000 Frames/Second Photography: https://t.co/KqXQfLbDxD",Thu Apr 21 20:05:00 +0000 2016,en,1,False,7,False,,Gmc,gmc
"RT @MKBHD: Half the stuff I use now isn’t on Amazon, so I made a new (prettier) video gearlist: https://t.co/gOrZKwtO4t https://t.co/AE3Dn3…",Thu Apr 21 19:47:51 +0000 2016,en,131,False,0,False,,Gmc,gmc
RT @wef: What lies ahead for the real estate market in 2016? https://t.co/ldqHAj10TU @JLL https://t.co/Jc3glWQcSz,Thu Apr 21 07:20:22 +0000 2016,en,30,False,0,False,,Gmc,gmc
RT @BenedictEvans: Market size https://t.co/aAMKFY4SMA,Thu Apr 21 06:30:11 +0000 2016,en,107,False,0,False,,Gmc,gmc
