Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @joshk: 7/ Observation #1) Many founders rush ""the pick"". If you're spending the next 5-10 yrs of your life doing something, pick your i…",Wed Apr 27 22:11:51 +0000 2016,en,119,False,0,False,,geoff judge,gpjudge
so Jealous! https://t.co/e4gguNCIqC,Wed Apr 27 22:10:31 +0000 2016,en,0,False,0,False,,geoff judge,gpjudge
RT @FintechBot: Electronic Billing Provider ‘Transactis’ Raises $30M From 5 Largest US Banks https://t.co/8y2x9AzRjF By @LetsTalkPaymnts,Mon Apr 25 23:45:08 +0000 2016,en,1,False,0,False,,geoff judge,gpjudge
"RT @ffvc: Big news! Capital One, Fifth Third, PNC, TD, and Wells Fargo Invest in @Transactis

https://t.co/PuPu1xQInX",Mon Apr 25 23:44:55 +0000 2016,en,3,False,0,False,,geoff judge,gpjudge
The big banks know when they see a good thing https://t.co/ymP5VJzWp3 Congrats #Transactis #JoeProto #,Mon Apr 25 23:44:24 +0000 2016,en,0,False,1,False,,geoff judge,gpjudge
RT @eetimes: IDT Backs WiGig Chip Vendor Peraso - Funding round worth $20 million marks second time in two weeks that ventur... https://t.c…,Fri Apr 22 21:11:48 +0000 2016,en,4,False,0,False,,geoff judge,gpjudge
"RT @chrisfralic: Sad about Bill Campbell.  I got a high-five from him at Apple in 1985.  We'll never forget ""Beers with Bill"" at our CEO Su…",Mon Apr 18 19:46:34 +0000 2016,en,1,False,0,False,,geoff judge,gpjudge
RT @NateSilver538: Clinton's largest net delegate advantage over Sanders comes from Texas &amp; Florida. Both are Southern but also incredibly…,Thu Apr 14 15:22:30 +0000 2016,en,346,False,0,False,,geoff judge,gpjudge
Sweet deal https://t.co/SuCrCHppCD,Thu Apr 14 15:19:50 +0000 2016,en,0,False,0,False,,geoff judge,gpjudge
Routehappy improving your flying experience  https://t.co/HcaZ2DrFLs,Thu Apr 14 15:01:47 +0000 2016,en,0,False,1,False,,geoff judge,gpjudge
RT @TheBeat_travel: [$$] Farelogix And Routehappy Team Up On Merchandizing https://t.co/K7sVmbqqRz,Thu Apr 14 15:00:01 +0000 2016,en,1,False,0,False,,geoff judge,gpjudge
RT @chrisarsenault: What makes a Company successful is not its VC funding. It's the ability to build a profitable business on the long run …,Thu Mar 24 22:48:00 +0000 2016,en,9,False,0,False,,geoff judge,gpjudge
