Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
... and tracking the right #MetricsThatMatter ... https://t.co/rgM5wV550Y #OperatingSystemForInnovation https://t.co/UF6rUaLQwL,Mon Apr 11 20:31:32 +0000 2016,en,0,False,0,False,,Jim Hornthal,Hornthal
#OpeningDay #SFGiants https://t.co/346FRxtNUR,Thu Apr 07 22:01:00 +0000 2016,und,0,False,1,False,,Jim Hornthal,Hornthal
#OpeningDay #SFGiants https://t.co/aaTykWPJJ5,Thu Apr 07 20:45:52 +0000 2016,und,0,False,1,False,,Jim Hornthal,Hornthal
Ambidio redefines laptop sound; #TheaterSurroundSound strap in and watch/listen for yourself: https://t.co/rClMfnwQnJ #Innovation,Tue Mar 15 04:30:13 +0000 2016,en,1,False,0,False,,Jim Hornthal,Hornthal
President Obama’s brutal assessment of the rise of Donald Trump: https://t.co/yht9eLKoMK,Mon Mar 14 05:44:21 +0000 2016,en,0,False,0,False,,Jim Hornthal,Hornthal
Arif Naqvi kicking off #AbraajWeek2016 in #Dubai with @fadig https://t.co/426X7MOTfP,Mon Mar 14 04:38:51 +0000 2016,en,7,False,7,False,,Jim Hornthal,Hornthal
Good morning Dubai. #AbraajWeek #StartupRising #A3F with @fadig @amrbenhalim https://t.co/GEtztTfefk,Sun Mar 13 07:51:01 +0000 2016,en,1,False,3,False,,Jim Hornthal,Hornthal
Good morning Dubai. #AbraajWeek #StartupRising #A3F with @fadig @amrbenhalim https://t.co/57CRhet58a,Sun Mar 13 07:45:03 +0000 2016,en,0,False,1,False,,Jim Hornthal,Hornthal
New collaboration to help cancer patients prevent hair loss https://t.co/vQ1mdsTqB4 #HairToStay #Dignitana,Mon Feb 22 15:20:52 +0000 2016,en,1,False,1,False,,Jim Hornthal,Hornthal
"When asked how old he feels, the 93 year old Norman Lear responded ""I am the peer of whoever I am talking to""  @TED #TED2016",Wed Feb 17 01:33:24 +0000 2016,en,2,False,5,False,,Jim Hornthal,Hornthal
"Without crazy thinkers we're doomed to predict the past. If you are serious about #innovation, this is a must read. https://t.co/RYlXU2rGeN",Tue Dec 15 15:25:59 +0000 2015,en,3,False,6,False,,Jim Hornthal,Hornthal
Trump has 25-30% among 25% identifying as Rep = 6-8% of electorate; same who think Apollo moon landings were faked! https://t.co/sPDIOxmUb4,Mon Nov 23 18:31:44 +0000 2015,en,0,False,2,False,,Jim Hornthal,Hornthal
Premiere of Open Your Eyes #Seva #MakingADentInTheUniverse http://t.co/DNf7xSesjn,Sun Oct 11 01:58:27 +0000 2015,en,0,False,2,False,,Jim Hornthal,Hornthal
With @mchammer and John S Chen https://t.co/2ZFXTRYyar,Fri Oct 09 00:15:04 +0000 2015,en,3,False,9,False,,Jim Hornthal,Hornthal
RT @BethanyHornthal: Why Doctors Are Rethinking Breast-Cancer Treatment http://t.co/WFSYyKPmBY via @TIMEHealth @DrLauraEsserman,Fri Oct 02 07:38:56 +0000 2015,en,2,False,0,False,,Jim Hornthal,Hornthal
Elon's car opens itself at #ModelX launch http://t.co/NoGdSMEu1Y,Wed Sep 30 04:06:27 +0000 2015,en,1,False,3,False,,Jim Hornthal,Hornthal
A Breast Cancer Surgeon Who Keeps Challenging the Status Quo http://t.co/XBEobqGVAB @DrLauraEsserman #MoneyballForMedicine #gamechangers,Tue Sep 29 02:46:47 +0000 2015,en,2,False,1,False,,Jim Hornthal,Hornthal
RT @BethanyHornthal: Salesforce Partners with @DrLauraEsserman and UCWisdom Study to end breast screening controversy #DF15 http://t.co/EkJ…,Sat Sep 19 01:47:27 +0000 2015,en,3,False,0,False,,Jim Hornthal,Hornthal
The future of Precision Medicine #MoneyballForMedicine @DrLauraEsserman #AthenaBreastHealthNetwork  https://t.co/1MLfV2xQPn,Wed Sep 16 21:04:39 +0000 2015,en,2,False,0,False,,Jim Hornthal,Hornthal
"RT @BoingBoing: Arab-looking man of Syrian descent found in garage, building what looks like a bomb http://t.co/hKxym0Bs6i http://t.co/XTth…",Wed Sep 16 19:56:57 +0000 2015,en,2001,False,0,False,,Jim Hornthal,Hornthal
Rocking with #BillyJoel at AT&amp;T Park http://t.co/1vFP8nfk7a,Sun Sep 06 03:51:36 +0000 2015,en,1,False,4,False,,Jim Hornthal,Hornthal
@saadventures hard to sleep through that wake up call!,Mon Aug 17 14:00:33 +0000 2015,en,0,False,0,False,,Jim Hornthal,Hornthal
@saadventures 4.2,Mon Aug 17 13:55:55 +0000 2015,und,0,False,0,False,,Jim Hornthal,Hornthal
"Yes, Trump is loud, but S.F. startup finds message doesn’t resonate #Innovation #Zignal2Noise http://t.co/ASxvjleoWN via @sfchronicle",Mon Aug 10 20:25:15 +0000 2015,en,0,False,1,False,,Jim Hornthal,Hornthal
"Despite recent headlines, there is evidence that the world is getting better all the time #SilverLining http://t.co/Z4qJR1vcAX?",Thu Aug 06 18:01:13 +0000 2015,en,1,False,1,False,,Jim Hornthal,Hornthal
"""Clinical Trial your business model"" #LaunchPad methodology at WSGR Medical Device Conference @sgblank #Innovation http://t.co/2Om5TR6lWR",Fri Jun 26 19:22:09 +0000 2015,en,8,False,14,False,,Jim Hornthal,Hornthal
"The dawn of #AgileInnovation -- Leading the charge on #Innovation for Enterprise, @sgblank http://t.co/iWT1hszamD #LaunchPadCentral",Fri Jun 26 18:18:25 +0000 2015,en,1,False,0,False,,Jim Hornthal,Hornthal
RT @ZignalLabs: Zignal Labs is very excited to announce our media partnership with the @washingtonpost! http://t.co/V1KsOS1z2i cc @jameshoh…,Thu Jun 11 20:57:34 +0000 2015,en,5,False,0,False,,Jim Hornthal,Hornthal
Making #BigData small ... #Innovation #Results #Impact https://t.co/Po4QhDRTe0,Thu Jun 11 20:53:16 +0000 2015,en,0,False,1,False,,Jim Hornthal,Hornthal
#socialmedia is undeniably a powerful tool for political campaigns.  Weaponizing that tool is a job for #zignallabs https://t.co/HsOOaxC0t0,Mon Jun 01 16:36:30 +0000 2015,en,0,False,2,False,,Jim Hornthal,Hornthal
The B-school #leanstartup revolution is underway #Innovation #Entrepreneurship #LaunchPadCentral via @FortuneMagazine http://t.co/pzwePc31oC,Wed May 06 17:50:29 +0000 2015,en,1,False,12,False,,Jim Hornthal,Hornthal
Changing the face of media analytics; interesting #insights from #ZignalLabs on #PacquiaoMayweather fight http://t.co/p3SBpsueKf,Wed May 06 16:30:31 +0000 2015,en,0,False,1,False,,Jim Hornthal,Hornthal
@dnbornstein talking about Motivated Denial and Solution Aversion at #swf2015 with @jhornthal http://t.co/V0ElF0IDhN,Thu Apr 16 11:11:03 +0000 2015,en,0,False,0,False,,Jim Hornthal,Hornthal
"RT @jhornthal: ""We're number sixteen!"" doesn't sound as good as ""we're number one""#SocialProgress #SkollWF @Hornthal",Thu Apr 16 09:28:49 +0000 2015,en,2,False,0,False,,Jim Hornthal,Hornthal
@MichaelEPorter - presenting Social Progress Index insights at #swf2015 with @fadig and @jhornthal http://t.co/uYyKKRt25I,Thu Apr 16 09:19:07 +0000 2015,en,0,False,0,False,,Jim Hornthal,Hornthal
Dear Rand Paul: What The F**k Do You Mean? http://t.co/WkiW1j7KJw via @,Sun Apr 12 09:17:23 +0000 2015,en,0,False,0,False,,Jim Hornthal,Hornthal
Thanks Steve: Always a pleasure and a learning experience to be part of the #LaunchPad teaching team. #Innovation https://t.co/Y3S8yTvkTC,Sat Apr 11 22:04:15 +0000 2015,en,0,False,1,False,,Jim Hornthal,Hornthal
It’s Time to Get Realtime | Zignal Labs #ZignalLabs #BigData #Innovation http://t.co/G8OXZfezSS,Thu Apr 09 16:01:26 +0000 2015,en,0,False,2,False,,Jim Hornthal,Hornthal
Too clever to ignore: This Math Professor had an amazing April Fools prank http://t.co/AbRJdwxYwd #Education #GreatTeachers,Tue Apr 07 21:28:30 +0000 2015,en,0,False,0,False,,Jim Hornthal,Hornthal
RT @Recode: Monica Lewinsky Silences TED Crowd With Poignant Talk on Cyberbullying's Toll http://t.co/OmWjKsj4rz via @InaFried http://t.co/…,Fri Mar 20 02:30:51 +0000 2015,en,25,False,0,False,,Jim Hornthal,Hornthal
Greetings from #TED2015! http://t.co/CojkBeijDd,Thu Mar 19 04:49:44 +0000 2015,en,0,False,2,False,,Jim Hornthal,Hornthal
"Powerful and important video to get out the vote in upcoming Israeli elections produced by my friend, @OfirKedar https://t.co/ZYpyO1rsrO",Wed Feb 25 21:59:21 +0000 2015,en,0,False,0,False,,Jim Hornthal,Hornthal
@DanShine at the Palace of Fine Arts Centenary of the Pan Pacific Exposition #PPIE100 http://t.co/7BkCgw673X,Sat Feb 21 20:26:39 +0000 2015,en,1,False,1,False,,Jim Hornthal,Hornthal
Sweet outcome for @KraveJerky -- congrats to Jon Sebastiani and his team; @sgblank http://t.co/ksGeB1nFja,Mon Feb 02 22:23:26 +0000 2015,en,3,False,2,False,,Jim Hornthal,Hornthal
RT @AOAlfi: VC Rising:  Egypt -- some exciting news you don't typically hear on @CNN http://t.co/JBw2gqyuF4 by @cmschroed,Sun Feb 01 21:29:09 +0000 2015,en,4,False,0,False,,Jim Hornthal,Hornthal
"""I have no more campaigns to run ... I know because I won both of them"" @POTUS #perspective #SOTU #humor",Wed Jan 21 03:08:23 +0000 2015,en,0,False,2,False,,Jim Hornthal,Hornthal
Think you can live on $15K a year?  #TryIt #SOTU How is this #Partisan ? Must be hard to stand &amp; clap when your butt's glued to your chair,Wed Jan 21 02:46:38 +0000 2015,en,9,False,7,False,,Jim Hornthal,Hornthal
RT @ZignalLabs: #SFO is the most complained about airport for flight delays. RT if your flight was delayed http://t.co/pXUlmWbJKb http://t.…,Wed Jan 14 23:29:18 +0000 2015,en,58,False,0,False,,Jim Hornthal,Hornthal
What we see in the new paradigm is displacement of depth by breadth. A good thing? @TheAtlantic http://t.co/ITXsY8ANt2 #CreativeEntrepreneur,Wed Jan 07 01:27:13 +0000 2015,en,0,False,0,False,,Jim Hornthal,Hornthal
Is this #progress? http://t.co/9V67OyxW61,Wed Jan 07 00:48:56 +0000 2015,en,1,False,0,False,,Jim Hornthal,Hornthal
"A wise man once said: My wish for you is this ""May the best of your past be the worst of your future"" #HappyNewYear",Thu Jan 01 18:01:20 +0000 2015,en,0,False,2,False,,Jim Hornthal,Hornthal
"""#Success is not final, #failure is not fatal.  It is the #courage to continue that counts."" Winston Churchill",Wed Dec 10 15:23:24 +0000 2014,en,0,False,2,False,,Jim Hornthal,Hornthal
How Big Companies can Accelerate #Innovation - #Entrepreneurship #LaunchPadCentral @sgblank http://t.co/ncgu9Dy7Mn,Tue Dec 09 16:19:49 +0000 2014,en,0,False,0,False,,Jim Hornthal,Hornthal
"""1 of the huge mistakes people make is they try to force an interest on themselves; u don't choose your passions; they choose u: Jeff Bezos",Mon Dec 08 23:51:24 +0000 2014,en,1,False,0,False,,Jim Hornthal,Hornthal
"Every time another execution process is added, corporate #innovation dies a little more @sgblank #entrepreneurship http://t.co/dwKPScMf1f",Sat Nov 22 10:57:59 +0000 2014,en,2,False,3,False,,Jim Hornthal,Hornthal
"RT @amandapalmer: NOW WE'RE UP! LIVE STREAMING NOW UP, BROADCASTING FROM SAN FRANCISCO! with special guest @armisteadmaupin soon! https://t…",Fri Nov 21 03:15:00 +0000 2014,en,104,False,0,False,,Jim Hornthal,Hornthal
"@jhagel Based on those metrics, I guess I am way ahead of plan!",Fri Nov 14 22:39:20 +0000 2014,en,0,False,1,False,,Jim Hornthal,Hornthal
"""If everything goes right, is the pearl worth the dive?"" #wisdom from General Catalyst's Joel Cutler at #PhoCusWright #InvestorInsights",Tue Nov 11 22:11:54 +0000 2014,en,1,False,1,False,,Jim Hornthal,Hornthal
Read it and reap ... @sgblank: Why Corporate Skunk Works Need to Die #Innovation #enetrepreneurship  http://t.co/Bqi05BfWMx,Tue Nov 11 16:52:10 +0000 2014,en,0,False,0,False,,Jim Hornthal,Hornthal
RT @ZignalLabs: Here’s our #Midterms2014 Share of Voice scoreboard for the top Senate races. Highest percentage goes to @joniernst. http://…,Tue Nov 04 19:52:39 +0000 2014,en,8,False,0,False,,Jim Hornthal,Hornthal
RT @fadig: Saudi Arabia's hate preachers must be silenced http://t.co/5szf1tLky1 via  @KhaledAlmaeena,Thu Oct 30 05:43:10 +0000 2014,en,4,False,0,False,,Jim Hornthal,Hornthal
"RT @saadventures: “@levynews: If Bumgarner were a startup, he'd be raising money at a $10 billion valuation, sources say.”",Thu Oct 30 05:42:15 +0000 2014,en,1,False,0,False,,Jim Hornthal,Hornthal
Setting up the camera at #WorldSeriesGame4 for Steve Perry #JourneyCam http://t.co/ycJGo63U7p,Sun Oct 26 02:44:16 +0000 2014,en,1,False,2,False,,Jim Hornthal,Hornthal
