Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@HigherLowz @StockTwits cc @scheplick @davepinke,Fri Apr 29 16:21:11 +0000 2016,und,0,False,0,False,,howardlindzon,howardlindzon
RT @StockTwits: The ability to mute comes to StockTwits. Here's what that means and how to use it: https://t.co/hKT7G8Jpy1,Fri Apr 29 16:15:19 +0000 2016,en,1,False,0,False,,howardlindzon,howardlindzon
Thanks Barron's ...Amazon dot bomb!  https://t.co/kCvw8y8cvQ,Fri Apr 29 16:15:14 +0000 2016,en,1,False,4,False,,howardlindzon,howardlindzon
"RT @StockTwits: Amazon's revenue growth

Q1 2012 - $13 BILLION
Q1 2013 - $16B
Q1 2014 - $19B
Q1 2015 - $22B
Today - $29B (!)

$AMZN: https:…",Fri Apr 29 14:44:47 +0000 2016,en,60,False,0,False,,howardlindzon,howardlindzon
"RT @StockTwits: Amazon web services is basically growing its revenues by $250 MILLION every 3 months: https://t.co/5dxDeGvGiX

$AMZN",Fri Apr 29 14:44:35 +0000 2016,en,26,False,0,False,,howardlindzon,howardlindzon
RT @StockTwits: Here are 29 of the best investors and traders to follow during earnings season: https://t.co/22oaOvtIXI,Fri Apr 29 14:44:20 +0000 2016,en,13,False,0,False,,howardlindzon,howardlindzon
"RT @StockTwits: Exxon is hitting new highs of the year today. That means it's now up 15% since 2016 started: https://t.co/ygIb1BXH5l

$XOM",Fri Apr 29 14:44:06 +0000 2016,en,7,False,0,False,,howardlindzon,howardlindzon
New post- 'Sparkfin updates... And the Constellation of Financial Apps' https://t.co/bYkiLIrjcr @sparkfin,Fri Apr 29 14:36:01 +0000 2016,en,2,False,4,False,,howardlindzon,howardlindzon
@Jderkack4 @StockTwits cc @scheplick,Fri Apr 29 14:03:23 +0000 2016,und,0,False,1,False,,howardlindzon,howardlindzon
@HumbleFutures yes,Fri Apr 29 03:52:46 +0000 2016,und,0,False,1,False,,howardlindzon,howardlindzon
RT @SparkFin: SparkFin 2.3 is now live with all new real-time stock alerts! Let us know what you think! https://t.co/SPIvwURIvs https://t.c…,Fri Apr 29 03:51:26 +0000 2016,en,4,False,0,False,,howardlindzon,howardlindzon
"RT @Borthwick: I built a personal chat bot — Why I love it, and you’ll love yours too ... https://t.co/GLALyu8YWe",Fri Apr 29 02:34:00 +0000 2016,en,4,False,0,False,,howardlindzon,howardlindzon
My daughter's 1 share of Amazon she bought last month is looking good tonight ... https://t.co/Z73JRe5VTT,Fri Apr 29 02:22:02 +0000 2016,en,4,False,24,False,,howardlindzon,howardlindzon
RT @AndySwan: After the bell I expect LinkedIn to report Monthly Average Annoyances up significantly.,Fri Apr 29 01:41:36 +0000 2016,en,20,False,0,False,,howardlindzon,howardlindzon
@AndySwan @LikeFolio nice call for sure.,Fri Apr 29 01:41:23 +0000 2016,en,0,False,2,False,,howardlindzon,howardlindzon
so good...add a banker  https://t.co/R5iYS2BDYJ,Fri Apr 29 01:38:33 +0000 2016,en,2,False,3,False,,howardlindzon,howardlindzon
The FTC is investigating Venmo ...which is another term for shakedown because the banks are unhappy https://t.co/ep1TsNC3aI $pypl,Fri Apr 29 01:35:50 +0000 2016,en,15,False,15,False,,howardlindzon,howardlindzon
Amazon Domination. 📦: https://t.co/1e75cn0x9F ... Such a great daily stock market email,Fri Apr 29 01:19:53 +0000 2016,en,4,False,6,False,,howardlindzon,howardlindzon
@RandyRandclaws he was at Swuare so he's smiling and crying at same time,Fri Apr 29 01:16:32 +0000 2016,en,1,False,0,False,,howardlindzon,howardlindzon
I like this Jelly iteration it's like Twitter 411 or 'Piggyback Twitter' if it's done right  https://t.co/HJED9oSCXs,Fri Apr 29 01:16:05 +0000 2016,en,1,False,2,False,,howardlindzon,howardlindzon
@chrismoodycom that's a cool moment dude.,Fri Apr 29 01:07:57 +0000 2016,en,0,False,1,False,,howardlindzon,howardlindzon
"Amazon, Facebook and Apple all reported now... This is the Best summary so far ... https://t.co/Ms7Dv9mj5a",Fri Apr 29 01:07:34 +0000 2016,en,20,False,50,False,,howardlindzon,howardlindzon
@chrismoodycom which one is Tim ?,Fri Apr 29 01:03:17 +0000 2016,en,0,False,0,False,,howardlindzon,howardlindzon
"RT @chrismoodycom: Thanks @tim_cook for a great chat. Next time lunch is on me, but it probably won't be as nice. War Eagle! https://t.co/j…",Fri Apr 29 01:03:07 +0000 2016,en,14,False,0,False,,howardlindzon,howardlindzon
New @SparkFin release is live and it's so good with notifications functionality for following lists https://t.co/ccx14tBd8U,Fri Apr 29 01:00:43 +0000 2016,en,1,False,7,False,,howardlindzon,howardlindzon
Excellent... Off the pray!!! https://t.co/z7OvHxiuBG,Thu Apr 28 22:53:21 +0000 2016,en,0,False,1,False,,howardlindzon,howardlindzon
"RT @ReformedBroker: ""Facebook is priced for perfection""

Heard at 30, 40, 50, 60, 70, 80, 90, 100, 110, 120.....",Thu Apr 28 22:51:57 +0000 2016,en,28,False,0,False,,howardlindzon,howardlindzon
@donsteele @gregisenberg focus!!,Thu Apr 28 22:40:16 +0000 2016,en,0,False,1,False,,howardlindzon,howardlindzon
Fully clothed ... For the record  https://t.co/UgCZCiwJqV,Thu Apr 28 22:12:37 +0000 2016,en,2,False,3,False,,howardlindzon,howardlindzon
Moon river .... https://t.co/lsZO0aafzN,Thu Apr 28 21:46:07 +0000 2016,en,0,False,2,False,,howardlindzon,howardlindzon
It's like @DraftKings for all your shit. Very cool  https://t.co/El0XtRIKdF,Thu Apr 28 21:41:50 +0000 2016,en,2,False,9,False,,howardlindzon,howardlindzon
Breaking ... Goldman Sachs people like to procreate  https://t.co/7yJ7Z74m2s,Thu Apr 28 21:02:36 +0000 2016,en,0,False,5,False,,howardlindzon,howardlindzon
@dlcunnin he's mumbling about being long Twitter. I'm officially nervous,Thu Apr 28 20:58:31 +0000 2016,en,0,False,0,False,,howardlindzon,howardlindzon
@theyearofelan I'm holding a picture of you,Thu Apr 28 20:53:29 +0000 2016,en,0,False,0,False,,howardlindzon,howardlindzon
My urologist just walked in wearing an Intel clean room suit ...,Thu Apr 28 20:51:06 +0000 2016,en,0,False,3,False,,howardlindzon,howardlindzon
@JordanChazin yes. Thanks. What if he makes that joke?,Thu Apr 28 20:47:50 +0000 2016,en,0,False,0,False,,howardlindzon,howardlindzon
I'm off to the urologist ...any tips?,Thu Apr 28 20:46:39 +0000 2016,en,0,False,1,False,,howardlindzon,howardlindzon
'Put Tim Cook on Hold' - JEFF Bezos ht @upsidetrader,Thu Apr 28 20:25:42 +0000 2016,en,1,False,5,False,,howardlindzon,howardlindzon
Overheard ...Jeff Bezos on his non periscoped #Amazon  https://t.co/rzQuDkM2ff,Thu Apr 28 20:12:57 +0000 2016,en,2,False,11,False,,howardlindzon,howardlindzon
Facebook is a country...Twitter is a city....more important for markets that cities doing well and they are not!  ...market sells off $SPY,Thu Apr 28 19:27:57 +0000 2016,en,1,False,11,False,,howardlindzon,howardlindzon
RT @dtelepathy: Congrats to our client @sparkfin for an awesome feature article in @xconomy on the future of #fintech – https://t.co/Rs7J4W…,Thu Apr 28 19:15:59 +0000 2016,en,4,False,0,False,,howardlindzon,howardlindzon
"RT @StockTwits: No other tech company spends more on R&amp;D than Amazon.

Fact via @OphirGottlieb: https://t.co/CUWEU5YXcQ

$AMZN https://t.co…",Thu Apr 28 19:14:55 +0000 2016,en,23,False,0,False,,howardlindzon,howardlindzon
"RT @StockTwits: Facebook hit new all-time highs at $120.79/share. Its market cap is now $335 billion.

$FB: https://t.co/xfjL0QtnhD https:/…",Thu Apr 28 19:14:47 +0000 2016,en,45,False,0,False,,howardlindzon,howardlindzon
"RT @StockTwits: The big difference between $AAPL's last earnings report and the others.

Shared via: https://t.co/Qtdw9OHn9b https://t.co/u…",Thu Apr 28 19:14:40 +0000 2016,en,34,False,0,False,,howardlindzon,howardlindzon
