Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @flurrylive: #Flurry is a live streaming app that allows you to interact with your favorite talent! Coming soon. https://t.co/5vRlLNU0Sg,Sat Mar 12 22:49:17 +0000 2016,en,23,False,0,False,,Jeff Fluhr,jefffluhr
"RT @davidrocknyc: who's watching ??? 
https://t.co/CIq4KbOlU6 https://t.co/sJMfBMGLql",Sat Feb 27 06:56:29 +0000 2016,en,7,False,0,False,,Jeff Fluhr,jefffluhr
Climate Change and Peacebuilding with the Center for Security Governance: https://t.co/HoxuQcTt6t,Fri Feb 26 17:49:05 +0000 2016,en,1,False,2,False,,Jeff Fluhr,jefffluhr
GaryVee Live Now for 8 HOURS!!  3 hours left to go.  Check it out. https://t.co/B1PHE4gI8W,Tue Feb 23 19:52:16 +0000 2016,en,0,False,3,False,,Jeff Fluhr,jefffluhr
@MartinShkreli LIVE now: https://t.co/HOvQTq5EaR via @Spreecast,Thu Feb 18 03:39:31 +0000 2016,en,0,False,1,False,,Jeff Fluhr,jefffluhr
@NiceChadDahc @spreecast @ElisaJordana unfortunately we're not going to have that in the next 4 months.  Not sure about after that.,Sun Feb 14 23:11:52 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"@MartinShkreli with 2000+ live viewers, LIVE NOW: WHERE IS MY MONEY https://t.co/vn832uHW3I",Sun Feb 14 07:34:27 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@GhostfaceKillah will you join @MartinShkreli live on @Spreecast for a head-to-head debate?  He's in - let me know if you're in too.,Fri Feb 12 06:06:10 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@MartinShkreli LIVE NOW on @Spreecast: https://t.co/yTvB1fZec1,Fri Feb 12 06:01:57 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"@martinshkreli says most pharma CEOs don't know anything about chemistry, LIVE NOW:  https://t.co/8r9lnlg3v5 via @Spreecast",Sun Feb 07 18:08:14 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@MartinShkreli still going live: https://t.co/AE5Mdf40GG via @Spreecast,Sun Feb 07 02:36:42 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@MartinShkreli live now: https://t.co/MzxpOevpLK,Sat Feb 06 22:29:27 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Martin Shkreli LIVE NOW: https://t.co/4Zhk3MX67r via @Spreecast,Fri Feb 05 22:08:58 +0000 2016,en,2,False,4,False,,Jeff Fluhr,jefffluhr
@MatthewSantoro I have an opportunity I want to talk to you about.  DM me and I'll send you more info.,Wed Jan 27 05:15:29 +0000 2016,en,0,False,0,False,,Jeff Fluhr,jefffluhr
These guys have an awesome team. https://t.co/XOyjdLKiYS,Wed Jan 13 22:05:56 +0000 2016,en,2,False,6,False,,Jeff Fluhr,jefffluhr
@tonyknopp @StubHub thanks tony.  you were one of the great hires.,Tue Jan 05 03:23:06 +0000 2016,en,0,False,2,False,,Jeff Fluhr,jefffluhr
Photography with @peter_hurley @HeadshotCrew #onthefy #CrewCast https://t.co/HUZikWIzx6,Tue Dec 15 00:09:11 +0000 2015,en,0,False,3,False,,Jeff Fluhr,jefffluhr
Heart Valve Disease Treatment on #Spreecast https://t.co/cnGCz6hlCY,Sat Dec 12 19:55:27 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
Gamification with Quantic Foundry https://t.co/uDwJUHd9fw via @Spreecast,Thu Dec 10 18:25:12 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Holiday Chat About Underage Drinking  https://t.co/ui8CGuhrap via @Spreecast,Wed Dec 09 01:03:47 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Check out The Age of Clinton—America in the 1990s on #Spreecast https://t.co/FQJmly2XFH https://t.co/jeSlp5ESPn,Sat Dec 05 06:34:01 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Watching LIVE on #Periscope: @johnledger meeting Bruno https://t.co/qTLnzUftlw,Wed Nov 11 05:45:58 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"@mykai love the periscope show.  follow me, so we can dm.  i'd like to discuss opportunity with you.",Tue Nov 10 06:53:11 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
Wiretapped: LIVE with Damon Dash https://t.co/EYxEZWiYgs https://t.co/q2zz74CPeL,Thu Oct 22 23:53:45 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
Check out Wiretapped: LIVE with Damon Dash  on #Spreecast https://t.co/rJS1xQDCgh https://t.co/mdoB3RW0ET,Thu Oct 22 23:00:11 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
#NaNoPrep 2015: A Prep Workshop http://t.co/PedglVrj90 via @Spreecast,Wed Oct 14 23:22:31 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Becky from Big brother Slumber Party Live Now on #Spreecast http://t.co/nmuuVhFX96 http://t.co/kIzAKAf4DA,Sun Oct 11 00:15:54 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"Libertarian? Q&amp;A with Tom Woods, LIVE NOW: http://t.co/LebOSxB02B",Tue Oct 06 02:31:21 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
RT @thegoldpatrol: #BREAKING 10 dead in shooting at Oregon college https://t.co/7KFC63R5If,Thu Oct 01 18:29:17 +0000 2015,en,4,False,0,False,,Jeff Fluhr,jefffluhr
RT @get_room: @hunterwalk Give Room a try. iOS https://t.co/yQJDPl8V5W Android https://t.co/bxxKjxSSl9 Web http://t.co/BBd56SWZL6 http://t.…,Wed Sep 30 00:46:51 +0000 2015,en,2,False,0,False,,Jeff Fluhr,jefffluhr
BYU quarterback Tanner Mangum with ESPN: Week 4 kickoff Show on #Spreecast http://t.co/B4F8s3sNdg http://t.co/Ksmwaqxdoh,Thu Sep 24 19:13:23 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"@aliciabeige wasn't going to announce @get_room until October, but thought today was a good opportunity since people are in need!",Mon Sep 21 16:17:43 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"@aliciabeige Read your article about #SkypeDown.  Check out @get_room as an alternative: video communication across iOS, Android &amp; browsers.",Mon Sep 21 16:16:12 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"Boston College Coach, Steve Addazio, LIVE NOW: http://t.co/AJAnpPI15x via @Spreecast",Wed Sep 16 17:06:34 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
|LIVE NOW|  #meerkat http://t.co/OC53ShhgLM,Wed Sep 16 05:43:09 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
RT @bronk: On the @ElisaJordana show the SANDWICH GAME!!!! 7pm RSVP http://t.co/Q8neA5utus …,Thu Sep 10 22:50:14 +0000 2015,en,2,False,0,False,,Jeff Fluhr,jefffluhr
College Football with @ESPN - ACC Show: Week 2 http://t.co/RGwEgsHJpp via @Spreecast,Wed Sep 09 17:09:49 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
College Football Week 1 http://t.co/0OWxBEhwrB,Thu Sep 03 17:03:02 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
How to invest in turbulent times on #Spreecast http://t.co/dy6M8kvbzK http://t.co/TgZM37bEVt,Thu Sep 03 16:07:37 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"@BorrisSpassky @ElisaJordana @KermitFriends if you go to the profile page for Kermit and Friends, you'll get a chronological list",Wed Sep 02 20:30:04 +0000 2015,en,1,False,3,False,,Jeff Fluhr,jefffluhr
"Gamification expert, Gabe Zicherman, and Jane McGonigal discuss the science of games http://t.co/LQuUSwnY47 via @Spreecast",Tue Sep 01 17:05:08 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
#TagboardWebinar http://t.co/pdJCRbjb0X,Tue Sep 01 06:44:05 +0000 2015,und,0,False,0,False,,Jeff Fluhr,jefffluhr
You Got It Made With Eytan Mirsky ep6 on http://t.co/JELHVQrriL http://t.co/c9GLMLA8fc,Sat Aug 29 01:17:54 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Gamification with KLM Airlines http://t.co/k2oZXbozT1,Thu Aug 27 17:14:12 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Come Back Kelly And Nichole http://t.co/imfkznrxc1 http://t.co/yhglJ6m4PY,Wed Aug 26 23:59:22 +0000 2015,en,6,False,7,False,,Jeff Fluhr,jefffluhr
Check out The Gold Patrol: News Murder and more on #Spreecast http://t.co/m7NsthIv9z http://t.co/Fwk7fCRgf0,Wed Aug 26 23:50:22 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
Live Q&amp;A with Haylie Pomroy - August 25 http://t.co/RrwgieLQnW via @Spreecast,Tue Aug 25 20:03:54 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"RT @rupertmurdoch: With Trump becoming very serious candidate, it's time for next billionaire candidate, Mike Bloomberg to step into ring. …",Mon Aug 24 03:52:52 +0000 2015,en,643,False,0,False,,Jeff Fluhr,jefffluhr
ESPN MLB Daily Fantasy Live Episode 36 http://t.co/UJ97815E8I via @Spreecast,Wed Aug 19 22:01:28 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
RT @GrantCardone: |LIVE NOW| SOCIAL MEDIA TRICKS by Grant Cardone #meerkat http://t.co/z8rsATZ2FF,Fri Aug 14 23:58:46 +0000 2015,en,179,False,0,False,,Jeff Fluhr,jefffluhr
This guy is pretty good: http://t.co/aTndNAgyuH,Sat Aug 08 01:35:38 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
RT @spreecast: Cancer and the Heart http://t.co/ModNAZZnXv via @Spreecast,Thu Jul 30 16:33:51 +0000 2015,en,1,False,0,False,,Jeff Fluhr,jefffluhr
Brookings experts on Iran nuclear deal http://t.co/vZwJfHGegl via @Spreecast,Thu Jul 16 05:32:57 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
"@JanesMike @skasriel @get_room @Upwork thanks, mike!",Tue Jul 14 20:44:37 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
RT @get_room: 🎉Pleased to announce that @get_room is integrated into @Upwork! 🎊Check out the new video calling feature! 🎈 http://t.co/lCjCk…,Tue Jul 14 06:36:27 +0000 2015,en,1,False,0,False,,Jeff Fluhr,jefffluhr
RT @benrbn: |LIVE NOW| In the ball pit! #meerkat http://t.co/9MnrkekroE,Wed Jul 08 18:12:13 +0000 2015,en,26,False,0,False,,Jeff Fluhr,jefffluhr
Sick rainbow at Levi's stadium tonight.  #GratefulDead http://t.co/9lkZsHsz9r,Sun Jun 28 03:41:23 +0000 2015,en,3,False,13,False,,Jeff Fluhr,jefffluhr
Questions about Lung Cancer Prevention and Treatment?  http://t.co/AWXoRDSkEr via @Spreecast,Thu Jun 25 15:55:39 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@mitchjackson @chrislema love it!  Happy Father's Day!,Sun Jun 21 23:53:19 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
"Big Brother 17 Draft With Sarah, Willow &amp; Jordan on #Spreecast http://t.co/rl9vC0Qt3E http://t.co/pvCqKxT0lg",Sat Jun 20 17:15:22 +0000 2015,en,1,False,0,False,,Jeff Fluhr,jefffluhr
15 Foods That Cause Weight Gain http://t.co/TgVlz8lWL2 http://t.co/m178IBmPdJ,Fri Jun 19 01:17:06 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
Senator Gillibrand: LIVE NOW. http://t.co/QHF7ULbwI7 via @Spreecast,Thu Jun 11 23:04:02 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
Bryan Kramer CEO of PureMatter http://t.co/QGzmgpOOf3 via @Spreecast,Wed Jun 03 22:30:32 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
ESPN NBA Episode 139 http://t.co/h3ZM9qXlch via @Spreecast,Thu May 28 18:43:34 +0000 2015,es,0,False,0,False,,Jeff Fluhr,jefffluhr
The Cavs are going to the NBA FInals! http://t.co/Dnqt03Plrg via @Spreecast,Thu May 28 00:58:57 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@PTXofficial Pentatonix LIVE NOW: http://t.co/uGh6QPO2zX via @Spreecast,Thu May 21 19:48:39 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
"NFL Hall of Fame Quarterback Jim Kelly with daughter, Erin http://t.co/qZlhlItkD4 via @Spreecast LIVE NOW",Wed May 20 17:15:54 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
"""The Media Industry in the Digital Age"" brookings institute on #Spreecast http://t.co/60P3BB4TpX http://t.co/8F10gIuFrb",Tue May 19 19:26:41 +0000 2015,en,0,False,3,False,,Jeff Fluhr,jefffluhr
@NatalieZfat @spreecast Great seeing you!,Wed May 13 19:18:34 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
"Cavs, Tom Brady and more: http://t.co/R4yTeHYXcg",Tue May 12 00:59:14 +0000 2015,en,2,False,1,False,,Jeff Fluhr,jefffluhr
Jeff Fridays: The Bridge Burner on #Spreecast http://t.co/0YgpavkwGv,Sat May 09 01:39:05 +0000 2015,en,3,False,1,False,,Jeff Fluhr,jefffluhr
@tczig @spreecast we offer downloading as a paid feature.,Tue Apr 28 05:18:45 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@elisajordana is talented: http://t.co/eHSYBbVAJw via @Spreecast,Mon Apr 20 05:13:39 +0000 2015,en,6,False,7,False,,Jeff Fluhr,jefffluhr
RT @norasegura: |LIVE NOW| #Spa #CasaNora #ForLife @norasegura #Meerkat @appmeerkat  #meerkat http://t.co/rTEe1GVw5N,Thu Apr 09 05:21:27 +0000 2015,en,82,False,0,False,,Jeff Fluhr,jefffluhr
"We're hiring mobile engineers for @spreecast and @get_room: http://t.co/zqbmJr6YzO
http://t.co/52fWVZuiez",Tue Mar 31 03:05:42 +0000 2015,en,2,False,3,False,,Jeff Fluhr,jefffluhr
"RT @JohnLegere: @davidmoble @ElisaJordana nice to meet you ""next Kate Upton""",Sun Mar 29 23:19:31 +0000 2015,en,8,False,0,False,,Jeff Fluhr,jefffluhr
@mattmedeiros it's ok.  I'm not offended.,Fri Mar 27 03:56:17 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
@JeremyShure @periscopeco can't wait!,Fri Mar 27 03:54:34 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
"The Brookings Institution: Girls, Boys, and Reading http://t.co/6drlq5rxFQ via @Spreecast",Thu Mar 26 18:23:01 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
How The Archbishop Overcame a Stutter: http://t.co/vt63TgDExQ via @Spreecast,Wed Mar 25 05:32:39 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
Crying http://t.co/W00FDEohKl via @Spreecast,Fri Mar 20 03:42:46 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@jsneedles Hey gys,Fri Mar 20 03:08:11 +0000 2015,lt,0,False,0,False,,Jeff Fluhr,jefffluhr
Dance Party: http://t.co/oAGw6gqt10 via @Spreecast,Thu Mar 19 04:48:38 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
|LIVE NOW| #meerkat http://t.co/SHHS4Jur7N,Thu Mar 19 03:42:32 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@mikeelgan Cool,Tue Mar 17 17:50:25 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
"RT @crowntownguy: If @TechCrunch has so many problems w/ @Skype, why not use @SlackHQ and an integration like @get_room? http://t.co/pPf0No…",Fri Mar 13 16:30:49 +0000 2015,en,3,False,0,False,,Jeff Fluhr,jefffluhr
Interview With The Bachelor Girls! on #Spreecast http://t.co/Fj4wqSnfgW http://t.co/tmBFtP4nZZ,Wed Mar 11 01:56:45 +0000 2015,en,1,False,1,False,,Jeff Fluhr,jefffluhr
Don't Text That Man! on #Spreecast http://t.co/RJnWhS7FNA http://t.co/3DoddkFJZs,Wed Mar 11 01:55:18 +0000 2015,en,0,False,2,False,,Jeff Fluhr,jefffluhr
|LIVE NOW|  - #meerkat http://t.co/zrcVZG0t6i,Sun Mar 08 19:27:46 +0000 2015,en,2,False,1,False,,Jeff Fluhr,jefffluhr
Measuring Education Advocacy  http://t.co/R545y5ZmWH via @Spreecast,Wed Mar 04 19:41:32 +0000 2015,en,2,False,0,False,,Jeff Fluhr,jefffluhr
@ElisaJordana This is actually pretty funny: Chicken Soda http://t.co/evRwxGGkO4,Wed Mar 04 02:55:52 +0000 2015,en,1,False,0,False,,Jeff Fluhr,jefffluhr
"Super proud of my good friend Jake Lief @Ubuntujakes and his new book ""I am Because You Are"" http://t.co/xIKe5bsl8Q",Tue Mar 03 20:37:12 +0000 2015,en,3,False,2,False,,Jeff Fluhr,jefffluhr
RT @ElisaJordana: Live again !! Come on down! http://t.co/T87Bjbu7iZ,Tue Mar 03 04:26:08 +0000 2015,en,4,False,0,False,,Jeff Fluhr,jefffluhr
@saastr anyone? SaaStr-Live! http://t.co/Bx9AvNVftq via @Spreecast,Fri Feb 27 22:25:15 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
RT @tiffanymadison: Debating the potential solution to the Islamic State. Join us at Bourbon &amp; Bitches live before I go on a rant to... htt…,Wed Feb 25 04:04:16 +0000 2015,en,3,False,0,False,,Jeff Fluhr,jefffluhr
@ElisaJordana @DocIvanSFN @karonskaos Sorry I missed you today!  Hope it was fun.,Wed Feb 25 02:50:52 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
Check out Brookings experts on AUMF against ISIS on #Spreecast. Tmrw at 8am pacific. http://t.co/msTmIapGFU,Tue Feb 24 05:37:16 +0000 2015,en,2,False,0,False,,Jeff Fluhr,jefffluhr
@ElisaJordana thanks Kermit.  Its ok that you have a boy's name.,Fri Feb 20 00:27:30 +0000 2015,en,1,False,1,False,,Jeff Fluhr,jefffluhr
@webjoe @googleanalytics @nremington @mnaficy Hi Joseph!  Thanks for the shout out!,Thu Feb 19 23:25:39 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
Bitcoin: The People's Money http://t.co/sfFgvYuUn7 via @Spreecast,Thu Feb 19 02:16:53 +0000 2015,en,3,False,2,False,,Jeff Fluhr,jefffluhr
"RT @petervangrieken: I know everybody’s in love with Slack, but Flowdock’s integration with Room is a killer feature: http://t.co/GyQeQVseIg",Thu Feb 12 04:06:30 +0000 2015,en,4,False,0,False,,Jeff Fluhr,jefffluhr
@davidmizne I think you are missing some fundamental economics.  Stubhub actually makes concerts and sports accessible for millions.,Wed Jan 28 15:15:48 +0000 2015,en,0,False,0,False,,Jeff Fluhr,jefffluhr
@clippersteveb you're a great dancer! @espn @AminESPN @TrueHoopTV http://t.co/g0CU7dbrsA via @Spreecast,Fri Jan 09 06:39:25 +0000 2015,en,0,False,1,False,,Jeff Fluhr,jefffluhr
