Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
9 Things You Need to Stop Expecting From Others @LollyDaskal  https://t.co/lWY0W3Oadg via @Inc,Fri Apr 29 20:14:52 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
"I can't sleep, but this guy can. #sloth #sketching #drawing #insomnia
https://t.co/HIB22mP4bP",Fri Apr 29 08:30:41 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
One of the best Tumblrs out there. #2kindsofpeople https://t.co/bqdXp8o1YD,Fri Apr 29 05:55:59 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
"Media Planning Must Change in the Customer-Centric Digital Economy
 https://t.co/1IWD5d3AFd",Fri Apr 29 05:44:41 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
"This week's art/craft project = navy and white anchor seat cushion.
https://t.co/usFBtwgOlC",Fri Apr 29 05:33:00 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
RT @rklau: Old Silicon Valley proverb: May you live long enough for all your backed Kickstarter projects to ship,Fri Apr 29 05:27:51 +0000 2016,en,140,False,0,False,,Christina Brodbeck,jellyfishbloom
Why so many smart people aren't happy https://t.co/K5ehBG95uI,Tue Apr 26 20:30:05 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
Inside a tunnel made from packaging tape. #fleetsciencecenter #lotsofstatic #latergram https://t.co/WnHpJsSJI4,Sat Apr 23 05:44:37 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
@JeremyBenmoussa Hi! Just wrote you on Linkedin....,Sat Apr 23 05:40:23 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
"Enjoyable read about a writer, pondering how technology changes things, returning to his remote town. By @fimoculous https://t.co/BG33WI2ftp",Wed Apr 20 18:26:14 +0000 2016,en,0,False,3,False,,Christina Brodbeck,jellyfishbloom
RT @HeyDesigner: The Future of Design is Emotional https://t.co/sEDkjYYnQd https://t.co/ZpJicOAXPY,Tue Apr 19 06:35:51 +0000 2016,en,18,False,0,False,,Christina Brodbeck,jellyfishbloom
Your gut instincts are usually right; here's how to stop second-guessing yourself https://t.co/BThhTNVFzh by @LizFunk via @FastCompany,Tue Apr 19 06:22:46 +0000 2016,en,0,False,2,False,,Christina Brodbeck,jellyfishbloom
Perfect evening for a stroll... #moon #coronado https://t.co/VsMoXm78vb,Tue Apr 19 06:17:57 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
The Engineer’s Guide to Tea Preparation https://t.co/wkDFfZwBza,Tue Apr 19 00:22:44 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
"RT @tejaltshah: ""Don't let anyone rent space in your heads for free."" - @AmyJoMartin on advice to her younger self. #gitcatalyst https://t.…",Mon Apr 18 23:47:05 +0000 2016,en,5,False,0,False,,Christina Brodbeck,jellyfishbloom
"""The goal is to deliver something that will feel like magic to the biggest audience possible."" YT Live 360  https://t.co/Qr6adkVNi9",Mon Apr 18 20:54:55 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
"RT @mental_floss: In 1986, Apple Launched a Clothing Line — https://t.co/9KV9fpV0bA https://t.co/UYMQ7v4zL8",Sun Apr 17 03:28:40 +0000 2016,en,41,False,0,False,,Christina Brodbeck,jellyfishbloom
Trolling... (at the Coronado Flower Show) https://t.co/YOVDfsDst2,Sun Apr 17 03:12:02 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
"RT @SusanSarandon: ""Read the speech Bernie Sanders gave at the Vatican"" https://t.co/ghsEsjf2GF via @TIMEPolitics",Sat Apr 16 00:11:49 +0000 2016,en,358,False,0,False,,Christina Brodbeck,jellyfishbloom
"""In an unexpected twist, we may even find that recognizing our luck increases our good fortune."" https://t.co/73onzC7VaF",Fri Apr 15 23:03:12 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
RT @chicagobulls: Congratulations @warriors on your historic season. #Respect,Thu Apr 14 07:52:07 +0000 2016,en,5243,False,0,False,,Christina Brodbeck,jellyfishbloom
RT @StephenCurry30: Tonight was special. #73. We did something thats never been done in the History of the league. Together. So... https://…,Thu Apr 14 07:50:11 +0000 2016,en,35269,False,0,False,,Christina Brodbeck,jellyfishbloom
"RT @thoughtwax: I wrote about how roles in design teams change over time, and the one attribute that all great designers share: https://t.c…",Tue Apr 12 19:19:37 +0000 2016,en,11,False,0,False,,Christina Brodbeck,jellyfishbloom
"Auto-Code by @framerjs looks rad! So rad I might get sucked in to the point of sitting in front of my computer all day, in pjs, playing.",Tue Apr 12 18:46:46 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
Hold and cold. This was delicious. Yum. #chilisauce #chilipowder #chamoy #icecream #neveriatocumbo https://t.co/8TBXOAvrzP,Tue Apr 12 06:50:59 +0000 2016,en,0,False,0,False,,Christina Brodbeck,jellyfishbloom
RT @browndamon: This Brene Brown Emotional Intelligence Quote Will Transform Your Strategy @inc @brenebrown https://t.co/S0gMnrVYKt https:/…,Mon Apr 11 21:17:37 +0000 2016,en,1,False,0,False,,Christina Brodbeck,jellyfishbloom
Cool to see @matterport sharing historical gems like Iolani Palace &amp; the Iraqi Nat. Museum https://t.co/b1fIAEAZU8 &amp; https://t.co/rxj96isOoq,Sat Apr 09 06:29:31 +0000 2016,en,0,False,2,False,,Christina Brodbeck,jellyfishbloom
Inspired by all of the wonderful women here at #pinnacleproject. Thanks @ShannaWP for the great event! #womeninvc #deervalley,Fri Apr 08 21:42:40 +0000 2016,en,1,False,3,False,,Christina Brodbeck,jellyfishbloom
Mayvenn's @DiishanImira will be joining #BESummit to talk about how to navigate your niche. Register https://t.co/v3FpHbYpbk,Fri Apr 08 21:32:42 +0000 2016,en,1,False,2,False,,Christina Brodbeck,jellyfishbloom
"Awesome! ""Chatty fiction app Hooked gets an update where readers can write stories, too"" https://t.co/mB5TGaWADN cc @hooked @prernagupta",Fri Apr 08 20:48:32 +0000 2016,en,0,False,1,False,,Christina Brodbeck,jellyfishbloom
