Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @pagerduty: .@PagerDuty ranks #1 in @Forbes list of 'The Seven Apps Every Executive Should Have'! Check out the article here: https://t.…,Tue Apr 05 16:06:34 +0000 2016,en,12,False,0,False,,Jesse Robbins,jesserobbins
RT @ampledata: As many people started at @OrionLabs this week as worked here 2 years ago! Amazing to see our growth.,Tue Apr 05 00:03:40 +0000 2016,en,3,False,0,False,,Jesse Robbins,jesserobbins
Excited about David's new report on Machine Intelligence!  https://t.co/XKVNrumxky,Mon Apr 04 16:07:38 +0000 2016,en,0,False,2,False,,Jesse Robbins,jesserobbins
"RT @leftbyte: Orion Onyx, fits all your needs. https://t.co/dC9lObyCCr",Thu Mar 31 23:52:39 +0000 2016,en,1,False,0,False,,Jesse Robbins,jesserobbins
"RT @joshu: oh yes, this is accurate. https://t.co/6WfkRC0ciO",Thu Mar 31 14:59:48 +0000 2016,en,5,False,0,False,,Jesse Robbins,jesserobbins
"@jbabbcomics how hard can it be? I mean, really.",Tue Mar 29 19:01:37 +0000 2016,en,0,False,1,False,,Jesse Robbins,jesserobbins
RT @ZephyrusBio: The Zephyrus Z1 instrument made an appearance in the opening scene of Grey's Anatomy last night (S12 E15)! https://t.co/Kp…,Mon Mar 28 22:51:53 +0000 2016,en,3,False,0,False,,Jesse Robbins,jesserobbins
"RT @ampledata: In Las Vegas for @IWCEexpo #IWCE2016 Let's talk about @OrionLabs Voice Platform for wearables, the future of voice apps, bot…",Wed Mar 23 16:48:30 +0000 2016,en,4,False,0,False,,Jesse Robbins,jesserobbins
"3 years ago @ampledata &amp; I started on voice + wearables + agents, people asked ""isn't voice dead?"" Now it is ""can we get API access?"" ;-)",Wed Mar 23 16:38:50 +0000 2016,en,2,False,11,False,,Jesse Robbins,jesserobbins
RT @allspaw: Outage response is a messy and beautiful dance of abductive reasoning. https://t.co/2e6ULXf4rk,Tue Mar 22 14:40:37 +0000 2016,en,50,False,0,False,,Jesse Robbins,jesserobbins
@jeffbarr awesome!,Mon Mar 21 20:28:16 +0000 2016,en,0,False,1,False,,Jesse Robbins,jesserobbins
"RT @jeffbarr: VoiceOps is here - ""Alexa what's the instance count?"" https://t.co/0ZRnyQijyg https://t.co/AcJUcKWp1v",Mon Mar 21 20:28:05 +0000 2016,en,79,False,0,False,,Jesse Robbins,jesserobbins
@xek bigger magnet?,Sun Mar 20 20:37:09 +0000 2016,en,0,False,0,False,,Jesse Robbins,jesserobbins
@harper no.,Sun Mar 20 01:47:57 +0000 2016,und,0,False,0,False,,Jesse Robbins,jesserobbins
@stubbornella obfuscated CSS?,Thu Mar 17 22:37:20 +0000 2016,en,0,False,0,False,,Jesse Robbins,jesserobbins
"@JosephPred tell @carnivillain I'm still at the office. ;-) Yes, considered, ultimately came down to other integrations.",Thu Mar 17 05:14:05 +0000 2016,en,0,False,0,False,,Jesse Robbins,jesserobbins
@JosephPred Have tried Hellosign.,Thu Mar 17 04:56:55 +0000 2016,en,0,False,0,False,,Jesse Robbins,jesserobbins
"A disturbingly San Francisco take on Edward Hopper's ""Nighthawks"". https://t.co/2JvF8ctFZY",Thu Mar 17 04:18:12 +0000 2016,en,2,False,6,False,,Jesse Robbins,jesserobbins
@grasspunk thanks!,Wed Mar 16 23:39:40 +0000 2016,en,0,False,0,False,,Jesse Robbins,jesserobbins
@monkchips hey! I decided infrastructure wasn't hard enough... So now infra + messaging + IoT + bots for consumers @OrionLabs :-),Wed Mar 16 21:46:51 +0000 2016,en,0,False,1,False,,Jesse Robbins,jesserobbins
RT @MarineScience: Dr. Simon J Pierce’s photo of a pregnant whale shark could also be a scientific breakthrough: https://t.co/pRhfREDwwZ @s…,Wed Mar 16 18:47:00 +0000 2016,en,12,False,0,False,,Jesse Robbins,jesserobbins
@grasspunk Can I have his autograph?,Wed Mar 16 14:38:14 +0000 2016,en,0,False,1,False,,Jesse Robbins,jesserobbins
RT @OrionLabs: In case you missed it: Here's a shot from the great #futuretalk panel earlier today at #SXSW https://t.co/t2iUWfLe6M,Tue Mar 15 03:10:04 +0000 2016,en,1,False,0,False,,Jesse Robbins,jesserobbins
"Accidentally left the shopify notifications on... ""Where is that cash-register sound coming from""? Oh... It's me. :-)",Mon Mar 14 22:31:25 +0000 2016,en,1,False,6,False,,Jesse Robbins,jesserobbins
"RT @OrionLabs: The new Onyx is here, and it's better than ever: 
https://t.co/Gx3XhgNVX9 #StayInTheMoment https://t.co/BwyMWFIayu",Mon Mar 14 22:16:15 +0000 2016,en,14,False,0,False,,Jesse Robbins,jesserobbins
At @ignitetalks #SXSW in 10AB w/ @brady @drjennyrooke and a bunch of other awesome people! https://t.co/DFNnSiIczM,Mon Mar 14 22:10:52 +0000 2016,en,0,False,3,False,,Jesse Robbins,jesserobbins
@laviematerielle glad you liked our session!,Mon Mar 14 20:53:12 +0000 2016,en,0,False,0,False,,Jesse Robbins,jesserobbins
"Demo the tech from ""HAL to Her"" #futuretalk session yet? Come to @OrionLabs booth 943 today #SXSW https://t.co/8GSVWwd1vv",Mon Mar 14 19:54:38 +0000 2016,en,0,False,10,False,,Jesse Robbins,jesserobbins
Glad you liked the panel! @SayCaitlin @luxelife @timothyjordan @realDavidAustin,Sat Mar 12 02:26:15 +0000 2016,en,0,False,3,False,,Jesse Robbins,jesserobbins
Thanks for having me! https://t.co/i2NTd5Xuf0,Fri Mar 11 17:31:09 +0000 2016,en,0,False,3,False,,Jesse Robbins,jesserobbins
"@chrisfhoward You are gong to love them! Using mine right now, actually.",Thu Mar 10 18:13:28 +0000 2016,en,0,False,1,False,,Jesse Robbins,jesserobbins
@anildash also different than my experiences using radios in firefighting ... Only talk to the people you intend. No context switching.,Tue Mar 08 19:19:09 +0000 2016,en,0,False,0,False,,Jesse Robbins,jesserobbins
