Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @julleor: Butterfly Heaven Gate https://t.co/cPcYs3b3Ly,Sat Apr 30 03:37:31 +0000 2016,en,11,False,0,False,,John Maeda,johnmaeda
Kat Fukui’s “The Design Portfolio Workflow” illustrates how a designer+coder sees the world: https://t.co/CL8Bf3peM5 https://t.co/4HWIrjpOkn,Fri Apr 29 16:00:29 +0000 2016,en,5,False,41,False,,John Maeda,johnmaeda
"""To achieve scale in design, you need to design systems: Design the way you design."" —Katie Dill #DesignInTech https://t.co/kvmHb2Ygwv",Fri Apr 29 13:31:14 +0000 2016,en,131,False,213,False,,John Maeda,johnmaeda
"RT @Airbnbdesign: ""Is design thinking here to stay? Not only is it here to stay, it has always been."" -@emikolawole w/@johnmaeda https://t.…",Fri Apr 29 05:35:35 +0000 2016,en,43,False,0,False,,John Maeda,johnmaeda
"Thanks to Airbnb VP of Design Alex Schleifer (@alexoid), Katie Dill and team for hosting https://t.co/u3V5X70Yae SF. https://t.co/Gkspcfojpi",Fri Apr 29 05:06:32 +0000 2016,en,8,False,69,False,,John Maeda,johnmaeda
"“Design should be perceived as a profit center, not a cost center.” —Jackie Xu https://t.co/u3V5X70Yae https://t.co/sxWJCcuPCz",Fri Apr 29 05:01:18 +0000 2016,en,65,False,146,False,,John Maeda,johnmaeda
"RT @kpcb: ""Silicon Valley is becoming a better place for artists as boundaries btwn disciplines begin to blur. "" - @helena https://t.co/AE6…",Fri Apr 29 04:46:04 +0000 2016,en,55,False,0,False,,John Maeda,johnmaeda
Almost finished with special #DesignInTech preso for tonight’s KPCB x Airbnb SF gathering … https://t.co/jAvO0bYXVP,Thu Apr 28 22:24:24 +0000 2016,en,16,False,100,False,,John Maeda,johnmaeda
A warrior can’t be a worrier.,Thu Apr 28 20:28:40 +0000 2016,en,57,False,99,False,,John Maeda,johnmaeda
“Everything @littleBits is designed to be gender-neutral and accessible to all.” —Ayah Bdeir https://t.co/fIjY3e0o4j https://t.co/7MOJbQ8adO,Wed Apr 27 23:48:17 +0000 2016,en,74,False,132,False,,John Maeda,johnmaeda
RT @anildash: So glad to see @samjennings properly tell the story of Prince's history as a web innovator. https://t.co/uksjlrOgze,Wed Apr 27 21:38:45 +0000 2016,en,64,False,0,False,,John Maeda,johnmaeda
"“A startup is a breeding ground for learning skills, like the design of business.” —@KristyT https://t.co/TB2B2b6be0 https://t.co/6TLsHtkneU",Wed Apr 27 20:10:03 +0000 2016,en,20,False,52,False,,John Maeda,johnmaeda
“… technologies can mean different things to different people depending on their context.” https://t.co/greIbTCl1z https://t.co/BCGX3HGsKH,Wed Apr 27 19:10:34 +0000 2016,en,11,False,27,False,,John Maeda,johnmaeda
"Thanks to Katie Dill + Airbnb team for hosting https://t.co/u3V5X70Yae SF, with design legend Tom Suiter @goEnjoy https://t.co/DVrRWxzhSP",Wed Apr 27 18:58:50 +0000 2016,en,15,False,69,False,,John Maeda,johnmaeda
"Art is the inexplicable urge to manifest feeling, intent, or question as a specific experience outside the artist’s mind.",Wed Apr 27 16:09:48 +0000 2016,en,83,False,143,False,,John Maeda,johnmaeda
"RT @designdotco: Message left in Creative Code book back in 2004 to self in 2010, and six years late … https://t.co/sxY2YsJqgE",Wed Apr 27 16:02:21 +0000 2016,en,2,False,0,False,,John Maeda,johnmaeda
“ … a new generation of designers trained to blend technology and business.” —Hugo Sarrazin https://t.co/uoLS8B7yz5 https://t.co/8HgSUWdox5,Wed Apr 27 11:41:29 +0000 2016,en,62,False,120,False,,John Maeda,johnmaeda
The core idea in the emerging https://t.co/uDyV0SvmSR sketch is computational design and #LOOPS. https://t.co/ohkLIrnYk3,Wed Apr 27 11:05:15 +0000 2016,en,4,False,13,False,,John Maeda,johnmaeda
"“To the end of his life, [Kleiner] called himself an engineer.” https://t.co/FfmzpS8HGn https://t.co/WQjJI4QLiz",Wed Apr 27 10:50:54 +0000 2016,en,12,False,43,False,,John Maeda,johnmaeda
Balancing “What We Do Well” vs “What We Can Be Paid For” vs “What We Want To Do” https://t.co/76O7hadLgH https://t.co/QEotYT4Wa5,Wed Apr 27 02:19:22 +0000 2016,en,232,False,356,False,,John Maeda,johnmaeda
“He confers humanity and beauty on people told they’re innately without it.”—@TaNehisiCoates https://t.co/uXLDfEwKnQ https://t.co/huIPpDlW7Q,Tue Apr 26 22:58:26 +0000 2016,en,6,False,18,False,,John Maeda,johnmaeda
Thanks to folks near and far for coming to Edge’s in-app office hours (powered by Slack): https://t.co/IJVtr9JGsw https://t.co/XyGVvzpnKW,Tue Apr 26 17:07:59 +0000 2016,en,8,False,33,False,,John Maeda,johnmaeda
“Knowledge of a subject means knowledge of the *language* of that subject.” —Paul Rand (1914-1996) https://t.co/ftBTbuPY8Q,Tue Apr 26 01:24:39 +0000 2016,en,47,False,89,False,,John Maeda,johnmaeda
I will be hosting office hours with @kpcb_edge tomorrow 4/26 at 9 am PT from within Edge’s app: https://t.co/IJVtr9JGsw,Tue Apr 26 01:05:20 +0000 2016,en,9,False,17,False,,John Maeda,johnmaeda
"RT @AIGAdesign: ""If you have less things, they need to be great""—@johnmaeda #designquote by @biancawendtltd https://t.co/w8HGH15B12 https:/…",Mon Apr 25 17:59:20 +0000 2016,en,61,False,0,False,,John Maeda,johnmaeda
"“Leaders don’t invent motivation in their followers, they unlock it. They work with what is there.” —John W. Gardner https://t.co/KA4Pj0HewX",Mon Apr 25 02:06:29 +0000 2016,en,39,False,75,False,,John Maeda,johnmaeda
“It’s so important to find both a design and engineering partner in the early team.” —@EnriqueAllen https://t.co/cZyTGnXSUo,Mon Apr 25 00:39:51 +0000 2016,en,22,False,41,False,,John Maeda,johnmaeda
“The tilt toward electronic asynchrony will have increasingly dramatic effects upon urban life and form.” (WJM 1996) https://t.co/XLqU2BxyAj,Mon Apr 25 00:30:15 +0000 2016,en,5,False,8,False,,John Maeda,johnmaeda
"Eighteen years later, it’s now all coming back. Bill Mitchell (1944-2010) started it all. https://t.co/GmlVCwhIi2 https://t.co/a1RDDxszy9",Mon Apr 25 00:16:01 +0000 2016,en,6,False,33,False,,John Maeda,johnmaeda
Found Design By Numbers (1999) by accident today – marks my return to computational design. https://t.co/OQVQzIZjYV https://t.co/IoJRGAH3h3,Sun Apr 24 22:07:38 +0000 2016,en,9,False,32,False,,John Maeda,johnmaeda
"“Compartmentalists, people good at only one thing, are going to find themselves in real career trouble.” —@jmspool https://t.co/LQBsrrYdFJ",Sun Apr 24 20:12:53 +0000 2016,en,35,False,48,False,,John Maeda,johnmaeda
"“Science says: When faced with an ambiguous situation, we look towards others to tell us how to act.” —@deenatweet https://t.co/YOtdzchiPR",Sun Apr 24 13:31:49 +0000 2016,en,15,False,42,False,,John Maeda,johnmaeda
"“… the dichotomy of what branding says it will do, and how it delivers on that.” —Tim Allen https://t.co/qfacPkvYiT https://t.co/UBMJqDdTWI",Sun Apr 24 12:23:43 +0000 2016,en,22,False,49,False,,John Maeda,johnmaeda
“Poetry machines only replace writers in the same way that pianos replace pianists.” https://t.co/2MCzP7RjlK https://t.co/B4j0DxYg6t,Sun Apr 24 01:11:25 +0000 2016,en,41,False,82,False,,John Maeda,johnmaeda
"“In any creative field, it’s fine to be inspired, but you should figure out your own spin.” —Alex Calderwood (–2014) https://t.co/QHTubmD7Yi",Sat Apr 23 21:15:41 +0000 2016,en,69,False,143,False,,John Maeda,johnmaeda
“Programmers have the largest impact when they are designers.” —Denning+Martell https://t.co/gnR2sVC8ui https://t.co/uMiBSdCmSd,Sat Apr 23 17:44:36 +0000 2016,en,320,False,428,False,,John Maeda,johnmaeda
“Vulnerability can come from insecurity. Or it can come from being open. The open kind of vulnerability is what lets you renew.” —@jshefrin,Sat Apr 23 12:39:56 +0000 2016,en,120,False,168,False,,John Maeda,johnmaeda
Thanks to Kiran Wattamwar and team for inviting me to talk https://t.co/u3V5X7izyO with MIT Undergrad Association. https://t.co/ER6z8Zgz8i,Fri Apr 22 23:39:48 +0000 2016,en,8,False,50,False,,John Maeda,johnmaeda
Design isn’t just about beauty; it’s about market relevance and material results. https://t.co/u3V5X7izyO https://t.co/jyJdsxQzjR,Thu Apr 21 12:13:09 +0000 2016,en,170,False,240,False,,John Maeda,johnmaeda
"“Education as instruction-based (practice, protocols) vs idea-based (critical thinking, envision ideas of others)” https://t.co/5xla5L58mh",Sat Apr 16 03:56:54 +0000 2016,en,92,False,154,False,,John Maeda,johnmaeda
"“Paul Rand work was thoughtful, clean … but *not* austere (= a Modernist’s warmth)” —note from the past https://t.co/UkqERGjbj7",Sat Apr 16 03:55:26 +0000 2016,en,24,False,81,False,,John Maeda,johnmaeda
“Turn people loose on objectives that they can control.” —from my collection of random notes-to-self https://t.co/a4JMCm9SgP,Fri Apr 15 23:37:23 +0000 2016,en,37,False,86,False,,John Maeda,johnmaeda
RT @tonibird: Good design &gt; cool design. —@johnmaeda #StanfordLEAD https://t.co/WBx1DV05gz,Fri Apr 15 21:57:40 +0000 2016,en,15,False,0,False,,John Maeda,johnmaeda
Thanks to GSB Prof. Stefanos Zenios for the opportunity to talk https://t.co/u3V5X70Yae x Biz with #StanfordLEAD https://t.co/cn6IePrAW7,Fri Apr 15 21:56:45 +0000 2016,en,15,False,18,False,,John Maeda,johnmaeda
"“When you can’t envision, you can’t give permission.” —Paola Antonelli, wisdom from a lunch long ago https://t.co/X9eI0Ff89H",Fri Apr 15 17:43:54 +0000 2016,en,25,False,86,False,,John Maeda,johnmaeda
Useful overview of “computational thinking” for K-12: https://t.co/AtF3bzGMz1 https://t.co/WrBDdRc6zH,Fri Apr 15 16:19:27 +0000 2016,en,28,False,50,False,,John Maeda,johnmaeda
Thanks to LA folks for letting me start https://t.co/u3V5X70Yae from my UberX last night -- LA traffic is intense. https://t.co/X0weEpdVB6,Fri Apr 15 16:09:33 +0000 2016,en,15,False,77,False,,John Maeda,johnmaeda
Executive-level priorities of “experience” indicates that Postmodernism has re-arrived. Pg 2 https://t.co/PoNpnJnZoM https://t.co/3xObSuson6,Fri Apr 15 14:26:32 +0000 2016,en,53,False,67,False,,John Maeda,johnmaeda
