Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Is President's Day just for Washington and Lincoln or did Bush sneak in?,Mon Feb 15 16:42:29 +0000 2016,en,1,False,1,False,,Scott Kurnit,kurnit
.@georgetv Hey George - who has the SuperBowl this year? Ha... TV's greatest marketer of... 4ever. xo.,Sun Feb 07 19:24:20 +0000 2016,en,0,False,0,False,,Scott Kurnit,kurnit
I think Uber just forgot to turn the new logo 90 degrees so it would be a stylized U.,Fri Feb 05 19:43:37 +0000 2016,en,0,False,0,False,,Scott Kurnit,kurnit
".@realDonaldTrump: Remember when YOU were cold last year... so ""there was no Global Warming."" Any comment on NYC being 72 on xmas eve?",Wed Dec 23 23:01:45 +0000 2015,en,1,False,1,False,,Scott Kurnit,kurnit
Trump: I can see Russia from my super fabulous Penthouse.,Thu Nov 26 13:02:16 +0000 2015,en,1,False,3,False,,Scott Kurnit,kurnit
"Once Trump's done with the Mexican wall, he can have them build our 20 foot, 2000 mile sea walls. #globalwarming",Sun Nov 01 18:31:19 +0000 2015,en,2,False,4,False,,Scott Kurnit,kurnit
"Greenland Is Melting Away - Thanks to NYT, researchers and drones for never before seen images. https://t.co/i37ZI1vdwG",Sat Oct 31 22:22:54 +0000 2015,en,1,False,0,False,,Scott Kurnit,kurnit
I'm not for Rubio but I am for NOT stupid. He's too young?? As in the exact same age as Cruz and older than JFK? Sheesh.,Thu Oct 29 21:17:36 +0000 2015,en,0,False,1,False,,Scott Kurnit,kurnit
"$4mm, 10 hour informercial paid for by Republicans nailed that @HillaryClinton is far and away the most qualified to be President.",Fri Oct 23 14:01:37 +0000 2015,en,0,False,3,False,,Scott Kurnit,kurnit
Hilarious comedy... or your money back! Get tix for 10/15: http://t.co/R3DTKIOTwP and see preview: http://t.co/RQPd2dPuWW,Tue Oct 06 17:58:41 +0000 2015,en,1,False,0,False,,Scott Kurnit,kurnit
