Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
anyone tried this out? finaly a (maybe) practical AI. https://t.co/kUW9nHiwra,Mon Apr 18 10:38:39 +0000 2016,en,0,False,0,False,,Lukasz,lak
(have a nice weekend) https://t.co/Y4PE8JxNhe,Fri Apr 01 13:29:44 +0000 2016,en,0,False,0,False,,Lukasz,lak
"so, capitalism is not alyways blind. a good and inspiring step (happy easter everyone). https://t.co/J6v9chwMt4",Sun Mar 27 19:26:42 +0000 2016,en,0,False,1,False,,Lukasz,lak
ommm. https://t.co/wsNFa4sVVO,Tue Mar 22 16:04:07 +0000 2016,und,0,False,0,False,,Lukasz,lak
"(Temporary post, since FB is not really a political platform)...runis are one thing and terryfying enough.... https://t.co/Yw55Bw6cCH",Fri Mar 18 15:10:58 +0000 2016,en,0,False,0,False,,Lukasz,lak
"Thimons Magier-show in Potsdam... One of the ""places to be""  in and around Berlin last night...  thank you dear... https://t.co/BO3qjzsRk3",Thu Mar 17 07:51:50 +0000 2016,en,0,False,0,False,,Lukasz,lak
Bernie reminder.... https://t.co/WTyl7awHvx,Thu Mar 10 17:10:34 +0000 2016,en,0,False,0,False,,Lukasz,lak
"(today is sharing day, too good for not sharing) https://t.co/RVg5c2KIKQ",Wed Mar 09 14:02:54 +0000 2016,en,0,False,1,False,,Lukasz,lak
pleasant. https://t.co/B5mtRo86wI,Wed Mar 09 11:38:08 +0000 2016,en,0,False,0,False,,Lukasz,lak
"Very useful.  Erst die Teflonpfanne,  und jetzt dies...  Valeo!  ;) https://t.co/86G2XLwrF8",Sun Mar 06 13:39:17 +0000 2016,de,0,False,0,False,,Lukasz,lak
"""slowly"" but steadily the future is arriving... what is there to come? imagine you would sit in a bar in NYC 500... https://t.co/5emShrF5qj",Thu Mar 03 09:14:50 +0000 2016,en,0,False,0,False,,Lukasz,lak
Omm https://t.co/Q8N17sEtqu,Sat Feb 27 20:41:08 +0000 2016,und,0,False,1,False,,Lukasz,lak
"ugh, a bit sad but what the heck... happiness = reality/expectations, so, why not make the latter a bit more... https://t.co/uytn711fBI",Tue Feb 23 08:47:44 +0000 2016,en,1,False,0,False,,Lukasz,lak
Anyone knows this book?  The title sounds fun... https://t.co/guP7Y7PvQB,Tue Feb 16 22:58:40 +0000 2016,en,0,False,1,False,,Lukasz,lak
Jajaja -  here is how thos gravi waves work explained simply.  Even your 4year old will understand :D https://t.co/Uh52gpI9Mu,Fri Feb 12 14:45:14 +0000 2016,en,0,False,0,False,,Lukasz,lak
