Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @EndeavorArg: .@marcos_galperin: ""Emprender es muy dificil. Requiere muchísimo compromiso de tiempo.Tiene que ser una pasión"" https://t.…",Thu Apr 21 18:12:17 +0000 2016,es,23,False,0,False,,Marcos Galperin,marcos_galperin
"RT @EndeavorArg: .@marcos_galperin: ""Creo que estamos viviendo en una época histórica. La tecnología va a cambiar el mundo."" https://t.co/o…",Thu Apr 21 18:10:47 +0000 2016,es,12,False,0,False,,Marcos Galperin,marcos_galperin
"Yendo a Tucumán para participar de la conferencia Endeavor. Mi charla es 12:45, hay live streaming  https://t.co/y6DERLICnZ",Thu Apr 21 10:50:30 +0000 2016,es,9,False,37,False,,Marcos Galperin,marcos_galperin
"RT @businessinsider: I just tried to order flowers through a Facebook Messenger bot, left thinking 'why bother?' https://t.co/KG4OBuip05 ht…",Tue Apr 12 22:22:52 +0000 2016,en,13,False,0,False,,Marcos Galperin,marcos_galperin
"Una red, cara y mala...Se repiten los problemas para operar con la red Banelco https://t.co/pOIIGsOTkO",Mon Apr 11 19:51:59 +0000 2016,es,7,False,11,False,,Marcos Galperin,marcos_galperin
RT @MatiiGualino: El emprendedor con más influencia contando como formó la empresa de tecnología lider en latinoamerica. #itba #meli https:…,Fri Apr 01 13:11:51 +0000 2016,es,2,False,0,False,,Marcos Galperin,marcos_galperin
"RT @StanfordBiz: Success can become a catalyst for failure. It can lead to ""the undisciplined pursuit of more.""
https://t.co/JzfZh9tX6S",Thu Mar 31 22:19:02 +0000 2016,en,138,False,0,False,,Marcos Galperin,marcos_galperin
RT @mercadopago: Sorprendé al que cumple años juntando la plata del regalo a través del App. #choco en el mensaje del envío! https://t.co/T…,Thu Mar 31 22:16:01 +0000 2016,es,10,False,0,False,,Marcos Galperin,marcos_galperin
RT @AguDeMarco: Participá junto a @MercadoLibre y @EndeavorArg de #HistoriasQueInspiran. Enterate más en  https://t.co/6jzkXivZLI https://t…,Wed Mar 30 22:39:06 +0000 2016,es,9,False,0,False,,Marcos Galperin,marcos_galperin
"RT @lucianobanchero: Recomendación para fans de la cultura pop y la gastronomía: bájense @trilapp, es como un álbum de figuritas de todo lo…",Fri Mar 04 20:18:23 +0000 2016,es,6,False,0,False,,Marcos Galperin,marcos_galperin
"RT @bnamericas: Led by @marcos_galperin, the ‘eBay of the Pampas’ @mercadolibre sold +128mn items in 2015. https://t.co/9fFDfa3v9k https://…",Tue Mar 01 23:05:34 +0000 2016,en,8,False,0,False,,Marcos Galperin,marcos_galperin
"RT @dsaezgil: Con dos interns de @MercadoLibre, el que hace café @marcos_galperin, y el que codea Android @drabinovich 😄 https://t.co/vKZJ5…",Tue Mar 01 23:01:47 +0000 2016,es,4,False,0,False,,Marcos Galperin,marcos_galperin
"RT @andyfreire: Nace el Consejo Consultivo de Innovación Aplicada, juntos diseñaremos soluciones para nuestra ciudad...¡Hay equipo! https:/…",Tue Mar 01 00:23:34 +0000 2016,es,79,False,0,False,,Marcos Galperin,marcos_galperin
#MercadoLibre en el diario EL PAÍS de España https://t.co/IdAKZnArB6,Sun Feb 28 13:53:23 +0000 2016,es,6,False,39,False,,Marcos Galperin,marcos_galperin
RT @ionzo: @mercadopago #HoySeSaleFuerte cuentas claras. Quien es el rata? https://t.co/693ACqjKcg,Sat Feb 27 17:47:51 +0000 2016,es,5,False,0,False,,Marcos Galperin,marcos_galperin
RT @whartonmagazine: What are your secrets to a successful tech career? @marcos_galperin #W94 shared his. https://t.co/9KQsuSwj9n https://t…,Sat Feb 27 14:03:15 +0000 2016,en,4,False,0,False,,Marcos Galperin,marcos_galperin
RT @mercadopago: Leíste bien! Te pagamos por mandarle plata a tus amigos. #CuentasClaras en el mensaje del envío. Fácil! Mercado Pago https…,Mon Feb 22 14:57:25 +0000 2016,es,14,False,0,False,,Marcos Galperin,marcos_galperin
RT @mercadopago: Mercado Pago en Flick. Capitanas recaudan el valor del torneo vía el App y les regalamos el 50% de la inscripción! https:/…,Sun Feb 21 23:09:28 +0000 2016,es,8,False,0,False,,Marcos Galperin,marcos_galperin
RT @mercadopago: Termina Febrero y saber que entregaste y COBRASTE todos los regalos del mes. #CuentasClaras GRATIS con Mercado Pago https:…,Sun Feb 21 01:10:14 +0000 2016,es,9,False,0,False,,Marcos Galperin,marcos_galperin
@estebanbullrich El Patron del Mal dentro de la curricula escolar! 1) cambiar formas de enseñanza 2) lucha vs narcotráfico #postparitarias,Fri Feb 19 11:37:13 +0000 2016,es,1,False,3,False,,Marcos Galperin,marcos_galperin
"RT @whartonmagazine: Big thanks to the alums in our cover story on tech success, including @marcos_galperin, @rriley17 &amp; @anthonynoto. http…",Wed Feb 17 20:50:49 +0000 2016,en,1,False,0,False,,Marcos Galperin,marcos_galperin
@IgnacioPena123 @earlkman @Satellogic @miguelsampedro @julianscohen bravo Emiliano!!,Tue Feb 16 23:45:43 +0000 2016,it,0,False,3,False,,Marcos Galperin,marcos_galperin
@nachojuarez @SilviaTorresC @gugamayer @NoahMamet @IgnacioPena123 @mtanoira Bravo Nacho y equipo!!! Muy merecido reconocimiento. Adelante!,Tue Feb 16 18:45:06 +0000 2016,es,2,False,9,False,,Marcos Galperin,marcos_galperin
"@marta_cruz x suerte internet también requiere de humanos! La calidad, cantidad y accesibilidad de la educación sería muy superior",Mon Feb 15 14:12:20 +0000 2016,es,0,False,3,False,,Marcos Galperin,marcos_galperin
ansío ver el día q la educación pública sea x internet y no dependa de estos personajes corruptos https://t.co/GsC4N6FAgP,Sun Feb 14 20:47:42 +0000 2016,es,10,False,35,False,,Marcos Galperin,marcos_galperin
Comparto el artículo q escribi p el diario LN en Dic2015 re la organizacion del debate presidencial argentino https://t.co/p0BJ6c4blN,Fri Feb 12 18:06:25 +0000 2016,es,2,False,7,False,,Marcos Galperin,marcos_galperin
lo + importante p q un startup sea exitoso segun marc andreesen. excelente. https://t.co/LMs6fs8jvF,Thu Feb 11 18:42:00 +0000 2016,es,20,False,50,False,,Marcos Galperin,marcos_galperin
@JorgePozo1 q bueno. me alegro. este año estaré por alli. Saludos,Thu Feb 11 00:09:53 +0000 2016,es,0,False,0,False,,Marcos Galperin,marcos_galperin
"Cambio de humor para fundadores de empresas tecnológicas 
https://t.co/EI7n1HgbgT via theinformation",Wed Feb 10 14:58:07 +0000 2016,es,1,False,5,False,,Marcos Galperin,marcos_galperin
Un visionario Cabandie. Vamos x la ley q obligue a usar arados manuales #plenoempleo #chautractores https://t.co/I7ooQ6cKjT via LANACION,Sat Feb 06 21:49:46 +0000 2016,es,12,False,27,False,,Marcos Galperin,marcos_galperin
"@pepe por suerte, falta muchísimo. te diría q recién estamos empezando! llegando al estadio ni siquiera empezamos a entrar en calor!",Sat Feb 06 00:02:08 +0000 2016,es,0,False,1,False,,Marcos Galperin,marcos_galperin
@raul_tosti @LANACION exacto! y lo q serían las escuelas públicas? hasta quizás tendríamos rutas bien pavimentadas,Wed Feb 03 23:09:24 +0000 2016,es,0,False,1,False,,Marcos Galperin,marcos_galperin
y asi era las oficina de marianito recalde (q pagamos todos x supuesto)...https://t.co/QrDIorM4LJ,Wed Feb 03 03:47:23 +0000 2016,es,16,False,22,False,,Marcos Galperin,marcos_galperin
aguante el socialismo de la campora; yo tengo un escitorio igual al de los otros 3500 empleados de MELI c quienes comparto baño,Wed Feb 03 03:46:23 +0000 2016,es,27,False,67,False,,Marcos Galperin,marcos_galperin
