Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @DianePrebay: Congrats @drivyFR ! Drivy lève 31M d'euros @Camille_Hry @popaulin #FrenchTech #ReviensLeon https://t.co/yjmYlKsFdl cc @maz…,Thu Apr 28 08:20:13 +0000 2016,fr,11,False,0,False,,Fred Mazzella,mazaic
The Primary Colours of a Startup #3/3 - Red: Entrepreneurial Spirit - https://t.co/ynIpSvyFe6 @BlaBlaCar,Mon Apr 25 14:53:06 +0000 2016,en,4,False,8,False,,Fred Mazzella,mazaic
The Primary Colours of a Startup #2/3 - Blue: Growth Strategy - https://t.co/ILokX3swXB @BlaBlaCar,Mon Apr 25 14:52:40 +0000 2016,en,4,False,4,False,,Fred Mazzella,mazaic
The Primary Colours of a Startup #1/3 - Green: Company DNA - https://t.co/nIfSlzzekd @BlaBlaCar,Mon Apr 25 14:52:07 +0000 2016,en,3,False,3,False,,Fred Mazzella,mazaic
RT @FrenchTouchConf: .@gaelduval announced #LFTCNYC with #president @fhollande and #French #entrepreneurs in #NYC! #startups https://t.co/P…,Sat Apr 23 09:30:52 +0000 2016,en,12,False,0,False,,Fred Mazzella,mazaic
RT @instigating: #Trust us: host pictures not homes drives confidence in home rentals @Airbnb @Tripping @jowyang @nbrusson @mazaic https://…,Fri Apr 22 06:48:51 +0000 2016,en,3,False,0,False,,Fred Mazzella,mazaic
RT @ReviensLeon: Les premiers Léons ont été reçus à @Elysee  début mars. https://t.co/ChobGGuL2f,Fri Apr 08 10:44:24 +0000 2016,fr,15,False,0,False,,Fred Mazzella,mazaic
RT @FrenchTouchConf: #ReviensLeon présente les premiers Léons. Des profils internationaux qui viennent enrichir les #startups françaises. @…,Fri Apr 08 09:43:51 +0000 2016,fr,8,False,0,False,,Fred Mazzella,mazaic
"Belle levée de 6,1 millions d’euros pour les parkings partagés de @ZenparkFr | FrenchWeb.fr https://t.co/hDFwDfKCyO",Thu Apr 07 15:25:44 +0000 2016,fr,20,False,16,False,,Fred Mazzella,mazaic
Share more Learn more - Les Couleurs Primaires d’une start-up : https://t.co/EfumurGvK2,Thu Apr 07 11:09:12 +0000 2016,en,17,False,22,False,,Fred Mazzella,mazaic
RT @TheGalionP: #GalionBooster : le concours de start-up qui vous envoie au Brésil ! https://t.co/79WcsFrymq @EchosBusiness @jbudelle @maza…,Thu Mar 31 11:27:03 +0000 2016,fr,1,False,0,False,,Fred Mazzella,mazaic
"RT @instchoiseul: Le palmarès 2016 du #Choiseul100 en ligne : https://t.co/hjwxxXN2JX
@mazaic @YannickBollore @romain_n @manuelflam @franck…",Sun Mar 06 10:32:20 +0000 2016,fr,14,False,0,False,,Fred Mazzella,mazaic
"RT @rawn: @ForbesLeaders: ""Driving #Ridesharing Success at @BlaBlaCar with Online Community"" https://t.co/vawgU8VKk2 - @mazaic, @HRTechWorl…",Mon Feb 22 08:23:14 +0000 2016,en,4,False,0,False,,Fred Mazzella,mazaic
RT @jlecat: Les pères de la #FrenchTech créent un contrat type pour les levées de fonds https://t.co/DhsyB9wLzN Bon équilibre VC - Entrepre…,Wed Feb 17 16:12:36 +0000 2016,fr,77,False,0,False,,Fred Mazzella,mazaic
RT @TheGalionP: #GalionTermSheet now live! + de 50 entrepreneurs se sont réunis pr créer un doc de référence face aux investisseurs. https:…,Wed Feb 17 16:11:57 +0000 2016,fr,13,False,0,False,,Fred Mazzella,mazaic
"RT @charliebuz: Merci @BlaBlaCar_FR (et @mazaic) ! Pour vous, je veux bien faire de la pub ;) #covoiturage https://t.co/Lu0fcurZMU",Thu Feb 11 11:30:23 +0000 2016,fr,2,False,0,False,,Fred Mazzella,mazaic
RT @TechCrunch: The Sharing Age https://t.co/vh9NHr3ngy by @mazaic,Fri Feb 05 11:59:52 +0000 2016,en,75,False,0,False,,Fred Mazzella,mazaic
RT @EmmanuelMacron: Voeux à @LaFrenchTech : discours à suivre en direct dans un instant https://t.co/MYRtHK9tkE https://t.co/TJW5zcvdOu,Fri Jan 29 18:37:10 +0000 2016,fr,139,False,0,False,,Fred Mazzella,mazaic
"Indeed !
;) https://t.co/qwhfqUPLwP",Sat Jan 09 20:57:58 +0000 2016,en,0,False,5,False,,Fred Mazzella,mazaic
RT @ReviensLeon: #REVIENSLEON au CES ! https://t.co/HxEHZl8GXa @BlaBlaCar_FR @mazaic @sigfox @kernelKing @Michel_Augustin @MetA_US https://…,Fri Jan 08 00:52:26 +0000 2016,fr,36,False,0,False,,Fred Mazzella,mazaic
De rien @drivy votre service est top ! https://t.co/7BVsYPx03p,Wed Dec 23 23:30:40 +0000 2015,fr,0,False,12,False,,Fred Mazzella,mazaic
I mean it Pauline ! @plaigneau  https://t.co/uSO71dQDft,Wed Dec 23 23:29:24 +0000 2015,en,0,False,5,False,,Fred Mazzella,mazaic
RT @Onfido: @brenthoberman thanks for the support! @nbrusson and @mazaic as well,Wed Dec 09 22:46:10 +0000 2015,en,1,False,0,False,,Fred Mazzella,mazaic
We're so lucky to have you @roxannevarza ! La coach des start-up @LeTubeCanal sur @canalplus https://t.co/ackbaW8lBx,Mon Dec 07 11:51:01 +0000 2015,en,12,False,26,False,,Fred Mazzella,mazaic
RT @instigating: New work: #platforms #trust #lightweight #teams @BlaBlaCar_FR @mazaic @javicreus @sytaylor @AlbertCanig @meedabyte  https:…,Mon Nov 30 17:54:11 +0000 2015,en,10,False,0,False,,Fred Mazzella,mazaic
"RT @aprilrinne: The future of work, inc great insights from @mazaic @rmchase. Be prepared for flexibility, opportunities &amp; anxiety. https:/…",Mon Nov 30 17:51:12 +0000 2015,en,8,False,0,False,,Fred Mazzella,mazaic
"Merci de me l'apprendre @nicolaslr ! Une belle et grande promotion, très prometteuse ;) https://t.co/yDBghom7Mh",Sun Nov 22 17:08:33 +0000 2015,fr,3,False,6,False,,Fred Mazzella,mazaic
"RT @airbnb_fr: A #AirbnbOpen, nous sommes tous entrepreneurs. Merci Paulin, fondateur de @Drivy, d'avoir partagé votre histoire. https://t.…",Thu Nov 12 19:04:31 +0000 2015,fr,5,False,0,False,,Fred Mazzella,mazaic
"Thx @bchesky @Airbnb #AirbnbOpen for inspiring hosts and... people!
@afrenove @NicolasFerrary @ogremillon https://t.co/BVxMZnAApj",Thu Nov 12 09:32:56 +0000 2015,en,8,False,20,False,,Fred Mazzella,mazaic
RT @afrenove: #AirbnbOpen with @mazaic @LucBELOT @julanglais @NicolasFerrary @ndaudiffret https://t.co/yP2KGxHOBX,Thu Nov 12 09:02:48 +0000 2015,en,4,False,0,False,,Fred Mazzella,mazaic
"RT @JustineRenaudet: Yeahhhhhh ! #bravo à la team Relations Membres de @BlaBlaCar_FR ! Lauréat de la #PalmesRC de la voix du client 
""co"" h…",Fri Nov 06 23:56:41 +0000 2015,fr,13,False,0,False,,Fred Mazzella,mazaic
"RT @ReviensLeon: ""There’s no doubt about it, the French startup scene is electric"" @WebSummitHQ https://t.co/rdyk1cnmoa",Wed Nov 04 17:53:55 +0000 2015,en,14,False,0,False,,Fred Mazzella,mazaic
RT @ReviensLeon: RDV à Dublin le 4 nov https://t.co/k03j7Slr4V avec @LaFourchetteMmm @iadvize @dataiku Merci @YapMe @Michel_Augustin https:…,Wed Nov 04 17:53:44 +0000 2015,fr,12,False,0,False,,Fred Mazzella,mazaic
"RT @ReviensLeon: Dublin 4/11: #innovation #startup #frenchbuffet @YapMe 
@LaFrenchTech @SmartRecruiters @FRdigitale @FrenchTouchConf  https…",Wed Nov 04 17:53:36 +0000 2015,en,1,False,0,False,,Fred Mazzella,mazaic
"Congrats Nicolas !
@NicolasFerrary @airbnb_fr élu ""Personnalité E-commerce 2015"" https://t.co/gVtQ9MzQH8",Mon Nov 02 01:04:34 +0000 2015,fr,2,False,4,False,,Fred Mazzella,mazaic
RT @DianePrebay: @BlaBlaCar_FR @BlaBlaCarUK @BlaBlaCarRU now available across #Europe and worlwide #global @mazaic @OpenInnoEN https://t.co…,Thu Oct 29 09:11:20 +0000 2015,en,12,False,0,False,,Fred Mazzella,mazaic
"Longevity? Anticipate the business that's just after yours...
Thx for the tip @richardbranson
@HRTechWorld https://t.co/Us03rXApeL",Tue Oct 27 14:59:01 +0000 2015,en,18,False,29,False,,Fred Mazzella,mazaic
RT @HRTechWorld: Looking forward to #HRTechWorld Main Stage Live at 16:30: @richardbranson @SteveTappin @peterarvai @hambrody @mazaic https…,Tue Oct 27 14:43:21 +0000 2015,en,15,False,0,False,,Fred Mazzella,mazaic
RT @peterarvai: Getting ready for getting on stage with @richardbranson and @mazaic #HRTechWorld #HRTechConf https://t.co/iqHtdpQot3,Tue Oct 27 14:43:12 +0000 2015,en,28,False,0,False,,Fred Mazzella,mazaic
RT @DianePrebay: @mazaic to speak today with Sir @richardbranson at @HRTechWorld in #Paris at 4pm @pcdeparis @BlaBlaCarUK @BlaBlaCar_FR #cu…,Tue Oct 27 14:07:21 +0000 2015,en,4,False,0,False,,Fred Mazzella,mazaic
Plaisir et honneur partagé Christophe ! https://t.co/tynz7r1GJh,Sun Oct 11 23:30:23 +0000 2015,fr,1,False,2,False,,Fred Mazzella,mazaic
RT @DianePrebay: @BlaBlaCarUK @BlaBlaCar_FR welcomes #journalists from AAPA in our office in #Paris @mazaic #ridesharing http://t.co/T55Xpg…,Fri Oct 09 08:45:23 +0000 2015,en,6,False,0,False,,Fred Mazzella,mazaic
"RT @ReviensLeon: La cellule Léon recherche un(e) Chef de projet dynamique, motivé(e) et surtout très talentueux(se)!
Postulez ici http://t.…",Tue Oct 06 16:04:51 +0000 2015,fr,10,False,0,False,,Fred Mazzella,mazaic
"RT @instigating: Oui! True ridesharing, $300M sans fights @BlaBlaCar_FR @nbrusson @mazaic @INSEAD @AlbertCanig @javicreus @rmchase http://t…",Thu Oct 01 23:16:39 +0000 2015,en,6,False,0,False,,Fred Mazzella,mazaic
"RT @nbrusson: BlaBlaCar raised $200m. The news is out: http://t.co/OZUtR1CdAm
Thank you @BlaBlaCar_FR team. 19 countries. 12 offices. 1 team",Thu Sep 17 08:06:58 +0000 2015,en,94,False,0,False,,Fred Mazzella,mazaic
RT @EmmanuelMacron: .@BlaBlaCar_FR Bienvenue chez les (très) grands. Et bravo !,Thu Sep 17 05:06:34 +0000 2015,fr,367,False,0,False,,Fred Mazzella,mazaic
RT @ReviensLeon: Welcome @1001menus @360Learning @Stupeflix @Videdressing et @LVMH New #ReviensLeon Members! @LaFrenchTech #FDDay http://t.…,Tue Sep 15 12:56:45 +0000 2015,en,21,False,0,False,,Fred Mazzella,mazaic
RT @mary_maal: Même sous la pluie les BlaBla Grils sont au taquet ! #LaParisienne2015 @BlaBlaCar_FR http://t.co/VIX0NRBqFP,Sun Sep 13 22:09:58 +0000 2015,fr,15,False,0,False,,Fred Mazzella,mazaic
"Lancement #COP21 @Elysee ""Partager, retrouver notre humanité, la sauver"" @N_Hulot @LaurentFabius @RoyalSegolene http://t.co/n7qY8DWLne",Thu Sep 10 09:08:32 +0000 2015,fr,5,False,7,False,,Fred Mazzella,mazaic
"RT @BlaBlaCar_FR: Ce soir, nous clôturons notre #BlaBlaTour à #Paris ! Une belle soirée au RDV :) #BlaBlaCar http://t.co/0Wndv8wJbL",Thu Sep 10 08:06:59 +0000 2015,fr,6,False,0,False,,Fred Mazzella,mazaic
RT @AlexMounoury: Arrivée à la #braderiedelille ! Le stand #BlaBlaCar est le meilleur !!! @BlaBlaCar_FR http://t.co/2pJMisLhwJ,Sat Sep 05 12:48:09 +0000 2015,fr,6,False,0,False,,Fred Mazzella,mazaic
RT @annefloremarxer: J'ai pris @alainbernard en @BlaBlaCar_FR dans ma @Peugeot 508 ;) http://t.co/3ZzyxfHp4A,Sun Aug 30 17:08:58 +0000 2015,fr,31,False,0,False,,Fred Mazzella,mazaic
RT @axelletess: Pas d'hub d'innovation reposant uniquement sur talents locaux. Ça n'existe pas. Le vrai enjeu est bien là. @mazaic http://t…,Mon Aug 24 08:23:42 +0000 2015,fr,4,False,0,False,,Fred Mazzella,mazaic
RT @chraynaud: Congrats @jbrudelle @Alice_zag @mazaic @Xavier75 @marcsimoncini @codorniou @axellelemaire wired EU Top100 http://t.co/24TYSk…,Tue Aug 11 07:24:54 +0000 2015,en,2,False,0,False,,Fred Mazzella,mazaic
"RT @WiredUK: Check out numbers 50-26 in the WIRED 100, including BlaBlaCar CEO @mazaic
http://t.co/mkNAIossYy http://t.co/Waqn6Z5AOg",Tue Aug 11 07:23:50 +0000 2015,en,4,False,0,False,,Fred Mazzella,mazaic
RT @edabs: Join @BlaBlaCarUK the Fun &amp; Serious startup!: http://t.co/F60WxMCr5r  via @YouTube (amazing video featuring @nbrusson @mazaic @f…,Thu Aug 06 10:40:22 +0000 2015,en,4,False,0,False,,Fred Mazzella,mazaic
RT @Lucile_Var: Think that France is a tech startups' no man's land? No more: http://t.co/EKkjZlgxly #FrenchStartup #ReviensLeon @ReviensLe…,Tue Jul 21 22:59:21 +0000 2015,en,8,False,0,False,,Fred Mazzella,mazaic
