Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Great things ahead for the new eBay and PayPal. Congratulations Devin and Dan! http://t.co/8C8HiJg4NC,Tue Sep 30 14:36:10 +0000 2014,en,2,False,2,False,,Mark Carges,mcarges
"RT @TechCrunch: eBay Brings Same-Day Delivery Service eBay Now To Desktop, Prepares Regional Expansions http://t.co/ApP8SNkRRH by @sarahint…",Mon Jul 22 17:21:00 +0000 2013,en,38,False,0,False,,Mark Carges,mcarges
@Norse5 at ebay's Skunkworks Hackathon enjoying couch shopping on ebay via gestures. http://t.co/DOuml9E91B,Thu Jun 27 20:56:21 +0000 2013,en,4,False,0,False,,Mark Carges,mcarges
"RT @TechCrunch: Webflakes Aims To Build A Lifestyle Web Destination With Crowdsourced Translations, Raises $3M http://t.co/MJxYm9aQZU by @a…",Wed May 08 19:19:23 +0000 2013,en,14,False,0,False,,Mark Carges,mcarges
Learned how to play Sitting Volleyball today from the best! Thank you @ksholloway !! http://t.co/k9rVeyG8MY,Wed Apr 10 04:31:09 +0000 2013,en,0,False,1,False,,Mark Carges,mcarges
@cdixon Congratulations!,Mon Nov 19 23:22:56 +0000 2012,en,0,False,0,False,,Mark Carges,mcarges
"RT @Norse5: Today is a big day for eBay. 
http://t.co/cOXytouY",Thu Sep 13 15:30:09 +0000 2012,en,8,False,0,False,,Mark Carges,mcarges
"@singlyinc @fitbit We did an internal @fitbit challenge at eBay last year and would love to ""step up"" to an external challenge.",Fri Sep 07 04:18:48 +0000 2012,en,0,False,0,False,,Mark Carges,mcarges
Welcome @leppert and the rest of the http://t.co/3gs6TW5p team to eBay! http://t.co/lthUE3zc,Thu Sep 06 21:04:48 +0000 2012,en,5,False,1,False,,Mark Carges,mcarges
We're taking our largest data center off the grid with green energy.  Congrats to Dean Nelson and his team!  http://t.co/YGWg63yG,Thu Jun 21 01:10:47 +0000 2012,en,6,False,2,False,,Mark Carges,mcarges
Congratulations to @davidmarcus PayPal's new president! http://t.co/GyLvg9ZX,Thu Mar 29 15:50:03 +0000 2012,en,0,False,0,False,,Mark Carges,mcarges
RT @TechCrunch: Could New York Be A Better US Base For European Startups Than The Valley? http://t.co/F7e6iwgU by @mikebutcher,Wed Feb 08 02:48:19 +0000 2012,en,73,False,0,False,,Mark Carges,mcarges
Checked out at Home Depot with PayPal. Coming to a store near you. Congrats PayPal team! http://t.co/RrLIJE1O,Sat Jan 21 22:47:07 +0000 2012,en,5,False,0,False,,Mark Carges,mcarges
