Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Forget Unicorns, Women Aspire to Be the Phoenix @ElizabethGore https://t.co/eLHbLQOsqx @Inc #Circle @CircularB",Tue Apr 19 17:38:30 +0000 2016,en,1,False,2,False,,Michael Birch,mickbirch
RT @scottharrison: @mickbirch moments before plunging 500+ feet free-fall to his ..... celebratory beer https://t.co/3WEAxTioH7,Sat Apr 09 17:19:25 +0000 2016,en,2,False,0,False,,Michael Birch,mickbirch
New charity: water donation page is so optimized it's insane! https://t.co/HdIh61RsvM,Fri Apr 01 16:35:08 +0000 2016,en,3,False,12,False,,Michael Birch,mickbirch
RT @chrismichel: Proving that elite entrepreneurs are in fact in bed with each other @JamesCurrier @adwane @mickbirch Bed:@eastdakota https…,Sat Feb 20 21:40:10 +0000 2016,en,6,False,0,False,,Michael Birch,mickbirch
End the Gun Epidemic in America https://t.co/bUb7rCid8F,Sat Dec 05 17:07:38 +0000 2015,en,3,False,6,False,,Michael Birch,mickbirch
RT @Benioff: A brilliant film on early education and how it impacts our entire nation https://t.co/cTCkNm5JUz thank you @TheBatterySF,Thu Nov 12 05:26:57 +0000 2015,en,6,False,15,False,,Michael Birch,mickbirch
Potato Rainbows. It's a thing in Ireland. @kevinabosch https://t.co/WtB1YiV7kN,Sun Nov 08 02:29:24 +0000 2015,en,3,False,13,False,,Michael Birch,mickbirch
"Matt Galligan, Backstage at Web Summit w/ @mg @ShaanVP https://t.co/kS8G9FoaPT #blab",Tue Nov 03 14:37:38 +0000 2015,en,2,False,1,False,,Michael Birch,mickbirch
Product Hunt LIVE with Chris Sacca w/ @sacca @eriktorenberg @Mazzeo https://t.co/W9tjQx59Qm #blab,Wed Oct 28 16:03:28 +0000 2015,en,1,False,7,False,,Michael Birch,mickbirch
“From Rejection to Product Hunt” by @rrhoover https://t.co/1UvCysxzqE,Mon Oct 19 16:55:59 +0000 2015,en,6,False,13,False,,Michael Birch,mickbirch
I signed up to chat with @mazzeo on @ProductHunt on October 19 @ 12pm PDT 😀 Join me: https://t.co/DTjhyKpFhW,Mon Oct 19 15:42:07 +0000 2015,en,0,False,8,False,,Michael Birch,mickbirch
Blab Town Hall: Live from the Bay w/ @blab @ShaanVP @tylerjanderson https://t.co/JkMo4tegZo #blab,Sun Oct 18 01:12:45 +0000 2015,en,0,False,3,False,,Michael Birch,mickbirch
Blab Town Hall: PodClear and new toys! w/ @blab @spencer414 @hannaherg @ShaanVP https://t.co/vo4I5CYZEC #blab,Tue Sep 29 00:12:56 +0000 2015,en,2,False,2,False,,Michael Birch,mickbirch
"JOE SHOW!  ""THE SECRET:  HOLY OR HORSE PUCKY?""  w/The Secret's... w/ @FrankiePittle @JoeSymon @BobDoyleSecret https://t.co/jb8A8HmcFi #blab",Sat Sep 26 00:12:55 +0000 2015,en,0,False,2,False,,Michael Birch,mickbirch
Robert Scoble now LIVE on #BlabTalkLive! w/ @joelcomm @vincenzolandino @Scobleizer https://t.co/t2eONQbPQt #blab,Tue Sep 15 02:20:56 +0000 2015,en,0,False,0,False,,Michael Birch,mickbirch
"Should Your Brand Be Blabbing?
 http://t.co/OTL7blsNkP",Thu Sep 10 15:42:37 +0000 2015,en,3,False,6,False,,Michael Birch,mickbirch
RT @blab: For those of you who haven't noticed... http://t.co/wjydrXrb8g,Thu Sep 10 15:41:11 +0000 2015,en,32,False,0,False,,Michael Birch,mickbirch
#AppleLIVE Event Watch Party on Blab w/ @iSocialFanz @SabaSedighi @MartyMcPadden @jnsdls https://t.co/HRRhL9vpt8 #blab,Wed Sep 09 17:03:43 +0000 2015,en,1,False,2,False,,Michael Birch,mickbirch
Tweet + Eat + Blab to help #NoKidHungry w/ @iSocialFanz @RobertCStern @NancyMyrland https://t.co/4FRWBtgwix #blab,Tue Sep 08 17:44:17 +0000 2015,en,0,False,1,False,,Michael Birch,mickbirch
Spreading the WORD &amp; the Love #NoKidHungry http://t.co/ATUa6enQOU w/ @RobertCStern @NancyMyrland @MakeMeAHarp https://t.co/4FRWBtgwix #blab,Tue Sep 08 17:37:23 +0000 2015,en,0,False,4,False,,Michael Birch,mickbirch
"Meet Scott Harrison, the founder of charity:water, live on Blab. Today 6:00pm PDT. Subscribe now ➼ https://t.co/4ojhDCwbCp #blab",Tue Sep 08 17:28:29 +0000 2015,en,4,False,11,False,,Michael Birch,mickbirch
40 Quick Tips for #Blab to make the most of your next #livestream broadcast. http://t.co/gqvJX0JSpi via @benrequena,Fri Aug 28 04:37:44 +0000 2015,en,4,False,8,False,,Michael Birch,mickbirch
Blab Stars Live! A Live Performance space f... w/ @karenmariemason @AdamLeeGuitar @JarodKashkin @vickienatale https://t.co/ZHJNHsjbYT #blab,Fri Aug 28 01:58:30 +0000 2015,en,0,False,3,False,,Michael Birch,mickbirch
Great video @SavvySexySocial. Blab.im: Next Level Social Networking via Live Streaming https://t.co/aP4smkA7Pb,Thu Aug 27 20:42:14 +0000 2015,en,2,False,1,False,,Michael Birch,mickbirch
Let's write Blab's dos/don'ts together! theblabway w/ @ShaanVP @brittanymetz https://t.co/yYo91gvocm #blab,Wed Aug 26 17:16:11 +0000 2015,en,1,False,2,False,,Michael Birch,mickbirch
Talking social with Mark Schaefer w/ @IanCleary @NiklasMyhr @Wakeupbetter @markwschaefer https://t.co/1BkLgsRISb #blab,Mon Aug 24 17:05:02 +0000 2015,en,0,False,0,False,,Michael Birch,mickbirch
How Blab.im Will Beat Google Hangouts at Their Own Game - Joel Comm - http://t.co/t3ir9CRKNK http://t.co/ixNGvBhYaY,Sun Aug 23 15:53:38 +0000 2015,en,5,False,9,False,,Michael Birch,mickbirch
The Started-its live at Monkey Inferno / Manchester England S01E01 w/ @theologian https://t.co/B4etRW3A0Z #blab,Sat Aug 22 02:00:24 +0000 2015,en,0,False,1,False,,Michael Birch,mickbirch
"Chatting live with Furqan, the CTO of #blab w/ @CarlosGil83 @pambrossman @FurqanR @tylerjanderson https://t.co/4Qr1PyPzzd #blab",Thu Aug 20 06:24:59 +0000 2015,en,2,False,3,False,,Michael Birch,mickbirch
Famous Periscopers♡♡ w/ @BradmanTV @MelissaLogsdon @christouffer @ccuthbertson93 https://t.co/kU1CNbjD1y #blab,Thu Aug 20 01:49:22 +0000 2015,en,0,False,2,False,,Michael Birch,mickbirch
"A brit, jew (with a guitar), and a busty lass on a pool table w/ @viktorrohlin https://t.co/socjtNBYmh #blab",Wed Aug 19 06:23:28 +0000 2015,en,1,False,2,False,,Michael Birch,mickbirch
RT @ShaanVP: Hey @mickbirch you've been drawn! Thanks to the lovely @karolien1008 @brittanymetz,Tue Aug 18 21:40:09 +0000 2015,en,1,False,0,False,,Michael Birch,mickbirch
"I'm blabbing LIVE on blab.im, our new startup, my first time using it properly myself. Come and say hello now. https://t.co/JddgHqovGK #blab",Tue Aug 18 17:18:39 +0000 2015,en,4,False,13,False,,Michael Birch,mickbirch
Congrats to the @Nebia team for passing $1.5m on @kickstarter in just a few days https://t.co/6HoUIUZDXm,Fri Aug 14 17:16:58 +0000 2015,en,3,False,11,False,,Michael Birch,mickbirch
Our latest startup - Blab video chat app is like Periscope for groups of friends http://t.co/8Sfn4WpDfj via @mashable,Thu Aug 06 09:53:35 +0000 2015,en,1,False,6,False,,Michael Birch,mickbirch
“Hiring on Craigslist without flooding your email inbox” by @howietl https://t.co/1YQE9SkRXC,Fri Jul 31 08:30:24 +0000 2015,en,1,False,2,False,,Michael Birch,mickbirch
Blab - Blab http://t.co/7rvIuAJXtp via @nuzzel thanks @theologian,Sat Jun 27 18:56:17 +0000 2015,en,0,False,1,False,,Michael Birch,mickbirch
"Awesome day for gay rights. US is 21st country to recognize gay marriage. Thought I'd never say it, but makes you proud to be an American!",Fri Jun 26 15:22:54 +0000 2015,en,1,False,5,False,,Michael Birch,mickbirch
"RT @MittRomney: Take down the #ConfederateFlag at the SC Capitol. To many, it is a symbol of racial hatred. Remove it now to honor #Charles…",Mon Jun 22 03:27:44 +0000 2015,en,43777,False,0,False,,Michael Birch,mickbirch
@brenthoberman thank you Brent!,Sat Jun 13 20:21:35 +0000 2015,en,0,False,0,False,,Michael Birch,mickbirch
Banning legal highs is not the answer - http://t.co/wRgNfCzWMe nicely said @richardbranson,Mon Jun 08 16:27:14 +0000 2015,en,1,False,4,False,,Michael Birch,mickbirch
"Really cool, beautifully made - I See You https://t.co/F8XGTh3tOC via @YouTube",Wed Jun 03 15:31:12 +0000 2015,en,3,False,3,False,,Michael Birch,mickbirch
Last leg of Gumball 3000 to Las Vegas via Death Valley in the De Lorean http://t.co/J7FasGFwjM,Fri May 29 15:47:46 +0000 2015,en,1,False,12,False,,Michael Birch,mickbirch
Ingenius. Now you can reach 1B+ Gmail users with an integrated gmail app with @InboxSDK - Could become as important as your mobile app.,Thu May 21 21:27:23 +0000 2015,en,2,False,8,False,,Michael Birch,mickbirch
So cool. @richardbranson writes about @charitywater - amazing photos of baby Jackson :) http://t.co/CvqxgbjS4F,Tue May 12 16:12:57 +0000 2015,en,5,False,7,False,,Michael Birch,mickbirch
Wow! A really AMAZING video on corruption in the US government. Beautifully done. https://t.co/Zm6xOMqKJv via @representdotus,Fri May 08 16:15:37 +0000 2015,en,12,False,14,False,,Michael Birch,mickbirch
"Xochi and I made our first film for Battery Powered, about San Francisco's future: https://t.co/XklXsIpsIN",Mon May 04 16:39:36 +0000 2015,en,6,False,12,False,,Michael Birch,mickbirch
"Incredibly saddened by @davegoldberg passing. An extraordinary father, husband, entrepreneur, loyal friend. You will be so so missed Goldie.",Sat May 02 18:40:45 +0000 2015,en,6,False,9,False,,Michael Birch,mickbirch
