Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"I love these ""early days of a successful company"" stories - https://t.co/Z66POM1YWZ",Fri Mar 25 18:13:18 +0000 2016,en,0,False,0,False,,Mika Salmi,MikaSalmi
How do you spot what's hot? not easy but there are ways... https://t.co/eaOA9ma0jS,Thu Mar 24 05:23:11 +0000 2016,en,1,False,1,False,,Mika Salmi,MikaSalmi
wacky and fun skateboard moves! https://t.co/rycVCEl1fu,Wed Mar 23 04:51:19 +0000 2016,en,0,False,1,False,,Mika Salmi,MikaSalmi
@Rich_Barton Thanks Rich. Still following the strategy in many ways. Just at a higher level now!,Sat Mar 19 03:29:09 +0000 2016,en,0,False,0,False,,Mika Salmi,MikaSalmi
Hyvä Suomi! Why @Finland has the best schools - LA Times https://t.co/jpQhUyAPDM,Sat Mar 19 03:27:20 +0000 2016,fi,4,False,9,False,,Mika Salmi,MikaSalmi
"US elections according to ""Finnish news"" https://t.co/fiMu69RQtG",Thu Mar 10 22:00:21 +0000 2016,en,0,False,0,False,,Mika Salmi,MikaSalmi
"I drone on and on in this post - ""Drone Domination"" by @MikaSalmi on @LinkedIn https://t.co/yhWOsgIjAV",Fri Mar 04 22:03:39 +0000 2016,en,0,False,0,False,,Mika Salmi,MikaSalmi
"""stocks go up and down"" - in other words, don't overreact. https://t.co/RwyRXRwwYa",Thu Feb 11 16:42:31 +0000 2016,en,2,False,2,False,,Mika Salmi,MikaSalmi
Way to go INSEAD! #1NSEAD #FTMBA2016 https://t.co/PHCCoFxVXo,Mon Jan 25 04:29:42 +0000 2016,en,0,False,0,False,,Mika Salmi,MikaSalmi
"My @INSEAD classmate Geoff Ralston has published a good guide to raising seed money.
https://t.co/1TF7k8qvIH",Mon Jan 18 22:01:14 +0000 2016,en,0,False,1,False,,Mika Salmi,MikaSalmi
-10c? Snowing? Standing wave? She rips it! @ Englischer Garten - Bei de Surfer https://t.co/0MfD1rL8fe,Sun Jan 17 11:28:50 +0000 2016,en,0,False,0,False,"{'coordinates': [11.5876644, 48.14348389], 'type': 'Point'}",Mika Salmi,MikaSalmi
The straight dope from Startup Jackson on how to get rich in the tech world. Very practical advice. https://t.co/c7TVTqg2jr,Sat Dec 26 15:27:58 +0000 2015,en,0,False,0,False,,Mika Salmi,MikaSalmi
"Alien communication above Whistler Mountain @ Whistler, Canada https://t.co/0gkfiDVuDc",Tue Dec 22 19:10:41 +0000 2015,en,0,False,0,False,"{'coordinates': [-122.954, 50.1208], 'type': 'Point'}",Mika Salmi,MikaSalmi
This wave looks incredible. I want to ride it!! https://t.co/GXJc0zKOJp,Sat Dec 19 16:35:08 +0000 2015,en,0,False,0,False,,Mika Salmi,MikaSalmi
Who's going? @ Ziegfeld Theatre https://t.co/3YPpgNVCWS,Fri Dec 18 00:15:42 +0000 2015,en,0,False,0,False,"{'coordinates': [-73.97881, 40.7627], 'type': 'Point'}",Mika Salmi,MikaSalmi
I have always been a believer that constraints foster creativity and innovation. This article has insight into why.…https://t.co/05PU5K5KwO,Sat Dec 05 17:33:50 +0000 2015,en,0,False,1,False,,Mika Salmi,MikaSalmi
Love love love @KEXP !! https://t.co/cnoRMxYJ4R,Mon Nov 09 23:22:08 +0000 2015,en,0,False,0,False,,Mika Salmi,MikaSalmi
"RT @NoelleSalmi: Surf for Love, Not for Gold https://t.co/tKmJLztUq1",Mon Nov 02 01:40:01 +0000 2015,en,1,False,0,False,,Mika Salmi,MikaSalmi
"NYC in the 80s was dangerous and exciting for sure. Scorsese really nailed it in ""After Hours"". http://t.co/9LCgxb03RH",Sat Oct 17 16:53:22 +0000 2015,en,0,False,0,False,,Mika Salmi,MikaSalmi
Plane shark @ San Francisco International Airport (SFO) https://t.co/emzmbLw6GI,Fri Oct 16 22:22:27 +0000 2015,en,0,False,0,False,"{'coordinates': [-122.389544, 37.615608], 'type': 'Point'}",Mika Salmi,MikaSalmi
how we look without our phones. kind of eery. http://t.co/68AGPCpqcD,Wed Oct 14 03:10:32 +0000 2015,en,0,False,0,False,,Mika Salmi,MikaSalmi
