Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@rfradin @united mine too this morning!,Mon Apr 25 17:13:06 +0000 2016,en,0,False,1,False,,Nat Turner,natsturner
So can I vote on my phone today or what?,Tue Apr 19 16:37:35 +0000 2016,en,1,False,4,False,,Nat Turner,natsturner
"RT @TODAYshow: ""Anything that happens in this company is my responsibility at the end of the day."" -Theranos CEO Elizabeth Holmes https://t…",Mon Apr 18 14:13:53 +0000 2016,en,43,False,0,False,,Nat Turner,natsturner
Does Dwight Howard even care about the game he's playing in?,Sat Apr 16 21:50:43 +0000 2016,en,0,False,4,False,,Nat Turner,natsturner
Anyone out there an incredible fantasy baseball manager?,Mon Apr 11 02:03:02 +0000 2016,en,0,False,2,False,,Nat Turner,natsturner
RT @jeffweiner: Kudos to team behind digital replica of actual Masters leader board. Nice touch on already impressive site https://t.co/c93…,Sun Apr 10 18:21:53 +0000 2016,en,10,False,0,False,,Nat Turner,natsturner
"Forgot Speith, Brennan Simkins was the real story of the 2015 Masters https://t.co/DHb7SbEvGP",Fri Apr 08 11:10:37 +0000 2016,en,0,False,3,False,,Nat Turner,natsturner
Old school https://t.co/k9iJC2se0T,Thu Apr 07 18:40:04 +0000 2016,en,0,False,4,False,,Nat Turner,natsturner
@notSoJunkDNA @flatironhealth madison square park area,Tue Apr 05 12:46:22 +0000 2016,en,0,False,1,False,,Nat Turner,natsturner
First day in the new office @flatironhealth! https://t.co/y56A5LS71o,Mon Apr 04 15:30:29 +0000 2016,en,8,False,36,False,,Nat Turner,natsturner
@mkatz0630 wolfgangs tonight?,Mon Apr 04 12:53:24 +0000 2016,en,0,False,2,False,,Nat Turner,natsturner
Great profile of Sundar at Google https://t.co/DgaoZb9g0e,Mon Mar 28 14:46:37 +0000 2016,en,0,False,4,False,,Nat Turner,natsturner
RT @morninggloria: America is like the latest episodes of Game Of Thrones in that nerds who read all the books have no idea what the fuck i…,Sat Mar 26 03:00:35 +0000 2016,en,2928,False,0,False,,Nat Turner,natsturner
RT @JonathanHirsch: .@CliffordHudis announced as CEO of @ASCO. Smart move https://t.co/SbeJqudGFR,Wed Mar 23 14:30:12 +0000 2016,en,1,False,0,False,,Nat Turner,natsturner
RT @flatironhealth: We love our clients! Congrats to South Carolina Oncology Assoc for being on OncoEMR for 1 year https://t.co/gLhLt4cXFT,Sat Mar 19 00:48:48 +0000 2016,en,4,False,0,False,,Nat Turner,natsturner
@bryce yes,Tue Mar 15 23:05:09 +0000 2016,und,0,False,0,False,,Nat Turner,natsturner
"RT @vintweeta: Dr Johnson: ""Tissues w/out annotation are meaningless"" - Linking to longitudinal, research-grade clinical #EHR data is criti…",Sun Mar 13 23:05:50 +0000 2016,en,4,False,0,False,,Nat Turner,natsturner
"I just turned on the Warriors game, and the second I did Curry nails a three",Sun Mar 13 03:54:03 +0000 2016,en,1,False,3,False,,Nat Turner,natsturner
@adambain mama's my favorite,Sun Mar 13 02:43:27 +0000 2016,en,0,False,0,False,,Nat Turner,natsturner
@adambain mama's on Washington Square,Sun Mar 13 02:43:01 +0000 2016,en,0,False,1,False,,Nat Turner,natsturner
"RT @SarahSpain: Holy S***RT @JaredWyand: WATCH: Ted Cruz's pastor calls for execution of gays minutes before introducing him
https://t.co/F…",Sat Mar 12 03:40:50 +0000 2016,en,4478,False,0,False,,Nat Turner,natsturner
RT @zachweinberg: Engineering Career Ladders as Cultural Manifesto // Flatiron Health https://t.co/w8X7W16Q86,Thu Mar 10 02:37:04 +0000 2016,en,3,False,0,False,,Nat Turner,natsturner
