Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @FeatureForward: Our Chairman @OferZinger , spoke last week at the IDEAS about his experiences. More info about his lecture soon... http…",Sun Mar 27 16:12:35 +0000 2016,en,1,False,0,False,,Ohad Gliksman,ohadgliksman
RT @eranshir: Facebook M — The Anti-Turing Test https://t.co/EgMHOSQPV6,Thu Nov 12 05:08:31 +0000 2015,en,2,False,0,False,,Ohad Gliksman,ohadgliksman
RT @OferZinger: Time to shift your video budgets online. https://t.co/kCtCnxLqED,Tue Nov 10 07:59:55 +0000 2015,en,1,False,0,False,,Ohad Gliksman,ohadgliksman
"Hey @British_Airways, It does not seem to work. Can you contact me via my member ID: 30249471",Mon Jan 26 06:26:44 +0000 2015,en,0,False,0,False,,Ohad Gliksman,ohadgliksman
@British_Airways Thanks. Will send you my details.,Mon Jan 26 06:22:44 +0000 2015,en,0,False,0,False,,Ohad Gliksman,ohadgliksman
"Thanks @British_Airways , but I got the same response from your customer care. Fact is that you changed 4 out of 4 seats in my flights!!!",Sun Jan 25 15:31:56 +0000 2015,en,0,False,0,False,,Ohad Gliksman,ohadgliksman
Bye @British_Airways . 4/4 flights with you last week with the wrong seats. Your customer care is also very bad. Suggested other airlines?,Sun Jan 25 14:03:41 +0000 2015,en,0,False,1,False,,Ohad Gliksman,ohadgliksman
RT @liadagmon: Dynamic Yield on @adexchanger http://t.co/Cq1NwcJQ9W,Sun Jun 22 03:40:23 +0000 2014,cy,1,False,0,False,,Ohad Gliksman,ohadgliksman
RT @orr_hirsch: Dynamic Yield raises $12.25M in a round led by Marker LLC. Congrats @liadagmon @DynamicYield  @uvsh,Sun Jun 22 03:37:39 +0000 2014,en,5,False,0,False,,Ohad Gliksman,ohadgliksman
http://t.co/v5KPO7WWew http://t.co/2rLOhhddO5,Wed Jun 18 04:37:21 +0000 2014,und,0,False,0,False,,Ohad Gliksman,ohadgliksman
RT @omri2u: Dynamic Yield Builds An Ad Server For Website Content - http://t.co/bxJ6I21IHS,Mon Jun 02 10:27:28 +0000 2014,en,1,False,0,False,,Ohad Gliksman,ohadgliksman
RT @bokelley: Classic Ciaran O'Kane: What I’m Going To Do When I Get The Yahoo CRO Role | http://t.co/PBJ3uvR7TH http://t.co/GBrfRlwSNV,Sat Apr 19 07:34:29 +0000 2014,en,4,False,0,False,,Ohad Gliksman,ohadgliksman
"RT @TLV_Media: The art of programmatic advertising #tlvmedia #rtb 
http://t.co/64d2xNs9p1",Wed Mar 12 07:48:39 +0000 2014,en,2,False,0,False,,Ohad Gliksman,ohadgliksman
"This is what we do!!!
http://t.co/IyZXUUVpKM",Thu Mar 06 10:52:04 +0000 2014,en,0,False,0,False,,Ohad Gliksman,ohadgliksman
