Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @howardlindzon: New post- 'Sparkfin updates... And the Constellation of Financial Apps' https://t.co/bYkiLIrjcr @sparkfin,Fri Apr 29 16:15:15 +0000 2016,en,2,False,0,False,,Sean Park,parkparadigm
@dgwbirch @tek_fin #preemptiveconcern,Thu Apr 28 18:00:26 +0000 2016,und,0,False,0,False,,Sean Park,parkparadigm
"""Lucifer in the flesh"" https://t.co/yxFCYJRQoP #damnwithfaintpraise",Thu Apr 28 17:08:10 +0000 2016,en,0,False,1,False,,Sean Park,parkparadigm
"Interesting, Seuss-ian ticket: Sociopath 1 &amp; Sociopath 2 https://t.co/IOG64cC6of",Thu Apr 28 07:26:16 +0000 2016,en,0,False,4,False,,Sean Park,parkparadigm
"@BrynneSpeak if you get a chance, say hello to @lesliecampisi while u r there",Thu Apr 28 07:07:55 +0000 2016,en,0,False,1,False,,Sean Park,parkparadigm
“Big corporations will fail on their own. They need the help of entrepreneurs. They need innovative...” https://t.co/E7DJmoAB5h,Wed Apr 27 12:44:48 +0000 2016,en,1,False,0,False,,Sean Park,parkparadigm
@CMastication its all about displacement. In life as in boats. 😉,Tue Apr 26 17:36:01 +0000 2016,en,0,False,0,False,,Sean Park,parkparadigm
"“If good design is good business, then it is time for us to be able to say how good we are in building...” https://t.co/94H4Aiju0r",Tue Apr 26 13:15:26 +0000 2016,en,2,False,1,False,,Sean Park,parkparadigm
Been on a journey for awhile with @ScottWalchek &amp; Co. and it just keeps getting better and better. #hackinginsurance https://t.co/UI5srmero2,Tue Apr 26 12:57:17 +0000 2016,en,1,False,4,False,,Sean Park,parkparadigm
RT @tek_fin: The fact that this event is happening in Europe is phenomenal and shows how the edge in internet thinking has moved. https://t…,Tue Apr 26 12:54:30 +0000 2016,en,2,False,0,False,,Sean Park,parkparadigm
"📷 (via Pinterest: Discover and save creative ideas) @factionskis Candide 3.0s are good to go anywhere,... https://t.co/bIPRjF4hNu",Tue Apr 26 10:24:58 +0000 2016,en,0,False,0,False,,Sean Park,parkparadigm
RT @brettking: The highest rated banking app in Canada is TD MySpend by @getMoven https://t.co/ziJO89jDKs,Tue Apr 26 06:14:20 +0000 2016,en,9,False,0,False,,Sean Park,parkparadigm
RT @howardlindzon: 'The big long' part 2 .... Hard to argue against this data https://t.co/jSMnatom8G $spy ht @awealthofcs @abnormalreturns,Mon Apr 25 17:22:53 +0000 2016,en,1,False,0,False,,Sean Park,parkparadigm
"""Finance has to transform itself...for deployment to happen."" ""Either big banks will do it, or entrepreneurs, or both but is inevitable.""",Mon Apr 25 13:19:47 +0000 2016,en,1,False,2,False,,Sean Park,parkparadigm
Listening to our resident academic/researcher Carlota Perez now illuminating the team @anthemis &gt;&gt; foundational thinking is so important,Mon Apr 25 13:17:27 +0000 2016,en,4,False,6,False,,Sean Park,parkparadigm
