Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Sunny day in Central Park, New York https://t.co/XC3UpzG4Xy",Sun Apr 24 19:42:01 +0000 2016,en,0,False,3,False,,Julian Ranger,rangerj
Gotta give it to the older generation - outplaying the youngsters here today with the mixing decks https://t.co/SefYtpwo4Z,Sat Apr 23 17:24:41 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
On the High Line in New York an old elevated  railway line made fun https://t.co/rc8rInwNcu,Sat Apr 23 17:15:11 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
Freedom tower and reflection pools in New York https://t.co/k8WW3MExs7,Fri Apr 22 16:36:02 +0000 2016,en,0,False,0,False,,Julian Ranger,rangerj
"First VR lesson - you must have a swivel chair!! At Samsung experience, NY https://t.co/of2Blssp1p",Fri Apr 22 15:15:28 +0000 2016,en,0,False,0,False,,Julian Ranger,rangerj
RT @digime: digi.me founder Julian Ranger urges voters to stay in the EU https://t.co/efVQs4mNs2 https://t.co/NaQs5ASAOW,Thu Apr 21 12:39:41 +0000 2016,en,1,False,0,False,,Julian Ranger,rangerj
RT @digime: Including our founder @rangerj because we are 100pc #StrongerIn  https://t.co/T27QLCYcHJ,Wed Apr 20 23:46:45 +0000 2016,en,1,False,0,False,,Julian Ranger,rangerj
RT @guy_levin: Hmm. All the benefits with none of the compromises or costs. Utter fantasy  https://t.co/AIYzsJQr4g,Tue Apr 19 19:11:46 +0000 2016,en,5,False,0,False,,Julian Ranger,rangerj
"@katyhowell key is explicit &amp;informed consent - if you are FB you have that(ish), but have you when you are a 3rd party using it?; prob not",Tue Apr 19 15:12:39 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
RT @digime: EU GDPR: full details of what it means for personal data and your business https://t.co/2AZWhf3Qwp https://t.co/0NfirTyDEm,Tue Apr 19 15:10:10 +0000 2016,en,1,False,0,False,,Julian Ranger,rangerj
EU GDPR: full details of what it means for personal data and your business https://t.co/JSs5vtAAoH via @digime,Tue Apr 19 13:37:24 +0000 2016,en,0,False,0,False,,Julian Ranger,rangerj
EU GDPR - full and clear details of what it means for you and your personal data https://t.co/cdlki5sEWu via @digime,Mon Apr 18 08:03:22 +0000 2016,en,1,False,1,False,,Julian Ranger,rangerj
I just backed Pure Hydration Sentinel Individual Water Purification Device on @Kickstarter https://t.co/tRzV5yvgc2,Sun Apr 17 15:50:07 +0000 2016,en,1,False,1,False,,Julian Ranger,rangerj
I've been a Vistage member for 15 years and Marcus is ALWAYS worth watching - do have a look https://t.co/d08hUdiTU4,Sun Apr 17 15:40:34 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
RT @KeithHaviland: Our marvellous film @LastManOnMoon now on iTunes UK front page and # 1 documentary.  A great #space movie. Enjoy! https:…,Sun Apr 17 15:36:28 +0000 2016,en,6,False,0,False,,Julian Ranger,rangerj
"Re previous tweet, I used them on my round the world trip with our family &amp; we had clean water everywhere over 18 months &amp; never got ill",Fri Apr 15 16:30:49 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
"This is the best water purification tech on the market - essential for anyone travelling or doing outdoor pursuits
https://t.co/hi5cHaZsWU",Fri Apr 15 16:29:37 +0000 2016,en,0,False,0,False,,Julian Ranger,rangerj
“Integrity not for sale: Qiy Foundation’s vision for a new internet” by Simon Carroll https://t.co/F9JYGPTVTH,Fri Apr 15 16:18:12 +0000 2016,en,1,False,0,False,,Julian Ranger,rangerj
"RT @KeithHaviland: Our wonderful film @LastManOnMoon is on UK iTunes. Gigantic congrats @markstewartprod ,@MarkStopwatch, @GravitasVOD. htt…",Fri Apr 15 11:42:42 +0000 2016,en,7,False,0,False,,Julian Ranger,rangerj
RT @SimonCarroll4: Latest from #InternetOfMe https://t.co/Ct4eeK8Xj2,Fri Apr 15 11:42:33 +0000 2016,en,3,False,0,False,,Julian Ranger,rangerj
@SptNeus yes - please email me: Julian at digi dot me,Fri Apr 15 11:41:51 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
"RT @digime: As the EU passes the GDPR data privacy rules, the four key things you need to know https://t.co/mnc8wk9r2Y https://t.co/5rgPNmn…",Thu Apr 14 21:04:59 +0000 2016,en,6,False,0,False,,Julian Ranger,rangerj
And contains an item from digi.me within ..... https://t.co/miJtd9nkbQ,Wed Apr 13 09:38:10 +0000 2016,en,1,False,1,False,,Julian Ranger,rangerj
@HerveHumbert thanks - Iceland going v well and lovely weather too. I'll buy you a beer next time we meet for no other reason than I should!,Tue Apr 12 11:56:03 +0000 2016,en,0,False,2,False,,Julian Ranger,rangerj
A beautiful sunny day in Reykjavik with a crisp chill to the air https://t.co/JqvILJpfwq,Tue Apr 12 09:11:42 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
And because Iceland is a friendly country here are the 'riot squad' in a side street just in case: https://t.co/lcUNyEDuxY,Mon Apr 11 17:48:43 +0000 2016,en,0,False,1,False,,Julian Ranger,rangerj
In Reykjavik &amp; demonstrators are still outside parliament - apparently two more Minister caught in #panamapapers https://t.co/JJADVvkpxe,Mon Apr 11 17:47:58 +0000 2016,en,0,False,0,False,,Julian Ranger,rangerj
@KemuriSense The only to take me up in my beef offer! - though I am currently in Iceland.,Sun Apr 10 16:45:14 +0000 2016,en,0,False,0,False,,Julian Ranger,rangerj
Bonza - Rule the World wins the #GrandNational  giving me a nice win at 50-1 odds. Who wants a beer?,Sat Apr 09 16:29:19 +0000 2016,en,0,False,3,False,,Julian Ranger,rangerj
SpaceX just recovered their first stage rocket - amazing. Watch from 25 mins https://t.co/LA4segIZil via @youtube,Sat Apr 09 08:18:23 +0000 2016,en,1,False,0,False,,Julian Ranger,rangerj
RT @business: Touchdown! SpaceX successfully lands a rocket on a drone ship for the first time https://t.co/BQhVAU1Q5v https://t.co/qZ6fyPc…,Sat Apr 09 08:05:38 +0000 2016,en,880,False,0,False,,Julian Ranger,rangerj
