Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"""Lessons First Time Entrepreneurs Need to Know with Safa Rashtchy: Investor, Adviso..."" by interviews on @commaful! https://t.co/fheCwMt7tE",Fri Apr 08 18:57:39 +0000 2016,en,0,False,2,False,,safa,safasrnext
“‘Taking the Wrong Lessons from Uber’ — C(osts).R.E.A.M. in On-Demand” by @timothyxchen https://t.co/VZuOtDR0Ew,Tue Apr 05 03:17:34 +0000 2016,en,0,False,0,False,,safa,safasrnext
Help make it happen for AVA Health Technologies: The Autism Data Solution https://t.co/dFBs7RT35r #indiegogo via @indiegogo,Tue Nov 03 22:13:22 +0000 2015,en,0,False,1,False,,safa,safasrnext
Capshare – The Ideal Partner for the Upcoming Golden Age of Video http://t.co/Z7wGJ5u2m9,Fri Oct 16 18:41:59 +0000 2015,en,0,False,0,False,,safa,safasrnext
Spread the word to help people with autism around the world. #Vote for @autismspeaks to #UpgradeYourWorld,Sat Aug 22 16:22:07 +0000 2015,en,0,False,1,False,,safa,safasrnext
Shame on you @united! Will never fly United until they rectify this with a clear policy and the pilot is disciplined. join  #BoycottUnited,Thu May 14 19:44:34 +0000 2015,en,1,False,0,False,,safa,safasrnext
#Nepal,Mon Apr 27 01:28:17 +0000 2015,und,0,False,0,False,,safa,safasrnext
""" The Top15 Most Promising YC  W15 Companies "" by @safa  - Think+ http://t.co/tUwrj5rheF",Fri Mar 27 04:38:37 +0000 2015,en,0,False,0,False,,safa,safasrnext
Notice how every single rev/growth chart at YC demo day presentations has a big spike in March??,Mon Mar 23 23:38:53 +0000 2015,en,0,False,0,False,,safa,safasrnext
I just backed Autism Village | Easily Find Autism Friendly Places on @Kickstarter http://t.co/pLo5SQrEFT,Wed Mar 11 20:28:30 +0000 2015,en,0,False,2,False,,safa,safasrnext
"Here are ""Four Reasons Why Apple Watch is A Game Changer""  http://t.co/tUwrj5ISDf",Wed Mar 11 05:47:40 +0000 2015,en,0,False,0,False,,safa,safasrnext
@ianhabbott sure- I am at thinkplus.vc,Sat Feb 28 10:54:53 +0000 2015,en,0,False,0,False,,safa,safasrnext
@ianhabbott sure- send it over at thinkplus.vc,Tue Feb 10 05:30:31 +0000 2015,en,0,False,0,False,,safa,safasrnext
I'm leading a Syndicate on AngelList. Back me here https://t.co/t1Fuv8xk3i,Mon Feb 09 20:59:13 +0000 2015,en,0,False,2,False,,safa,safasrnext
Surprising Insights from the largest group of Unicorns compiled- by @safa on @LinkedIn https://t.co/4PIYIam4q4,Tue Jan 20 01:52:16 +0000 2015,en,0,False,0,False,,safa,safasrnext
"""Club 85: Insights from 2015 Unicorns"" by @safa on @LinkedIn https://t.co/4PIYIam4q4",Mon Jan 19 04:12:55 +0000 2015,en,0,False,0,False,,safa,safasrnext
FB starting FB@Work reminds me of Google+ going after FB- We know how much share GOOG was able to get.,Thu Nov 20 04:51:28 +0000 2014,en,0,False,0,False,,safa,safasrnext
keep calm and carry on investing in the strong companies,Sat Oct 18 00:52:31 +0000 2014,en,0,False,2,False,,safa,safasrnext
What Apple learned from Japan and what it means for your Start-up https://t.co/NCa04n738M,Tue Oct 07 20:32:57 +0000 2014,en,0,False,0,False,,safa,safasrnext
"Google has three challenges with Design, Google +, and Gmail 
http://t.co/12q3Ih3YXi",Tue Aug 12 18:15:49 +0000 2014,en,0,False,0,False,,safa,safasrnext
Google's Challenges http://t.co/BqGjk7TpIK,Tue Aug 12 12:41:25 +0000 2014,en,1,False,2,False,,safa,safasrnext
"@MParekh  Hey Michael - not sure if you saw my piece on Anatomy of a Bubble, but thought yu may like it http://t.co/12q3Ih3YXi",Tue Jul 15 21:37:18 +0000 2014,en,0,False,1,False,,safa,safasrnext
@DanielleMorrill Anatomy of a Bubble http://t.co/12q3Ih3YXi,Tue Jul 15 21:35:27 +0000 2014,en,0,False,0,False,,safa,safasrnext
A Period Is Questioned in the Declaration of Independence http://t.co/v0xXvrVcbO,Thu Jul 03 21:47:17 +0000 2014,en,0,False,0,False,,safa,safasrnext
Anatomy of a Bubble http://t.co/LMBaSURtJn,Fri Jun 20 21:54:23 +0000 2014,en,1,False,1,False,,safa,safasrnext
@DealExtreme2010 this place is a fraud! They charge the credit card and never ship the item. Report them.,Tue Jun 17 05:04:02 +0000 2014,en,0,False,0,False,,safa,safasrnext
"@DealeXtremeFans company has a terrible service at best, and is a fraud at worst-charged my account a month ago and is yet to deliver-Avoid!",Wed Jun 11 22:20:58 +0000 2014,en,0,False,0,False,,safa,safasrnext
"@weebly yes, thanks for quick response.",Wed Jun 11 01:37:40 +0000 2014,en,0,False,0,False,,safa,safasrnext
@weebly - Having major problems with site and no response from their tech support - they'll lose customers fast in this way,Tue Jun 10 21:39:47 +0000 2014,en,0,False,0,False,,safa,safasrnext
"A picture of how people are faring: How the Recession Reshaped the Economy, in 255 Charts http://t.co/6FnFFfQhVU",Fri Jun 06 17:53:11 +0000 2014,en,0,False,0,False,,safa,safasrnext
The Teens Speak:  FB and TV Are Not Dead! http://t.co/fuolvubvXe,Wed Jun 04 18:28:00 +0000 2014,en,0,False,0,False,,safa,safasrnext
I just updated my website. http://t.co/9IXRR5CgdF,Wed Jun 04 18:27:09 +0000 2014,en,0,False,0,False,,safa,safasrnext
At #500startup demo day - impressive that the batch has over $20 m rev run rate- another example of how this is not 2000.,Thu May 08 21:26:13 +0000 2014,en,0,False,0,False,,safa,safasrnext
Corporate  Entrepreneurship Responsibility  http://t.co/C1N3ACEFzR via @fadig,Tue May 06 20:49:25 +0000 2014,es,1,False,0,False,,safa,safasrnext
Happy to see Wist just featured among The Best New Apps and Top Local Living apps - https://t.co/QdCZHrDhTy #iTunes,Thu Apr 24 21:33:52 +0000 2014,en,0,False,1,False,,safa,safasrnext
"I have seen and lived through a bubble- whatever we have today, overvaluation, extra exuberance, etc., it is not a baseless bubble",Thu Mar 27 05:24:54 +0000 2014,en,0,False,0,False,,safa,safasrnext
"RT @EghosaO: #Autism Begins as Brain Cells Altered in Womb, Study Finds http://t.co/lJ7ZlrDisO",Thu Mar 27 05:19:45 +0000 2014,en,2,False,0,False,,safa,safasrnext
