Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@MattHartman MattHartman botphy would be more credible coming from you :),Fri Apr 29 04:50:52 +0000 2016,en,0,False,1,False,,David Hirsch,startupman
@talkspace helps you manage personal relationships . Your therapist in the cloud.  https://t.co/Nhvj4peHSv,Fri Apr 29 04:48:35 +0000 2016,en,0,False,2,False,,David Hirsch,startupman
RT @briansin: Two amazing companies bringing us closer to a cancer free world.  Congrats to the @stemcentrx team! https://t.co/b1P0g1MOZB,Thu Apr 28 18:22:54 +0000 2016,en,15,False,0,False,,David Hirsch,startupman
Pivots powered by passion yield execution &amp; path to fit.Companies started without pain/passion pivot behind not ahead of market @joemarchese,Thu Apr 28 14:41:11 +0000 2016,en,1,False,1,False,,David Hirsch,startupman
Velcro was for astronauts before toddlers then hipsters. Maybe solving for the 1% is the real path to eventual ubiquity @joemarchese,Thu Apr 28 14:32:32 +0000 2016,en,1,False,4,False,,David Hirsch,startupman
How bout that email targeting while in line @sweetgreen @nathanielru @SteveCase @scottbelsky https://t.co/ZDnqKbTZIj,Thu Apr 28 00:37:52 +0000 2016,en,0,False,5,False,,David Hirsch,startupman
Love seeing and hearing my friend @meditationbob share the magic of TM @LynchFoundation  https://t.co/gZel1AjZEt,Wed Apr 27 03:31:40 +0000 2016,en,0,False,3,False,,David Hirsch,startupman
"""Fragrance"" has become a condiment for every product category @NetReturn @TheDoctors @StinkMovie https://t.co/tgwXlMUi2p",Mon Apr 25 00:07:55 +0000 2016,en,2,False,2,False,,David Hirsch,startupman
SF city dwellers check out @StinkMovie tomorrow evening https://t.co/JUBBUoE33O,Wed Apr 20 21:27:40 +0000 2016,en,1,False,1,False,,David Hirsch,startupman
Nice w coast portfolio  connected fiber @THRIVEmkt delivery in lobby of @UseTrusted .Actually relevant collaboration https://t.co/hYLxtDfzB8,Wed Apr 20 21:26:26 +0000 2016,en,0,False,1,False,,David Hirsch,startupman
@garrytan @michaelrwolfe @SFyimby moving on up to a deluxe apartment in the sky ( aka #cloud) https://t.co/HipCBbiLk6,Mon Apr 18 00:17:30 +0000 2016,en,0,False,0,False,,David Hirsch,startupman
Hurt hurts and help helps and the #checkit kids are pretty amazing @kathynajimy @Tribeca @RadicalMedia  https://t.co/gKXNcKqoda,Sun Apr 17 21:44:59 +0000 2016,en,0,False,1,False,,David Hirsch,startupman
