Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Register for the next Stormz training in Toronto, less than two weeks https://t.co/M6REJJIboX",Fri Apr 29 07:53:40 +0000 2016,en,1,False,1,False,,Stormz,stormzplatform
Welcome to our Stormz Breakfast Meetup. In Paris today (in Toronto soon)... https://t.co/lnklYMWNAA,Fri Apr 29 06:28:29 +0000 2016,en,1,False,1,False,,Stormz,stormzplatform
"Lego Serious Play + Stormz digital tool = ❤️, discover @cuxdu and @ineation session at @creaconference 2016 https://t.co/ucCVy8FMEO",Thu Apr 28 08:05:06 +0000 2016,en,0,False,2,False,,Stormz,stormzplatform
.@delphinebatton and @ineation combined #pinterest #stripdesigner #Stormz @creaconference https://t.co/wEzDeOGdra https://t.co/dHgxaQEr4A,Tue Apr 26 12:32:05 +0000 2016,en,2,False,1,False,,Stormz,stormzplatform
"[Fr] Un gabarit Stormz pour que vous aussi vous puissiez combiner prototypes et Stormz
https://t.co/cY3k5ShoQz https://t.co/Yz5ujwZmcV",Tue Apr 26 10:13:22 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
[fr] Stormz combine le meilleur du Low-Tech et du High-tech à CREA Conférence 2016 https://t.co/E7mmsd4KES,Mon Apr 25 10:12:37 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
Stormz combines the best of low-tech and high-tech at CREA Conference 2016 https://t.co/lExMsuYubU,Mon Apr 25 10:11:54 +0000 2016,en,0,False,0,False,,Stormz,stormzplatform
RT @IAFEnglandWales: Check out this #facilitation @Meetup with IAF London &amp; South East England facilitators and friends - all welcome! http…,Sat Apr 23 10:51:13 +0000 2016,en,4,False,0,False,,Stormz,stormzplatform
"Stormz was in Moscow!
https://t.co/penfkCLZ1H https://t.co/YIIFVHRXCQ",Fri Apr 22 21:30:53 +0000 2016,en,1,False,3,False,,Stormz,stormzplatform
@TiltIdeas &lt;3,Fri Apr 22 07:33:07 +0000 2016,und,0,False,0,False,,Stormz,stormzplatform
[fr] Dernière chance pour vous inscrire au webinaire d’aujourd’hui 14h et découvrir Stormz ! https://t.co/ExOJ8NZe7M,Thu Apr 21 07:18:56 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
"RT @cuxdu: Thanks to the fun crowd in the ""#legoseriousplay &amp; @stormzplatform"" expo! I danced out of joy! #creaconference16 https://t.co/D6…",Sat Apr 16 17:21:19 +0000 2016,en,2,False,0,False,,Stormz,stormzplatform
RT @baingroup: Full house at my Strategic Planning Workshop in Moscow. https://t.co/gYzCwTnemj,Wed Apr 13 15:51:07 +0000 2016,en,4,False,0,False,,Stormz,stormzplatform
RT @ineation: #creaconference16 youpi https://t.co/3gZjcdqqyn,Wed Apr 13 15:33:25 +0000 2016,en,1,False,0,False,,Stormz,stormzplatform
Curieux d'en savoir plus sur Stormz ? Inscrivez-vous à notre prochain Webinaire le 21 avril à 14h ! https://t.co/XOAtY5xjfH,Wed Apr 13 14:24:45 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
Notre partenaire @Novateria_ est au salon #Amif et vous explique comment #Stormz peut booster les collectivités! https://t.co/daFr5bE9Mn,Wed Apr 13 08:46:59 +0000 2016,fr,1,False,0,False,,Stormz,stormzplatform
Nouvelle session de formation de facilitateurs #stormz ce jour chez Inno.centre on est bien ! https://t.co/yRql91KzJ1,Tue Apr 12 07:26:04 +0000 2016,fr,2,False,4,False,,Stormz,stormzplatform
RT @FaciConfMoscow: Alexandre from Stormz mixing lo-tech and high-tech https://t.co/yDhQ9bfnp6,Sat Apr 09 11:19:43 +0000 2016,en,4,False,0,False,,Stormz,stormzplatform
RT @baingroup: Learning about Stormz with @ineation @ #берииделай Very cool! Thx Alex https://t.co/0G7czjcax8,Fri Apr 08 17:26:31 +0000 2016,en,3,False,0,False,,Stormz,stormzplatform
RT @ineation: This was the first ever @stormzplatform  facilitator training in Moscow... And it was fun! https://t.co/Cme8naEsiw,Thu Apr 07 18:05:53 +0000 2016,en,2,False,0,False,,Stormz,stormzplatform
[fr] Nous avons sorti une nouvelle version de la Stormz Box https://t.co/OsYG26VrPX,Thu Apr 07 08:44:19 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
The observer role is now available in workshops https://t.co/SQ3OijHULO,Thu Mar 31 12:22:06 +0000 2016,en,0,False,0,False,,Stormz,stormzplatform
"Un nouveau rôle possible dans les ateliers, l'observateur https://t.co/7lYwc9sx6O",Thu Mar 31 08:25:13 +0000 2016,fr,0,False,1,False,,Stormz,stormzplatform
"Vous étiez nostalgique de notre ancien $100 ? Hourra, vous pouvez le faire à nouveau avec notre vote amélioré https://t.co/87JLUzMgYO",Tue Mar 29 10:44:16 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
Meetup sur les meilleurs usages pour faire un atelier Stormz online. Tenue rose exigée ! https://t.co/BaGTearOsg,Fri Mar 25 10:37:18 +0000 2016,fr,2,False,0,False,,Stormz,stormzplatform
We have revamped the vote! You can use the $100 technique again. https://t.co/F94OMGDWKj,Fri Mar 25 08:50:38 +0000 2016,en,0,False,1,False,,Stormz,stormzplatform
Nous avons revu le vote pour le rendre encore plus flexible! https://t.co/87JLUzMgYO,Thu Mar 24 15:53:43 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
"La #collaboration en ligne ça ne s'improvise pas, #Stormz partage avec vous 3 secrets de réussite.  https://t.co/0RCFXV4sWt",Thu Mar 24 13:42:07 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
Inspiration du jour : utiliser Stormz online pour préparer une réunion de ventes et gagner un temps précieux https://t.co/33DwYFVXxy,Wed Mar 23 10:34:04 +0000 2016,fr,0,False,0,False,,Stormz,stormzplatform
