Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@stkelly82 agreed. Moving on to Super Mario World. A bit better.,Sat Apr 30 02:28:41 +0000 2016,en,0,False,0,False,,Ted Serbinski,tedserbinski
Friday tradition: 90s Super Mario cartoons with the boys! 🍕👌 https://t.co/TaPUVaXg3K,Fri Apr 29 23:51:54 +0000 2016,en,1,False,1,False,,Ted Serbinski,tedserbinski
90% of Feedback is Crap: How to Find the Next Big Startup Idea https://t.co/1Xxs2GFkRP &gt; Awesome read by @firstround,Fri Apr 29 15:24:06 +0000 2016,en,1,False,2,False,,Ted Serbinski,tedserbinski
"RT @joshk: 10/ A startups outcome is clearly not pre-ordained from the pick, but picking is a critical (&amp; often ignored) skill for both fou…",Fri Apr 29 14:34:51 +0000 2016,en,38,False,0,False,,Ted Serbinski,tedserbinski
RT @detstartupweek: Come listen to Ted on May 24 &amp; discover how he missed millions passing on #AirBnb https://t.co/4coZHKDYqp #DETSW16 http…,Fri Apr 29 14:09:05 +0000 2016,en,6,False,0,False,,Ted Serbinski,tedserbinski
RT @CurbedDetroit: Mapping Detroit's big construction projects https://t.co/HRBIp4emDi https://t.co/g3wTWjiVTr,Fri Apr 29 00:54:47 +0000 2016,en,16,False,0,False,,Ted Serbinski,tedserbinski
"RT @larryfreed: If  you're an #entreprenuer (or want to be), don't miss #Detroit Startup Week, May 23-27 https://t.co/EKgZuv3o0w  https://t…",Thu Apr 28 23:02:01 +0000 2016,en,8,False,0,False,,Ted Serbinski,tedserbinski
Incredible technology @oblong_inc has built. Proud to have a system in our @techstars #mobility office https://t.co/CuxqSh2qbB,Thu Apr 28 12:25:07 +0000 2016,en,5,False,10,False,,Ted Serbinski,tedserbinski
"RT @nickbunkley: 1st quarter results in North America:
Ford: $3.1B profit, 12.9% margin
GM: $2.3B profit, 8.7% margin
FCA: $1.4B profit, 7.…",Thu Apr 28 12:08:53 +0000 2016,en,14,False,0,False,,Ted Serbinski,tedserbinski
RT @rooprajfox2: #Legoland is having its first grown up night from 7pm-9pm tonight.  This life like replica of #Detroit is amazing https://…,Thu Apr 28 12:08:01 +0000 2016,en,27,False,0,False,,Ted Serbinski,tedserbinski
"RT @marksolon: If you're considering $'s from a VC, scroll through their stream. If they talk about themselves more than founders, you have…",Wed Apr 27 23:59:55 +0000 2016,en,12,False,0,False,,Ted Serbinski,tedserbinski
RT @crainsdetroit: Big day in Detroit! Gilbert gets old Hudson's site https://t.co/FJ68Hiu1G6 and plans for new soccer stadium unveiled htt…,Wed Apr 27 23:56:49 +0000 2016,en,10,False,0,False,,Ted Serbinski,tedserbinski
"RT @UMichEric: Perhaps the most helpful article you'll read today, thanks @tedserbinski, see you on May 5th https://t.co/k2zZGDdJUw",Wed Apr 27 12:57:06 +0000 2016,en,3,False,0,False,,Ted Serbinski,tedserbinski
RT @landlessness: Future of mobility: https://t.co/1Qext1ZMiQ  @tedserbinski will speak at @techstars &amp; @apigee APIs &amp; Mobility summit http…,Wed Apr 27 12:21:46 +0000 2016,en,5,False,0,False,,Ted Serbinski,tedserbinski
RT @TroyHenikoff: How to Navigate the Minefield of Motherhood &amp; Career https://t.co/dRU7cb58qV - some of the best entrepreneurs I know have…,Wed Apr 27 12:19:43 +0000 2016,en,8,False,0,False,,Ted Serbinski,tedserbinski
@jayadelson and for me it is awesome content on @audible_com or some rad new podcast,Tue Apr 26 17:57:09 +0000 2016,en,0,False,2,False,,Ted Serbinski,tedserbinski
@JaceDeloney yes was there a few weeks ago! Usually 1-2x a year,Tue Apr 26 17:44:46 +0000 2016,en,0,False,2,False,,Ted Serbinski,tedserbinski
@ims43 atrium area,Tue Apr 26 15:57:58 +0000 2016,en,0,False,2,False,,Ted Serbinski,tedserbinski
.@techstars #mobility is bringing 50+ mobility startups to Detroit for the 2017 Detroit Auto Show! https://t.co/bNu2olwiRk #tsmobility,Tue Apr 26 12:24:04 +0000 2016,en,10,False,17,False,,Ted Serbinski,tedserbinski
RT @_dbethencourt: Downtown Detroit sales prices are 'insane' -- people are sharing this bc they know it's true https://t.co/JdIAJtkJ2Q via…,Tue Apr 26 11:32:23 +0000 2016,en,6,False,0,False,,Ted Serbinski,tedserbinski
AutoMobili-D joins Detroit auto show for tech/mobility expo https://t.co/F6ViNknrxk &gt; @techstars #mobility is partnering with @NAIASDetroit,Mon Apr 25 20:12:06 +0000 2016,en,5,False,6,False,,Ted Serbinski,tedserbinski
