Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @OpenDebate: #OpenDebate Coalition includes @thatchriskelly. Vote in Monday's historic bottom-up #FLSen debate: https://t.co/v7lJV7Zc2A,Sun Apr 24 21:36:41 +0000 2016,en,1,False,0,False,,Chris Kelly,thatchriskelly
"RT @NLC_DC: Good morning, NLC DC! Let's start w/ learning about Federal rulemaking with our own Dylan de Kervor. #nlcdc https://t.co/89cTVC…",Sun Apr 24 21:36:17 +0000 2016,en,1,False,0,False,,Chris Kelly,thatchriskelly
"RT @NLC_Atlanta: #NLCAtlanta continues our 2016 Fellows Institute with Charmaine Davis, Chapter Director @9to5Atlanta! https://t.co/bXejbzN…",Sun Apr 24 21:36:13 +0000 2016,en,3,False,0,False,,Chris Kelly,thatchriskelly
RT @NLC_Boston: Thrilled and thankful to have @itschrisconroy join our fellows this weekend to drop some wisdom! #NLCFamily  https://t.co/w…,Sun Apr 24 02:52:23 +0000 2016,en,2,False,0,False,,Chris Kelly,thatchriskelly
"RT @NLC_Chicago: Thanks to amazing panelists, partners &amp; attendees who made #ChampionsForChange a success! https://t.co/ANDLFRP5jK",Sun Apr 24 02:51:39 +0000 2016,en,9,False,0,False,,Chris Kelly,thatchriskelly
RT @Golden1Center: Lookin’ down the Loft line 👀 https://t.co/DuvmcSeFpb,Sun Apr 24 02:51:22 +0000 2016,en,5,False,0,False,,Chris Kelly,thatchriskelly
RT @jgilliam: Fearlessness is *the* superpower of the 21st century.,Sat Apr 23 21:45:01 +0000 2016,en,55,False,0,False,,Chris Kelly,thatchriskelly
RT @NLC_Atlanta: Organizing is not supposed to be easy. Changing the game is not supposed to be easy. -@MrMikeBlake #GAProgress #NLCFamily,Sat Apr 23 21:34:23 +0000 2016,en,8,False,0,False,,Chris Kelly,thatchriskelly
"RT @nathanfletcher: At one of baseball's greatest parks rocking one of baseball's ugliest hats! @ATTParkSF
Great to see @thatchriskelly! ht…",Sat Apr 23 03:09:25 +0000 2016,en,1,False,0,False,,Chris Kelly,thatchriskelly
RT @macon44: Thrilled to see @WhiteHouse take @wethepeople to a new level! Great work @Goldman44 and co! https://t.co/Wu356133xc,Thu Apr 21 13:42:25 +0000 2016,en,4,False,0,False,,Chris Kelly,thatchriskelly
RT @Golden1Center: Sunny Sacramento skies are the best ☀️ https://t.co/vsK4N2atma,Thu Apr 21 02:31:58 +0000 2016,en,24,False,0,False,,Chris Kelly,thatchriskelly
RT @CityYearSAC: Do you want to #makebetterhappen next year? Make sure to apply at https://t.co/xUn0b0EJqk by Saturday April 30th! https://…,Wed Apr 20 19:48:45 +0000 2016,en,2,False,0,False,,Chris Kelly,thatchriskelly
