Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Goals management: See the interdependencies between organizations with horizontal alignment https://t.co/DagYGH9yZB @thekhorus,Fri Apr 29 19:36:11 +0000 2016,en,0,False,0,False,,The American CEO,TheAmericanCEO
When a CEO's irrational exuberance goes beyond financials to everything https://t.co/rmyM7AfTO8 via @Inc https://t.co/eapa88aujf,Fri Apr 29 18:17:02 +0000 2016,en,0,False,1,False,,The American CEO,TheAmericanCEO
Reality eventually bites CEOs who are too optimistic: How to balance enthusiasm with credibility... https://t.co/rmyM7AfTO8 via @Inc,Fri Apr 29 15:05:51 +0000 2016,en,0,False,1,False,,The American CEO,TheAmericanCEO
RT @thekhorus: The Single Biggest Leadership Mistake CEOs Make --&gt; https://t.co/cAX5tuTIeK by @TheAmericanCEO https://t.co/DEVOH38XBu,Thu Apr 28 20:11:34 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
Priceline CEO Darren Huston resigns after inappropriate relationship  https://t.co/hkg5GEVvzH via @WSJ,Thu Apr 28 19:33:06 +0000 2016,en,0,False,0,False,,The American CEO,TheAmericanCEO
Why Big Data ISN'T What CEOs Need - Sign up for my May 24 @CUTodayBuzz webcast https://t.co/Y4XyV58S97,Thu Apr 28 18:27:27 +0000 2016,en,0,False,0,False,,The American CEO,TheAmericanCEO
RT @thekhorus: Why Every Employee Should Act as a 'Sensor' --&gt; https://t.co/lGRnzcHZ14 #EmployeeVoice #Engagement https://t.co/8au3jIgtMw,Thu Apr 28 15:49:12 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
How an Introverted Engineer Learned to Lead via @Upwork CEO @skasriel https://t.co/mlqwiXWsfH @HarvardBiz,Thu Apr 28 14:43:22 +0000 2016,en,0,False,2,False,,The American CEO,TheAmericanCEO
Good suggestion @WouterScheepens. Thanks https://t.co/5tRxGe8mLs,Wed Apr 27 20:42:02 +0000 2016,en,2,False,2,False,,The American CEO,TheAmericanCEO
"RT @HarvardBiz: ""Someone who aspires to be a CEO must still counter the perception that engineers don’t make great leaders."" https://t.co/8…",Wed Apr 27 19:17:00 +0000 2016,en,80,False,0,False,,The American CEO,TheAmericanCEO
"RT @LinkageInc: Do you lead with 'stretch' goals? Joel Trammel @TheAmericanCEO suggests small wins are big, via @Inc https://t.co/F7HMFAEOUW",Wed Apr 27 18:33:22 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
RT @Planview: Check out four qualities every leader should consider in order to build trust in this recent @B2Community article: https://t.…,Wed Apr 27 15:16:33 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
Keeping management and leadership in balance isn't easy https://t.co/W7wb3f0sCz via @Leadershipfreak @SBLeaders,Wed Apr 27 14:54:24 +0000 2016,en,1,False,1,False,,The American CEO,TheAmericanCEO
Here's the big reason leaders should use 'stretch' goals sparingly @TheAmericanCEO https://t.co/Xdq6GpriSf via @Inc,Tue Apr 26 20:21:24 +0000 2016,en,1,False,3,False,,The American CEO,TheAmericanCEO
RT @thekhorus: 7 Dumb Mistakes Even Smart CEOs Make --&gt; https://t.co/aetxt7fESh https://t.co/bYLeOtvhex,Tue Apr 26 18:09:09 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
A Day in the Life of @GM CEO @mtbarra https://t.co/roI2ajppFr via @WSJ,Tue Apr 26 15:55:59 +0000 2016,en,0,False,0,False,,The American CEO,TheAmericanCEO
Why Every Employee Should Act as a 'Sensor'  https://t.co/cSSxHUXwsI,Tue Apr 26 14:48:11 +0000 2016,en,0,False,0,False,,The American CEO,TheAmericanCEO
Know when and how to build each into the culture and operations of your company @Entrepreneur  https://t.co/khiAe2pDAg,Mon Apr 25 20:21:06 +0000 2016,en,1,False,2,False,,The American CEO,TheAmericanCEO
RT @thekhorus: Is your #PerformanceManagement strategy out-of-date? --&gt; https://t.co/H86mIBD3S9 https://t.co/TCTZRlgnPO,Mon Apr 25 19:06:48 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
Authenticity isn't always the answer in leadership https://t.co/j8prjsdEQ5 via @peterbstark @SBLeaders,Mon Apr 25 15:46:18 +0000 2016,en,1,False,1,False,,The American CEO,TheAmericanCEO
What C-Suite Leaders Need to Know – At a Glance https://t.co/T4ot0TqwDl via @WSJ,Mon Apr 25 15:12:06 +0000 2016,en,0,False,0,False,,The American CEO,TheAmericanCEO
RT @incCEOProject: In Praise of the Lazy CEO - from Joel Trammell The American CEO  https://t.co/rlmjJ8egmc,Mon Apr 25 14:49:37 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
@JoshuaBaer Josh can you give me a ride to work tomorrow? Wish I could pay you but then the city council would want to be involved #ForProp1,Mon Apr 25 01:20:33 +0000 2016,en,5,False,7,False,,The American CEO,TheAmericanCEO
"RT @thekhorus: Don't delay, find out in less than 3 minutes --&gt; https://t.co/EM96jOU6cE https://t.co/goS7CSHbNk",Fri Apr 22 19:54:42 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
"RT @ChrisPaulGizzi: The longer the tenure of a #CEO, the less chance the successor is an outsider. https://t.co/XatHEweuSr https://t.co/H78…",Fri Apr 22 15:16:08 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
RT @Brandwise: The Small Business Resource is out! https://t.co/UHE2YRsAQO Stories via @Alex_Pearlstein @redcapeco @TheAmericanCEO,Fri Apr 22 14:11:36 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
Why CEOs Shouldn't Try to be Rock Stars by @MattWride_DW https://t.co/N5vQNiXBCX via @Entrepreneur,Thu Apr 21 20:44:04 +0000 2016,en,0,False,2,False,,The American CEO,TheAmericanCEO
@tashaeurich Thanks for sharing my article on stretch goals!,Thu Apr 21 19:57:13 +0000 2016,en,0,False,1,False,,The American CEO,TheAmericanCEO
RT @tashaeurich: Interesting article! Why the Best Leaders Are Wary of 'Stretch' Goals https://t.co/LcbMmMYb8Q @TheAmericanCEO,Thu Apr 21 19:56:53 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
"RT @Leadershipfreak: 10 Questions to Ask When Choosing Leaders

https://t.co/vvWn3B3rMx

! https://t.co/3MhHcyyjSS",Thu Apr 21 18:58:20 +0000 2016,en,16,False,0,False,,The American CEO,TheAmericanCEO
RT @Alphaomega24: Balance Growth vs. Profitability With These 4 Tips by @TheAmericanCEO https://t.co/8JcEFBSiZO via @Entrepreneur https://t…,Thu Apr 21 15:47:06 +0000 2016,en,2,False,0,False,,The American CEO,TheAmericanCEO
"RT @erietta: Do you set big, hairy, audacious goals?  smart v stretch v OKRs and unpredictability https://t.co/WRUFAzTdR6",Thu Apr 21 14:37:09 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
@jeffwhittletx Thanks for sharing my article!,Wed Apr 20 21:32:20 +0000 2016,en,0,False,0,False,,The American CEO,TheAmericanCEO
"RT @thekhorus: A library of advice and ideas for today's leaders, including our newest #SmallData ebook --&gt; https://t.co/Ydxz2yx0ng https:/…",Wed Apr 20 20:03:51 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
RT @jeffwhittletx: 4 Great tips on how to balance growth with #profitability from @TheAmericanCEO. #SmallBusiness  https://t.co/aL26t3lruv,Wed Apr 20 18:20:37 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
"RT @wallernikki: Passed over for a promotion?: How to cope - and, you know, go on to run a gigantic company anyway. https://t.co/xvy3WoLlZE",Wed Apr 20 15:35:23 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
CEOs must know whether they are prioritizing growth or profitability and manage accordingly https://t.co/AeX4ztFUht via @Entrepreneur,Wed Apr 20 14:26:11 +0000 2016,en,0,False,2,False,,The American CEO,TheAmericanCEO
Why stretch goals don't always work https://t.co/Xdq6GpriSf See also: Why You Can’t Run Your Company Like Google https://t.co/LCNqpmhlKQ,Tue Apr 19 21:01:07 +0000 2016,en,0,False,1,False,,The American CEO,TheAmericanCEO
RT @Entrepreneur: Balance Growth vs. Profitability With These 4 Tips | by @TheAmericanCEO https://t.co/JbzrJhHkIq,Tue Apr 19 20:28:11 +0000 2016,en,28,False,0,False,,The American CEO,TheAmericanCEO
"RT @thekhorus: Of all the factors that affect organizational health, manager effectiveness is crucial --&gt; https://t.co/IizYk9DhMs https://t…",Tue Apr 19 19:54:04 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
"RT @ScottIntel: If most #CEOs are fired due to soft issues like credibility, how do you stay credible? https://t.co/ZkhQRJN9a6 @TheAmerican…",Tue Apr 19 18:13:02 +0000 2016,en,2,False,0,False,,The American CEO,TheAmericanCEO
"RT @cgcalnan: A glimpse inside the @CapitalFactory, the epicenter of Austin’s #tech #startup community: https://t.co/k7oO5zWnOp",Tue Apr 19 16:13:47 +0000 2016,en,59,False,0,False,,The American CEO,TheAmericanCEO
RT @Personifycorp: .@thekhorus CEO Joel Trammell (@TheAmericanCEO) is here talking about predictive insight #Pfest16 https://t.co/Nx0tyKud51,Tue Apr 19 15:02:55 +0000 2016,en,3,False,0,False,,The American CEO,TheAmericanCEO
The Rise Of The Outsider CEO via @forbes https://t.co/GE6O9J2Cnx @strategyand,Tue Apr 19 14:58:44 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
RT @tedcoine: Performance improvement plans are a total joke. Here's why: https://t.co/zkoENBXQTP #HR #HumanResources https://t.co/IUnDcHU6…,Mon Apr 18 20:44:24 +0000 2016,en,3,False,0,False,,The American CEO,TheAmericanCEO
"Happy I'm a partner &amp; a small part of @CapitalFactory: ""Grand Central Station for startups” https://t.co/soDg1sdFNW @MyABJ @JoshuaBaer",Mon Apr 18 19:22:19 +0000 2016,en,4,False,6,False,,The American CEO,TheAmericanCEO
7 Reasons Why CEOs Make The Best Culture Captains by @hankmade https://t.co/uFqqhMKZbm via @Entrepreneur,Mon Apr 18 18:37:27 +0000 2016,en,1,False,2,False,,The American CEO,TheAmericanCEO
Don’t Be a Leader of Stupid Rules https://t.co/sTzDNQQiB8 via @LeadChangeGroup @ChipRBell,Mon Apr 18 16:07:06 +0000 2016,en,0,False,1,False,,The American CEO,TheAmericanCEO
Excited to speak tomorrow on how CEOs/leaders can manage the future by leveraging predictive insight! #Pfest16 https://t.co/E3YxiItlMD,Mon Apr 18 15:05:07 +0000 2016,en,2,False,3,False,,The American CEO,TheAmericanCEO
"RT @frankarr: Do you set big, hairy, audacious goals? It might be time to rethink your approach. https://t.co/Dgw0vEUtnp",Mon Apr 18 14:12:19 +0000 2016,en,1,False,0,False,,The American CEO,TheAmericanCEO
