Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Top 10 mistakes to avoid in  a startup  @StartOut + @MoFoLLP SF panel: https://t.co/E1dJbnMY0x #LGBT #entrepreneur https://t.co/7E4RjhjjYq,Fri Apr 22 17:47:41 +0000 2016,en,1,False,1,False,,Lorenzo Thione,thione
RT @liachang: .@dougreside @MattBritten @jenbender76 @jenashtep @derekmclane @thione @liachang @emasie @nypl_lpa #bwayhack https://t.co/Cx5…,Wed Apr 20 23:49:52 +0000 2016,und,2,False,0,False,,Lorenzo Thione,thione
"RT @nepalesruben: @GeorgeTakei @thione @EWPlayers More information, including about tickets, available at https://t.co/3eOeBlh6cB, 213-625-…",Wed Apr 20 19:09:31 +0000 2016,en,2,False,0,False,,Lorenzo Thione,thione
"RT @StaffordArima: Check out what @thione @liachang @jenashtep @jenbender76 @derekmclane have in common!
https://t.co/SpaOBiwPLX",Mon Apr 18 20:05:02 +0000 2016,en,2,False,0,False,,Lorenzo Thione,thione
@StaffordArima @SDCweb @SDCFoundation @spencerliff @SpringBway @allegiancebway some of my favorite people,Tue Apr 12 15:54:33 +0000 2016,en,0,False,6,False,,Lorenzo Thione,thione
"@boyinplaid @allegiancebway I feel you, man. I feel you. #stillachance #gaman",Mon Apr 11 15:37:12 +0000 2016,en,0,False,1,False,,Lorenzo Thione,thione
@StartOut #foodtech: @instagram is most probably the next big food media,Wed Apr 06 23:45:35 +0000 2016,en,1,False,1,False,,Lorenzo Thione,thione
@StartOut #foodtech: best way to get a great distributor deal is to not need one. Much like investors....,Wed Apr 06 23:33:33 +0000 2016,en,0,False,0,False,,Lorenzo Thione,thione
@StartOut #foodtech: @Foodkick helps you figure out what you might want before you know it,Wed Apr 06 23:23:08 +0000 2016,en,0,False,0,False,,Lorenzo Thione,thione
@StartOut food entrepreneurship panel hearing some of the best NYC food entrepreneurs speak. #hungry https://t.co/WjGXiAv3TS,Wed Apr 06 23:19:20 +0000 2016,en,1,False,4,False,,Lorenzo Thione,thione
"Someone has got to do a ""Damn, Donald!"" video montage of all the most idiotic things he says #damndaniel #damndonald",Wed Feb 24 22:59:05 +0000 2016,en,1,False,4,False,,Lorenzo Thione,thione
"Best times with besties @ Northstar Ski Resort, Lake Tahoe https://t.co/O09xTw3DjL",Sun Feb 21 01:09:29 +0000 2016,en,0,False,0,False,"{'coordinates': [-120.14021426, 39.24093375], 'type': 'Point'}",Lorenzo Thione,thione
@dsully uhm yes. Where are you?,Thu Feb 18 00:47:51 +0000 2016,en,0,False,0,False,,Lorenzo Thione,thione
