Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @marceloclaure: Honoring Prince wearing Purple tonight. ""purple rain""   #Mahiwal2016 https://t.co/9FEyUULNiF",Sun Apr 24 12:50:45 +0000 2016,en,19,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @brixotoys: Over $300,000 on Kickstarter! BRIXO's connected building blocks Will blow your mind.  https://t.co/6zIWytpkXH",Sat Apr 23 23:33:53 +0000 2016,en,62,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @wdoukmak: ""Platforms beat pipelines because platforms unlock new sources of value creation and supply."" Platform Revolution @InfoEcon @…",Sat Apr 23 23:33:46 +0000 2016,en,5,False,0,False,,Jeff Stewart,UrgentSpeed
".@kevin2kelly In ""Out-of-Control"" you maped ""World Wide Web"" at inception, hope #theinevitable does it for #AI #robotics",Fri Apr 22 20:05:11 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
RT @kevin2kelly: Each person’s task (in part) will be to invent new things to do that will later become repetitive jobs for the robots. #th…,Fri Apr 22 19:55:31 +0000 2016,en,29,False,0,False,,Jeff Stewart,UrgentSpeed
RT @lenddofriend: Lenddo getting ready for #paymentsasia! Presenting #bigData analytics solutions &amp;application to #Financialinclusion https…,Wed Apr 20 17:16:08 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
RT @asiarevealed: Fascinating company that evaluates credit scores @lenddo https://t.co/eXcTPb7t8Q,Wed Apr 20 16:53:22 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
RT @whartonfintech: Podcast with @lenddofriend is live! 🚀 feat. founder @UrgentSpeed on non-trad'l data to underwrite emerging markets http…,Wed Apr 20 16:46:34 +0000 2016,en,3,False,0,False,,Jeff Stewart,UrgentSpeed
RT @geoffreyamoore: Why do start-ups routinely outperform incumbents when it comes to catching the next wave in disrupted markets? https://…,Tue Apr 19 03:11:44 +0000 2016,en,10,False,0,False,,Jeff Stewart,UrgentSpeed
Thoughts on U.S. Innovation from @BillGates - https://t.co/PWcgn0Zj1B,Mon Apr 18 13:49:24 +0000 2016,en,0,False,1,False,,Jeff Stewart,UrgentSpeed
"RT @kevin2kelly: Before the end of this century, 70 percent of today’s occupations will be replaced by automation—including the job you hol…",Mon Apr 18 09:41:33 +0000 2016,en,108,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @sgblank: Four Startup Principles:
- Money matters
- Performance counts
- Time is the enemy
- Your investors eventually want liquidity",Mon Apr 18 09:39:42 +0000 2016,en,479,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @lenddofriend: ""Lenddo: Stepping stone to #Financialinclusion"", a case study from the #Money of the Future report by @LifeSREDA https://…",Mon Apr 18 09:38:01 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
Diagram of Global GDP https://t.co/vAuZtvYrjL,Sun Apr 17 15:46:08 +0000 2016,en,1,False,1,False,,Jeff Stewart,UrgentSpeed
"RT @BessemerVP: In case you were wondering about the stereotypical ""10 Worst VC Board Members""... #VentureCapital #startup https://t.co/oz6…",Sun Apr 17 14:04:01 +0000 2016,en,139,False,0,False,,Jeff Stewart,UrgentSpeed
RT @hockeystickco: Our friend Jeff Stewart @UrgentSpeed talking about the future of lending. #data https://t.co/A9fMF5Xmvs,Sun Apr 17 11:21:26 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
RT @leandrittoh: Watch John Sun from @Avant_US and @UrgentSpeed from @lenddofriend at #mitfintechconference @MITFinTech https://t.co/oYzVnW…,Sun Apr 17 11:21:15 +0000 2016,en,2,False,0,False,,Jeff Stewart,UrgentSpeed
RT @leandrittoh: We have a full room listening to @Xuster from @FutureAdvisor with @Pozen at #mitfintechconference @MITFinTech https://t.co…,Sat Apr 16 13:13:36 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
RT @thomaslgrant: Great opening talk at #mitfintechconference with Robert Pozen and Jon Xu @FutureAdvisor #fintech https://t.co/GG7ofXrbEr,Sat Apr 16 13:13:15 +0000 2016,en,3,False,0,False,,Jeff Stewart,UrgentSpeed
RT @dez_blanchfield: | @UrgentSpeed  @lenddofriend: We've seen up to 50% increase in approval rate by using non-traditional data in #Credit…,Sat Apr 16 13:11:57 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
Look forward to discussing https://t.co/a4iY8q1SG2 at MIT Fintech - Saterday.  https://t.co/rqXnGp6pdN,Thu Apr 14 18:22:22 +0000 2016,en,1,False,3,False,,Jeff Stewart,UrgentSpeed
"RT @hsherman: ""Facebook could blow up credit cards &amp; make loans 2 billions via Messenger"" @Newsweek https://t.co/qEWf09mk81 h/t @UrgentSpee…",Thu Apr 14 13:33:25 +0000 2016,en,3,False,0,False,,Jeff Stewart,UrgentSpeed
"Just in time for @LendIt - @Newsweek talks Credit, Facebook and https://t.co/a4iY8pKhhs  https://t.co/C9nBT3XZoL",Sun Apr 10 21:57:10 +0000 2016,en,0,False,1,False,,Jeff Stewart,UrgentSpeed
RT @adamdharrell: @tavani @pmarca @bhorowitz Great book. The concept of Paired Indicators is super useful.,Sun Apr 10 12:58:34 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @tavani: When zuck, @pmarca &amp; @bhorowitz call a book written in '83 a bible, you get it immediately &amp; learn it. https://t.co/Dygf1k93Et",Sun Apr 10 12:58:24 +0000 2016,en,105,False,0,False,,Jeff Stewart,UrgentSpeed
RT @lenddofriend: We've seen up to 50% increase in approval rate by using non-traditional data in #CreditScoring &amp; Social Verification! #Bi…,Sun Apr 10 12:55:11 +0000 2016,en,2,False,0,False,,Jeff Stewart,UrgentSpeed
RT @Global_Renewal: .@OmidyarNetwork; @urgentspeed Read &amp; watch how #bigdata can increase #financialinclusion: https://t.co/MPhA87wl92 http…,Sat Apr 09 11:24:20 +0000 2016,en,2,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @witheiler: I'm starting the @mattcharris fan club - to join send a self addressed stamped envelope to:
Matt Witheiler
280 Congress St
B…",Fri Apr 08 19:17:16 +0000 2016,en,2,False,0,False,,Jeff Stewart,UrgentSpeed
RT @LendIt: Are you attending #LendItUSA? We want to know! RT to tell your network you'll be in San Francisco next week #FinTech https://t.…,Thu Apr 07 10:28:07 +0000 2016,en,22,False,0,False,,Jeff Stewart,UrgentSpeed
RT @Davos: Why Africa's future depends on its women entrepreneurs https://t.co/IAV7HT0GRh https://t.co/VTYys6M8Pm,Tue Apr 05 12:17:47 +0000 2016,en,52,False,0,False,,Jeff Stewart,UrgentSpeed
RT @VergeHQ: @SteveCase awesome book on #entrepreneurs vision of the future releases tomorrow! https://t.co/1yyaTEns6E https://t.co/CuXOIbJ…,Mon Apr 04 23:45:17 +0000 2016,en,4,False,0,False,,Jeff Stewart,UrgentSpeed
RT @TechCrunch: Amazon takes on PayPal and others with launch of Amazon Payments partner program https://t.co/e48dpBt4z8 by @sarahintampa,Mon Apr 04 23:43:53 +0000 2016,en,93,False,0,False,,Jeff Stewart,UrgentSpeed
RT @Fin__Tech: Why Fintech Banks Will Rule The World https://t.co/8cRHiSrXZM  #fintech https://t.co/OIeQDx9OwE,Mon Apr 04 23:42:37 +0000 2016,en,32,False,0,False,,Jeff Stewart,UrgentSpeed
RT @teepruitt: Big day for @SanInnoventures &amp; our #vc investment model into #fintech. Invest &amp; then partner to drive innovation https://t.c…,Mon Apr 04 23:41:30 +0000 2016,en,5,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @KatiaSamanamud: Jeff Stewart (@UrgentSpeed): ""Technology can radically change access to financial services"". #IDC2016",Mon Apr 04 11:43:20 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @FSClub: Retweeted FinTech Jobs &amp; News (@AshmoreStark):

'Blockchain is FinTech's real game changer', says @Chris_Skinner... https://t.c…",Mon Apr 04 11:41:55 +0000 2016,en,4,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @barrysilbert: This summer: Brexit vote, Greek debt maturity, bitcoin halving

Grab your popcorn!",Mon Apr 04 11:36:53 +0000 2016,en,104,False,0,False,,Jeff Stewart,UrgentSpeed
"""Africa should become the engine of global economic growth"" #idc2016 via Tony Elumeul https://t.co/T1H4CbVwH9",Sat Apr 02 13:33:26 +0000 2016,en,11,False,11,False,,Jeff Stewart,UrgentSpeed
RT @IDCatHarvard: Don't miss out! You can purchase tickets here: https://t.co/v0gHJjpmep  #IDC2016 https://t.co/oqSSHchuol,Sat Apr 02 13:02:04 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
"CITI Report: 'Uber moment' for banks is coming, more than a million could lose their jobs"" https://t.co/nkMgFx3moQ #fintech #banks",Fri Apr 01 10:18:37 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
"Barclays CEO... tech industry ""will compel banks to significantly automate"" https://t.co/L6GZlNFnap via @businessinsider",Fri Apr 01 10:15:17 +0000 2016,en,0,False,0,False,,Jeff Stewart,UrgentSpeed
".@rickheitzmann ""Alpha"" or ""Luck"" ... sample size and to the expected standard deviation matter",Thu Mar 31 17:53:10 +0000 2016,en,0,False,1,False,,Jeff Stewart,UrgentSpeed
"Interesting: ""Chinese Engineers Want to Pit Their AI Against AlphaGo"" https://t.co/iQoXByde8s #AI",Thu Mar 31 12:07:52 +0000 2016,en,0,False,0,False,,Jeff Stewart,UrgentSpeed
"FBI Hack: clone iPhone 9,999 times, try each password. $APPL",Thu Mar 31 10:47:24 +0000 2016,en,0,False,0,False,,Jeff Stewart,UrgentSpeed
RT @infoarbitrage: My son @andrewe630 is powering this amazing fundraiser @umich for pediatric cancer research https://t.co/R8oVocM7ef Plea…,Wed Mar 30 19:04:26 +0000 2016,en,2,False,0,False,,Jeff Stewart,UrgentSpeed
"""New York City’s tech scene now employs 300,000 people. That’s about the same as the Silicon Valley"" cc @NYTM  https://t.co/y36XygARsH",Wed Mar 30 19:01:07 +0000 2016,en,12,False,8,False,,Jeff Stewart,UrgentSpeed
RT @kmaney: I'll be interviewing FanDuel co-founder Tom Griffiths at NYU on Monday evening. Please come! Free tix here: https://t.co/LbT6Ex…,Wed Mar 30 18:53:55 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @sean_sosv: CARV: First wearable that helps you ski better! #MotionMetrics — Kickstarter

#BiggestKickstarterForSportDeviceEver https://…",Wed Mar 30 11:06:20 +0000 2016,en,6,False,0,False,,Jeff Stewart,UrgentSpeed
RT @davidbrear: Report: Facebook Is Turning Messenger Into A Mobile Wallet https://t.co/GnXY5KpLTM #FinTech #DigitalBank,Wed Mar 30 11:03:07 +0000 2016,en,12,False,0,False,,Jeff Stewart,UrgentSpeed
RT @lenddofriend: Lenddo confirmed at Cards &amp; Payments Asia! See you in Singapore in April! https://t.co/l3DnY814gG #lending #bank #BigData,Wed Mar 30 11:01:40 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @lenddofriend: Lenddo to talk about Incorporating Social, #Ecommerce &amp; Search Data at the @LendIt conference this April 11-12! See you i…",Wed Mar 30 11:01:33 +0000 2016,en,4,False,0,False,,Jeff Stewart,UrgentSpeed
"Talking code, lending and https://t.co/a4iY8q1SG2 at #FinDevr in NYC https://t.co/kWgodNDeOg",Wed Mar 30 02:08:29 +0000 2016,en,2,False,2,False,,Jeff Stewart,UrgentSpeed
Sometimes Innovation is found in the oddest places: National Postal Forum https://t.co/9RCSkUuTR2 congrats @PebblePostPDM @LewisGersh,Tue Mar 29 12:33:30 +0000 2016,en,1,False,3,False,,Jeff Stewart,UrgentSpeed
RT @LaurenOPV: Lenddo- The Google Of Lending Algorithms- using social media &amp; email data to cr8 alternative credit scores. #impinv  https:/…,Tue Mar 29 00:38:24 +0000 2016,en,3,False,0,False,,Jeff Stewart,UrgentSpeed
"RT @hawebservices: Companies Use Social Media and Email to Determine Credit: Lenddo, a Manila-based company, is using data from m... https:…",Tue Mar 29 00:38:11 +0000 2016,en,1,False,0,False,,Jeff Stewart,UrgentSpeed
"""Big Data Small Credit Report"" is now in Spanish via @OmidyarNetwork https://t.co/ao3ZwUjspZ  cc @tropicalgringo #financialinclusion #AI",Mon Mar 28 21:10:17 +0000 2016,en,2,False,2,False,,Jeff Stewart,UrgentSpeed
"Overheard: ""Autonomous AI building Autonomous AI, what could possible go wrong""",Mon Mar 28 21:03:27 +0000 2016,en,0,False,0,False,,Jeff Stewart,UrgentSpeed
Lenddo: using technology to solve #financialinclusion #BDSCreport https://t.co/0Qk3hiZNH0,Mon Mar 28 20:44:08 +0000 2016,en,0,False,1,False,,Jeff Stewart,UrgentSpeed
"Excellent video explanation of https://t.co/a4iY8q1SG2 via @WSJ ""Social Media &amp; Email to Determine Credit"" https://t.co/PQE6SFXJHU #fintech",Mon Mar 28 19:33:14 +0000 2016,en,2,False,3,False,,Jeff Stewart,UrgentSpeed
"2010 @sgblank prediction coming true: ""innovation is moving at Internet speed. It will spread to the enterprise"" https://t.co/qURt0yKGlK",Sat Mar 26 12:39:33 +0000 2016,en,0,False,0,False,,Jeff Stewart,UrgentSpeed
"The term ""Minimum viable product"" did not appear in Wikipedia till August 2009 #startups",Sat Mar 26 12:34:05 +0000 2016,en,0,False,1,False,,Jeff Stewart,UrgentSpeed
RT @VentureBeat: How Amazon’s Alexa is bringing intelligent assistance into the mainstream https://t.co/sCiIKtm3fC https://t.co/dlskXV3UJa,Fri Mar 25 10:14:07 +0000 2016,en,26,False,0,False,,Jeff Stewart,UrgentSpeed
". @tom_peters - Maybe today is the #AI tipping point - Microsoft Deletes ""teen"" AI https://t.co/06fZXvK2PA",Fri Mar 25 01:36:39 +0000 2016,en,0,False,1,False,,Jeff Stewart,UrgentSpeed
".@bolingj ""Lock down your cards so they're useless to criminals."" you are onto the right solution. https://t.co/STb0RBO5a5   #fintech",Fri Mar 25 01:29:05 +0000 2016,en,1,False,3,False,,Jeff Stewart,UrgentSpeed
"RT @howells: Imagine if you had just woke up after having been in a coma for 25 years, and this was the first headline you saw https://t.co…",Fri Mar 25 01:25:54 +0000 2016,en,13711,False,0,False,,Jeff Stewart,UrgentSpeed
It's about time: a credit card # for every online site https://t.co/STb0RBO5a5 good luck @bolingj,Fri Mar 25 01:13:01 +0000 2016,en,3,False,2,False,,Jeff Stewart,UrgentSpeed
"Overheard: ""Slack is great, but there is still no substitute for meeting""",Thu Mar 24 16:43:45 +0000 2016,en,0,False,0,False,,Jeff Stewart,UrgentSpeed
"Looking forward to speaking about credit, risk management and #FinTech globalization at @LendIt in San Francisco",Thu Mar 24 13:00:51 +0000 2016,en,1,False,7,False,,Jeff Stewart,UrgentSpeed
