Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @ForusHege: @weschan talks about timing and early days at #google at #norwaysummit in Stavanger https://t.co/1wBSOaL2wR,Fri Apr 29 11:50:40 +0000 2016,en,1,False,0,False,,Wesley Chan,weschan
RT @tuan: @jeffseibert @DavidSinegal @SinegalEstate @SVBWine @weschan What a fun evening! The Sinegal 2013 Reserve. Wow. https://t.co/ToXxN…,Fri Apr 22 18:21:11 +0000 2016,en,2,False,0,False,,Wesley Chan,weschan
"RT @Carlitobythebay: ""From Zero to $200M"" by @weschan on @LinkedIn https://t.co/brzcuHrql0",Thu Apr 21 21:09:00 +0000 2016,en,3,False,0,False,,Wesley Chan,weschan
"RT @infoarbitrage: Great people, strong partners and smart investors. Congrats @asenkut @rquintini @speechu @weschan #vc https://t.co/M8GwC…",Thu Apr 21 17:27:33 +0000 2016,en,2,False,0,False,,Wesley Chan,weschan
"Our new $200M fund at @felicisventures. Very humbled to be able to announce it today, our fifth. https://t.co/IzqFeb5ebT",Thu Apr 21 17:16:57 +0000 2016,en,3,False,17,False,,Wesley Chan,weschan
"RT @bgurley: Would recommend that all of those in the Unicorn ecosystem, or those considering it, read this. Times are changing: https://t.…",Thu Apr 21 05:48:26 +0000 2016,en,886,False,0,False,,Wesley Chan,weschan
This…Only in SF…found on the way to breakfast. https://t.co/lhqADOqvoh,Mon Apr 18 02:15:04 +0000 2016,en,0,False,7,False,,Wesley Chan,weschan
In a Silicon Valley startup fridge.  Why am I not surprised? #soylent #coleslaw https://t.co/SuE9TvzbkN,Sat Apr 16 04:18:53 +0000 2016,en,1,False,11,False,,Wesley Chan,weschan
Yikes! WSJ reports biggest drop in venture funding this quarter since dotcom bust - 25% drop from Q4 last year. https://t.co/elh9ahTSzZ,Thu Apr 14 23:37:42 +0000 2016,en,2,False,8,False,,Wesley Chan,weschan
RT @FiveThirtyEight: How Steph Curry broke basketball:  https://t.co/eLwozeXSts,Thu Apr 14 15:24:28 +0000 2016,en,46,False,0,False,,Wesley Chan,weschan
Octopus Shawshank Redemption!  (Or how Inky outsmarted his captors in New Zealand...) https://t.co/V5iNlkfZ55,Wed Apr 13 20:15:34 +0000 2016,en,2,False,5,False,,Wesley Chan,weschan
"@ring doorbell: ""Costs around $200 and some say money well spent.""  Favorite line in CBS news segment this morning.  https://t.co/BltBJfyXtV",Wed Apr 13 16:41:06 +0000 2016,en,0,False,1,False,,Wesley Chan,weschan
