Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Any interesting companies / entrepreneurs to meet in Philly? I have a breakfast spot free on Wed,Mon Apr 25 16:56:59 +0000 2016,en,0,False,0,False,,Zaw Thet,zawthet
Jax #jammin with his Ba Ba🎶 // via Instagram: https://t.co/IvdYgLQhTf https://t.co/Y2TZnUJpyo,Sun Apr 24 21:53:39 +0000 2016,en,1,False,4,False,,Zaw Thet,zawthet
The pleasure was all ours! https://t.co/6r9YSVnpB6,Sun Apr 24 02:28:58 +0000 2016,en,1,False,1,False,,Zaw Thet,zawthet
"ICYMI - worth a deep read if you're a founder, investor, employee, or anything to do with the tech ecosystem https://t.co/DVrBbwOn4V",Fri Apr 22 22:07:51 +0000 2016,en,0,False,2,False,,Zaw Thet,zawthet
Proud to have helped #climate get off the ground. Check it out and help spread the word! https://t.co/qEryQDqkV0,Fri Apr 22 19:45:21 +0000 2016,en,0,False,3,False,,Zaw Thet,zawthet
Amen sister! Preach! 🙏🏼🙏🏼🙏🏼 https://t.co/sCSco8WyFg,Fri Apr 22 19:10:25 +0000 2016,en,0,False,2,False,,Zaw Thet,zawthet
@hunterwalk @chudson @joshelman @KevinYen @Mazzeo @lennypruss @jhong @rchen @BrentHurley @kevaldesai loved the jello (really!) no grey goose,Tue Apr 19 22:00:27 +0000 2016,en,0,False,4,False,,Zaw Thet,zawthet
Fancy stickers to kick off this #Xoogler Demo day https://t.co/6JiskgXlHC,Tue Apr 19 20:32:16 +0000 2016,en,0,False,3,False,,Zaw Thet,zawthet
Wow https://t.co/MyqAqur2Rs,Tue Apr 19 19:33:06 +0000 2016,und,0,False,1,False,,Zaw Thet,zawthet
@joshelman @Joshmedia @ManuKumar and to be fair to app. I thought I was adding you as friend but didn't read the fine print!,Tue Apr 19 06:30:58 +0000 2016,en,0,False,1,False,,Zaw Thet,zawthet
@joshelman @Joshmedia @ManuKumar @bjfogg @echeng @JamesCurrier @Maidenberg @mjones https://t.co/ZYf1jbDXC8,Tue Apr 19 06:29:40 +0000 2016,und,0,False,2,False,,Zaw Thet,zawthet
@howardlindzon I used to see a HUGE theranos poster in the front of a VC office (who shall remain nameless). They took it down quick!,Tue Apr 19 01:34:30 +0000 2016,en,0,False,1,False,,Zaw Thet,zawthet
@howardlindzon how much blood did they have to take? https://t.co/10aee7XJkT,Tue Apr 19 01:29:49 +0000 2016,en,0,False,0,False,,Zaw Thet,zawthet
@Joshmedia that took 🏀🏀's and I like it!,Mon Apr 18 23:24:26 +0000 2016,en,0,False,1,False,,Zaw Thet,zawthet
Great post on company culture and leadership -&gt; “I’m not perfect so STFU” by @Joshmedia https://t.co/mhzXXGu7Rt https://t.co/b9Qj0xfl4K,Mon Apr 18 21:55:09 +0000 2016,en,1,False,5,False,,Zaw Thet,zawthet
Great post on company culture and leadership -&gt; “I’m not perfect so STFU” by @Joshmedia https://t.co/mhzXXGu7Rt,Mon Apr 18 21:55:03 +0000 2016,en,1,False,2,False,,Zaw Thet,zawthet
Loved this game. Super addictive! https://t.co/PvD1kIBH4p,Mon Apr 18 20:32:43 +0000 2016,en,1,False,1,False,,Zaw Thet,zawthet
Ringing the bell with the @applepiecapital team to celebrate another close! #LeanIn #TakeYourToddlerToMeetings https://t.co/2nX7177ago,Fri Apr 15 19:12:35 +0000 2016,en,3,False,6,False,,Zaw Thet,zawthet
Deep brainstorm sesh today with the @takescoop team #LeanIn #TakeYourToddlerToMeetings https://t.co/VX11mkjYYG,Fri Apr 15 19:06:43 +0000 2016,en,0,False,7,False,,Zaw Thet,zawthet
"Retweeted Scoop (@takescoop):

“Purpose-driven companies are often dealing with problems that the majority of…” —... https://t.co/nRKCWJ5ZU5",Fri Apr 15 16:40:56 +0000 2016,en,1,False,0,False,,Zaw Thet,zawthet
RT @takescoop: “Purpose-driven companies are often dealing with problems that the majority of…” — @jonsadow https://t.co/NaFJU9m61s https:/…,Fri Apr 15 16:40:50 +0000 2016,en,2,False,0,False,,Zaw Thet,zawthet
Must read from the amazing @ElizabethGore -&gt; @CircularB #circle  https://t.co/9QmCYdRZtV https://t.co/CVI99PwdyF,Fri Apr 15 14:11:55 +0000 2016,en,0,False,1,False,,Zaw Thet,zawthet
Must read from the amazing @ElizabethGore -&gt; @CircularB #circle  https://t.co/9QmCYdRZtV,Fri Apr 15 14:11:26 +0000 2016,en,0,False,0,False,,Zaw Thet,zawthet
"Retweeted Sunny Dhillon (@SunDhillon):

Looking for a kickass, hungry, research-driven intern who's interested in... https://t.co/MCgjEuwDaH",Fri Apr 15 05:43:03 +0000 2016,en,0,False,0,False,,Zaw Thet,zawthet
"RT @SunDhillon: Looking for a kickass, hungry, research-driven intern who's interested in early stage #VentureCapital at @SigniaVC; for imm…",Fri Apr 15 05:43:01 +0000 2016,en,7,False,0,False,,Zaw Thet,zawthet
"Retweeted Daniel Brown (@mercbrownie):

When Steph Curry partnered with @nothingbutnets to donate $ for every 3,... https://t.co/aAfiIGmkrG",Fri Apr 15 02:15:11 +0000 2016,en,1,False,0,False,,Zaw Thet,zawthet
"RT @mercbrownie: When Steph Curry partnered with @nothingbutnets to donate $ for every 3, they never dreamed of this. #warriors https://t.c…",Fri Apr 15 02:15:07 +0000 2016,en,51,False,0,False,,Zaw Thet,zawthet
"Thanks @mattermarkdaily and @rally_health for posting my talk on ""Why the coming correction will be a good thing""... https://t.co/gA237hm3vc",Fri Apr 15 01:22:55 +0000 2016,en,2,False,2,False,,Zaw Thet,zawthet
"Thanks @mattermarkdaily and @rally_health for posting my talk on ""Why the coming correction will be a good thing"" 🙌🏽 https://t.co/t7PyS24Kio",Fri Apr 15 01:22:50 +0000 2016,en,2,False,5,False,,Zaw Thet,zawthet
@annarchyy I teared up watching the @MagicJohnson speech and @kobebryant intro video pre-game. So many memories!,Thu Apr 14 05:32:43 +0000 2016,en,0,False,0,False,,Zaw Thet,zawthet
People love Curry because he's Batman. Lebron is Superman. I have no idea what Kobe is. Thankful to see all 3 + MJ  https://t.co/YRkomtgGoA,Thu Apr 14 04:49:42 +0000 2016,en,2,False,2,False,,Zaw Thet,zawthet
🙏🏼🙏🏼🙏🏼 thanks for having me in! https://t.co/B2FQjwOGIQ,Tue Apr 12 23:54:58 +0000 2016,en,1,False,4,False,,Zaw Thet,zawthet
I gave a talk at @rally_health and said: “A correction is a really good thing..we need it to happen.” Agree or No? https://t.co/RYg880W06R,Tue Apr 12 20:18:03 +0000 2016,en,3,False,5,False,,Zaw Thet,zawthet
great read #BoringBigProblems #BoringIsSexy https://t.co/krePlaTypd,Tue Apr 12 20:15:15 +0000 2016,en,0,False,2,False,,Zaw Thet,zawthet
"RT @PDSoros: Congratulations, Class of 2016! Meet the Fellows at https://t.co/gNi2EkwSWj.
#PDSoros #immigrants https://t.co/LLlgcLBoRw",Tue Apr 12 14:02:17 +0000 2016,en,23,False,0,False,,Zaw Thet,zawthet
Culture culture culture! https://t.co/Kowogzq6jz,Fri Apr 08 20:19:41 +0000 2016,und,2,False,3,False,,Zaw Thet,zawthet
@BoxedWholesale he says hi from his favorite fort! https://t.co/tyhsIDx8wT,Fri Apr 08 20:19:31 +0000 2016,en,0,False,2,False,,Zaw Thet,zawthet
