Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
The first round of finalists at @BizCourierEvent #InnovationAwards https://t.co/7u0IoihhjJ,Thu Apr 21 23:15:53 +0000 2016,en,1,False,2,False,,Batterii,Batterii
RT @TinaMonodDesign: Tap Your Inner Storyteller &amp; Get More Visual https://t.co/gzgknE2UFo by @kim_sykes via @Batterii #visualstorytelling,Thu Apr 21 22:04:59 +0000 2016,en,2,False,0,False,,Batterii,Batterii
Here's what it looks like when product teams become more agile https://t.co/StX50FdV6u #innovation,Thu Apr 21 20:36:00 +0000 2016,en,0,False,0,False,,Batterii,Batterii
Getting serious about #creativity https://t.co/pzx1wjUrpm,Thu Apr 21 18:11:43 +0000 2016,en,0,False,0,False,,Batterii,Batterii
This visual storyteller shares the unexpected benefits of sharing everything you know https://t.co/1l9nOODQeZ https://t.co/w7BkCdSc8G,Thu Apr 21 12:33:02 +0000 2016,en,0,False,1,False,,Batterii,Batterii
"@jlzoeckler @slack Hi JohnLewis, we love Slack, too, and have certainly considered it - but not yet.",Thu Apr 21 00:55:35 +0000 2016,en,0,False,1,False,,Batterii,Batterii
.@FrameriEyewear's Vision for Changing the Eyewear Industry https://t.co/n2n8cnqUMx #startupcincy #innovation https://t.co/CtmODI1sG4,Wed Apr 20 18:10:58 +0000 2016,en,0,False,1,False,,Batterii,Batterii
Don't let these myths hurt your #innovation culture https://t.co/VOhGSWU2IV #collaboration #innovate,Wed Apr 20 12:31:02 +0000 2016,en,0,False,1,False,,Batterii,Batterii
Here's how to tap your inner storyteller https://t.co/n26iOf9clJ #startupcincy,Tue Apr 19 23:47:12 +0000 2016,en,0,False,0,False,,Batterii,Batterii
The 6 types of play: how we learn to work together https://t.co/tjNvG13In2 https://t.co/cf5rYWPmdA,Tue Apr 19 19:17:08 +0000 2016,en,0,False,0,False,,Batterii,Batterii
"Digitize your consumer learning process and get lower cost + faster, real-time insights https://t.co/5I4H0bZd7f https://t.co/iYdF4peo1N",Tue Apr 19 15:12:05 +0000 2016,en,0,False,0,False,,Batterii,Batterii
The top tips on how to become a better #storyteller https://t.co/1NEkN15GDF #visual #storytelling https://t.co/VEH6FQ6Cey,Tue Apr 19 13:02:35 +0000 2016,en,0,False,0,False,,Batterii,Batterii
The key being a great leader is embracing empathy—and learning how to turn it into a superpower https://t.co/ijQBms38xt,Mon Apr 18 23:20:05 +0000 2016,en,0,False,0,False,,Batterii,Batterii
"With this way of problem solving, you can be empowered to bring new thinking to even the oldest problems https://t.co/F8ujAAZ2w2",Mon Apr 18 20:40:03 +0000 2016,en,0,False,1,False,,Batterii,Batterii
