Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @jeffersongraham: Look forward to meeting #ChrisOvitz from @workpop on today's @usatoday #TalkingTech podcast.,Thu Mar 24 20:00:00 +0000 2016,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
Yezzir! #happybirthday  https://t.co/nUhgjkTAH7,Thu Mar 03 21:21:43 +0000 2016,en,1,False,4,False,,Chris Ovitz,ChrisOvitz
Very excited about the new @sacksandwiches opening on Sunset this week. Awesome job @MVoltaggio #THEBEST https://t.co/cokojQD1Vh,Tue Feb 23 18:15:47 +0000 2016,en,0,False,5,False,,Chris Ovitz,ChrisOvitz
RT @bruswiffle: GET ON THE #FF TIP! @clynvallejo  @workpop @DelLeFevre @DAHollowayJr @TwitTwerkTweet @HoppeJewels @CynthiaLIVE @ArleneMpls …,Fri Feb 05 17:52:29 +0000 2016,en,4,False,0,False,,Chris Ovitz,ChrisOvitz
@bruswiffle Have you tried @Workpop yet? It is hiring magic! Please try it the next time you are hiring. You will not be disappointed!,Fri Feb 05 17:51:26 +0000 2016,en,0,False,2,False,,Chris Ovitz,ChrisOvitz
RT @staciabarbosa: Shoutout to @Workpop I went from being laid off at bare minimum wage job to having a nice office 2x min wage job in 3 da…,Sat Jan 30 22:07:37 +0000 2016,en,8,False,0,False,,Chris Ovitz,ChrisOvitz
My very handsome co-founder @reedacted is a 2016 Next Gen 10! Thanks @CSQmag cc: @Workpop #Workpop #ReedShaffner https://t.co/sKzTwNOMa9,Fri Jan 29 17:48:18 +0000 2016,en,5,False,9,False,,Chris Ovitz,ChrisOvitz
"Nominate everyone you know for the @workpop Small Business Awards and win up to $12,000 in prizes! https://t.co/dLiN3lonL7 #SoCalSMBAwards",Thu Jan 28 21:33:38 +0000 2016,en,2,False,7,False,,Chris Ovitz,ChrisOvitz
RT @Workpop: And we're happy to announce that the Workpop Employer App is now available for Android! https://t.co/rUbEC8iGlW https://t.co/0…,Wed Jan 20 22:22:42 +0000 2016,en,4,False,0,False,,Chris Ovitz,ChrisOvitz
Go team! We're thrilled to officially launch the Workpop Employer App for iPhone! https://t.co/tirDoR2P1w  #Workpop #hired,Fri Jan 08 23:42:04 +0000 2016,en,6,False,6,False,,Chris Ovitz,ChrisOvitz
RT @Chiefpplofficer: Love the community feature on  @workpop for candidates. A healthy supportive dialogue helping people with the job mark…,Thu Jan 07 02:25:52 +0000 2016,en,6,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @Workpop: New Year, new jobs.

Find one you love: https://t.co/zRVpJrQxI4 https://t.co/E8SbYo1hfK",Sat Jan 02 00:09:28 +0000 2016,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
. @Forbes thanks for writing about this. One of the many reasons we are building @workpop https://t.co/CMw5oiUP5k,Thu Nov 19 03:34:29 +0000 2015,en,3,False,5,False,,Chris Ovitz,ChrisOvitz
"RT @Workpop: The best jobs &amp; candidates: https://t.co/sYdyGkErsh

And a whole Community just like you: https://t.co/VbV9MFGRBd https://t.co…",Tue Nov 17 19:45:05 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
Excited to judge the startup pitch competition @LATechSummit today w/ @baron_davis and @marlette #LATechSummit,Tue Nov 17 19:29:08 +0000 2015,en,2,False,7,False,,Chris Ovitz,ChrisOvitz
RT @Workpop: Excited for Co-CEOs @reedacted &amp; @chrisovitz to join @marcambinder tomorrow in this important #TechWeekLA panel! https://t.co/…,Wed Nov 11 21:51:22 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @neiltyson: 3,400: Americans who died by Terrorism since 2001

3,400: Americans who died by household Firearms since five weeks ago.",Wed Nov 11 07:26:00 +0000 2015,en,67462,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @workpop: Apply for jobs while you're out &amp; about this wknd!

Android: https://t.co/yc9iHZTAtI  
iOS: https://t.co/TaOfhksVou https://t.…",Sat Nov 07 22:39:04 +0000 2015,en,7,False,0,False,,Chris Ovitz,ChrisOvitz
RT @TenderGreens: We need pastry cooks! Apply at https://t.co/rD4ZK60O9h and find all our jobs @workpop,Thu Nov 05 03:01:51 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
RT @workpop: Happy Halloween from Workpop! 🎃👻❤️ https://t.co/sVBCCQUcCd,Sat Oct 31 22:27:39 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
RT @luisatlive: Yesterday: Brazil. Today: @workpop. Tomorrow: Miami? #DALE #MRWORLDWIDE https://t.co/KSdJzPzMZ2,Fri Oct 30 23:15:12 +0000 2015,en,3,False,0,False,,Chris Ovitz,ChrisOvitz
RT @BlueStarDonuts: Cheers to the freakin weekend babe 😚 https://t.co/zCyy3eMbgJ,Fri Oct 30 23:14:44 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
Thank you @BlueStarDonuts your maple #bacon donut is so good it should be illegal :) #yum,Fri Oct 30 20:43:24 +0000 2015,en,0,False,2,False,,Chris Ovitz,ChrisOvitz
RT @workpop: Our blog has officially launched! Come give it a whirl: https://t.co/bZ569cWRoB https://t.co/sedmnEceVX,Tue Oct 27 01:21:48 +0000 2015,en,3,False,0,False,,Chris Ovitz,ChrisOvitz
RT @ev: Cool job for product person with interest in the arts in LA. (Imma investor.) https://t.co/z1Iacv5Ylj,Thu Oct 22 03:56:15 +0000 2015,en,35,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @neiltyson: The 1989 film “Back to the Future II” envisioned life on Oct 21, 2015 — Hoverboards. [Working on it] https://t.co/9zprapgeg6",Wed Oct 21 14:51:43 +0000 2015,en,3972,False,0,False,,Chris Ovitz,ChrisOvitz
Interesting life hack :) https://t.co/Q5EsF6NV99,Wed Oct 21 03:24:05 +0000 2015,en,0,False,2,False,,Chris Ovitz,ChrisOvitz
RT @TravisMorrison1: Workpop is now live in San Diego and we're welcoming Twitter's founder Biz Stone to our board! Check it: https://t.co/…,Wed Oct 21 03:21:12 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @biz: W00t! Go, @workpop I love what these guys are doing. https://t.co/XT0663JXn6",Tue Oct 20 18:34:05 +0000 2015,en,13,False,0,False,,Chris Ovitz,ChrisOvitz
@rrhoover @drew Final Fantasy III aka VI,Sun Oct 18 22:13:16 +0000 2015,ht,0,False,5,False,,Chris Ovitz,ChrisOvitz
"RT @spring: Meet @arakatz, Spring co-founder and all around badass. @marieclaire agrees. http://t.co/Xk7F2IqMvL http://t.co/p6IpgJqWQp",Fri Oct 16 17:59:35 +0000 2015,en,6,False,0,False,,Chris Ovitz,ChrisOvitz
Wow! @marieclaire thinks my wife @arakatz is one of the most influential women in America! And I agree! http://t.co/3oV6mYcz1x … #Dopesh!t,Fri Oct 16 04:42:01 +0000 2015,en,1,False,7,False,,Chris Ovitz,ChrisOvitz
RT @thebrownsquare: LinkedIn made itself even uglier. Wow. Damn I hate this website. When is @workpop gonna pop-off? https://t.co/EJeBns85az,Thu Oct 15 17:07:01 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @googledrive: We know something's up with Drive for the moment. Rest assured, we're on it and we'll update soon.",Fri Oct 09 20:07:09 +0000 2015,en,979,False,0,False,,Chris Ovitz,ChrisOvitz
@google fix drive. Thank you.,Fri Oct 09 18:54:51 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @workpop: Find a job you love ✔️

Use the same application for every job ✔️

Start: http://t.co/88hdaNjhEF // 📷: @TheEveleigh http://t.c…",Wed Oct 07 15:24:21 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
@jmillermerrell DM me your contact info,Fri Oct 02 18:33:52 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
RT @ewwdenise: Workpop is so cool and easy.,Fri Oct 02 18:25:59 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @workpop: We've all been there... ¯\_(ツ)_/¯

Biggest Job Interview Fails: http://t.co/L3F9qKTmV7 http://t.co/KI6HeIFiRS",Thu Oct 01 22:41:31 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @workpop: This man worked 50 jobs in 50 states

From @BWWings server to farmer &amp; everything in between https://t.co/rUZkHgaFbX https://t…",Thu Oct 01 22:40:59 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @workpop: 4 of 10 people have been involved in a workplace romance.

Is it ever OK to date a co-worker? http://t.co/JAukYnhstq http://t.…",Wed Sep 30 18:03:18 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
It's #NationalCoffeeDay and I drink too much coffee. Have you ever had a #gibraltar ? http://t.co/gsdSyke7nU #SoGood,Tue Sep 29 18:08:42 +0000 2015,en,0,False,1,False,,Chris Ovitz,ChrisOvitz
RT @workpop: Here are the best times to drink ☕️ on the job: http://t.co/ZP2tdXUo1e // 📷: @Groundworkcoffe #NationalCoffeeDay http://t.co/w…,Tue Sep 29 18:01:39 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
Exciting! #Mars #Water http://t.co/d2MVFuzOjm,Mon Sep 28 18:28:59 +0000 2015,en,3,False,3,False,,Chris Ovitz,ChrisOvitz
RT @thinkoutloud: @workpop is a pretty cool company focused on hourly brick &amp; mortar employees. I dig it. #futureofwork http://t.co/EFylt4x…,Fri Sep 18 21:33:10 +0000 2015,en,3,False,0,False,,Chris Ovitz,ChrisOvitz
RT @thinkoutloud: @reedacted Is doing a great job on the #futureofwork panel. Love his thoughts on remembering humanity when matching suppl…,Fri Sep 18 21:32:55 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
Mr. @bgurley is saying what no one else will. #EconomyOfLazy http://t.co/rGeLAeGSTP,Fri Sep 18 18:37:15 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
RT @SuzanneGoin: We need employees! Apply at https://t.co/FMzBeyqVtE and find all our jobs @workpop,Wed Sep 16 22:52:36 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
RT @obviousvc: Congrats @workpop on this BIG IMPACT award from Salesforce! https://t.co/TxKQDOs1tO,Wed Sep 16 22:51:28 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
RT @reedacted: 1 year ago we launched in LA now on to the rest of SoCal!  Hello Sd and OC @workpop http://t.co/7ZYSEJusze,Wed Sep 16 20:19:15 +0000 2015,en,3,False,0,False,,Chris Ovitz,ChrisOvitz
Very realistic view from our friend and lead investor on the state of the bubble/non-bubble http://t.co/xtmxj1CSe5,Tue Sep 15 02:04:27 +0000 2015,en,0,False,1,False,,Chris Ovitz,ChrisOvitz
Great post on the struggle of the hourly worker https://t.co/ujhVJrYDyE,Wed Sep 09 22:30:28 +0000 2015,en,0,False,2,False,,Chris Ovitz,ChrisOvitz
RT @workpop: Workpop supports #MarriageEquality http://t.co/rOoMxEDy7K,Sat Jun 27 04:15:54 +0000 2015,en,4,False,0,False,,Chris Ovitz,ChrisOvitz
@hunterwalk @dwaxd @eytanelbaz @shyp can't wait to check it out!,Sun May 17 05:54:21 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
So true Cc: @arakatz @reedacted @MR_JORDANHARRIS @SethSandler @workpop http://t.co/GfJtLPUOD9,Sat May 09 23:54:09 +0000 2015,en,5,False,5,False,,Chris Ovitz,ChrisOvitz
RT @ethangoldblum: I'm okay everyone. Connectivity is hard to come by here. I'll update asap.,Sun Apr 26 21:28:54 +0000 2015,en,3,False,0,False,,Chris Ovitz,ChrisOvitz
@alexcorre @ethangoldblum please let's us know you're ok. Thoughts are with you.,Sat Apr 25 16:43:05 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
Amazing opportunity. Apply here https://t.co/BeFzHWQGmG,Fri Mar 27 18:37:58 +0000 2015,en,2,False,2,False,,Chris Ovitz,ChrisOvitz
Amazing opportunity. Apply here https://t.co/adqsLxgr3O,Fri Mar 27 18:37:33 +0000 2015,en,0,False,1,False,,Chris Ovitz,ChrisOvitz
Amazing opportunity. Apply here - http://t.co/jAbyjuma62 via @springroleinc,Fri Mar 27 18:37:22 +0000 2015,en,2,False,2,False,,Chris Ovitz,ChrisOvitz
Amazing opportunity. Apply here - http://t.co/qVT9DnfUHP via @springroleinc,Fri Mar 27 18:36:28 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/F24U3NoRoN,Sat Mar 14 00:23:02 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/bOx9TuzTdx,Sat Mar 14 00:21:43 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/OzOI8gfJwf,Fri Mar 13 03:20:59 +0000 2015,en,0,False,1,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/ARDqkCnXvz,Fri Mar 13 03:12:44 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/jl2RkaZFnd,Fri Mar 13 03:10:09 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/m2mux3F3xc,Thu Mar 12 17:28:00 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/ghKceXwtGR,Thu Mar 12 16:52:13 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/qELYMOD3wk,Thu Mar 12 16:42:09 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/Kf05Gy7jul,Thu Mar 12 16:38:18 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
@Scrilla100 that would have been better - you're right,Thu Mar 12 16:37:58 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
What has the world come to? Little Caesars is now serving a #Bacon wrapped pizza.,Thu Mar 12 15:58:45 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/3JyANRTAdz,Thu Mar 12 02:32:29 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/jWZ5bCKZxa,Thu Mar 12 02:29:46 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
|LIVE NOW| http://t.co/nXSycRZXLX,Tue Mar 10 20:41:59 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
RT @reedacted: no one refuses @workpop  birthday cake @bsberman http://t.co/ygj3YAndoD,Fri Mar 06 22:31:00 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
RT @dschol: One year anniversary @workpop. Such a privilege to work w/this team. cc @ChrisOvitz @reedacted @trinityventures @biz http://t.c…,Fri Mar 06 20:15:04 +0000 2015,en,7,False,0,False,,Chris Ovitz,ChrisOvitz
@ooShirtsCares thank you for the refund,Tue Feb 24 00:43:30 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
RT @CornerstoneInc: Our friends at @Workpop are hosting a #hackathon. Join for a chance to win lunch w/ Twitter's cofounders. http://t.co/g…,Fri Feb 20 00:21:00 +0000 2015,en,5,False,0,False,,Chris Ovitz,ChrisOvitz
@ooShirtsCares order #323958 see picture attached http://t.co/BMyn9WF0mY,Wed Feb 18 18:05:31 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
@ooShirts @ooShirtsCares no response? Really?,Wed Feb 18 17:45:37 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
"Part 3 @ooShirts @ooShirtsCares I submitted a claim and haven't heard anything back. You should take the ""cares"" out of your twitter handle",Wed Feb 18 17:41:48 +0000 2015,en,0,False,1,False,,Chris Ovitz,ChrisOvitz
Part 2 - @ooShirts @ooShirtsCares I ordered 250 tshirts from you and they all came discolored and ruined.,Wed Feb 18 17:40:30 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
Part1 - Just experienced the worst customer service of my life @ooShirts your customer service is horrid. cc @ooShirtsCares,Wed Feb 18 17:39:44 +0000 2015,en,0,False,0,False,,Chris Ovitz,ChrisOvitz
RT @arakatz: To my favorite person to see the world with. @chrisovitz #happyvalentinesday #utah @ Lake Powell Utah http://t.co/fcoN9971Bn,Sat Feb 14 20:18:39 +0000 2015,en,1,False,0,False,,Chris Ovitz,ChrisOvitz
RT @openingceremony: When @spring co-founder @arakatz isn’t reinventing mobile shopping—she’s w/ this hottie 🔥🔥🔥 http://t.co/cDNu4r8UXR htt…,Fri Feb 13 21:24:52 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
@openingceremony @arakatz stop you're making me blush ;) #HappyValentinesDay,Fri Feb 13 21:24:42 +0000 2015,en,0,False,2,False,,Chris Ovitz,ChrisOvitz
"RT @joshgondelman: Kanye West is the best case scenario for: ""Just say the first thing you think of. Remember, there are no bad ideas.""",Mon Feb 09 16:16:07 +0000 2015,en,84,False,0,False,,Chris Ovitz,ChrisOvitz
RT @TechCrunch: Netflix is said to be working on a new series that uses Nintendo’s ‘Legend of Zelda’ games as their source material http://…,Sat Feb 07 03:32:34 +0000 2015,en,130,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @html5cat: Great catching up w/ @workpop team.
Awsm use of @meteorjs &amp; ObjeciveDDP
Thx @ChrisOvitz @reedacted 😊 http://t.co/aPdIUDXeM1",Sat Feb 07 02:09:15 +0000 2015,en,6,False,0,False,,Chris Ovitz,ChrisOvitz
RT @obviousvc: Obvious Ventures co @workpop is running a hackathon - 1st prize is lunch with @ev and @biz. Check it out! https://t.co/0Vm2v…,Fri Feb 06 22:56:07 +0000 2015,en,2,False,0,False,,Chris Ovitz,ChrisOvitz
RT @biz: Meet w/ @ev and I. Win 1st prize in @workpop's hackathon and join us for lunch @medium HQ https://t.co/0GadkWX57p http://t.co/gnao…,Fri Feb 06 22:53:16 +0000 2015,en,33,False,0,False,,Chris Ovitz,ChrisOvitz
Get this @HenryJayYu http://t.co/IQDfB8irhq,Thu Feb 05 20:57:51 +0000 2015,en,0,False,1,False,,Chris Ovitz,ChrisOvitz
"RT @echriqui: Dear @FTC, pls protect our children and act on the #TruthInAds workshop request from these members of Congress: http://t.co/9…",Thu Feb 05 20:54:48 +0000 2015,en,5,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @hackerrank: Sign up now to win some awesome prizes at the @Workpop Hackathon, hosted by HackerRank http://t.co/l038tSL9zN http://t.co/s…",Thu Feb 05 05:07:56 +0000 2015,en,5,False,0,False,,Chris Ovitz,ChrisOvitz
RT @TopoRanch: We need employees! Apply at https://t.co/8SZN6W4SRF and find all our jobs @workpop,Thu Feb 05 05:07:53 +0000 2015,en,7,False,0,False,,Chris Ovitz,ChrisOvitz
RT @jaredwsmith: Welp. http://t.co/PBxAV8t3PZ,Mon Feb 02 03:43:13 +0000 2015,en,19750,False,0,False,,Chris Ovitz,ChrisOvitz
RT @EmmittSmith22: That was the worst play call I've seen in the history of football.😞,Mon Feb 02 03:42:55 +0000 2015,en,37653,False,0,False,,Chris Ovitz,ChrisOvitz
"RT @WillyFerrell: 50,000 RETWEETS AND ILL RUN ON THE FIELD http://t.co/ygnQtYWncj",Mon Feb 02 02:00:53 +0000 2015,en,50653,False,0,False,,Chris Ovitz,ChrisOvitz
