Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@balajis whatever else it has going for it, the i3's  ridiculous design forfeits everything aspirational about BMW. More an homage to Aztec.",Wed Apr 20 17:00:02 +0000 2016,en,0,False,5,False,,dick costolo,dickc
"@carlquintanilla @TylerHicksPhoto @nytimesphoto remarkable, powerful, horrifying",Wed Apr 20 15:57:56 +0000 2016,en,0,False,3,False,,dick costolo,dickc
"@carlquintanilla @SilverAgeTV a true classic. Robert Guillaume was out by this photo but amazing. Also missing, chief of police Tinkler",Wed Apr 20 15:56:47 +0000 2016,en,0,False,1,False,,dick costolo,dickc
@grauface you would be hard-pressed to find a better metaphor for the dept of homeland security.,Wed Apr 20 04:51:12 +0000 2016,en,0,False,5,False,,dick costolo,dickc
"@NathanCHubbard ""smelling like a calvin harris mosh pit"" is some of your best work.",Tue Apr 19 20:06:32 +0000 2016,en,0,False,10,False,,dick costolo,dickc
@JeremySF nice close-up of you just now at the Warriors game.,Tue Apr 19 02:55:27 +0000 2016,en,0,False,6,False,,dick costolo,dickc
Just hearing the news about Bill Campbell. Horrible. Called me on my last day at Twitter &amp; had both the funniest &amp; most insightful comments,Mon Apr 18 16:09:00 +0000 2016,en,21,False,138,False,,dick costolo,dickc
@joshuatopolsky Really refreshing and thoughtful. Excellent.,Sun Apr 17 18:06:14 +0000 2016,en,0,False,1,False,,dick costolo,dickc
"@christianism @omid  referees have it in for Andy Carroll. He probably brings it on himself, but they overdo it.",Sun Apr 17 17:52:41 +0000 2016,en,0,False,2,False,,dick costolo,dickc
@DebraMessing @vulture Her scene with the principal and Mann/Rudd in This is 40 is a classic. Could watch it repeatedly.,Sat Apr 16 21:59:57 +0000 2016,en,0,False,1,False,,dick costolo,dickc
"@variety ""It's ridiculous but please join us for dinner and make your $34k check payable to HRC. We will fix the ridiculousness later.""",Sat Apr 16 21:46:20 +0000 2016,en,3,False,14,False,,dick costolo,dickc
@NickatFP @pmarca such is the depressing state of affairs that I can't tell whether or not this is fake.,Sat Apr 16 21:29:44 +0000 2016,en,1,False,0,False,,dick costolo,dickc
"@noradio I knew it was all uninformed nonsense after the phrase ""like the rest of us, they shrink from ostentation""",Sun Apr 10 00:26:40 +0000 2016,en,0,False,5,False,,dick costolo,dickc
"@mrmattwalsh @Rich_Fulcher I still use it sometimes, like if I want to order a pizza.",Sat Apr 09 01:33:39 +0000 2016,en,0,False,3,False,,dick costolo,dickc
"As good weeks go, @elonmusk's is right up there.",Sat Apr 09 01:30:02 +0000 2016,en,82,False,309,False,,dick costolo,dickc
@mrmattwalsh @Rich_Fulcher is one of you two performing under my name again? https://t.co/Tq4QvUYWlz,Wed Apr 06 20:56:08 +0000 2016,en,0,False,5,False,,dick costolo,dickc
".@DavidSacks The vision &amp; force of will to execute against that plan despite the regulatory, financial, tech hurdles is extraordinary",Tue Apr 05 14:11:24 +0000 2016,en,3,False,42,False,,dick costolo,dickc
@Bdorf agreed. So fun to watch. Love the shot of Rollie at the end. UNC fans have some reasonable officiating gripes down the stretch.,Tue Apr 05 03:45:04 +0000 2016,en,1,False,4,False,,dick costolo,dickc
@adashek isn't that an advanced Crossfit workout? Wwpu? Wall walk pull ups?,Tue Apr 05 03:38:40 +0000 2016,en,0,False,4,False,,dick costolo,dickc
@jharinstein ok I thought that BEFORE the last two shots! That Paige shot!!,Tue Apr 05 03:35:23 +0000 2016,en,0,False,3,False,,dick costolo,dickc
Are you kidding me,Tue Apr 05 03:28:26 +0000 2016,en,12,False,101,False,,dick costolo,dickc
"This might be one of the most fun and exciting college basketball games start to finish I've seen in a long time. Wow
#NationalChampionship",Tue Apr 05 03:24:49 +0000 2016,en,46,False,154,False,,dick costolo,dickc
"Ah, spring in northern Michigan! https://t.co/9m3uwoLuw6",Sun Apr 03 17:18:03 +0000 2016,de,24,False,128,False,,dick costolo,dickc
@jeffweiner I have yet to read anything by him (writtten or transcribed) that wasn't one of the more thoughtful pieces on said subject,Sun Apr 03 16:13:16 +0000 2016,en,0,False,4,False,,dick costolo,dickc
@peterfenton What?? two marathons in one month?!,Sun Apr 03 14:18:06 +0000 2016,en,1,False,5,False,,dick costolo,dickc
"What is it w/ these former players belittling the Warriors success?
""Pippen says '95-96 Bulls would sweep Warriors"" https://t.co/HKMx2OmgJT",Sun Apr 03 14:16:35 +0000 2016,en,12,False,52,False,,dick costolo,dickc
"Excited for this. Great cast, director of ""Sicario"" and Ridley Scott exec producing.  https://t.co/EAkn4TFMG1",Sat Apr 02 22:25:39 +0000 2016,en,13,False,51,False,,dick costolo,dickc
