Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"this is the best - entrepreneurship in its highest form - and when it really works, founders are the BEST longterm C…https://t.co/s20nX85Yc0",Mon Apr 18 19:37:00 +0000 2016,en,0,False,3,False,,Ken Fox,KenFox_NYC
I tried the leading company in a $5 billion meal service industry — here's how it changed my life https://t.co/cMGvHZ2K9J,Mon Apr 11 19:12:57 +0000 2016,en,0,False,0,False,,Ken Fox,KenFox_NYC
RT @danpfeiffer: Great piece on parents are turning to @gofundme to help pay for maternity leave https://t.co/CoKg9myDtG via @cora_lew @buz…,Fri Mar 11 17:13:28 +0000 2016,en,7,False,0,False,,Ken Fox,KenFox_NYC
RT @gofundme: .@TheEllenShow just did her biggest giveaway ever to an incredible school in Detroit. Help: https://t.co/Wo97uNa8lo https://t…,Thu Feb 11 20:42:32 +0000 2016,en,13,False,0,False,,Ken Fox,KenFox_NYC
Ridiculous - let 'EM and let them stay - The Cruel Waste of America’s Tech Talent http://t.co/trB6a1BcQT,Sat Jan 17 22:26:39 +0000 2015,en,1,False,1,False,,Ken Fox,KenFox_NYC
RT @bradleyklaus: Someone Flew a Drone Through Chernobyl and the Result Is Haunting by @HeyMattConnolly http://t.co/nPcQ4NtFVM via @MicNews,Sat Nov 29 17:02:45 +0000 2014,en,1,False,0,False,,Ken Fox,KenFox_NYC
The secret of success is the consistency to pursue. - Harry F. Banks,Sat Nov 29 15:12:23 +0000 2014,en,1,False,2,False,,Ken Fox,KenFox_NYC
"Bazaar and.concerning ·  China Turns Up the Rhetoric Against the West
http://t.co/AKJSuJ9bCy",Tue Nov 11 18:47:39 +0000 2014,en,1,False,0,False,,Ken Fox,KenFox_NYC
Boris Johnson on why Winston Churchill still stands alone http://t.co/oRdRIyrVJ6 via @WSJ,Mon Nov 10 03:46:05 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
Just watched the movie - I AM ALI - here is the trailer - http://t.co/KCnZE1oXWl  - now watch the movie it is SO INSPIRING - FANTASTIC!!!,Tue Oct 28 01:24:52 +0000 2014,en,0,False,1,False,,Ken Fox,KenFox_NYC
From a Rwandan Dump to the Halls of Harvard  http://t.co/Huh1mpfPby,Thu Oct 23 13:56:14 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
"Smelling Liberal, Thinking Conservative http://t.co/9BhZg3Y94I",Sun Oct 05 15:51:57 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
https://t.co/X12JgLn1fg,Sun Oct 05 12:18:33 +0000 2014,und,0,False,0,False,,Ken Fox,KenFox_NYC
Who Invented the Ice Bucket Challenge? A Slate Investigation. http://t.co/090whf0gWB via @slate,Sat Aug 23 12:17:45 +0000 2014,en,1,False,0,False,,Ken Fox,KenFox_NYC
way to lead!!  fantastic!!   LeBron: I'm coming back to Cleveland http://t.co/ycoJrIInLk via @SInow,Fri Jul 11 17:20:19 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
Money has corrupted our democracy. I pledged to fix it. Check out my #MAYDAYUS page -- https://t.co/sLsTwFAtrH,Fri Jul 04 23:10:21 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
"Louis Zamperini, Olympian and ‘Unbroken’ War Survivor, Dies at 97, via @nytimes http://t.co/IcvsFCYgl4",Thu Jul 03 19:44:33 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
this is greatness... Lionel Messi Is Impossible http://t.co/3PvrR3Cnsq via @fivethirtyeight,Wed Jul 02 16:43:19 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
Soccer in the US wins!!!  : Belgium Eliminates Team U.S.A. http://t.co/j0yVTPoly6,Wed Jul 02 14:10:06 +0000 2014,en,0,False,1,False,,Ken Fox,KenFox_NYC
China may build an undersea train to America http://t.co/rs7W78DGfZ,Mon May 12 14:29:38 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
Good luck Michael Sam! http://t.co/Zz2snueVBC,Sun May 11 02:55:55 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
"Vampires? - Young Blood May Hold Key to Reversing Aging, via @nytimes http://t.co/XF0LHMU5H6",Sun May 04 21:46:38 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
RT @StanfordBiz: The life of a business does not read like a strategic plan. It unfolds as things are discovered along the way. http://t.co…,Sat Apr 26 23:02:59 +0000 2014,en,38,False,0,False,,Ken Fox,KenFox_NYC
RT @StockTwits: Chart Of The Day: Here's how the current bull market compares to the monster 1982 bull market http://t.co/v537uj0Qbv $SPY $…,Sat Apr 19 17:36:22 +0000 2014,en,46,False,0,False,,Ken Fox,KenFox_NYC
@ken_hirsh @Seamless hhmmm - that doesn't make sense - stay tuned...,Sun Mar 30 20:03:28 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
I hope this is a super product! - Khan Academy Creates Partnership To Close Wealth Gap In SAT scores  @TechCrunch http://t.co/BSZcrX3HYv,Thu Mar 06 03:44:18 +0000 2014,en,0,False,0,False,,Ken Fox,KenFox_NYC
