Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Musk's Secret Plan to Curb City Traffic With Self-Driving ‘Bus’ https://t.co/S4o5R6wzzG via @technology,Thu Apr 21 15:56:03 +0000 2016,en,0,False,0,False,,Laurent Drion,LaurentDrion
RT @emerge_be: @Cabify raises $120m at a $320m valuation led by Rakuten to take on Uber in Latin America https://t.co/hjI7cR7D3M - Congrats…,Wed Apr 20 12:05:38 +0000 2016,en,2,False,0,False,,Laurent Drion,LaurentDrion
RT @nomadicnerd: Every failed on demand startup will reappear as a successful robotics driven business in 5-10 years,Wed Apr 13 17:00:19 +0000 2016,en,238,False,0,False,,Laurent Drion,LaurentDrion
"RT @naval: Jony runs Design. Tim runs Operations. With Steve gone, who runs Product?",Mon Apr 11 10:26:07 +0000 2016,en,32,False,0,False,,Laurent Drion,LaurentDrion
RT @SpaceX: Landing from the chase plane https://t.co/2Q5qCaPq9P,Fri Apr 08 23:28:57 +0000 2016,en,29481,False,0,False,,Laurent Drion,LaurentDrion
Inside the mind of a master procrastinator https://t.co/ULe1SgTSUb,Tue Mar 15 21:37:51 +0000 2016,en,0,False,0,False,,Laurent Drion,LaurentDrion
Why worry ? https://t.co/rWGkOlN0sH,Fri Mar 11 23:43:18 +0000 2016,en,0,False,0,False,,Laurent Drion,LaurentDrion
Uber's plan to get more people into fewer cars https://t.co/fMZbPG8RMd,Wed Mar 09 12:24:17 +0000 2016,en,0,False,1,False,,Laurent Drion,LaurentDrion
"2010 @JeffBezos's reply to @PeterDiamandis: ""Peter, I'm so busy I'm trying to optimize my toothbrushing time"" via https://t.co/ecdWhEfgLM",Fri Feb 12 13:20:07 +0000 2016,en,0,False,0,False,,Laurent Drion,LaurentDrion
Blue Origin: Launch. Land. Repeat. https://t.co/XUA0aPWZgM,Sat Jan 23 17:28:09 +0000 2016,en,0,False,0,False,,Laurent Drion,LaurentDrion
Dragon 2 Propulsive Hover Test https://t.co/q4yjQaOvyW via @YouTube,Fri Jan 22 21:10:29 +0000 2016,en,0,False,0,False,,Laurent Drion,LaurentDrion
"""The best way to predict the future is to invent it""  - Alan Kay",Sun Jan 17 12:16:58 +0000 2016,en,1,False,2,False,,Laurent Drion,LaurentDrion
This is what happens when you reply to spam email https://t.co/rWbO50Pmir,Sat Jan 09 15:07:51 +0000 2016,en,0,False,0,False,,Laurent Drion,LaurentDrion
Historic Landing of Falcon 9 First Stage at Landing Zone 1 https://t.co/1cM9jw8hUC via @YouTube,Tue Dec 22 14:03:35 +0000 2015,en,1,False,0,False,,Laurent Drion,LaurentDrion
RT @SpaceX: Landing from helo https://t.co/dYomRtG0Xs,Tue Dec 22 10:07:48 +0000 2015,en,16027,False,0,False,,Laurent Drion,LaurentDrion
"RT @yupyork: How I raised $400,000 in two weeks, from 61 investors, through @AngelList - https://t.co/h232CHsmK0",Wed Dec 02 20:47:53 +0000 2015,en,23,False,0,False,,Laurent Drion,LaurentDrion
RT @emerge_be: Mark Zuckerberg pledges To Give Away 99% Of His Shares https://t.co/vOy55aMY7f via @techcrunch,Tue Dec 01 23:59:15 +0000 2015,en,1,False,0,False,,Laurent Drion,LaurentDrion
"RT @westcoastbill: amazing “@CNET: Alex Roy claims coast-to-coast Tesla Autopilot record 57 hours, 48 minutes https://t.co/lAjZLlQN5W https…",Wed Oct 21 21:18:31 +0000 2015,en,410,False,0,False,,Laurent Drion,LaurentDrion
RT @emerge_be: Vitruvian Acquires Majority Stake in @Voxbone | Business Wire http://t.co/d7MqNhpmYE,Fri Aug 21 19:59:46 +0000 2015,en,4,False,0,False,,Laurent Drion,LaurentDrion
RT @ordoro: Announcing our open API http://t.co/rxIEWLAMZu,Thu Aug 13 19:42:17 +0000 2015,en,5,False,0,False,,Laurent Drion,LaurentDrion
RT @SpireGlobal: We're continuing our massive growth with a $40M Series B https://t.co/X7EVwJAsUA,Fri Jul 03 07:56:10 +0000 2015,en,13,False,0,False,,Laurent Drion,LaurentDrion
Apple's Tim Cook will give away all his money: Fortune http://t.co/xarrMki7Qp via @YahooFinance,Fri Mar 27 10:12:36 +0000 2015,en,0,False,2,False,,Laurent Drion,LaurentDrion
RT @emerge_be: @Twilio Acquires Two-Factor Authentication Service @Authy http://t.co/lRnRPVKmTB  via @techcrunch,Tue Feb 24 16:00:34 +0000 2015,en,2,False,0,False,,Laurent Drion,LaurentDrion
I want one of those new BookBook's ! http://t.co/e19ZgLh7s9,Sat Sep 06 08:38:05 +0000 2014,en,0,False,0,False,,Laurent Drion,LaurentDrion
RT @emerge_be: Who needs hackers? 'Password1' opens a third of all biz doors http://t.co/cdk8sDIwgO via @theregister,Mon Aug 18 10:45:52 +0000 2014,en,3,False,0,False,,Laurent Drion,LaurentDrion
RT @emerge_be: On @BBCWorld : Russia gang hacks 1.2 billion accounts !!! - http://t.co/wTUCnKOB84 - Time to implement @Authy 's 2-step auth…,Wed Aug 06 11:26:56 +0000 2014,en,1,False,0,False,,Laurent Drion,LaurentDrion
"RT @SpireGlobal: We are excited to unveil a new name, a new look, and our latest funding. Nanosatisfi is now Spire!
http://t.co/9FeEQbYHpp",Tue Jul 29 16:09:24 +0000 2014,en,16,False,0,False,,Laurent Drion,LaurentDrion
Glass Half Empty http://t.co/4SBQmJCJYU via @TheDailyShow,Sat Jun 14 18:20:45 +0000 2014,en,0,False,1,False,,Laurent Drion,LaurentDrion
RT @NASA_Astronauts: #Exp38 deploys more #CubeSats. Soyuz trio landing with @AstroIllini moves up to March 10. http://t.co/9Hf9q15pNd http:…,Thu Feb 13 03:17:36 +0000 2014,en,77,False,0,False,,Laurent Drion,LaurentDrion
Crowdfunded nanosatellites from @nanosatisfi unleashed in orbit http://t.co/k5d7wYwBx0 via @NBCNewsScience,Wed Nov 20 09:13:00 +0000 2013,en,1,False,0,False,,Laurent Drion,LaurentDrion
RT @AstroRM: The small satellites a few moments after deployment. http://t.co/FkyYJ20XnA,Wed Nov 20 09:05:52 +0000 2013,en,317,False,0,False,,Laurent Drion,LaurentDrion
RT @emerge_be: Congratulations to @NanoSatisfi for the successful deployment of ArduSat-1 &amp; Ardusat-X from the ISS !!! video -&gt; http://t.co…,Wed Nov 20 08:58:46 +0000 2013,en,5,False,0,False,,Laurent Drion,LaurentDrion
