Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Fun conversation with one of my favorite people to think big thoughts with @EndeavorGlobal @lindarottenberg  https://t.co/HXXJfpHfPB,Tue Apr 19 23:24:13 +0000 2016,en,3,False,4,False,,Nick Beim,NickBeim
Excited to be working again with Alexis Maybank on her new immersive shopping app Project September @giltfounder https://t.co/5NUEbpRtUV,Thu Apr 14 14:01:56 +0000 2016,en,0,False,3,False,,Nick Beim,NickBeim
"Human intelligence not gold standard for AI, but a practical ""pastiche of kludges"" - good read https://t.co/9euLWib6Lz",Wed Apr 13 22:11:36 +0000 2016,en,0,False,2,False,,Nick Beim,NickBeim
"About to speak @sxw20 w/@psimas1 &amp; @joshatnea on Machines, People &amp; Unicorns",Thu Mar 10 19:05:08 +0000 2016,en,1,False,6,False,,Nick Beim,NickBeim
RT @pmddomingos: The Turing test is like saying planes don't fly unless they can fool birds into thinking they're birds. (Peter Norvig),Mon Mar 07 14:42:58 +0000 2016,en,88,False,0,False,,Nick Beim,NickBeim
First art show by neural networks c/o @google's DeepDream https://t.co/jYXYFOqTng https://t.co/6XQwmHN6tQ,Sun Feb 28 16:53:54 +0000 2016,en,0,False,3,False,,Nick Beim,NickBeim
RT @pmddomingos: The most impressive robot yet from Boston Dynamics: https://t.co/NYdMMdchfU (h/t @dsweld),Wed Feb 24 12:28:06 +0000 2016,en,34,False,0,False,,Nick Beim,NickBeim
Uniting the five tribes of machine learning - great book &amp; podcast by @pmddomingos https://t.co/dheKmQa2ki https://t.co/79ThbDl1WJ,Sat Feb 20 11:21:30 +0000 2016,en,3,False,4,False,,Nick Beim,NickBeim
"The most likely dangers of AI: fear of deciding alone, algorithmic manipulation and being slaves to averages https://t.co/p5SyQesWNz",Sat Feb 20 02:20:24 +0000 2016,en,2,False,5,False,,Nick Beim,NickBeim
"15 entrepreneurs who will disrupt industries, couldn't agree more @celmatix Dr. Piraye Beim https://t.co/n7ir005osF https://t.co/zRBiPJXfRn",Thu Feb 18 15:02:02 +0000 2016,en,2,False,2,False,,Nick Beim,NickBeim
SciHub: largest contribution ever to human knowledge? Breaking scientific journal oligopoly https://t.co/H1yqXD8scs https://t.co/acckjL2rYm,Fri Feb 12 12:09:22 +0000 2016,en,0,False,2,False,,Nick Beim,NickBeim
"Policy changes needed for US to keep its innovation edge, great report from @CFR_org https://t.co/adNU3CJqXe https://t.co/oa0sBm4gwe",Fri Feb 05 13:54:58 +0000 2016,en,0,False,1,False,,Nick Beim,NickBeim
NYC feels the venture gush https://t.co/ty9dh6IoZD https://t.co/ctVVj9pgoG,Fri Jan 15 21:27:30 +0000 2016,en,5,False,9,False,,Nick Beim,NickBeim
"Fascinating if BTC fails due to centralized control &amp; lack of transparency, two currency features it sought to fix https://t.co/P6heA2fUP1",Fri Jan 15 21:17:01 +0000 2016,en,1,False,0,False,,Nick Beim,NickBeim
"18 Female Founders Who Killed It In 2015: congrats to all, esp. my other 1/2! @TechCrunch https://t.co/UTmBhdU9xz https://t.co/n4PfFi2Erc",Tue Dec 22 22:26:09 +0000 2015,en,4,False,9,False,,Nick Beim,NickBeim
"The changing face of economic power: tech companies now represent 5 of global top 10 by mkt cap, up from 1 in 2005 https://t.co/u7oz0Oh6s8",Sun Dec 20 15:08:50 +0000 2015,en,82,False,51,False,,Nick Beim,NickBeim
5 Must Do's for Succeeding in Health Tech https://t.co/TPMBbtGmVB @venrock @BRobertsVC @bobkocher,Sun Dec 20 02:33:17 +0000 2015,en,2,False,4,False,,Nick Beim,NickBeim
Real-time information derived from social media has become the new table stakes for financial markets @Dataminr https://t.co/Qz4soVk0B8,Mon Dec 07 21:21:11 +0000 2015,en,1,False,5,False,,Nick Beim,NickBeim
"RT @Venrock: 10 Healthcare Predictions for 2016 by @BRobertsVC &amp; @bobkocher, via @FortuneMagazine: https://t.co/bIRjRAKtMM https://t.co/ADJ…",Fri Dec 04 02:11:38 +0000 2015,en,21,False,0,False,,Nick Beim,NickBeim
Nice work on @BloombergTV Dr. Piraye Beim! @celmatix https://t.co/oNXGhE43A4 https://t.co/MMTON3HHD4,Wed Dec 02 01:30:47 +0000 2015,en,1,False,3,False,,Nick Beim,NickBeim
"Congrats @samyagan on huge @Match IPO! With two less sons of Syrian immigrants, we'd have no OKCupid or Apple, world would be much worse off",Fri Nov 20 00:48:03 +0000 2015,en,4,False,9,False,,Nick Beim,NickBeim
