Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
It's great to see @aspiration and @sierraclub join forces to bring sustainable investing to everyone! #EarthDay https://t.co/GVJR0HBLHO,Fri Apr 22 15:26:51 +0000 2016,en,1,False,4,False,,Rachel Sheinbein,RachelSheinbein
"RT @JosephNSanberg: On #EarthDay, @SierraClub and @Aspiration are launching a partnership to make sustainable investing open to all -- http…",Fri Apr 22 15:25:09 +0000 2016,en,6,False,0,False,,Rachel Sheinbein,RachelSheinbein
Important information on gender bias in healthcare research  https://t.co/warOM1Pkjv,Mon Apr 18 03:09:59 +0000 2016,en,2,False,1,False,,Rachel Sheinbein,RachelSheinbein
RT @othermachine: Been waiting for double-sided PCBs on Windows? The new Otherplan is out! Watch the video: https://t.co/I25cawNCzF https:/…,Fri Apr 15 03:04:43 +0000 2016,en,3,False,0,False,,Rachel Sheinbein,RachelSheinbein
"""3D cutters like the 
@othermachine will be the new sewing machie"" interview w @dapplestone https://t.co/uXUha34F97 @SingularityHub",Thu Mar 31 00:35:26 +0000 2016,en,0,False,1,False,,Rachel Sheinbein,RachelSheinbein
RT @goldieblox: .@debbieblox was told #GoldieBlox would flop. But the toy industry was wrong about girls https://t.co/tzrM2QM6AT https://t.…,Mon Mar 28 17:32:58 +0000 2016,en,25,False,0,False,,Rachel Sheinbein,RachelSheinbein
Proud investor! Congratulations @socialimprints on winning @mercedesbenz via @FastCompany Great video: https://t.co/gglmSi0MmL,Sat Mar 12 18:47:23 +0000 2016,en,1,False,4,False,,Rachel Sheinbein,RachelSheinbein
@Vosmek @FT It's more a sign of what is really a sad state that the CEO decided that was for the best for her company,Wed Mar 09 01:26:56 +0000 2016,en,0,False,0,False,,Rachel Sheinbein,RachelSheinbein
"Women entrepreneurs, does your male co-founder need to fund raise for you?!! (I hope not)  https://t.co/prBXqo6tCR via @FT w @vosmek",Tue Mar 08 21:19:06 +0000 2016,en,0,False,1,False,,Rachel Sheinbein,RachelSheinbein
Better Banking for All @Aspiration https://t.co/iWE0fqXwVp @FreakingBudget,Tue Mar 08 21:14:48 +0000 2016,en,2,False,3,False,,Rachel Sheinbein,RachelSheinbein
“Why Advances in Manufacturing Mean Advances for Women in Manufacturing” by @emjsmith https://t.co/4PMyKXxrJJ   @othermachine @dapplestone,Tue Mar 08 21:12:10 +0000 2016,en,3,False,3,False,,Rachel Sheinbein,RachelSheinbein
RT @aliciarobb: We all learn together how to do due diligence and more at Rising Tide. https://t.co/xNGXXJ10vR via @tatgrayid,Thu Mar 03 22:38:19 +0000 2016,en,1,False,0,False,,Rachel Sheinbein,RachelSheinbein
"You can't... ""lead effectively if you don't have a personal practice to bring your best self to the world everyday"" @mtbert @Wisdom2conf",Mon Feb 22 18:01:36 +0000 2016,en,0,False,1,False,,Rachel Sheinbein,RachelSheinbein
"Read @khalidhalim Conflicts Between Co-Founders ""By being really nice things go really, really wrong"" https://t.co/KvpGQS8blu  @techstars",Mon Jan 18 17:57:38 +0000 2016,en,0,False,4,False,,Rachel Sheinbein,RachelSheinbein
RT @John_Livesay: 99 women join forces for Rising Tide Fund. @aliciarobb https://t.co/YKTTPquJaN via @john_livesay https://t.co/VSqUju5auZ,Fri Jan 15 01:33:27 +0000 2016,en,2,False,0,False,,Rachel Sheinbein,RachelSheinbein
RT @TriplePundit: Food fight! @CampbellSoupCo announces support of federal #GMO #labeling: https://t.co/4FDznliUXQ @LeonKaye #transparency …,Tue Jan 12 18:09:33 +0000 2016,en,1,False,0,False,,Rachel Sheinbein,RachelSheinbein
RT @ariannahuff: .@AndrewYangVFA on what's Eating Silicon Valley https://t.co/GcFJWNmlN0,Tue Jan 12 18:07:06 +0000 2016,en,11,False,0,False,,Rachel Sheinbein,RachelSheinbein
Check out @adamquinton Why angel funding is going to get tougher '16 &amp; how to handle it https://t.co/CsIugctNeY @EllevateNtwk @AnnODeaSR,Tue Jan 12 05:53:49 +0000 2016,en,0,False,3,False,,Rachel Sheinbein,RachelSheinbein
RT @79studiosllc: Glad Nextwave Ventures is helping to create a #newplayingfield via Rising Tide Fund! #womenbackingwomen @aliciarobb https…,Wed Jan 06 23:14:51 +0000 2016,en,3,False,0,False,,Rachel Sheinbein,RachelSheinbein
"RT @goldieblox: Watch our hero Ruby Rails ""unbox"" some @ShopkinsWorld in this new @ToysRUs video! https://t.co/TnmzlSVgDQ https://t.co/SIZw…",Sat Jan 02 04:15:02 +0000 2016,en,3,False,0,False,,Rachel Sheinbein,RachelSheinbein
Thanks! @geekgirlrising @jefielding @jessicalawrence @susandanziger @ruthef @chcosts @BeaArthurLMHC @columbiajourn @sarahkunst @SimplyMoney,Sat Dec 19 00:12:58 +0000 2015,en,0,False,1,False,,Rachel Sheinbein,RachelSheinbein
"Rising Tide Fund, a learning model while angel investing, on @gamechangersx See @trishcostello1 and @Manthi_Nguyen https://t.co/NgtqEtS47z",Fri Dec 18 16:25:21 +0000 2015,en,1,False,4,False,,Rachel Sheinbein,RachelSheinbein
RT @JosephNSanberg: Year end is a time to look at your savings - @Aspiration https://t.co/mTdTF9WhPb can help - fees are your choice and 10…,Wed Dec 16 23:42:27 +0000 2015,en,1,False,0,False,,Rachel Sheinbein,RachelSheinbein
"RT @beclarke: Must end--&gt; For every $1 paid to white men, African-American women make 48¢ to 69¢, and Lat… https://t.co/4iwAXNhG6p https://…",Fri Dec 11 20:34:09 +0000 2015,en,2,False,0,False,,Rachel Sheinbein,RachelSheinbein
With Gold membership @Hertz I walk straight to the car &amp; I didn't see anything on the return &amp; the person who took my car didn't mention it,Fri Dec 11 15:03:45 +0000 2015,en,0,False,1,False,,Rachel Sheinbein,RachelSheinbein
RT @ChallengeDay: What does trust look like in schools? https://t.co/tdZeaM5hPJ #BetheChange,Fri Dec 11 14:33:15 +0000 2015,en,1,False,0,False,,Rachel Sheinbein,RachelSheinbein
"RT @ClintonGlobal: ""I want people to know that engineers and scientists look like me."" - @Xerox's Ursula Burns at CGI 2015 #CSEdWeek https:…",Fri Dec 11 14:30:06 +0000 2015,en,123,False,0,False,,Rachel Sheinbein,RachelSheinbein
"If @Hertz really wanted its customers to know the new fuel rule, the person at the exit could mention it or notes could be left in cars etc",Fri Dec 11 14:28:45 +0000 2015,en,0,False,0,False,,Rachel Sheinbein,RachelSheinbein
.@Hertz my issue is poor communication. Did you really want your customers to know your new fuel rule?!!,Fri Dec 11 14:27:36 +0000 2015,en,0,False,0,False,,Rachel Sheinbein,RachelSheinbein
"I like the quote ""invest in the change you want to see"" Action over talking! https://t.co/dAS2R9kfpm",Fri Dec 11 14:18:26 +0000 2015,en,0,False,1,False,,Rachel Sheinbein,RachelSheinbein
"Now @Hertz charges 4 full tank even when returned full ""Gas receipt required &amp; emailed customers the policy"" #ripoff https://t.co/bfkATyYSk8",Fri Dec 11 14:12:51 +0000 2015,en,0,False,0,False,,Rachel Sheinbein,RachelSheinbein
Awesome and well-deserved! @sonjaperkins in top 100 most powerful people for 2015 in Worth @broadwayangels https://t.co/ORm1Myrhg1,Thu Dec 10 22:17:57 +0000 2015,en,0,False,0,False,,Rachel Sheinbein,RachelSheinbein
