Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Damn Yankees! http://twitpic.com/1s5o0u,Sat May 29 14:51:06 +0000 2010,en,1,False,1,False,,Zappos_Fred,Zappos_Fred
"“Find a job you like and you add five days to every week."" --H. Jackson Brown Jr.",Fri May 28 22:13:20 +0000 2010,en,21,False,11,False,,Zappos_Fred,Zappos_Fred
"On the today show, Ashton Kutcher @aplusk just mentioned he got his twitter strategy of ICEE from the zappos guy @zappos.",Fri May 21 15:44:54 +0000 2010,en,1,False,2,False,,Zappos_Fred,Zappos_Fred
It's a small world after all!  Bumped into Tony Berti at Disneyland.,Sun Apr 04 02:12:20 +0000 2010,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
At ACE awards in NYC. Besty Johnson just presented Zappos retailer of the year for accessories & handbags. Her pants had ZAPPOS on the ass!,Tue Nov 03 03:09:51 +0000 2009,en,2,False,0,False,,Zappos_Fred,Zappos_Fred
Went to the U of M/ Penn State game today in Ann Arbor MI. The weather was sooo cold. Now I know why they keep saying GO BLUE!,Sat Oct 24 23:15:22 +0000 2009,en,0,False,1,False,,Zappos_Fred,Zappos_Fred
"The Jeanne Bliss book, “I Love You More than My Dog” came out today!  The final word in the book was written by @Zappos.  Great read!",Thu Oct 15 22:50:52 +0000 2009,en,1,False,1,False,,Zappos_Fred,Zappos_Fred
"""The job you do everyday is your recommendation."" @zappos_tid",Sun Sep 20 02:25:47 +0000 2009,en,5,False,0,False,,Zappos_Fred,Zappos_Fred
The high temperature in Las Vegas today was 99 on 9/9/09.,Thu Sep 10 06:23:37 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Fall must be just around the corner.  Pumpkin spice lattes are back at Starbucks.,Mon Aug 31 15:53:25 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
In a restaurant in Brazil and can't read the menu. It's like greek to me.,Tue Aug 25 23:51:11 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
"Destiny is not a matter of chance, but of choice. Not something to wish for, but to attain.",Wed Aug 19 19:59:24 +0000 2009,en,0,False,2,False,,Zappos_Fred,Zappos_Fred
Pizza night at Aurelio's. Aurelio's pizza only once a week to be fair to the other food groups.,Sun Aug 16 01:37:36 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
In Cheyenne Wy at Frontier Days. At lunch and one of the appetizers is Bull Nuts. Gonna give'em a try. After all came here to have a ball.,Fri Jul 17 18:31:33 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Playing Blokus for the first time. @zappos recommended it. I'm try to stay away from the edge.,Sun Jul 12 03:48:36 +0000 2009,en,0,False,1,False,,Zappos_Fred,Zappos_Fred
"On a walk I saw a picture of the stars and stripes in a window. Below the picture of the flag it said ""These colors don't run"".  Happy 4th.",Sat Jul 04 20:12:52 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
"Forbes magazine was founded on these words...""Business was originated to produce happiness""- Bertie Charles Forbes",Mon Jun 15 12:09:49 +0000 2009,en,1,False,6,False,,Zappos_Fred,Zappos_Fred
Looking at shoes on @zudini,Wed May 20 17:38:03 +0000 2009,en,0,False,1,False,,Zappos_Fred,Zappos_Fred
Don't be afraid to go out on a limb. That's where the fruit is.,Mon May 18 18:27:08 +0000 2009,en,0,False,6,False,,Zappos_Fred,Zappos_Fred
Just finished speaking at Progressive Insurance corp conf. I was very impressed with their company and culture.  Now off to the airport.,Wed May 13 21:03:34 +0000 2009,en,0,False,2,False,,Zappos_Fred,Zappos_Fred
"""The grand essentials to happiness in this life are something to do, something to love, and something to hope for."" -Joseph Addison",Wed May 06 19:36:24 +0000 2009,en,0,False,5,False,,Zappos_Fred,Zappos_Fred
Nothing great was ever achieved without enthusiasm -Ralph Waldo Emerson.,Mon May 04 19:39:57 +0000 2009,en,0,False,4,False,,Zappos_Fred,Zappos_Fred
On Monday KFC gave away free chicken. Today El Pollo Loco is giving away free chicken. Why does everybody want to give away chicken?,Tue Apr 28 18:24:12 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
"Excited about the relaunch/redesign of 6pm.com (our sister web site, lots of discounts)! - http://www.6pm.com",Wed Apr 22 23:30:14 +0000 2009,en,0,False,2,False,,Zappos_Fred,Zappos_Fred
"""We must never be too busy to take time to sharpen the saw."" Steven Covy.  Continually improve and stop doing what no longer adds value.",Tue Apr 21 20:44:51 +0000 2009,en,0,False,3,False,,Zappos_Fred,Zappos_Fred
The 08 Fortune 500 was announced this morning. It was the worst year in Fortune history. From $645B in profits in 07 to just $98.9B in 08.,Sun Apr 19 15:05:55 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Been an avid diet coke drinker for years. Gave it up monday n haven't  had one since. It's healthier but I sure miss that tasty beverage!,Sat Apr 18 18:36:10 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Found a cool site called boxee. It's app allows you to stream video from your mac to your apple tv. Can't wait to install and stream hulu!,Sat Apr 18 15:48:16 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Waiting on the tarmack. Our departure to SF is delayed 30 min due to weather in LV. Pilot said we were in the que. Wish we were in the bar.,Wed Apr 15 20:57:57 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Friday night pizza at Aurelio's. Walked in and the Zappos Helpdesk team is here celebrating a birthday. The helpdesk team sure has fun!,Sat Apr 11 01:47:47 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
If you can't outwit them then you better outlast them!,Thu Apr 09 04:20:21 +0000 2009,en,0,False,4,False,,Zappos_Fred,Zappos_Fred
"@zech1000 said, never love something that can't love you back.",Sun Apr 05 20:04:58 +0000 2009,en,0,False,1,False,,Zappos_Fred,Zappos_Fred
just visited the original starbucks in pike place market. Who knew it would ignite a coffee revolution!,Sat Apr 04 20:44:51 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Getting ready to take a little vacation for a few days. It's currently raining in Las Vegas so I'm headed to sunny Seattle!,Fri Apr 03 20:32:55 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Ordered my favorite royal kona coffee online and a coffee bean grinder from zappos. Maybe one day starbucks will do home delivery!,Fri Apr 03 03:31:34 +0000 2009,en,0,False,1,False,,Zappos_Fred,Zappos_Fred
Working in the snack bar at the little league field. I'm selling the heck out of starburst and ring pops. Too bad I'm not on commission!,Thu Apr 02 02:18:36 +0000 2009,en,0,False,1,False,,Zappos_Fred,Zappos_Fred
Just interviewed with Inc.. Now doing an interview with Footwear News. Anthony Robbins and CBS are in our office today too. What a Monday!!!,Mon Mar 30 16:11:57 +0000 2009,en,0,False,1,False,,Zappos_Fred,Zappos_Fred
"Busy morning. Laundry, email and baseball practice. Even saw a twitter piece on sunday morning.  Now time to get home and make a chili dog!",Sun Mar 29 18:57:53 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
"Meeting zappos_tid, zappos_mayor 4 dinner at my favorite pizza place, aurelios in henderson! Heard there might b more zappos people there 2!",Sun Mar 22 00:03:22 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
Doc Romeo park for a corporate challenge tune up tourney with Zappos sofball team.,Sat Mar 21 15:03:00 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
"Henry Ford said, when starting his business if he asked his users what they wanted they would have told him they wanted faster horses",Mon Mar 16 21:22:05 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
About to watch @zappos give keynote address at SXSW. Since it is a keynote I wonder if I'll have to unlock his message?,Sat Mar 14 18:36:32 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
At the WCC bball tourney. Portland Pilots vs San Diego Toreros. Never heard of a Toreros but sounds like would be good with sour cream.,Sun Mar 08 21:12:52 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
At baseball practice. They say the hardest thing to do in sports is to hit a round ball with a round bat squarely.,Sun Mar 08 02:39:42 +0000 2009,en,0,False,0,False,,Zappos_Fred,Zappos_Fred
