Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@caitlinemiller so true ... So true,Thu Apr 21 02:45:07 +0000 2016,en,1,False,1,False,,Matt B. Britton,MattyB
Congrats @bradfurman @ew @infiltratormov,Wed Apr 20 21:25:43 +0000 2016,en,1,False,2,False,,Matt B. Britton,MattyB
@MikeAndMorley it's clear you need an ad agency to design your website.,Sun Apr 17 02:07:11 +0000 2016,en,0,False,0,False,,Matt B. Britton,MattyB
"Chip, Implanted in Brain, Helps Paralyzed Man Regain Control of Hand, via @nytimes https://t.co/TXqDVLh8k7",Wed Apr 13 17:17:22 +0000 2016,en,0,False,0,False,,Matt B. Britton,MattyB
RT @jonsteinberg: So great having @mattyb as a test show guest today. @ New York Stock Exchange https://t.co/v21UqTcdKv,Tue Apr 05 14:56:36 +0000 2016,en,2,False,0,False,,Matt B. Britton,MattyB
How much do the Kardashians earn on Instagram? https://t.co/3szo3nlmtz via @pagesix,Tue Mar 29 15:40:28 +0000 2016,en,1,False,2,False,,Matt B. Britton,MattyB
RT @LaurenAAtwell: Just ordered #YouthNation by @MattyB. I want to hear from my agency folks...how have you seen a shift in strategy toward…,Sat Mar 26 13:32:51 +0000 2016,en,1,False,0,False,,Matt B. Britton,MattyB
"RT @CraigSagerJr: We frame the future with every moment, action &amp; choice. The toughest days &amp; biggest challenges can't stop you from being …",Wed Mar 23 10:36:35 +0000 2016,en,472,False,0,False,,Matt B. Britton,MattyB
11 Simple People Skills That Will Get You Everything You Want #ArtofPeople https://t.co/squwHfN52C,Tue Mar 15 15:00:44 +0000 2016,en,0,False,0,False,,Matt B. Britton,MattyB
#NowPlaying Kickin' da Leaves by Judah &amp; the Lion ♫ https://t.co/NWhgLpEZnT,Wed Mar 09 11:03:20 +0000 2016,en,0,False,0,False,,Matt B. Britton,MattyB
