Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Please join us for this event -- we have a great set of topics and speakers lined up! https://t.co/Phqo6uatO4,Thu Apr 21 07:06:29 +0000 2016,en,2,False,8,False,,akashgarg,akashgarg
@LAFresh thanks LA!,Wed Apr 20 02:26:26 +0000 2016,en,0,False,2,False,,akashgarg,akashgarg
Get your app moving: the Ride Request Widget is now available - Uber Developers - Medium https://t.co/lM8dyhxQgB cc: @ChrisSaad,Fri Apr 15 21:48:20 +0000 2016,en,4,False,5,False,,akashgarg,akashgarg
RT @MichaelwEllison: Looking forward for another awesome @codepath #codepathdemoday with our judges @akashgarg @pandemona @emdashry @adampi…,Mon Apr 04 19:31:34 +0000 2016,en,5,False,0,False,,akashgarg,akashgarg
"Uber’s Seattle engineering office grows to 100 employees, with plans to double workforce https://t.co/hLqKaYVC61 via @GeekWire",Fri Apr 01 14:19:26 +0000 2016,en,2,False,3,False,,akashgarg,akashgarg
".@lukestclair just posted his slides from @DroidconSF: https://t.co/Fc5UfwE0DK 
Mobile devs: we are hiring, please contact me if interested!",Mon Mar 28 16:33:51 +0000 2016,en,0,False,1,False,,akashgarg,akashgarg
"Our team is hiring for a Mobile Release Manager: https://t.co/2A0nRDPj1K
Contact me if interested!
https://t.co/JwIyZnzYrn",Wed Mar 23 16:15:06 +0000 2016,en,2,False,4,False,,akashgarg,akashgarg
RT @UberEng: Uber Engineering Bug Bounty: The Treasure Map https://t.co/2tehmrjDh9 via @UberEng,Tue Mar 22 22:43:55 +0000 2016,en,15,False,0,False,,akashgarg,akashgarg
RT @china: Why Uber survives and thrives in China (Part 1) https://t.co/diXVXReKED by @Techinasia https://t.co/c0QPHaYHGK,Sat Mar 19 19:26:16 +0000 2016,en,17,False,0,False,,akashgarg,akashgarg
"RT @tonyc: If you’re at @DroidconSF on Friday, @lukestclair is giving a talk on how we build Android apps at Uber. https://t.co/Ess6zduyEJ",Thu Mar 17 12:56:55 +0000 2016,en,6,False,0,False,,akashgarg,akashgarg
@mauricegavin @lukestclair @DroidconSF @Uber Look forward to seeing you there!,Mon Mar 14 21:29:41 +0000 2016,en,0,False,0,False,,akashgarg,akashgarg
Let me know if anyone is going to @DroidconSF this week!  Don't miss @lukestclair's talk about @Uber's app on 3/18. https://t.co/axL1IJBtfx,Mon Mar 14 20:49:56 +0000 2016,en,14,False,10,False,,akashgarg,akashgarg
From fleeing Vietnam in a refugee boat to becoming Uber's CTO: the journey of Thuan Pham https://t.co/aEUoEaCELv,Sat Mar 12 20:32:37 +0000 2016,en,4,False,13,False,,akashgarg,akashgarg
Great write-up on our mobile infrastructure that powers our weekly mobile releases @Uber: https://t.co/8lwZeKhwb3,Mon Mar 07 21:00:21 +0000 2016,en,1,False,4,False,,akashgarg,akashgarg
How Uber Thinks About Site Reliability Engineering https://t.co/dMp5BDXIDx via @UberEng,Fri Mar 04 06:20:38 +0000 2016,en,4,False,17,False,,akashgarg,akashgarg
@rsarver @isaach nice I ordered a 3 pack today,Tue Feb 23 19:59:10 +0000 2016,en,0,False,4,False,,akashgarg,akashgarg
@united hello I was wondering if I could get help on a reservation -- please DM me.  thanks!,Fri Feb 19 18:42:23 +0000 2016,en,0,False,0,False,,akashgarg,akashgarg
@BuoyantIO congrats!,Thu Feb 18 18:41:10 +0000 2016,en,0,False,2,False,,akashgarg,akashgarg
@swapnil @ankurd @hardikvohra91 congrats Swapnil I am looking forward to seeing what you and the team build!,Mon Feb 15 15:09:47 +0000 2016,en,0,False,5,False,,akashgarg,akashgarg
"RT @vijayp: Linux kernel bug delivers corrupt TCP/IP data to Mesos, Kubernetes, and Docker containers /cc @epcjones  https://t.co/ctEW58f96G",Fri Feb 12 03:24:10 +0000 2016,de,183,False,0,False,,akashgarg,akashgarg
@DeltaAssist hello can you DM me? I need help with a reservation,Fri Feb 05 18:21:54 +0000 2016,en,0,False,0,False,,akashgarg,akashgarg
@Delta Could you DM me -- I have a quick question about a reservation I have.,Fri Feb 05 17:04:27 +0000 2016,en,0,False,0,False,,akashgarg,akashgarg
"@united done, just sent DM.",Thu Feb 04 02:55:50 +0000 2016,en,0,False,1,False,,akashgarg,akashgarg
@united I have a question about an upcoming reservation -- can we chat via DM?,Wed Feb 03 23:23:20 +0000 2016,en,0,False,0,False,,akashgarg,akashgarg
RT @shamitp: Excited to help rollout @Uber brand refresh as my first project! https://t.co/Ar7nyuSW0C,Wed Feb 03 01:31:32 +0000 2016,en,1,False,0,False,,akashgarg,akashgarg
"@KatieS congrats on a fantastic run, it was great working with you!",Mon Jan 25 05:15:48 +0000 2016,en,0,False,7,False,,akashgarg,akashgarg
We are looking for a product specialist to enable Uber to release high-quality software quickly - https://t.co/260vSwzKsQ,Sat Jan 16 20:42:09 +0000 2016,en,0,False,4,False,,akashgarg,akashgarg
Using Imagination To Change Cities | Uber https://t.co/Sefb3hFFwO via @YouTube,Wed Jan 06 06:07:49 +0000 2016,en,1,False,2,False,,akashgarg,akashgarg
One in a Billion | Uber Global https://t.co/0uKtUPamK3,Thu Dec 31 02:14:54 +0000 2015,en,3,False,10,False,,akashgarg,akashgarg
RT @SQAleadership: How Uber Does Cross-Device #Testing  @UberEng @muddyturtle https://t.co/nQiNmoZGak https://t.co/jeykP5NGJH,Tue Dec 29 05:43:19 +0000 2015,en,6,False,0,False,,akashgarg,akashgarg
"RT @anumenon: Great article highlighting @presidioknolls
https://t.co/7iN5ffAuSL",Sun Dec 20 03:51:49 +0000 2015,en,3,False,0,False,,akashgarg,akashgarg
Facebook and Uber Follow Asian Rivals in Plan to Enhance Messenger App https://t.co/gn0FN9ydcw,Wed Dec 16 21:06:20 +0000 2015,en,1,False,2,False,,akashgarg,akashgarg
@cameronhunter @necolas congrats!!,Tue Dec 15 18:57:31 +0000 2015,en,0,False,0,False,,akashgarg,akashgarg
"RT @Techmeme: Uber is testing UberHop, a bus-like service, in Seattle, and UberCommute in Chicago https://t.co/XbonvwwiNh https://t.co/OpVh…",Mon Dec 14 17:06:06 +0000 2015,en,17,False,0,False,,akashgarg,akashgarg
@sm @winnielabs awesome congrats!!,Thu Dec 10 03:09:39 +0000 2015,en,0,False,3,False,,akashgarg,akashgarg
@adriangrenier awesome!,Sun Dec 06 02:29:01 +0000 2015,en,0,False,0,False,,akashgarg,akashgarg
"RT @GoStanford: Most. Yards. Ever.

#WildCaff #GoStanford
https://t.co/NsgO6em2FR",Sun Dec 06 02:08:56 +0000 2015,en,117,False,0,False,,akashgarg,akashgarg
RT @m2jr: Ok Stanford. Time to put the hammer down. #letsgostanford.,Sun Dec 06 01:44:20 +0000 2015,en,1,False,0,False,,akashgarg,akashgarg
@44 @Uber congrats and excited to work together again!,Fri Dec 04 23:28:16 +0000 2015,en,0,False,0,False,,akashgarg,akashgarg
@towns @Uber very excited to have you join us!!,Thu Dec 03 05:00:55 +0000 2015,en,0,False,0,False,,akashgarg,akashgarg
