Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Brilliant! https://t.co/gld536GomQ,Mon Apr 04 23:34:58 +0000 2016,en,0,False,4,False,,anandsw,anandsw
RT @jack: .@kayvz on #Periscope: 🚲✌🏼️ #YearOne https://t.co/AXAL8C3Osf,Sat Mar 26 20:15:49 +0000 2016,und,25,False,0,False,,anandsw,anandsw
"Lights, camera, action... chatting about @AccentureDigi! #anand https://t.co/262rOZIzGB",Fri Mar 25 22:47:04 +0000 2016,en,0,False,5,False,,anandsw,anandsw
#AndyGrove will be sorely missed. @nathan_fact has captured Andy's legacy quite nicely! https://t.co/gbFATCDT8S #anand,Fri Mar 25 16:48:53 +0000 2016,en,0,False,1,False,,anandsw,anandsw
Being 'hands on' is the best way to learn and evolve and @jack clearly embraces that! https://t.co/bUJOKRh0kC,Fri Mar 25 16:36:45 +0000 2016,en,0,False,1,False,,anandsw,anandsw
RT @AccentureSocial: Awesome job by Anand Swaminathan during his Adventures in Digital session at #sxsw #aiatsxsw https://t.co/s2eKVRGBnS,Thu Mar 17 14:04:39 +0000 2016,en,9,False,0,False,,anandsw,anandsw
"RT @pauldaugh: .@WEF selects Sarah Daubenspeck, #Accenture managing director as Young Global Leader https://t.co/mVGOQIa5Mk",Thu Mar 17 11:30:06 +0000 2016,en,4,False,0,False,,anandsw,anandsw
A truly inspirational story shared by @JamesRath about how Apple saved his life! Hats off to you James! https://t.co/ByAYI5dghs,Thu Mar 17 03:12:52 +0000 2016,en,1,False,1,False,,anandsw,anandsw
Great meeting you @RandallLane; enjoyed your comments at #ThinkForum @cwru and sharing perspectives on stage with you! #anand,Thu Mar 17 02:43:06 +0000 2016,en,0,False,2,False,,anandsw,anandsw
@AmyMartin216 Wonderful to meet you today @CWRUthinkbox!,Thu Mar 17 02:00:12 +0000 2016,en,0,False,1,False,,anandsw,anandsw
RT @AmyMartin216: Panel discussion at @CWRUthinkbox w/ @RandallLane @anandsw @danmoulthrop on how #entrepreneurs can use social media! http…,Wed Mar 16 23:44:40 +0000 2016,en,1,False,0,False,,anandsw,anandsw
RT @MGCleve: Kicking off @CWRU_IDEA panel @CWRUthinkbox w/@RandallLane @anandsw @AmyMartin216 @danmoulthrop @cwru https://t.co/brmYjLNNTY,Wed Mar 16 20:33:24 +0000 2016,en,2,False,0,False,,anandsw,anandsw
"RT @cinmclinn: ""Adventures in Digital"" getting started with Anand Swaminathan from @AccentureDigi. @AccentureSocial #SXSW https://t.co/Ft9C…",Tue Mar 15 23:30:28 +0000 2016,en,3,False,0,False,,anandsw,anandsw
"Enjoyed discussing ""Adventures in Digital"" @sxsw today with @AccentureSocial @AccentureDigi! #anand https://t.co/zrpS2v6Cp9",Tue Mar 15 19:40:57 +0000 2016,en,3,False,8,False,,anandsw,anandsw
"RT @dlabar: ""In the past 2 years, 90% of the world's data has been created."" -- @accenturedigi #sxsw2016 https://t.co/lwuGffAJX5",Tue Mar 15 19:31:51 +0000 2016,en,3,False,0,False,,anandsw,anandsw
"RT @AccentureDigi: Coffee, snacks, chargers, and career talk. Stop by our lounge at #SXSW on Tuesday. https://t.co/SC21OwPQmc #aiatsxsw htt…",Mon Mar 14 13:30:34 +0000 2016,en,21,False,0,False,,anandsw,anandsw
RT @MGCleve: Great round table re changing landscape of social media 3/16 at 3 pm @CWRUthinkbox w/@RandallLane @anandsw @AmyMartin216 @danm…,Sun Mar 13 21:44:33 +0000 2016,en,4,False,0,False,,anandsw,anandsw
"RT @AccentureTech: Global spending on #CognitiveComputing expected to grow 55% a year to $31.3 billion by 2019, accd to @IDC: https://t.co/…",Fri Mar 11 18:07:40 +0000 2016,en,12,False,0,False,,anandsw,anandsw
RT @ycombinator: Congrats to @kvogt and the Cruise team (YC W14): GM Buying Self-Driving Tech Startup for More Than $1 Billion https://t.co…,Fri Mar 11 18:01:29 +0000 2016,en,114,False,0,False,,anandsw,anandsw
What @GustoHQ has created (for customers and its team) is impressive! Hats off to @joshuareeves and team! https://t.co/AZEyY7VgOM #anand,Mon Mar 07 20:43:40 +0000 2016,en,1,False,3,False,,anandsw,anandsw
Really enjoyed the visit with the team @Accenture_Irl and @julesspillane! Terrific energy! #anand https://t.co/fzX6oAr20q,Thu Feb 25 20:52:06 +0000 2016,en,0,False,1,False,,anandsw,anandsw
RT @stantonmjones: Recently briefed by @AccentureDigi MD @anandsw on their strategy &amp; go-to-market. Insights clients can access here:  http…,Wed Feb 24 15:03:38 +0000 2016,en,6,False,0,False,,anandsw,anandsw
Great to see @Accenture ranked #36 (up from #49 last year) on @FortuneMagazine's Most Admired Companies list! #anand https://t.co/Suq2uxOmqI,Fri Feb 19 15:03:59 +0000 2016,en,0,False,3,False,,anandsw,anandsw
RT @jshetty1: Most active AR/VR investors https://t.co/onGvgyAAlX,Fri Feb 05 22:46:44 +0000 2016,en,5,False,0,False,,anandsw,anandsw
RT @stantonmjones: 3 takeaways from @AccentureDigi briefing today 1) accelerating enterprise biz growth 2) @AccentureSocial is a digital ag…,Fri Feb 05 17:40:55 +0000 2016,en,5,False,0,False,,anandsw,anandsw
RT @essec: #DigitalDisruption has only just begun @Accenture's CEO Pierre Nanterme (E81) v/@wef https://t.co/whKTGHqZEQ #WEF16 https://t.co…,Thu Jan 21 13:29:13 +0000 2016,en,29,False,0,False,,anandsw,anandsw
RT @Accenture: We're not trying to make super humans - we're trying to make humans super. @PaulDaugh #WEF16 #FutureWorkforce https://t.co/q…,Thu Jan 21 13:28:44 +0000 2016,en,90,False,0,False,,anandsw,anandsw
A must-read interview with @AccentureStrat Chief Mark Knickrehm: https://t.co/SjD7dojV2L via @businessinsider #WEF16 #anand,Thu Jan 21 13:28:30 +0000 2016,en,4,False,1,False,,anandsw,anandsw
Watch today's panel about the #FutureEconomy live at 3 PM CET https://t.co/psznj79dmq #WEF16 #anand,Thu Jan 21 13:28:07 +0000 2016,en,0,False,0,False,,anandsw,anandsw
Great video interview with @PeterLacy and @CNBCAfrica on the benefits of attending #WEF16: https://t.co/KWSgwrQQVr #anand,Thu Jan 21 13:27:46 +0000 2016,en,3,False,0,False,,anandsw,anandsw
A great read from @Peterlacy and @CNBC on core benefits of a #CircularEconomy: https://t.co/X0k6YyYnOI #WEF16 #anand,Thu Jan 21 13:27:26 +0000 2016,en,6,False,4,False,,anandsw,anandsw
.@Accenture CEO Pierre Nanterme shares why the company is excited about the #CircularEconomy #WEF16 https://t.co/LszRLJ7eAi #anand,Thu Jan 21 13:27:09 +0000 2016,en,0,False,0,False,,anandsw,anandsw
.@melindagates points out one of these women might be first person on Mars... will be terrific on so many levels! https://t.co/gSc1XYIacD,Wed Jan 20 14:39:58 +0000 2016,en,0,False,0,False,,anandsw,anandsw
"RT @pauldaugh: Congrats @peterlacy, @YGLvoices, and the many nominees and winners of the inspiring #wef16 #circulareconomy Awards! https://…",Wed Jan 20 13:24:42 +0000 2016,en,9,False,0,False,,anandsw,anandsw
RT @planamikebarry: Great quote as @peterlacy launches #TheCirculars - Nature doesn't have a design problem. People do!,Wed Jan 20 13:24:22 +0000 2016,en,18,False,0,False,,anandsw,anandsw
