Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Same is true for all nonprofits not just civic tech. Thanks @steiny, great article. Paying Your Own Way (Or Not) https://t.co/jcgxyIl8xA",Fri Apr 08 18:04:31 +0000 2016,en,0,False,0,False,,Kevin Barenblat,barenblat
@Quill_org congrats! Great work,Wed Apr 06 18:55:40 +0000 2016,en,0,False,0,False,,Kevin Barenblat,barenblat
Thank you @peeryfoundation for $1M of support to @ffwdorg alum @Medic supporting community health workers https://t.co/oglbLDRCGR,Mon Apr 04 21:05:38 +0000 2016,en,0,False,2,False,,Kevin Barenblat,barenblat
Congrats to @ffwdorg alum @Medic grabs $1M for community health workers  https://t.co/oglbLDRCGR via @techcrunch https://t.co/h9CQWh0bLa,Mon Apr 04 20:43:42 +0000 2016,en,0,False,1,False,,Kevin Barenblat,barenblat
".@google Ad Grants turns 13, has given $3B in ads to #nonprofits https://t.co/5kUGQ6YV1u https://t.co/HBLxCz6QH6",Fri Apr 01 18:40:02 +0000 2016,en,0,False,0,False,,Kevin Barenblat,barenblat
Holding company structure could benefit #nonprofits via Andrew Stern of @GlobalDevInc https://t.co/TTDSBYA5M0 https://t.co/TojqydJJDs,Fri Apr 01 18:26:07 +0000 2016,en,1,False,0,False,,Kevin Barenblat,barenblat
How #technology can help the water crisis https://t.co/Sh4FCY56yG via @singularityhub https://t.co/H0DLMhiPfH,Fri Apr 01 18:17:09 +0000 2016,en,0,False,3,False,,Kevin Barenblat,barenblat
RT @FfwdOrg: Congrats to the @civicacceleratr Spring '16 class of ventures addressing financial inclusion https://t.co/OuKbRfIFmj @Pointsof…,Wed Mar 30 18:52:51 +0000 2016,en,2,False,0,False,,Kevin Barenblat,barenblat
Congrats @ChaseAdam17 from @watsi finalist for @sfchronicle Visionary of the Year award https://t.co/vKW79KRXJF https://t.co/vproudnTiR,Wed Mar 30 18:36:28 +0000 2016,en,0,False,2,False,,Kevin Barenblat,barenblat
".@Benetech has over a dozen open positions: communications, product, engineering, and more https://t.co/sJHFz7tGRR #tech #nonprofit",Wed Mar 30 18:22:41 +0000 2016,en,0,False,1,False,,Kevin Barenblat,barenblat
".@YouTube Spaces Opens Production Studios to Nonprofits Free of Charge
https://t.co/I3Sv8Al9iH #nonprofit https://t.co/Ws8Jb9JsPC",Wed Mar 30 17:58:41 +0000 2016,en,4,False,2,False,,Kevin Barenblat,barenblat
Umbrella app founder @roryireland on digital security tools for journalists https://t.co/UrFytQuSbD @_SecurityFirst https://t.co/LRsYuoHOQg,Tue Mar 29 18:08:27 +0000 2016,en,3,False,4,False,,Kevin Barenblat,barenblat
Teenage girl coders from Mumbai slum are building apps to solve their problems https://t.co/Lqo02lzyez via @mashable https://t.co/GPZeP1C7p7,Tue Mar 29 17:57:05 +0000 2016,en,0,False,1,False,,Kevin Barenblat,barenblat
"Nonprofit Uses App to Ask Homeless People: ""What Do You Need?"" https://t.co/3R9Tm3VCGu #tech #nonprofit https://t.co/vBnVRM4Vin",Tue Mar 29 17:54:08 +0000 2016,en,0,False,0,False,,Kevin Barenblat,barenblat
Over 120 tech projects aimed at helping refugees https://t.co/HmRdxm0JIR,Tue Mar 29 17:44:52 +0000 2016,en,0,False,0,False,,Kevin Barenblat,barenblat
RT @firstrepublic: Heads up tech nonprofits: Our friends at @FfwdOrg are accepting applications for their 2016 accelerator. https://t.co/Qr…,Tue Mar 29 00:24:54 +0000 2016,en,4,False,0,False,,Kevin Barenblat,barenblat
RT @FfwdOrg: How medical device design is approached differently by tech nonprofit @d_rev_org https://t.co/5C5eoibQws #medtech https://t.co…,Tue Mar 29 00:24:31 +0000 2016,en,2,False,0,False,,Kevin Barenblat,barenblat
"RT @careervillage: ""The ones who are crazy enough to think that they can #changetheworld are the ones who do."" -Steve Jobs https://t.co/C4C…",Tue Mar 29 00:11:47 +0000 2016,en,1,False,0,False,,Kevin Barenblat,barenblat
#tech #nonprofit @DataKind announces Data Science Supporting Vision Zero in Three New Cities https://t.co/LVbPXrMBvU https://t.co/j4fCiQ69zY,Tue Mar 29 00:10:58 +0000 2016,en,1,False,4,False,,Kevin Barenblat,barenblat
Mumbai's Slum Tech Girls Turn To Crowdfunding To Resurrect Their Coding Dream From Ashes https://t.co/qYcsPA3f2t https://t.co/UaVtMr1rca,Tue Mar 29 00:05:53 +0000 2016,en,0,False,0,False,,Kevin Barenblat,barenblat
