Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Congrats to the @foodgenius team!!! @justinmassa @eligrosenberg US Foods gobbles up big data startup Food Genius https://t.co/V65K6RyhNo,Thu Apr 14 07:45:02 +0000 2016,en,2,False,7,False,,brian distelburger,bdistel
RT @BillGates: I’m sad to hear that Andy Grove has died. I loved working with him. He was one of the great business leaders of the 20th cen…,Tue Mar 22 02:41:55 +0000 2016,en,2740,False,0,False,,brian distelburger,bdistel
RT @NapaSummit: .@erinever says @yext closed a @HomeDepot within an hour. The location was impacted by a sinkhole. Great customer service!,Sun Mar 13 00:43:03 +0000 2016,en,5,False,0,False,,brian distelburger,bdistel
"Yext sees $88.8 million revenue, 48% growth for location data https://t.co/ELqDoY7cwH via @techcrunch",Thu Mar 10 19:48:16 +0000 2016,en,1,False,8,False,,brian distelburger,bdistel
Ha!!! Welcome @BennettMorris!!!,Sat Feb 20 02:23:37 +0000 2016,en,0,False,0,False,,brian distelburger,bdistel
This is pretty cool.... https://t.co/RE6U6ZVqo7,Thu Feb 18 21:56:32 +0000 2016,en,0,False,1,False,,brian distelburger,bdistel
Yext’s Addition Of Google To Its PowerListings Network Is About More Than Maps | https://t.co/j9IiCLmXdv,Wed Feb 17 02:56:39 +0000 2016,en,3,False,8,False,,brian distelburger,bdistel
RT @yext: We are proud to announce the addition of @google to our PowerListings Network! https://t.co/qQNHiQ3UHQ https://t.co/ME9dg7bROU,Tue Feb 16 15:28:20 +0000 2016,en,53,False,0,False,,brian distelburger,bdistel
"Huge, huge news!!! 5 years in the making. Join our Webinar/Request a demo! https://t.co/tcxufsQHTv https://t.co/xENRNhUMwq",Tue Feb 16 15:22:50 +0000 2016,en,1,False,3,False,,brian distelburger,bdistel
Love this crew! X1 sales kickoff! #yext #letsgoplaces #letsgoplayas https://t.co/n5x5MQRFBB,Fri Feb 05 18:08:25 +0000 2016,en,0,False,1,False,,brian distelburger,bdistel
"Check out ""BYOResume Sales Happy Hour"" https://t.co/TFAi0bPDxe @Eventbrite",Wed Dec 16 17:42:47 +0000 2015,en,1,False,2,False,,brian distelburger,bdistel
RT @yext: #HappyThanksgiving from all of us at Yext! Thank you to all of our customers &amp; friends for a great year. https://t.co/iqa74oyDrF,Fri Nov 27 01:51:54 +0000 2015,en,3,False,0,False,,brian distelburger,bdistel
Join us! yext - Great Place to Work Reviews https://t.co/a58eY6kDVr,Wed Oct 21 14:24:40 +0000 2015,en,2,False,3,False,,brian distelburger,bdistel
RT @streetfightmag: Winner of Local Visionary Award for Best Solution for Enterprise Brands is … @yext! #SFSNYC #LocalVisionaryAwards,Tue Oct 20 19:42:36 +0000 2015,en,8,False,0,False,,brian distelburger,bdistel
RT @yext: Congratulations @howard! Our CEO just won @streetfightmag Innovator of the Year award! #SFSNYC https://t.co/SwnfgwXGUF,Tue Oct 20 19:41:30 +0000 2015,en,9,False,0,False,,brian distelburger,bdistel
"RT @yext: As part of our Xone launch, we’re offering a free beacon &amp; Xone Tips to all U.S. businesses. http://t.co/ysRkA7LQQQ http://t.co/m…",Wed Oct 07 03:59:07 +0000 2015,en,8,False,0,False,,brian distelburger,bdistel
"I'm at Apple Inc. in Cupertino, CA https://t.co/p78zEUjWvU",Tue Oct 06 20:16:48 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-122.03072304, 37.331653]}",brian distelburger,bdistel
RT @Danwhitemagic: Amazing evening performing for the amazing people @yext! Photo by @timblaquiere https://t.co/3VqTOnDRqP,Sun Oct 04 00:48:36 +0000 2015,en,4,False,0,False,,brian distelburger,bdistel
Yext Launches Xone to Power Real-Time Engagement with Mobile Customers http://t.co/KhoFjzUW5k,Mon Sep 28 17:23:31 +0000 2015,en,2,False,2,False,,brian distelburger,bdistel
This is a VERY big deal for every brand with an app and a physical footprint. #ios9  https://t.co/wzaNgMHf5P,Fri Sep 11 13:02:25 +0000 2015,en,1,False,2,False,,brian distelburger,bdistel
Yext Named to the 2015 Inc. 500 List of Fastest-Growing Private Companies... http://t.co/HSjz24pEhk,Thu Aug 27 18:06:31 +0000 2015,en,0,False,2,False,,brian distelburger,bdistel
Confide is my default messaging app. It should be yours too.  https://t.co/zwvgLnvEMP,Tue Aug 18 14:33:14 +0000 2015,en,0,False,2,False,,brian distelburger,bdistel
"Confide, The Self-Destructing Messenger, Goes Live On Desktop http://t.co/XR8noP27OJ via @techcrunch",Tue Aug 18 14:27:28 +0000 2015,en,0,False,8,False,,brian distelburger,bdistel
RT @yext: Very proud day at Yext - we ranked #212 on the Inc. 500 list of fastest-growing private companies in America. Onward! http://t.co…,Fri Aug 14 08:51:08 +0000 2015,en,19,False,0,False,,brian distelburger,bdistel
"I'm at Luxottica Retail in Mason, OH https://t.co/N7FbtNP1Cq",Tue Aug 11 13:44:04 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-84.2955637, 39.33926796]}",brian distelburger,bdistel
RT @jkrohrs: Looking for Director of Digital &amp; Creative Services w/mutant superpowers to join @Yext Marketing Team in NYC. Deets: http://t.…,Fri Jul 10 17:13:10 +0000 2015,en,6,False,0,False,,brian distelburger,bdistel
"Yext Network Grows to 100+ Publishers, Reaches Over 500,000 Businesses Worldwide http://t.co/Eu5Ij6VzFo",Tue Jul 07 21:24:57 +0000 2015,en,0,False,1,False,,brian distelburger,bdistel
