Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@SohoHouse: who makes little notebooks you feature at some of your terrific locations? Or is  ID of purveyor a closely guarded secret? :-),Mon Apr 18 22:35:46 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
"RT @brittanykamalei: Wyoming is a top destination for offshoring #PanamaPapers, by @marisaataylor @KevinGHall https://t.co/X8M4ywuQ0m https…",Tue Apr 05 22:56:55 +0000 2016,en,2,False,0,False,,Craig Forman,cforman
"RT @AGyllenhaal: An important McClatchy story from Panama Papers: U.S. scolds others about offshores, but looks other way at home: https://…",Tue Apr 05 22:56:33 +0000 2016,en,18,False,0,False,,Craig Forman,cforman
"@bbc: 'W1A' reaches Western US. As Director of Strategic Governance might say: 'Brilliant!' When Season3? Cc: @eggsontheroof, @petergumbel",Sat Apr 02 05:00:36 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
.@skift .@rafat update shows continuing profitable growth. Way to go! Kudos to whole team! Props from #NextNewsVentures,Tue Mar 29 23:36:25 +0000 2016,en,2,False,2,False,,Craig Forman,cforman
"RT @JamesFallows: On @TheAtlNotes I’ve been discussing evid that Trump has some known disorder.

Listen to this: he’s just crazy.
https://t…",Tue Mar 22 01:00:28 +0000 2016,en,85,False,0,False,,Craig Forman,cforman
Yale over favored Baylor? 79-75. Truly #MarchMadness,Thu Mar 17 21:33:34 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
"RT @markseibel: Who is Merrick Garland, Obama’s expected pick for the Supreme Court? https://t.co/hkkS2FkCen #SCOTUSnom",Wed Mar 16 16:44:53 +0000 2016,en,1,False,0,False,,Craig Forman,cforman
"#PrimaryDay If Kasich wins OH and Cruz NC, how does Trump prevail if/ when the anger turns to the #goforward ? (Regardless of FL tonight.)",Wed Mar 16 00:52:32 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
Helas...@anne_sinclair  https://t.co/SnDmZCO1Oc,Sun Mar 13 23:06:59 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
Ha! @TonyHorwitz Has always been as good a reporter as writer.... https://t.co/yJDZ8fAkv7,Fri Mar 04 00:25:18 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
"@MicheleActivate Given your recent @united issues, this looks like today's aircraft:  https://t.co/qXYBREeysh",Wed Mar 02 17:25:18 +0000 2016,en,0,False,1,False,,Craig Forman,cforman
Knew this would appear in a museum someday... #BigBangData #SomersetHouse https://t.co/0oJUxjEHKQ,Sat Feb 27 15:50:31 +0000 2016,en,0,False,3,False,,Craig Forman,cforman
#BigBangData visualization,Sat Feb 27 15:44:38 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
#fleetstreet #bestof https://t.co/1Y4kf6Lt4H,Sat Feb 20 13:10:41 +0000 2016,und,0,False,1,False,,Craig Forman,cforman
@JSpithill @AC2017Bda @GoldenGateYC #oracleteamusa is going to need a seaplane license https://t.co/T6CoT7GRkv,Sat Feb 20 12:27:08 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
"@nytimes @thepubliceditor: In Geffen piece, DVF quote? ”There is a maturity when you realize you are no longer mortal.” Huh???",Sat Feb 20 12:24:24 +0000 2016,en,0,False,0,False,,Craig Forman,cforman
