Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @coastalliving: Capitola, California, named #7 Happiest Seaside Town in America! https://t.co/rDO7PBY1NI https://t.co/Wd8JADsVTv",Thu Apr 21 19:35:49 +0000 2016,en,11,False,0,False,,Bud Colligan,collbud
"Many #Orcas spotted hunting in #MontereyBay, such a magnificent sight! @MontereyBayCALI @MontereyAq @MLMLmarinesci https://t.co/bIOVEH8IMy",Thu Apr 21 15:43:59 +0000 2016,en,9,False,15,False,,Bud Colligan,collbud
Bill Gurley is spot on:  On the Road to Recap: by @bgurley https://t.co/MCXlVC7MoF,Thu Apr 21 13:50:55 +0000 2016,en,0,False,1,False,,Bud Colligan,collbud
"Live Oak Schools Cradle to Career initiative for health, education &amp; character.  @MBEPartnership @MonicaInMotion https://t.co/Iuvc9eY0Eh",Thu Apr 21 02:07:31 +0000 2016,en,3,False,2,False,,Bud Colligan,collbud
"RT @DalaiLama: The time has come for us to consider seriously how to change our way of life not through prayer or religious teaching, but t…",Wed Apr 20 23:55:20 +0000 2016,en,24267,False,0,False,,Bud Colligan,collbud
5 parking meters in downtown #Monterey act as donation station for city's homeless pop. #PositiveChange @SeeMonterey https://t.co/IyG4tp1fmB,Wed Apr 20 20:31:33 +0000 2016,en,2,False,3,False,,Bud Colligan,collbud
#MicroBusiness Summit in #SantaCruz 4/22 @CabrilloCollege. Excellent seminars/workshops lined up @SantaCruzEDO https://t.co/nYgDt61Djw,Wed Apr 20 18:29:23 +0000 2016,en,4,False,3,False,,Bud Colligan,collbud
MBEP prepares for 2nd annual Economic Summit on April 26 https://t.co/mwdD1CCdzl @MBEPartnership @driscollsberry @c_ster @MontereyAq @CSUMB,Mon Apr 18 20:21:08 +0000 2016,en,3,False,1,False,,Bud Colligan,collbud
@iamjohnchang central coast angels website,Sat Apr 16 23:15:09 +0000 2016,en,0,False,2,False,,Bud Colligan,collbud
Teens from around the globe come together to discuss #disarmament in the Critical Issues Forum in #Monterey @catalinaschool @CNS_Updates,Sat Apr 16 19:07:34 +0000 2016,en,2,False,2,False,,Bud Colligan,collbud
"RT @avanvaler: Cruz Cares winner: 21 Day Kindness Challenge with 24 schools and 175,000 acts of kindness https://t.co/Ot1PB4vFHM",Sat Apr 16 05:59:32 +0000 2016,en,1,False,0,False,,Bud Colligan,collbud
"RT @fiscitech: #Wireless #broadband is being deployed across Santa Cruz, CA with @Siklu_mmwave &amp; @cruzio https://t.co/FwuQ3fg26r https://t.…",Fri Apr 15 23:55:20 +0000 2016,en,2,False,0,False,,Bud Colligan,collbud
".@SantaCruzMAH hosting another awesome event tonight! ""Beyond Borders"" celebrates #Oaxacan culture w/ food, dance &amp; more! @ninaksimon",Fri Apr 15 20:09:10 +0000 2016,en,1,False,1,False,,Bud Colligan,collbud
"What are @SCTechBeat, @DigiNEST, https://t.co/kd3KCHRQDk, @MontereyAq @OpportunityFund doing at the @MBEPartnership Economic Summit on 4/26?",Fri Apr 15 18:03:04 +0000 2016,en,2,False,4,False,,Bud Colligan,collbud
Exciting announcements for @MBEPartnership Econ Summit on 4/26 https://t.co/W2ZuEp4lzc  Agenda and reg here:  https://t.co/hIQgrdI7tj,Fri Apr 15 17:44:06 +0000 2016,en,2,False,3,False,,Bud Colligan,collbud
"In #SantaCruz we don't just do an #Earthday, we do an #Earth weekend! Check out all the events happening around town https://t.co/gQjI1ptclo",Thu Apr 14 22:00:31 +0000 2016,en,4,False,6,False,,Bud Colligan,collbud
#Economic plan for @CityofSalinas wins award for balancing growth &amp; #environmental protection. #EconomicGrowth @salnews,Thu Apr 14 20:00:29 +0000 2016,en,1,False,3,False,,Bud Colligan,collbud
"Disney's #solarfarm has a familiar shape....new 5-megawatt solar facility, 48K panels on over 20 acres #CleanEnergy https://t.co/n7xwURhnxy",Thu Apr 14 18:00:29 +0000 2016,en,5,False,7,False,,Bud Colligan,collbud
@VoteCaseyLucius Agenda and registration is here:  https://t.co/hIQgrdI7tj,Thu Apr 14 16:37:01 +0000 2016,en,0,False,0,False,,Bud Colligan,collbud
@VoteCaseyLucius we hope you'll be able to attend MBEP's Economic Summit on April 26 at Hyatt in Monterey.,Thu Apr 14 16:21:09 +0000 2016,en,0,False,1,False,,Bud Colligan,collbud
"RT @LeadershipSCCo: Upcoming Santa Cruz County #leadership #networking events - mixers, business summit, advocacy presentation  https://t.c…",Thu Apr 14 16:06:01 +0000 2016,en,2,False,0,False,,Bud Colligan,collbud
Monterey County: Putting together the affordable housing puzzle https://t.co/U5UaPzfbNB,Thu Apr 14 15:14:54 +0000 2016,en,1,False,1,False,,Bud Colligan,collbud
RT @SFGate: 73! WARRIORS STAND ALONE AFTER HISTORIC VICTORY https://t.co/DJr5NxHMFw,Thu Apr 14 05:50:00 +0000 2016,en,44,False,0,False,,Bud Colligan,collbud
"RT @MBEPartnership: Where can you hear about #BigData, the #Ocean, and #AgTech as they relate to you? #ES16 https://t.co/ad1ZB1Z1AH",Wed Apr 13 21:51:33 +0000 2016,en,2,False,0,False,,Bud Colligan,collbud
#Broadband is vital to #rural communities. None should be left out of cultural &amp; economic benefits #gigabit offers https://t.co/1UjTIjUz0n,Wed Apr 13 19:43:06 +0000 2016,en,1,False,1,False,,Bud Colligan,collbud
RT @cfluis: I'm going to @MBEPartnership 2nd Annual Regional Economic Summit. See you there? https://t.co/Y0UqTOJyJ3 - @collbud @katerobert…,Wed Apr 13 04:06:53 +0000 2016,en,3,False,0,False,,Bud Colligan,collbud
RT @MBEPartnership: The region’s #economy is more exciting than you might think. Join us for #ES16 April 26th. https://t.co/YQU5QaVsEc,Tue Apr 12 18:19:26 +0000 2016,en,4,False,0,False,,Bud Colligan,collbud
"In the shadow of Silicon Valley, a new crop of tech-savvy farmers - Santa Cruz Tech Beat https://t.co/LD8jwsrMEy",Tue Apr 12 14:01:01 +0000 2016,en,3,False,2,False,,Bud Colligan,collbud
RT @c_ster: Bud Colligan: Trail-Only is the only way that makes sense in #SantaCruz https://t.co/jytgGixd6J via @collbud,Tue Apr 12 05:20:13 +0000 2016,en,2,False,0,False,,Bud Colligan,collbud
Great post https://t.co/7DCSVTV2nY,Sun Apr 10 15:03:50 +0000 2016,en,0,False,1,False,,Bud Colligan,collbud
"RT @LindaStone: RT @EvolvingJuan: ""Asia’s airlines are mostly excellent; Europe’s are competent; America’s are awful."" https://t.co/Um3wbdH…",Sun Apr 10 14:50:40 +0000 2016,en,3,False,0,False,,Bud Colligan,collbud
Thx to @OperationSurf #SantaCruz helping wounded #vets get out &amp; enjoy the healing power of the ocean for 5th year in a row! @GoodTimesSC,Sat Apr 09 22:00:24 +0000 2016,en,3,False,5,False,,Bud Colligan,collbud
Mini #MakerFaire coming to SC this month. Family-friendly event that celebrates #creativity of #SantaCruz community https://t.co/G7w4BI2KfN,Sat Apr 09 19:00:25 +0000 2016,en,0,False,1,False,,Bud Colligan,collbud
RT @POTUS: Nobody should have to choose between losing a paycheck &amp; caring for their family. I applaud @NYGovCuomo for taking a big step on…,Sat Apr 09 17:43:20 +0000 2016,en,6421,False,0,False,,Bud Colligan,collbud
"RT @Vervecoffee: That new, new. 🌿☕️💫 1010 Fair Ave is now open! https://t.co/10tcPS9dxP",Fri Apr 08 20:27:31 +0000 2016,en,4,False,0,False,,Bud Colligan,collbud
18 days until @MBEPartnership Economic Summit. Register before it sells out: https://t.co/hIQgrdI7tj @c_ster @dougepresenter @RodBeckstrom,Fri Apr 08 15:33:43 +0000 2016,en,6,False,3,False,,Bud Colligan,collbud
Global % of people with #Diabetes has nearly doubled since 1980! With more than 60% of pop. in the #Americas overweight or obese! @WHO,Fri Apr 08 01:00:13 +0000 2016,en,0,False,2,False,,Bud Colligan,collbud
RT @PCVtweets: Congrats Jessica and Sabrina! Our https://t.co/d3CxSdAa6Q advised company @thejamstand lands a @BillionDollarTV deal https:/…,Thu Apr 07 23:20:02 +0000 2016,en,1,False,0,False,,Bud Colligan,collbud
New study from @UCLA Anderson shows #CA's economy will grow faster than national economy this year  https://t.co/yj8cMFibOl,Thu Apr 07 22:00:51 +0000 2016,en,2,False,1,False,,Bud Colligan,collbud
Community Hospital of Monterey @CHOMPmonterey extending many free #wellness classes to #Salinas residents at Peninsula Wellness Center,Thu Apr 07 20:01:04 +0000 2016,en,2,False,1,False,,Bud Colligan,collbud
