Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Lots Of People In The World Of Billion $ Startups Are Passing Around This Interview With A Local Biz owner http://t.co/w48JdC1Mu9,Tue Sep 03 15:59:29 +0000 2013,en,0,False,0,False,,Dan Guo,dan_guo
11 Books Every Young Leader Must Read - @HarvardBiz http://t.co/VQMUcJbIkI,Wed Aug 28 14:50:25 +0000 2013,en,0,False,0,False,,Dan Guo,dan_guo
Summer festivals 2013: Your guide to Bay Area fairs and outdoor fun - San Jose Mercury News http://t.co/uGOVXkVEzu,Sat Jul 20 18:16:08 +0000 2013,en,0,False,0,False,,Dan Guo,dan_guo
http://t.co/aGbMq2wONY,Wed Jul 10 10:19:24 +0000 2013,und,0,False,0,False,,Dan Guo,dan_guo
RT @Marketingland: Report: Online Video Ads To Eclipse $4 Billion In 2013 by @gregfinn http://t.co/eLx3qmzQdt,Tue May 14 23:52:52 +0000 2013,en,3,False,0,False,,Dan Guo,dan_guo
踏青 http://t.co/ckeQ9Lkr,Sat Jan 05 21:50:29 +0000 2013,ja,0,False,0,False,,Dan Guo,dan_guo
RT @TheNextWeb: 11 Chinese startups to look out for in 2013 http://t.co/YmKn4afp by @beijingdou,Thu Jan 03 16:19:29 +0000 2013,en,136,False,0,False,,Dan Guo,dan_guo
Versuses http://t.co/190WAFgj,Fri Dec 21 18:36:21 +0000 2012,et,0,False,0,False,,Dan Guo,dan_guo
Twin rainbow in the drizzling sunshine http://t.co/3rOnIjUz,Wed Dec 12 23:12:23 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
This week in cloud: Why we love/hate cloud storage; Dell’s rough week http://t.co/TCPRHM4S,Sun Nov 18 20:38:35 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
5 trends that are changing how we do big data http://t.co/lyekL3b3,Sat Nov 10 07:31:48 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
RT @TheNextWeb: Udacity makes its video lessons available for download to help reach more students http://t.co/NwHfSbq5 by @jonrussell,Fri Nov 09 08:23:51 +0000 2012,en,376,False,0,False,,Dan Guo,dan_guo
Cheapest iPhone 5 costs an estimated $168 to make but sells for $649 | VentureBeat http://t.co/Hx0eCuOD,Fri Sep 14 22:55:03 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
It's 'Shocking' That Startups Are Ignoring A $500 Billion Market http://t.co/BBc27VDM,Fri Sep 14 06:09:27 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
Porsche – Pfaff Auto : Instant Direct Mail http://t.co/W4LWq0cD 来自 @adsector,Tue Aug 28 08:00:25 +0000 2012,de,0,False,0,False,,Dan Guo,dan_guo
How Much Are You Worth to Mark Zuckerberg? http://t.co/Bj0gK0UD 来自 @visually,Fri Jul 06 06:56:03 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
Triposo: Ex-Googlers Raise $3.5M From InterWest To Put Social (&amp;amp; Traditional) Travel Guides To Shame http://t.co/DQxg9Q9g 来自 @techcrunch,Wed Jul 04 07:04:18 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
No More Call Centers: Needle Grabs $10.5M To Turn Your Fans Into Customer Service Reps  http://t.co/jrqhNhZL 来自 @techcrunch,Tue Jul 03 17:12:04 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
How To Build A Successful Company From The Ground Up http://t.co/ErIfRGin 来自 @techcrunch,Mon Jul 02 07:42:59 +0000 2012,en,1,False,0,False,,Dan Guo,dan_guo
Google Chrome overtakes Internet Explorer as the Web’s most used browser http://t.co/haxeHDl9 来自 @TNWgoogle,Thu Jun 28 04:54:58 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
15 gorgeous mobile UI designs for your inspiration http://t.co/dJbdpbYS 来自 @tnwdesign,Wed Jun 27 07:38:29 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
The Art Of The iOS Icon http://t.co/0cMa6ERh 通过 @Mobile Inc,Wed May 30 07:02:19 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
"Internet M&amp;A Deals Down 55% Year-Over-Year,  http://t.co/6ZGnlRE6 通过 @techcrunch",Wed May 16 17:04:31 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
zire 的照片 http://t.co/H84wWUGm 通过 @instagram,Sun Apr 22 16:56:34 +0000 2012,zh,0,False,0,False,,Dan Guo,dan_guo
The State Of HTML5 Video http://t.co/udZNJpoJ #html5 通过 @longtailvideo,Sat Apr 21 09:18:11 +0000 2012,en,0,False,0,False,,Dan Guo,dan_guo
