Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Steps to Catalyze Private Foundation Impact... Such good news!!! https://t.co/elviyONXTm,Thu Apr 21 22:51:18 +0000 2016,en,0,False,1,False,,David Selinger,daveselinger
Install guide: Raspberry Pi 3 + Raspbian Jessie + OpenCV 3 https://t.co/5J6UZSY3nU via @pyimagesearch,Mon Apr 18 15:22:05 +0000 2016,fi,0,False,1,False,,David Selinger,daveselinger
"RT @DalaiLama: The time has come for us to consider seriously how to change our way of life not through prayer or religious teaching, but t…",Mon Apr 18 14:43:01 +0000 2016,en,24506,False,0,False,,David Selinger,daveselinger
San Francisco's housing market is at a tipping point https://t.co/1v7cZdYj28 via @themoneygame,Mon Apr 18 14:39:55 +0000 2016,en,0,False,1,False,,David Selinger,daveselinger
Monica Lewinsky: ‘The shame sticks to you like tar’ https://t.co/IYt6Psb2fj,Sun Apr 17 15:47:24 +0000 2016,en,0,False,1,False,,David Selinger,daveselinger
"Kyle York, Chief Strategy Officer @Dyn @kyork20 @getunstuckdaily #getunstuck https://t.co/neOr2oV1jn",Fri Apr 15 16:25:06 +0000 2016,en,1,False,3,False,,David Selinger,daveselinger
RT @ariannahuff: Leading cancer centers are building a smarter #immunotherapy research effort with the @ParkerICI to #outsmartcancer. https…,Wed Apr 13 17:56:32 +0000 2016,en,94,False,0,False,,David Selinger,daveselinger
RT @davidu: Great sales advice from @Immediatelyapp #getunstuck https://t.co/XOpkU6lUO1,Mon Apr 11 07:23:43 +0000 2016,en,5,False,0,False,,David Selinger,daveselinger
Props @elonmusk https://t.co/Pn12mqjGjh,Mon Apr 11 04:59:20 +0000 2016,en,0,False,0,False,,David Selinger,daveselinger
Scientists who found gluten sensitivity evidence have now shown it doesn't exist. BIG if true! https://t.co/mhJJkr9vqx @ScienceAlert,Mon Apr 04 00:15:44 +0000 2016,en,0,False,1,False,,David Selinger,daveselinger
The Notorious B.I.G. in Fallout 4 Mod. The soundtrack makes it... :) https://t.co/3jXMGqwuFU,Thu Mar 31 22:21:13 +0000 2016,en,0,False,1,False,,David Selinger,daveselinger
I signed up to chat with @zawthet on @ProductHunt on April 1 @ 11am PDT 😀 Join me: https://t.co/g3MpRR4bX4,Thu Mar 31 21:56:09 +0000 2016,en,0,False,3,False,,David Selinger,daveselinger
'Prison Break' star responds to body-shaming. I aspire to have the poise and grace this man shows. Amen. @CNN https://t.co/s554lJI1ao,Tue Mar 29 20:55:44 +0000 2016,en,0,False,1,False,,David Selinger,daveselinger
Comedian destroys heckler who got offended at his jokes about parenting. https://t.co/fa4TmRq0V1 via @someecards,Mon Mar 28 06:58:36 +0000 2016,en,0,False,2,False,,David Selinger,daveselinger
Terrible. Terrible. Children and Women were the targets. https://t.co/f9dkgoK4NI,Sun Mar 27 16:23:28 +0000 2016,en,0,False,0,False,,David Selinger,daveselinger
RT @TheEconomist: High profits across an economy can be a sign of weakness. Why America needs more competition https://t.co/f48ijZog9D http…,Fri Mar 25 08:52:32 +0000 2016,en,112,False,0,False,,David Selinger,daveselinger
Speaker Ryan on the State of American Politics. Reminder of who we can be. Great America without hate. https://t.co/aUpxIm5v8d @SpeakerRyan,Thu Mar 24 04:49:55 +0000 2016,en,0,False,0,False,,David Selinger,daveselinger
"RT @billclinton: Thinking of the people of Brussels after these terrible attacks, and praying for the victims and their families.",Wed Mar 23 00:28:00 +0000 2016,en,1899,False,0,False,,David Selinger,daveselinger
