Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @ganeumann: Comparing innovation ecosystems. Fair points? https://t.co/yKHvbW5cr8,Wed Apr 13 00:05:13 +0000 2016,en,4,False,0,False,,davidskidder,davidskidder
RT @habitsguy: Best #Entrepreneur books?EVER includes: @davidskidder @jasonfried @leanstartup and more https://t.co/hx7xXiYUET,Sun Apr 10 17:39:35 +0000 2016,en,1,False,0,False,,davidskidder,davidskidder
Google's Game Of Moneyball In The Age Of Artificial Intelligence https://t.co/Yshs2xaF8t via @instapaper,Sun Jan 03 12:59:12 +0000 2016,en,0,False,3,False,,davidskidder,davidskidder
Technology's next big frontier is teaching machines to learn from their own mistakes https://t.co/n5L0sKTprV via @instapaper,Sun Jan 03 12:59:10 +0000 2016,en,4,False,9,False,,davidskidder,davidskidder
What Is Big Data? and Why Is It Not Data Science? https://t.co/aRuZZ8JKJo via @instapaper,Sun Jan 03 12:59:08 +0000 2016,en,1,False,1,False,,davidskidder,davidskidder
Can Data Science play God and Solve Intractable Problem? https://t.co/IqtBwq00vP via @instapaper,Sun Jan 03 12:59:06 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
Data Science and Marketing Research https://t.co/Ye4hLh4t9o via @instapaper,Sun Jan 03 12:59:04 +0000 2016,en,0,False,2,False,,davidskidder,davidskidder
Recruiting Q&amp;A: IDEO https://t.co/kq6ATXfTBG via @instapaper,Sun Jan 03 12:59:02 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
There's a surprising danger to becoming an expert in your field https://t.co/0lg8pRk5Hg via @instapaper,Sun Jan 03 12:59:00 +0000 2016,en,1,False,0,False,,davidskidder,davidskidder
The 3 essential elements of unshakable confidence https://t.co/UFbG6fmHRd via @instapaper,Sun Jan 03 12:58:58 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
"13 tricks Steve Jobs, Jeff Bezos, and other famous executives have used to run effective meetings https://t.co/nPZGnZWzM1 via @instapaper",Sun Jan 03 12:58:56 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Big Ideas: Google's Larry Page and the gospel of 10x (Wired UK) https://t.co/5c0uNYpWqa via @instapaper,Sun Jan 03 12:58:54 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Lisa Randall thinks dark matter killed the dinosaurs - Business Insider https://t.co/w4NcjsRYjq via @instapaper,Sun Jan 03 12:58:52 +0000 2016,en,0,False,2,False,,davidskidder,davidskidder
How to Set Up a Corporate Innovation Outpost That Works | Steve Blank https://t.co/Kl45M3VQ9j via @instapaper,Sun Jan 03 12:58:50 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Here's Why You Should Care About Holacracy https://t.co/mGg8cB0ccD via @instapaper,Sun Jan 03 12:58:48 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Letting Go of Efficiency Can Accelerate Your Company — Here's How https://t.co/b43RP1AEyh via @instapaper,Sun Jan 03 12:58:45 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
***Reinventing Zappos: The Road to Teal*** https://t.co/qPiMOqqP4E via @instapaper,Sun Jan 03 12:58:42 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
The Untapped $140 Trillion Innovation For Jobs Market https://t.co/iyQalepUPx via @instapaper,Sun Jan 03 12:58:40 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
The budget bill will unleash wind and solar. Here’s what that means for the climate https://t.co/OlwdecUKPv via @instapaper,Sun Jan 03 12:58:38 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Leadership Lessons From the Navy Seals https://t.co/sCaui0BeM3 via @instapaper,Sun Jan 03 12:58:36 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
7 Tough Leadership Lessons From A Navy SEAL Commander https://t.co/uWeISmUSRo via @instapaper,Sun Jan 03 12:58:34 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
Want to Raise Resilient Kids? A Navy SEAL Says Always Do This https://t.co/bmiIDKQndf via @instapaper,Sun Jan 03 12:58:32 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Want to Lead a Truly Exceptional Life? A Navy SEAL Says Always Do These Things https://t.co/8Rd6i1uf5p via @instapaper,Sun Jan 03 12:58:30 +0000 2016,en,1,False,0,False,,davidskidder,davidskidder
An Ex-Navy SEAL Commander Says You Need 3 Of These To Be A Truly Great Leader https://t.co/2xPqSA6Fct via @instapaper,Sun Jan 03 12:58:28 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
7 Leadership Lessons From the SEALs Commander Who Got bin Laden https://t.co/s3kcyktNCt via @instapaper,Sun Jan 03 12:58:26 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
17 Things Navy SEALs Learn That Can Help You Succeed in Life https://t.co/VpUizKe5bM via @instapaper,Sun Jan 03 12:58:24 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
What Just Happened in Solar Is a Bigger Deal Than Oil Exports https://t.co/ltRnuUF8zy via @instapaper,Sun Jan 03 12:58:22 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
I created one of the world’s most exclusive clubs for millionaires: Here are the 8 best pieces of advice I can give… https://t.co/wx8D0Haf6s,Sun Jan 03 12:58:20 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
9 Rules For Emailing From Google Exec Eric Schmidt https://t.co/t69mg25W5p via @instapaper,Sun Jan 03 12:58:18 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
"17 insights about getting rich, from a 78-year-old book on wealth that's still relevant today https://t.co/lgjoiJHokm via @instapaper",Sun Jan 03 12:58:16 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
A Harvard psychologist says these simple body-language tweaks can instantly boost your confidence https://t.co/MovhHr77nn via @instapaper,Sun Jan 03 12:58:14 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Seven Trust-Diminishing Habits to Avoid at Work https://t.co/BCjNuRBMQF via @instapaper,Sun Jan 03 12:58:12 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
How I boosted my credit score by 76 points with one phone call https://t.co/G0JVrzSiRs via @instapaper,Sun Jan 03 12:58:10 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
11 quotes that show the great leadership of General George Patton https://t.co/0ZPhim0ida via @instapaper,Sun Jan 03 12:58:08 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
17 questions you should never ask at the end of a job interview https://t.co/Tl7L0LDCHf via @instapaper,Sun Jan 03 12:58:06 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Google is partnering with Ford to build self-driving cars https://t.co/mv25WX3HMO via @instapaper,Sun Jan 03 12:58:04 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
The Surprising Startup Hub That's Second Only to Silicon Valley https://t.co/UklpoAICnL via @instapaper,Sun Jan 03 12:58:03 +0000 2016,en,0,False,3,False,,davidskidder,davidskidder
The 5 books that most influenced Twitter and Square CEO Jack Dorsey https://t.co/CGEjxWnXh5 via @instapaper,Sun Jan 03 12:58:01 +0000 2016,en,0,False,3,False,,davidskidder,davidskidder
Nike has a big plan to boost its ecommerce sales from $1 billion today to $7 billion in 2020 https://t.co/y8E0UcVsJ7 via @instapaper,Sun Jan 03 12:57:59 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Daily habits to increase confidence https://t.co/XAAabdOmzF via @instapaper,Sun Jan 03 12:57:57 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
"A disturbing Cold War document reveals US plans to nuke more than 1,000 cities if war broke out with the USSR https://t.co/UNUIIK6MGI",Sun Jan 03 12:57:56 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
How we cut our monthly expenses in half to save enough to retire at 40 https://t.co/5HdINn4m0X via @instapaper,Sun Jan 03 12:57:54 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
50 universal truths that will make you more successful https://t.co/IP9GdtcLnd via @instapaper,Sun Jan 03 12:57:52 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
13 bad habits you should break in 2016 to be more productive https://t.co/MNj5ctIxzL via @instapaper,Sun Jan 03 12:57:50 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
The shortest science paper ever published is utterly brilliant https://t.co/vEF8KcKBfC via @instapaper,Sun Jan 03 12:57:48 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
The 10 tech questions that stumped the masses this year (and their answers) https://t.co/Hait5X8pJ8 via @instapaper,Sun Jan 03 12:57:46 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
How Apple stays on top of the tech world https://t.co/ItoZa9CHKd via @instapaper,Sun Jan 03 12:57:44 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
"The 53 startups that will be huge in 2016, according to venture capitalists https://t.co/veAltSBPpQ via @instapaper",Sun Jan 03 12:57:42 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
9 phrases that make you sound less experienced than you are https://t.co/5k7mv1cBrJ via @instapaper,Sun Jan 03 12:57:40 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
"Famed investor Marc Andreessen: 'In 20 years, every physical item will have a chip implanted in it' https://t.co/iwKH4LRfHX via @instapaper",Sun Jan 03 12:57:38 +0000 2016,en,6,False,10,False,,davidskidder,davidskidder
The one skill I had to get better at quickly in order to be successful https://t.co/AUehOM4FnL via @instapaper,Sun Jan 03 12:57:34 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
52 behaviors of highly successful people https://t.co/wZ2ChQ90LO via @instapaper,Sun Jan 03 12:57:31 +0000 2016,en,3,False,4,False,,davidskidder,davidskidder
The 5 biggest tech trends to watch in 2016 https://t.co/U597aG74pi via @instapaper,Sun Jan 03 12:57:29 +0000 2016,en,1,False,1,False,,davidskidder,davidskidder
4 strategies for remembering everything you learn https://t.co/cEzBIweR20 via @instapaper,Sun Jan 03 12:57:26 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
This simple realization could make you a much happier person https://t.co/nyPYm0xEv2 via @instapaper,Sun Jan 03 12:57:11 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Tesla freakonomics: Why fans should hope early drivetrain data was correct https://t.co/YEjvO15E8b via @instapaper,Sun Jan 03 12:57:10 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
25 phrases that only people in the military will understand https://t.co/FVVBSYMksx via @instapaper,Sun Jan 03 12:57:07 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
Radical new economic system will emerge from collapse of capitalism https://t.co/UZhpVeFTmh via @instapaper,Sun Jan 03 12:57:04 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
A World Without Work https://t.co/EedjIKmdbh via @instapaper,Sun Jan 03 12:57:02 +0000 2016,en,0,False,1,False,,davidskidder,davidskidder
What did Billion Dollar Companies Look Like at the Series A? — Personal Growth https://t.co/G91UZkKMBl via @instapaper,Sun Jan 03 12:57:00 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
"How to Hire — Startups, Wanderlust, and Life Hacking https://t.co/09J7nO7Kdn via @instapaper",Sun Jan 03 12:56:59 +0000 2016,en,0,False,4,False,,davidskidder,davidskidder
The 4 biggest ways American beverage consumption will change in 2016 https://t.co/zO1ShVE4HP via @instapaper,Sun Jan 03 12:56:56 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
How to become a great leader in 2016 https://t.co/2uBu1DZonH via @instapaper,Sun Jan 03 12:56:54 +0000 2016,en,0,False,0,False,,davidskidder,davidskidder
THE OWNER'S MANUAL COMPANION | Forums | Tesla Motors https://t.co/UlYiJGZb5u via @instapaper,Mon Dec 28 03:24:18 +0000 2015,en,0,False,0,False,,davidskidder,davidskidder
The top 10 traits of successful leaders - Agenda - The World Economic Forum https://t.co/FJETj27Azq via @instapaper,Mon Dec 21 22:51:35 +0000 2015,en,0,False,1,False,,davidskidder,davidskidder
@kwinerindc thank! Very kind plug #startupplaybook,Thu Jun 11 13:14:39 +0000 2015,en,0,False,0,False,,davidskidder,davidskidder
"@DeniseBruley very kind. Love @tyco, the leadership and the commitment to #newtobig",Fri May 08 04:11:56 +0000 2015,en,0,False,3,False,,davidskidder,davidskidder
