Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @jasonbourne: You know his name. WATCH the #JasonBourne trailer.
https://t.co/ngcNtkCmM3",Thu Apr 21 11:05:47 +0000 2016,en,13378,False,0,False,,Deap Ubhi,deapubhi
"RT @fixmyinfo: TableHero Serves Up Restaurants, But Can it Be the OS of Local? | Street Fight https://t.co/duVAn2kBlY",Tue Apr 19 07:10:20 +0000 2016,en,1,False,0,False,,Deap Ubhi,deapubhi
"@stewart @joshelman Yo Stewart, check out https://t.co/lrKArc1OR3 - will change how restaurants (and all small biz) think about websites",Mon Apr 18 09:29:45 +0000 2016,en,0,False,1,False,,Deap Ubhi,deapubhi
Yes we can! https://t.co/6K3lJTWccR,Thu Apr 14 23:47:23 +0000 2016,en,1,False,6,False,,Deap Ubhi,deapubhi
@itsRickRobinson simple answer: yes we can!,Thu Apr 14 23:46:43 +0000 2016,en,0,False,0,False,,Deap Ubhi,deapubhi
@mguliner @drewWruss and he knows @jordaantabion JT The Bigga Figga lyrics!,Thu Apr 14 23:44:54 +0000 2016,en,0,False,2,False,,Deap Ubhi,deapubhi
RT @MissSherni: @jaypore - My favourite go-to online store for all things Indian. Go to https://t.co/QQqGnzsBC6 https://t.co/0sEtjuLY8M,Thu Apr 14 09:46:02 +0000 2016,en,2,False,0,False,,Deap Ubhi,deapubhi
RT @USDS: We're recruiting the next generation of USDSers at the #WHsciencefair. Inspiring work! https://t.co/Z3Gp7QEG2e,Wed Apr 13 22:25:02 +0000 2016,en,20,False,0,False,,Deap Ubhi,deapubhi
@helloanand @jaipandya @ku1deep @judebpereira awesome say hi to the the Yeti for me,Wed Apr 13 03:16:44 +0000 2016,en,0,False,2,False,,Deap Ubhi,deapubhi
@helloanand @jaipandya amazing dude!,Wed Apr 13 03:12:48 +0000 2016,en,0,False,1,False,,Deap Ubhi,deapubhi
@helloanand yeah apparently that's when you get super visible results when you do 2-3 reps per day. Go for it!,Wed Apr 13 03:10:48 +0000 2016,en,0,False,1,False,,Deap Ubhi,deapubhi
Thank you sir @sri_sub! https://t.co/yfkDIMf0t0,Wed Apr 13 03:09:11 +0000 2016,en,0,False,1,False,,Deap Ubhi,deapubhi
@helloanand how long did it take you?,Wed Apr 13 03:08:25 +0000 2016,en,0,False,1,False,,Deap Ubhi,deapubhi
@mitensampat flavor of the year,Wed Apr 13 00:18:53 +0000 2016,en,0,False,0,False,,Deap Ubhi,deapubhi
Thanks so much to @itsRickRobinson and @streetfightmag for the opportunity to tell you all about @Table_Hero! https://t.co/NKQpvb7Nh3,Tue Apr 12 23:50:24 +0000 2016,en,7,False,4,False,,Deap Ubhi,deapubhi
@righthalf @RawPressery not judging brother. Do your thang.,Mon Apr 11 05:59:31 +0000 2016,en,0,False,0,False,,Deap Ubhi,deapubhi
@righthalf @RawPressery dude you do know that cold pressed juices &amp; cleanses are all bullshit right? Turns out out livers are pretty bad ass,Mon Apr 11 05:32:59 +0000 2016,en,0,False,2,False,,Deap Ubhi,deapubhi
Awesome work @lynchseattle! Inspiring.  https://t.co/GCR4NNrQeq,Sun Apr 10 20:45:00 +0000 2016,en,1,False,2,False,,Deap Ubhi,deapubhi
