Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Good talk w/women leads @Chicago office - tons of challenges + opportunities to grow our female leaders in #Expedia https://t.co/nquLeBUfn7,Thu Mar 10 20:02:06 +0000 2016,en,12,False,47,False,,dara khosrowshahi,dkhos
It's #IWD2016. Will you #SitWithMe as we celebrate the incredible women at @expediainc? #lifeatexpedia #redchair https://t.co/YDckWXdPK6,Tue Mar 08 19:51:04 +0000 2016,en,24,False,46,False,,dara khosrowshahi,dkhos
"Well, it's about time we finally got ourselves a fair, balanced and fit candidate #obviouspresident https://t.co/hYRIuOuzNz",Tue Feb 23 20:23:22 +0000 2016,en,3,False,15,False,,dara khosrowshahi,dkhos
#whatashow #HalftimeShow #SB50 https://t.co/PnRdLQKJOv,Mon Feb 08 01:45:01 +0000 2016,und,2,False,20,False,,dara khosrowshahi,dkhos
Good morning climb in Hong Kong. https://t.co/m1xdw2wiIO,Tue Feb 02 00:01:44 +0000 2016,en,1,False,16,False,,dara khosrowshahi,dkhos
"Welcome to the EI family, @homeaway team! https://t.co/qF5zrxR7Vj",Tue Dec 15 14:15:56 +0000 2015,en,26,False,37,False,,dara khosrowshahi,dkhos
Huge thanks for all of our partners for joining us at the #ExpediaPartners Conf. We couldn't do it without you. https://t.co/8ZweR6KNWE,Fri Dec 11 00:15:59 +0000 2015,en,13,False,22,False,,dara khosrowshahi,dkhos
Hanging backstage with my favorite mascots from @hotelsdotcom @travelocity and @trivago at the #ExpediaPartners Conf https://t.co/BS4bpGED4N,Thu Dec 10 00:13:48 +0000 2015,en,19,False,45,False,,dara khosrowshahi,dkhos
Cheers to the @expediainc team! @geekwire Newsmaker of the Year award reflects on the great work around the globe https://t.co/SmefiWyj3I,Fri Dec 04 17:39:43 +0000 2015,en,4,False,7,False,,dara khosrowshahi,dkhos
Great to get our #Orbitz teams joining in on the hackathon! https://t.co/UkeePwQa7x,Tue Dec 01 18:06:52 +0000 2015,en,6,False,17,False,,dara khosrowshahi,dkhos
Big shoutout to @Expedia for making @KING5Seattle's Top 5 Places to Work list! https://t.co/ua212kXneo #lifeatexpedia,Tue Dec 01 16:54:53 +0000 2015,en,7,False,12,False,,dara khosrowshahi,dkhos
"RT @nytimesbusiness: Since its founding, Barry Diller's IAC has done more than three times better than Nasdaq https://t.co/SEjpyUkQTg https…",Wed Nov 25 03:19:29 +0000 2015,en,21,False,0,False,,dara khosrowshahi,dkhos
#prayforparis,Sat Nov 14 00:09:10 +0000 2015,und,11,False,26,False,,dara khosrowshahi,dkhos
Surprise! #away https://t.co/zAZjZkwCcb,Wed Nov 04 21:12:22 +0000 2015,en,50,False,62,False,,dara khosrowshahi,dkhos
Not everyday our CFO @MarkOkerstrom and I get to personally welcome someone to @expediainc. Welcome to the family! https://t.co/wBTmlWOzip,Tue Nov 03 21:27:23 +0000 2015,en,8,False,21,False,,dara khosrowshahi,dkhos
Live this morning on @CNBC with @HobbsieNY talking @expediainc earnings https://t.co/qN5fWpzyQx,Fri Oct 30 14:01:26 +0000 2015,en,9,False,12,False,,dara khosrowshahi,dkhos
"Yup, early #haloween at #expedia - I'm Darth Maul with my CFO and GC.  We have all sides of #theforce covered. https://t.co/83PSdha5sr",Wed Oct 28 19:29:25 +0000 2015,en,19,False,25,False,,dara khosrowshahi,dkhos
Excited for Convoy Debut.  Some call it the Uber of trucks but I like #expedia of trucks more ... https://t.co/i4vfZisIwS,Wed Oct 28 06:02:48 +0000 2015,en,7,False,7,False,,dara khosrowshahi,dkhos
RT @lifeatexpedia: Beautiful music &amp; new friends. Thank you @BoysChoirKenya for visiting &amp; performing today for our Bellevue HQ staff! http…,Fri Oct 16 16:24:16 +0000 2015,en,16,False,0,False,,dara khosrowshahi,dkhos
With team #wotif to celebrate launch of new brand campaign. #homeofholidays http://t.co/yOXuVGPSrw,Wed Oct 07 08:24:17 +0000 2015,en,23,False,35,False,,dara khosrowshahi,dkhos
"The team at @Egencia is ensuring refugees have employment opportunities. Important cause, great team, super proud http://t.co/a9HPf9Yjfg",Wed Sep 30 16:51:36 +0000 2015,en,31,False,17,False,,dara khosrowshahi,dkhos
Coming to you live from Chicago on @CNBC with @HobbsieNY in a few minutes http://t.co/LEVlAyGXaG,Thu Sep 17 14:15:49 +0000 2015,en,7,False,29,False,,dara khosrowshahi,dkhos
Beautiful morning in Chicago. #readytoroll http://t.co/WRnCeFXzuZ,Thu Sep 17 11:45:38 +0000 2015,en,6,False,29,False,,dara khosrowshahi,dkhos
At our Springfield offices. We have the old airport terminal. Awesome crew! #besttraveloffice #lifeatexpedia http://t.co/iOyeQcD8wE,Thu Sep 03 17:06:32 +0000 2015,en,25,False,40,False,,dara khosrowshahi,dkhos
New post up as part of @LinkedIn's How I Hire series: Why Travel Geeks Make the Best Team Members #lifeatexpedia https://t.co/nXOukN2adN,Wed Sep 02 15:28:36 +0000 2015,en,20,False,30,False,,dara khosrowshahi,dkhos
@taylorswift13 concert for my daughter but have to admit she's damn good #TaylorSwift1989Tour http://t.co/IR0CIvg7on,Wed Aug 26 20:05:13 +0000 2015,en,91,False,393,False,,dara khosrowshahi,dkhos
@taylorswift13 concert for my daughter but have to admit she's damn good #TaylorSwift1989Tour http://t.co/MtdOe1dw9x,Wed Aug 26 05:04:13 +0000 2015,en,0,False,5,False,,dara khosrowshahi,dkhos
Travel is a powerful economic driver - a record 8.1 million Americans now work in travel per @USTravel https://t.co/dLZUODFUuj,Fri Aug 21 14:12:36 +0000 2015,en,22,False,15,False,,dara khosrowshahi,dkhos
Deeply saddened by the news of the bomb attack in Bangkok. Our hearts go out to the family and friends of all the victims.,Tue Aug 18 13:24:46 +0000 2015,en,9,False,5,False,,dara khosrowshahi,dkhos
"Mark Twain said Travel is fatal to prejudice, bigotry, and narrow-mindedness - time to open up and talk. http://t.co/gwSr9gTx6d #IranDeal",Tue Aug 11 05:57:12 +0000 2015,en,16,False,27,False,,dara khosrowshahi,dkhos
Post Q2 earnings beer pong with the gang. We survived! #expedia http://t.co/5ldFDiMGhL,Fri Jul 31 00:24:02 +0000 2015,en,18,False,31,False,,dara khosrowshahi,dkhos
"RT @Egencia: ""Business Woman Under 35 Searching For Clean, Safe, Loyal Hotel With A Human Touch"" #GBTA2015 Learn more at http://t.co/wpNNpH…",Mon Jul 27 14:24:45 +0000 2015,en,11,False,0,False,,dara khosrowshahi,dkhos
Thanks to @CODEfilm for letting us host a private screening for our @Expedia team &amp; @GirlsWhoCode guests. Full house! http://t.co/I4PZl3fKWC,Tue Jul 21 21:26:28 +0000 2015,en,6,False,12,False,,dara khosrowshahi,dkhos
RT @lifeatexpedia: Challenge proudly accepted! It's your turn @Delta and @HALcruises. Drop and #GiveThem20 #LifeAtExpedia https://t.co/Hii6…,Wed Jul 15 00:40:54 +0000 2015,en,32,False,0,False,,dara khosrowshahi,dkhos
"On behalf of @Expedia, challenge happily accepted, @Starbucks! RT @Starbucks: Are you up for it? #GiveThem20
https://t.co/N3JjdtiziK",Fri Jul 10 18:15:08 +0000 2015,en,15,False,20,False,,dara khosrowshahi,dkhos
Good article re younger generation in Iran that wants to be connected - even my 70+ year old aunt knows how to VPN! http://t.co/4jdfRpk8tn,Mon Jun 29 19:19:56 +0000 2015,en,9,False,8,False,,dara khosrowshahi,dkhos
RT @lifeatexpedia: It's time to celebrate! Expedians join in Seattle Pride Parade showing hometown love! #OutAndProud #ExpediaPride http://…,Sun Jun 28 18:34:56 +0000 2015,en,20,False,0,False,,dara khosrowshahi,dkhos
RT @lifeatexpedia: Today @Expedia is thrilled to kickoff our @GirlsWhoCode program by hosting a meet &amp; greet w/ students &amp; family! http://t…,Fri Jun 26 17:35:19 +0000 2015,en,29,False,0,False,,dara khosrowshahi,dkhos
"Grateful on behalf of our diverse customers, partners and employees for today's Supreme Court ruling #lovewins http://t.co/03HAdt0STc",Fri Jun 26 16:27:26 +0000 2015,en,24,False,33,False,,dara khosrowshahi,dkhos
Great news for the State of WA. Computer science ed bill gets @JayInslee's signature http://t.co/7BfIiOLklE via @GeekWire #moveforward,Thu Jun 11 02:04:26 +0000 2015,en,1,False,1,False,,dara khosrowshahi,dkhos
Honored to debut on @Glassdoor's Top CEO list. Thanks to the terrific teams at @expediainc who make this job rock! http://t.co/e89U38aaMV,Wed Jun 10 14:28:38 +0000 2015,en,31,False,50,False,,dara khosrowshahi,dkhos
Humbled and delighted to be on @seattletimes #BestoftheNW Top 5 employer list. #lifeatexpedia http://t.co/sJaYzzqY9J,Tue Jun 09 22:59:56 +0000 2015,en,19,False,32,False,,dara khosrowshahi,dkhos
Movin' on up: 26 companies joined the Fortune 500 this year. via @FortuneMagazine http://t.co/9dL4IJJIg8,Fri Jun 05 15:45:03 +0000 2015,en,8,False,13,False,,dara khosrowshahi,dkhos
"RT @lifeatexpedia: Love the tech! @Expedia is thrilled to win @MongoDB's Innovation Award! Expedians Aaron, Murari &amp; JQ accepted award. htt…",Wed Jun 03 22:47:31 +0000 2015,en,41,False,0,False,,dara khosrowshahi,dkhos
RT @PamAtExpedia: Spotted at the Gum Wall. #lifeatexpedia http://t.co/fKrt31ipvC,Wed May 20 17:38:25 +0000 2015,en,3,False,0,False,,dara khosrowshahi,dkhos
"RT @VentureBeat: Nervana open-sources its deep-learning software, says it outperforms Facebook, Nvidia tech http://t.co/h2fPr4kOhp http://t…",Wed May 06 23:05:20 +0000 2015,en,41,False,0,False,,dara khosrowshahi,dkhos
May the 4th be with you... #lifeatexpedia,Mon May 04 14:49:14 +0000 2015,en,8,False,8,False,,dara khosrowshahi,dkhos
"See you soon, @CNBC viewers. It's almost time to talk #EXPE earnings. http://t.co/giccP7rFeR",Fri May 01 14:31:32 +0000 2015,en,1,False,3,False,,dara khosrowshahi,dkhos
Our thoughts are with those in Nepal. Be sure to visit @RedCross to learn more about how to help. #NepalEarthquake,Sun Apr 26 20:34:25 +0000 2015,en,5,False,9,False,,dara khosrowshahi,dkhos
RT @kristingraham: Super excited to be at #WeDaySeattle &amp; #KeyArenaSeattle to cheer for @Expedia. #giveback #LifeAtExpedia #DoGood http://t…,Thu Apr 23 21:09:07 +0000 2015,en,10,False,0,False,,dara khosrowshahi,dkhos
WeDay Seattle off to a big start.  Great event. http://t.co/iXVOZTUS6c,Thu Apr 23 16:10:25 +0000 2015,en,1,False,1,False,,dara khosrowshahi,dkhos
On top of ACSI report but definitely not satisfied -  http://t.co/Fw3k46FQG1,Tue Apr 21 00:24:07 +0000 2015,en,6,False,6,False,,dara khosrowshahi,dkhos
A big thanks to @Mayor_Ed_Murray and the City of Seattle for welcoming us to Seattle http://t.co/Sy2lnBqpvs,Thu Apr 02 16:48:09 +0000 2015,en,19,False,17,False,,dara khosrowshahi,dkhos
"RT @RobGreyber: Egencia® TripNavigator for iPad. Hotels, itineraries, service. Business travel, easier.  In iTunes now! #businesstravel @Eg…",Mon Mar 30 16:42:36 +0000 2015,en,15,False,0,False,,dara khosrowshahi,dkhos
Only proof that I'm cool. My daughter taking a pic of a pic of me and @rainnwilson on my Mac. http://t.co/kGwuPJm5ef,Sat Mar 14 05:07:34 +0000 2015,en,0,False,7,False,,dara khosrowshahi,dkhos
"RT @lifeatexpedia: .@seattlehumane stopped by our HQ for an adoption fair/tour. Couldn't be more excited for our newest ""intern"" Minnie! ht…",Thu Mar 12 21:25:01 +0000 2015,en,17,False,0,False,,dara khosrowshahi,dkhos
Pleased to stand with @codeorg and other area leaders to move computer science forward in Washington state http://t.co/fF46ynTQ7V,Wed Mar 04 16:05:31 +0000 2015,en,10,False,11,False,,dara khosrowshahi,dkhos
Hard to chew! Wifi is the new breakfast: 67% of business travellers deem free Wifi more important than breakfast #businesstravel @Egencia_UK,Thu Feb 26 10:16:46 +0000 2015,en,19,False,14,False,,dara khosrowshahi,dkhos
Expedia To Acquire Orbitz Worldwide For $12 Per Share In Cash http://t.co/92meA3pNUH http://t.co/109iaa8LPU,Thu Feb 12 16:13:08 +0000 2015,en,47,False,29,False,,dara khosrowshahi,dkhos
RT @lifeatexpedia: Today @dkhos &amp; @craigkielburger are thrilled to announce a new partnership between @Expedia Inc. &amp; @Freethechildren http…,Tue Feb 10 02:36:54 +0000 2015,en,29,False,0,False,,dara khosrowshahi,dkhos
Ready to talk to @CNBC in just a few minutes. Let's do this! #lifeatexpedia #squawkonthestreet http://t.co/rBTwDeftnW,Fri Feb 06 16:14:54 +0000 2015,en,7,False,10,False,,dara khosrowshahi,dkhos
What @PeteCarroll call can teach us about risk-taking in the game of inches #BeastMode #SB49 https://t.co/mOalbdLtDj http://t.co/nRlWoCCSO1,Mon Feb 02 22:35:42 +0000 2015,en,29,False,16,False,,dara khosrowshahi,dkhos
Technical Q: can I drink scotch watching the game or do I have to stick to 12th man beer to be a true #Hawks fans? #SB49,Mon Feb 02 02:23:07 +0000 2015,en,1,False,2,False,,dara khosrowshahi,dkhos
UGC = the new economy Job License - would you rather have a fancy medallion or a five star review? http://t.co/t4Jn59cfIK @nytimes,Wed Jan 28 02:38:00 +0000 2015,en,3,False,3,False,,dara khosrowshahi,dkhos
@joshkerns38 @Mynorthwest Have at it!,Tue Jan 27 22:17:38 +0000 2015,en,0,False,0,False,,dara khosrowshahi,dkhos
Team @Expedia is getting ready for the big @seahawks game Sunday with a little #BeastMode action at HQ #lifeatexpedia http://t.co/Rj89eEdIyO,Tue Jan 27 19:44:25 +0000 2015,en,69,False,83,False,,dara khosrowshahi,dkhos
My @roaminggnome is proudly on display today as @travelocity comes to @expediainc. http://t.co/CuVp7vhQaP,Fri Jan 23 18:29:45 +0000 2015,en,13,False,20,False,,dara khosrowshahi,dkhos
The Roaming Gnome joins Expediabear and Yoda in my office. #gnome http://t.co/BVCwufJnLl,Fri Jan 23 18:24:06 +0000 2015,en,12,False,21,False,,dara khosrowshahi,dkhos
Super excited to welcome @travelocity to the @expediainc family. Let's go smell some roses! http://t.co/9BXkbSBnfB http://t.co/xq8FRk2qb6,Fri Jan 23 17:39:39 +0000 2015,en,66,False,64,False,,dara khosrowshahi,dkhos
RT @Egencia: We're going higher in 2015 and start off with 2 world records @GWR #AmazingEgencia #momentum http://t.co/e942oQuR5J http://t.c…,Tue Jan 20 16:18:33 +0000 2015,en,33,False,0,False,,dara khosrowshahi,dkhos
most.  ridiculous. game.  ever.  #wow,Sun Jan 18 23:30:49 +0000 2015,en,4,False,12,False,,dara khosrowshahi,dkhos
Good progress on opening up travel to Cuba http://t.co/122WFhytoK,Thu Jan 15 22:57:32 +0000 2015,en,4,False,2,False,,dara khosrowshahi,dkhos
RT @travelergreg: Our air etiquette survey acted out by the great one @SirPatStew ! https://t.co/ctpkaefU1N  @Expedia @sarahwaffle,Wed Jan 14 19:47:41 +0000 2015,en,6,False,0,False,,dara khosrowshahi,dkhos
"RT @lifeatexpedia: Expedia honors lessons from history. That's why we're treating our staff to a showing of Selma https://t.co/y8VVb87qvd
#…",Wed Jan 14 19:47:14 +0000 2015,en,19,False,0,False,,dara khosrowshahi,dkhos
Nothing like a crisp winter day and smart conversation with media in New York to kick off the year! @WSJ @newscorp http://t.co/HCCvBtEaJE,Tue Jan 13 19:04:35 +0000 2015,en,5,False,11,False,,dara khosrowshahi,dkhos
May the best of 2014 be the worst of 2015. Wishing you all a very happy year ahead! http://t.co/VoKqGfFKlv,Thu Jan 01 15:25:20 +0000 2015,en,28,False,32,False,,dara khosrowshahi,dkhos
Happy New Years Eve! @ChloeNoor http://t.co/dLTCOQxL2O,Wed Dec 31 23:24:30 +0000 2014,en,0,False,3,False,,dara khosrowshahi,dkhos
"@ChloeNoor no idea, we actually have to discuss using our voices.",Wed Dec 31 02:38:49 +0000 2014,en,0,False,0,False,,dara khosrowshahi,dkhos
Our hearts and prayers go out to the families of #QZ8501 and @tonyfernandes and the team at @AirAsia.,Tue Dec 30 09:54:11 +0000 2014,en,34,False,18,False,,dara khosrowshahi,dkhos
Our hearts and hopes are with those impacted by @AirAsia flight #QZ8501.,Sun Dec 28 15:48:57 +0000 2014,en,23,False,16,False,,dara khosrowshahi,dkhos
Good news for @BrandUSA and the US economy as Congress votes to continue growth in US #travel sector http://t.co/Un9MOczDAM,Wed Dec 17 20:28:53 +0000 2014,en,2,False,1,False,,dara khosrowshahi,dkhos
Almost go time! Tweet us your questions at #expediapartners. http://t.co/nJEsBaqKAb,Thu Dec 11 23:26:37 +0000 2014,en,3,False,8,False,,dara khosrowshahi,dkhos
Taking questions with all the @expediainc presidents at the #ExpediaPartners town hall this afternoon. What do you want to ask us?,Thu Dec 11 21:22:35 +0000 2014,en,4,False,2,False,,dara khosrowshahi,dkhos
Blue man opening our partner conference. Excited!  #expediapartners http://t.co/qsaSxrMDyw,Thu Dec 11 16:34:33 +0000 2014,en,11,False,9,False,,dara khosrowshahi,dkhos
RT @ddoctorow: From @Forbes: 94% of American business leaders agree that being well-traveled gives them a competitive advantage: http://t.c…,Sun Dec 07 14:14:56 +0000 2014,en,8,False,0,False,,dara khosrowshahi,dkhos
Cheers to the @Expedia team touring @StJude this weekend &amp; running #StJudeRun Marathon. Sending high5s! #ExpediaCares http://t.co/ybOmGrcP3E,Fri Dec 05 19:17:14 +0000 2014,en,12,False,10,False,,dara khosrowshahi,dkhos
Watch what happens when #SantaFliesCoach for @stjude and @expedia http://t.co/wRCmxB4gQG. Traveling for good at its best.,Wed Dec 03 16:46:02 +0000 2014,en,15,False,6,False,,dara khosrowshahi,dkhos
Increased #travel = a better economy. Join me to tell Congress to extend @BrandUSA http://t.co/ksYG6PShC2 #PassItNow http://t.co/Nl3WMLVatr,Tue Dec 02 15:56:41 +0000 2014,en,8,False,4,False,,dara khosrowshahi,dkhos
Thankful for all of our travelers and all of our teams all around the globe. #happythanksgiving #lifeatexpedia,Thu Nov 27 20:06:14 +0000 2014,en,7,False,7,False,,dara khosrowshahi,dkhos
Talking holiday #travel with our friends at @CNBC's @SquawkCNBC. Tips from @Expedia here http://t.co/HsGWjvStMf Safe Thanksgiving travels!,Tue Nov 25 15:09:49 +0000 2014,en,7,False,6,False,,dara khosrowshahi,dkhos
See you soon on @CNBC's @SquawkCNBC to talk holiday travel. http://t.co/cZ6rrErX57,Tue Nov 25 13:41:53 +0000 2014,en,7,False,6,False,,dara khosrowshahi,dkhos
"Women want meaningful work,  challenging assignments and opportunities for career growth. Great study by @HarvardBiz https://t.co/yOwIxkWF0a",Wed Nov 19 15:02:03 +0000 2014,en,14,False,5,False,,dara khosrowshahi,dkhos
