Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"This Boston investor is rushing after marijuana gold

https://t.co/nz8CrK2T7O https://t.co/VJS3YiIHbE",Mon Feb 01 13:50:53 +0000 2016,en,3,False,2,False,,Douglas Leighton,dutchesscapital
Massroots: A Social Media Platform for Pot Users - Firsthand - CBC-TV http://t.co/fGFHMiF7PU,Wed Sep 23 14:56:42 +0000 2015,en,1,False,1,False,,Douglas Leighton,dutchesscapital
RT @imacsentientjet: Great example of how @SentientJet can allow you to do more in your day with less time! @kittenwithawhip @cnbc  https:/…,Wed Aug 12 15:32:18 +0000 2015,en,2,False,0,False,,Douglas Leighton,dutchesscapital
"Vote for MassRoots to become the first cannabis company to compete at TechCrunch Disrupt!
  http://t.co/gkYRBO2CJD 

#TCDisrupt #MSRT",Tue May 05 12:19:44 +0000 2015,en,2,False,3,False,,Douglas Leighton,dutchesscapital
MassRoots featured in #inc #msrt http://t.co/vfQM3WcyAB,Tue Apr 14 17:52:58 +0000 2015,en,5,False,3,False,,Douglas Leighton,dutchesscapital
MassRoots update #MSRT http://t.co/ztQ3cbr9gJ,Mon Apr 13 23:15:22 +0000 2015,en,0,False,2,False,,Douglas Leighton,dutchesscapital
"MassRoots to begin Trading April 9th. #MSRT 
http://t.co/GG2CDoToa8 
#potstocks #stocks #IPO",Mon Apr 06 13:49:06 +0000 2015,en,1,False,7,False,,Douglas Leighton,dutchesscapital
RT @CannaFundr: #Marijuana Investor Summit #Denver 2015 Will Host Speaker Douglas H. Leighton of Dutchess Capital http://t.co/2UfHqufVbK @d…,Sun Mar 29 12:50:29 +0000 2015,en,2,False,0,False,,Douglas Leighton,dutchesscapital
RT @InvestorMJ: #Marijuana Investor Summit #Denver 2015 Will Host Speaker Douglas H. Leighton of Dutchess Capital http://t.co/RSEJLulBxF @d…,Sun Mar 29 12:50:21 +0000 2015,en,1,False,0,False,,Douglas Leighton,dutchesscapital
RT @Nanigans: We’re excited to announce $24M in new funding to continue revolutionizing digital advertising! http://t.co/K9UejCda3o http://…,Sun Mar 29 12:50:06 +0000 2015,en,12,False,0,False,,Douglas Leighton,dutchesscapital
"Congrats to our portfolio company Nanignas! 
http://t.co/5dfAr2h3vv",Sun Mar 29 12:49:46 +0000 2015,en,0,False,0,False,,Douglas Leighton,dutchesscapital
"Great News from a Dutchess Portfolio Company 
Nanigans Raises $24M To Fuel Asian Growth Beyond Facebook
http://t.co/KPPLw97Nc1",Fri Mar 27 11:35:15 +0000 2015,en,0,False,1,False,,Douglas Leighton,dutchesscapital
"Douglas Leighton on investing in Marijuana 
http://t.co/qiWVpsXzib #cannabisinvest #investmj #dutchesscapital",Sat Mar 14 12:18:13 +0000 2015,en,0,False,2,False,,Douglas Leighton,dutchesscapital
"Smoking, vaping, cooking, growing: Convention on the burgeoning cannabis biz - Manchester Ink LinkManchester Ink Link http://t.co/GSZ0DkvuHD",Wed Feb 18 15:45:41 +0000 2015,en,0,False,1,False,,Douglas Leighton,dutchesscapital
"Smoking, vaping, cooking, growing: Convention on the burgeoning cannabis biz - Manchester Ink LinkManchester Ink Link http://t.co/oOB6PjrHDl",Wed Feb 18 13:45:43 +0000 2015,en,0,False,1,False,,Douglas Leighton,dutchesscapital
http://t.co/TRGagXDpLg,Fri Feb 13 22:33:10 +0000 2015,und,0,False,1,False,,Douglas Leighton,dutchesscapital
"Congrats! MassRoots!! 
http://t.co/eDz1h9Htze",Fri Feb 13 18:37:46 +0000 2015,en,0,False,2,False,,Douglas Leighton,dutchesscapital
"Big Win for portfolio client MassRoots 

http://t.co/5VJOT2NjnG",Fri Feb 13 14:23:22 +0000 2015,en,0,False,2,False,,Douglas Leighton,dutchesscapital
"Big win for our portfolio company MassRoots! 
http://t.co/OhWRbVi2w7",Fri Feb 13 11:46:04 +0000 2015,en,0,False,1,False,,Douglas Leighton,dutchesscapital
"Massroots back in the App Store. 
http://t.co/8cYw1BMAQW",Fri Feb 13 01:42:44 +0000 2015,en,0,False,0,False,,Douglas Leighton,dutchesscapital
"Nice mention for #AMMJ
Colorado Marijuana Growers Take Advantage of Sun with Shift to Greenhouses - MainStreet http://t.co/53jXFPRxzO",Sat Feb 07 21:25:11 +0000 2015,en,0,False,1,False,,Douglas Leighton,dutchesscapital
