Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
#sniff   Austin Bakery Delish Is Now Closed https://t.co/s7rxzvzoqJ via @EaterAustin,Tue Apr 12 00:30:58 +0000 2016,en,1,False,0,False,,Cotter Cunningham,eatokra
RT @RetailMeNotInc: Exciting news! We're honored to be recognized on the @Inc 2016 #Founders40 list of companies driving innovation: https:…,Fri Apr 01 15:40:37 +0000 2016,en,2,False,0,False,,Cotter Cunningham,eatokra
"RT @JeanChatzky: Announcing my new project, #HerMoneyPodcast — finance tips for women, by women. Subscribe: https://t.co/xjpmBXO55e. https:…",Fri Apr 01 15:40:10 +0000 2016,en,11,False,0,False,,Cotter Cunningham,eatokra
@RetailMeNot Congrats!  https://t.co/bojOwTvjmV #somemoney  #foundersforty,Fri Apr 01 15:09:08 +0000 2016,en,0,False,1,False,,Cotter Cunningham,eatokra
"RT @nytimes: His pitch: a $700 box that makes 8 oz. of juice. The response: $120 million in funding.
https://t.co/DYGRJdV4NN https://t.co/T…",Thu Mar 31 23:32:21 +0000 2016,en,108,False,0,False,,Cotter Cunningham,eatokra
RT @BuiltInAustin: Calling all engineers and designers: @RetailMeNot is hiring. https://t.co/tFBYlNR2p3,Wed Feb 24 22:12:51 +0000 2016,en,1,False,0,False,,Cotter Cunningham,eatokra
RT @RetailMeNot: Check out our top 20 handbag deals!   https://t.co/av9wyVYzwY https://t.co/mnpsljaupB,Wed Feb 24 22:12:13 +0000 2016,en,3,False,0,False,,Cotter Cunningham,eatokra
"RT @BrooklynDecker: When the chef from your favorite restaurant is nominated for a @beardfoundation award. Congrats, @TysonCole! #jbf #jbfa…",Wed Feb 24 20:02:00 +0000 2016,en,17,False,0,False,,Cotter Cunningham,eatokra
"Want Some of This Texas Barbecue? Get In Line. For 3 Hours or Longer., via @nytimes https://t.co/MqMWXOc2nk",Wed Jan 27 23:19:45 +0000 2016,en,2,False,3,False,,Cotter Cunningham,eatokra
"Gift card primer!
@RetailMeNot! #SaveItForward https://t.co/CshhsvTzna",Sat Jan 23 02:11:58 +0000 2016,en,0,False,0,False,,Cotter Cunningham,eatokra
RT @Global_Wildlife: Adopt a tadpole today to help save an entire frog species from a volcanic eruption! https://t.co/NeW46KfRob https://t.…,Tue Jan 05 00:37:15 +0000 2016,en,2,False,0,False,,Cotter Cunningham,eatokra
RT @BretBielema: New look for the Liberty Bowl. Players loved it. Let's get 1 more! #WoooPig https://t.co/UgCpPLnvY8,Sat Jan 02 04:28:20 +0000 2016,en,1200,False,0,False,,Cotter Cunningham,eatokra
"RT @NateSwanner: New @Square NFC reader spotted in the wild!
Apple Pay works like a charm. Exciting for small business! https://t.co/wSTTGB…",Sat Jan 02 02:56:49 +0000 2016,en,56,False,0,False,,Cotter Cunningham,eatokra
"Arianna Huffington, Tony Robbins, and 29 other successful people share their New Year's resolutions https://t.co/15RiOUfcju via @BI_Europe",Thu Dec 24 01:23:04 +0000 2015,en,0,False,0,False,,Cotter Cunningham,eatokra
RT @RetailMeNot: We'll #SaveItForward by donating a % of the proceeds from this page to Toys for Tots! https://t.co/koljkalLWX https://t.co…,Thu Dec 17 23:02:33 +0000 2015,en,8,False,0,False,,Cotter Cunningham,eatokra
"RT @MeredithShow: Discover the true spirit of giving, when @RetailMeNot uses #SaveItForward to make Christmas dreams come true!  https://t.…",Thu Dec 17 23:02:18 +0000 2015,en,4,False,0,False,,Cotter Cunningham,eatokra
