Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@spotify Would be great if you could QA your releases so the music actually PLAYS. I wasted an hour and finally installed an old version.,Fri Apr 15 05:47:29 +0000 2016,en,0,False,0,False,,Ethan R Anderson,ethan_anderson
RT @qbgal: Check out our @MyTime profile and book your next appointment online! https://t.co/LCXP4XTPvf,Mon Apr 11 16:05:10 +0000 2016,en,1,False,0,False,,Ethan R Anderson,ethan_anderson
#Metabridge is coming. I will be there in Kelowna and there is only 1 day left for Tech entrepreneurs to apply https://t.co/H44QnXeXa6,Thu Mar 31 22:06:42 +0000 2016,en,1,False,0,False,,Ethan R Anderson,ethan_anderson
I'm attending #Metabridge 2016. They are looking for the Top Tech Start-Ups to apply for their tech retreat https://t.co/fAHEY2AW6J,Mon Mar 21 20:06:15 +0000 2016,en,1,False,0,False,,Ethan R Anderson,ethan_anderson
"RT @shoptalk: Insights on Emerging Digital Strategies for Local Businesses from Ethan Anderson, Founder &amp; CEO @mytime at #Shoptalk https://…",Fri Mar 11 19:49:26 +0000 2016,en,2,False,0,False,,Ethan R Anderson,ethan_anderson
RT @mytime: Visit us at the #NYSpaShow! Leave your business card for a chance to win 3 FREE months of MyTime Premium! Booth 464! https://t.…,Sun Mar 06 11:32:03 +0000 2016,en,1,False,0,False,,Ethan R Anderson,ethan_anderson
Congrats to @niniane on the launch and fundraising for Evertoon - build funny 3D cartoon videos on your phone! https://t.co/m3vedpxBQT,Fri Mar 04 06:31:38 +0000 2016,en,1,False,1,False,,Ethan R Anderson,ethan_anderson
@MyTime is hiring a full-time Lead Android Developer in San Francisco! Apply now! https://t.co/RHkEiuiDGN,Sat Feb 27 00:44:46 +0000 2016,en,1,False,3,False,,Ethan R Anderson,ethan_anderson
Congrats to @Sir and @makespace on a HUGE Series B! What an awesome business. Well deserved! https://t.co/fQjG1qCMGD,Wed Feb 24 19:08:12 +0000 2016,en,1,False,1,False,,Ethan R Anderson,ethan_anderson
@Jason @itsa_talia @Yelp @jeremys Agreed. Ride the BART or get more roommates. People in Manhattan have been doing this for years.,Sat Feb 20 21:26:59 +0000 2016,en,1,False,4,False,,Ethan R Anderson,ethan_anderson
This panel should be good. #UpfrontSummit https://t.co/LnQ6ndArSZ,Wed Feb 03 22:16:24 +0000 2016,en,1,False,2,False,,Ethan R Anderson,ethan_anderson
