Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Looking forward to speaking about the massive opportunity for investment &amp; innovation in the built environment tomorrow @builtworlds,Fri Apr 22 02:16:46 +0000 2016,en,2,False,2,False,,Gabe Greenbaum,gabegreenbaum
RT @richardbranson: Why we all have a responsibility to be good stewards of the ocean: https://t.co/I0iAGmXe2O https://t.co/Ss7wB2vPFA,Sat Apr 16 19:02:10 +0000 2016,en,239,False,0,False,,Gabe Greenbaum,gabegreenbaum
Medical adherence: costly $300B &amp; often life effecting @AiCureMed tackling this problem https://t.co/qTOF292e9W @HuffPostTech @PritzkerVC,Fri Apr 15 01:38:50 +0000 2016,en,4,False,5,False,,Gabe Greenbaum,gabegreenbaum
RT @CrainsChicago: .@Avant_US in landmark partnership with top 20 bank: https://t.co/nDCc7hSPNN via @stevedaniels27,Fri Apr 08 17:03:25 +0000 2016,en,4,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @xdotai: x.ai Secures $23M in Series B Funding #Raises #SeriesB #Funding #Tech #startups
https://t.co/H7NzdvODdc https://t.co/ZAmAwcAsAr",Thu Apr 07 14:17:39 +0000 2016,en,26,False,0,False,,Gabe Greenbaum,gabegreenbaum
Get back more time in your day! Congrats @xdotai - looking fwd to the next chapter @PritzkerVC  https://t.co/kjzF6BDR5D,Thu Apr 07 14:16:14 +0000 2016,en,1,False,6,False,,Gabe Greenbaum,gabegreenbaum
RT @builtworlds: WATCH: Gabe Greenbaum @PritzkerVC present at judgement night and see him at the CEO Tech Forum April 20-22! https://t.co/2…,Fri Mar 18 03:16:12 +0000 2016,en,4,False,0,False,,Gabe Greenbaum,gabegreenbaum
"Looking forward to chatting ""Finding a job in an automated future"" with @xdotai and @RobbieAllen #sxsw @PritzkerVC https://t.co/ZUKeeqYfJQ",Sun Mar 13 17:42:22 +0000 2016,en,1,False,5,False,,Gabe Greenbaum,gabegreenbaum
RT @PritzkerVC: Thrilled to host over 200 entrepreneurs  at our @sxsw brunch with our friends @greycroftvc Can't wait for next year! https:…,Sun Mar 13 16:17:02 +0000 2016,en,11,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @BadalShah30: Had some great knowledge dropped on me today from @gabegreenbaum and @Ablordesays appreciate these guys. Couldn't be a bet…,Fri Mar 11 14:39:16 +0000 2016,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @Lisa_O: Hey! @GabeGreenbaum is presenting, ""Finding a job in an Automated Future"" at #SXSW. #futurejobs. https://t.co/jr2grZSyFf @Pritz…",Thu Mar 10 20:12:42 +0000 2016,en,6,False,0,False,,Gabe Greenbaum,gabegreenbaum
Tovala’s Smart Oven Wants to Replace Your Microwave https://t.co/c8b5phVSp5 via @WIRED #pgvcfellows,Wed Mar 09 21:34:49 +0000 2016,en,0,False,1,False,,Gabe Greenbaum,gabegreenbaum
"RT @xdotai: Candid advice on honing ur human adv in an incrgly auto world #SXSW2016 @gabegreenbaum @RobbieAllen @DennisMortensen
https://t.…",Thu Mar 03 18:02:46 +0000 2016,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @DennisMortensen: @tristanwalker @semil let me add @SoftBankVC @iaventures @PritzkerVC @FirstMarkCap @LererHippeau to that list. All &lt; 3…,Fri Dec 18 23:09:50 +0000 2015,en,4,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @ethanaustin: Good VCs have strong appetite for risk. Was at Pritzker Group today and @gabegreenbaum &amp; @AKoopersmith were eating Chipotl…,Mon Dec 14 20:50:20 +0000 2015,en,2,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @johnpletz: #Funding news: @PritzkerVC leads $7.5M top-up of @Dagk's VivLabs. @bryan_johnson's @osfund also onboard. https://t.co/pcVj3e…,Thu Nov 19 17:13:56 +0000 2015,en,17,False,0,False,,Gabe Greenbaum,gabegreenbaum
"Predict problems before they occur. Augury's Lets Machines Hear When They're About to Die
@PritzkerVC @WIRED  https://t.co/0qtoujEHHP",Wed Nov 04 15:00:50 +0000 2015,en,1,False,6,False,,Gabe Greenbaum,gabegreenbaum
RT @CarolynSSun: Entrepreneur and CultureIQ Present the Top Company Cultures List by @Hennesseyedit https://t.co/u5Yhgib1CQ via @Entreprene…,Wed Nov 04 14:49:21 +0000 2015,en,19,False,0,False,,Gabe Greenbaum,gabegreenbaum
Why people are gushing about Amy - your AI Assistant. http://t.co/GIegpd4afS via @CNNMoney @xdotai,Tue Sep 22 15:38:04 +0000 2015,en,0,False,1,False,,Gabe Greenbaum,gabegreenbaum
RT @BuiltInChicago: ExplORer wins $50K in Pritzker Group Venture Fellows competition http://t.co/nl9pIqTZm4 http://t.co/cAoqdxhVXk,Wed Aug 26 02:14:34 +0000 2015,en,3,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @johnpletz: Got a sneak peek at some promising new #Chicago startups at @PritzkerVC venture fellows today. Keep up the good work, @gabeg…",Fri Aug 21 21:46:08 +0000 2015,en,4,False,0,False,,Gabe Greenbaum,gabegreenbaum
@johnpletz @PritzkerVC thanks for helping out today. Much appreciated!,Fri Aug 21 21:45:25 +0000 2015,en,0,False,1,False,,Gabe Greenbaum,gabegreenbaum
RT @PritzkerVC: And the winner is....ExplORer!! Congrats! Thanks to our judges @RishiShah @johnpletz @AmandaLannert #PGVFBattleRoyale http:…,Fri Aug 21 21:28:26 +0000 2015,en,13,False,0,False,,Gabe Greenbaum,gabegreenbaum
2/ @semil @amazon we love it for music as well (Kids silent w awe) but still gets tripped up a bit too much like Siri on much of the NLP.,Fri Aug 07 11:57:43 +0000 2015,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
"1/ @semil @amazon echo brilliant play into the center of ones living room/life- with 2 hr prime on demand delivery, look out competition.",Fri Aug 07 11:56:12 +0000 2015,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
Excellent to see @CChotalia here - incredible investor- and couldn't agree more http://t.co/LOlENz59nO @PritzkerVC,Sun Aug 02 17:23:05 +0000 2015,en,0,False,3,False,,Gabe Greenbaum,gabegreenbaum
RT @RishiShah: Honored to join my friends @JBPritzker @gabegreenbaum @mbmccall @AKoopersmith &amp; co to support world class founders! https://…,Thu Jul 23 01:01:28 +0000 2015,en,6,False,0,False,,Gabe Greenbaum,gabegreenbaum
Couldn't agree more @bgurley - and entrepreneurs - demo your product / tech alongside. In Defense of the Deck http://t.co/Yb4EvczDwZ,Wed Jul 08 11:48:46 +0000 2015,en,0,False,1,False,,Gabe Greenbaum,gabegreenbaum
"RT @scootermcdoog: @gabegreenbaum http://t.co/QoNmI60DLR
Driver rating 1 star: started chasing this mcfly kid. Smells of manure.",Wed Jun 24 15:58:43 +0000 2015,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
Anxiously awaiting the first on-demand hoverboard pitch. http://t.co/YIb4Sd8iCX,Wed Jun 24 15:53:05 +0000 2015,en,0,False,2,False,,Gabe Greenbaum,gabegreenbaum
Congratulations to @JBPritzker on the Master Entrepreneur award @PritzkerVC @EY_Chicago,Thu Jun 18 02:37:44 +0000 2015,en,9,False,11,False,,Gabe Greenbaum,gabegreenbaum
Congrats to my good friend Al and the @avantcredit team on the @EY_Chicago win. You are the reason why the Chicago tech scene is so great!,Thu Jun 18 02:16:54 +0000 2015,en,0,False,6,False,,Gabe Greenbaum,gabegreenbaum
Well deserved @Signal team Congratulations!  @EY_Chicago #EOY @PritzkerVC,Thu Jun 18 01:44:25 +0000 2015,en,3,False,3,False,,Gabe Greenbaum,gabegreenbaum
RT @jameskoutoulas: @gabegreenbaum GG now a tweet machine?! Love it,Fri Jun 12 14:17:14 +0000 2015,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
"Rainy day in Chicago just got a little nicer with my new @bucketfeet ... No, not a paid endorsement… https://t.co/CXhbyGlSeC",Fri Jun 12 14:08:56 +0000 2015,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @JBPritzker: Qualified to be a VC Associate? @PritzkerVC is hiring. Check this out: https://t.co/eC1zDcjYXh,Fri Jun 12 13:37:07 +0000 2015,en,9,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @ChicagoBlueSky: Maker of hygiene tools for hospitals, @SwipeSense, raises $9.7 million. http://t.co/s11dKM33Yu http://t.co/Kj32LsCW2D",Fri Jun 12 03:10:14 +0000 2015,en,6,False,0,False,,Gabe Greenbaum,gabegreenbaum
Congrats to @AKoopersmith for investor of the year #moxie @PritzkerVC,Fri Jun 12 00:21:33 +0000 2015,en,2,False,2,False,,Gabe Greenbaum,gabegreenbaum
Rockstars need apply! Looking for a job in venture capital? @PritzkerVC is hiring an Associate in Chicago. https://t.co/sP93TFZPPD,Thu Jun 11 20:05:11 +0000 2015,en,0,False,3,False,,Gabe Greenbaum,gabegreenbaum
Instant classic https://t.co/OXiuzzn90E,Thu Jun 11 04:16:01 +0000 2015,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
It's the time change! https://t.co/qMNf3WnDLk,Thu Jun 04 18:20:22 +0000 2015,en,0,False,1,False,,Gabe Greenbaum,gabegreenbaum
RT @AKoopersmith: Congrats to @JBPritzker @chrisgirgenti @mbmccall @scollens @gabegreenbaum @pdotliu on the @TechweekCHI designations!  6% …,Tue Jun 02 20:53:41 +0000 2015,en,5,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @Ablordesays: Congrats to my PGVC teammates on the @TechweekCHI 100-well deserved!  @pdotliu @chrisgirgenti @gabegreenbaum @scollens @mb…,Tue Jun 02 16:28:40 +0000 2015,en,6,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @PritzkerVC: We are excited to support @Hightower on its journey to disrupt commercial real estate! #nyctech http://t.co/uuX1fQN1dT @gab…,Tue May 19 12:11:42 +0000 2015,en,3,False,0,False,,Gabe Greenbaum,gabegreenbaum
Looking forward to big things ahead @brandongweber ! Hightower Raises $13M Series B Round http://t.co/5GSDqe0lh7 @Pritzkervc,Tue May 19 12:01:49 +0000 2015,en,3,False,3,False,,Gabe Greenbaum,gabegreenbaum
RT @ChiFoundersCrcl: Class of 2015 - We are excited to announce our August event on fundraising with @kwiller @iraweiss @gabegreenbaum mode…,Thu May 07 14:39:31 +0000 2015,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @TheNextWeb: Uber's food delivery service is coming to New York City and Chicago http://t.co/C9dwrLB1l8 http://t.co/IohLQsFt9o,Wed Apr 29 05:15:14 +0000 2015,en,34,False,0,False,,Gabe Greenbaum,gabegreenbaum
@shayhowe Panes. Epic. Lmk what you get.,Thu Apr 23 17:15:17 +0000 2015,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @narREach: Thanks to our awesome mentors who joined us Wednesday! @franbroude @ChrisHaran @dukelong @sweetjean @LeadingrePam @gabegreenb…,Thu Apr 23 17:10:13 +0000 2015,en,2,False,0,False,,Gabe Greenbaum,gabegreenbaum
|LIVE NOW| Robots #meerkat http://t.co/sWetqrI0gV,Tue Mar 24 18:33:35 +0000 2015,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @KelloggEntrep: Read how one @KelloggEntrep's startup, @pagevault, is changing how evidence data can be used in court: http://t.co/1VZ4A…",Fri Mar 20 14:51:34 +0000 2015,en,2,False,0,False,,Gabe Greenbaum,gabegreenbaum
Always happy to be back in this city. #austin #sxsw https://t.co/wehOyo3zqw,Fri Mar 13 18:20:54 +0000 2015,en,1,False,1,False,,Gabe Greenbaum,gabegreenbaum
YES! Psyched to work w @DennisMortensen /team with the vision “@TechCrunch: X․ai Raises $9.2M For AI-Based Assistant http://t.co/KJb4J0Jqt1”,Tue Jan 06 16:11:44 +0000 2015,en,0,False,1,False,,Gabe Greenbaum,gabegreenbaum
Good stuff @drose... Rose gives $1M to Chicago school program After School Matters. #chicagobulls,Wed Sep 24 21:11:41 +0000 2014,en,0,False,4,False,,Gabe Greenbaum,gabegreenbaum
Got the #6plus today. Looking forward to seeing it in action. Its a beauty of a monster.,Fri Sep 19 18:27:36 +0000 2014,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
Innovation and design thinking @ideo - thanks for the great workshop in Chicago @PritzkerVC #goldfishforempathy http://t.co/LW2fUoPiWW,Tue Sep 16 14:56:13 +0000 2014,en,1,False,7,False,,Gabe Greenbaum,gabegreenbaum
RT @HuffingtonPost: Check out the Apple Watch home screen #AppleLive http://t.co/wr6E6zO6ye,Tue Sep 09 18:08:17 +0000 2014,en,501,False,0,False,,Gabe Greenbaum,gabegreenbaum
@howardlindzon thanks for breakfast. Intros coming.,Fri Sep 05 15:15:34 +0000 2014,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @johnpletz: .@bucketfeet's triple-double: Hot #startup gets $1M more; will triple revenue, double staff. Check out who invested. http://…",Tue Jun 17 13:27:45 +0000 2014,en,3,False,0,False,,Gabe Greenbaum,gabegreenbaum
Great write up by @tullman @1871Chicago #chicagostartups #lessons “@Inc: 3 Things You Need to Know About Superstars http://t.co/gGScjti39D”,Tue Jun 17 13:27:26 +0000 2014,en,2,False,1,False,,Gabe Greenbaum,gabegreenbaum
Nothing like getting I the wrong @Uber with @CChotalia and realizing it 10 min into the ride #nextuberplease,Tue Jun 17 00:31:30 +0000 2014,en,1,False,3,False,,Gabe Greenbaum,gabegreenbaum
"RT @CNBCnow: Priceline to buy OpenTable for $103/share in cash, about $2.6B. • http://t.co/2eQEXQRC9t $OPEN $PCLN",Fri Jun 13 12:05:06 +0000 2014,en,39,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @georgezachary: We are now at the longest market rally in the S&amp;P500 in 50 years.  81st week now.,Thu Jun 12 21:48:12 +0000 2014,en,49,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @KIEIatNU: Congrats to the @KelloggSchool #entrepreneurs chosen for @PritzkerVC's LaunchU program: http://t.co/jWoHhWTcL0 @pagevault @je…,Thu Jun 12 21:46:42 +0000 2014,en,4,False,0,False,,Gabe Greenbaum,gabegreenbaum
@zestbook will do. Thanks,Wed Jun 11 15:58:49 +0000 2014,en,0,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @kristinbarrett: Pitch wisdom from @PritzkerVC: The goal isn't to get through your deck. It's to create a dance. W/ @gabegreenbaum @crdf…,Wed Jun 11 15:57:57 +0000 2014,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @kristinbarrett: ""If you have a gap on your team, acknowledge it, don't hide it"" @PritzkerVC teaching about pitching. @gabegreenbaum @cr…",Wed Jun 11 15:57:39 +0000 2014,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @emgreenbaum: So proud of @gabegreenbaum for making the top 100 list for chi tech week 2014!  http://t.co/hxgzuUNIpu?,Wed Jun 04 00:03:57 +0000 2014,en,2,False,0,False,,Gabe Greenbaum,gabegreenbaum
Excited to be working with Angus and the impressive team @Swipely http://t.co/bnvyTFT11h,Thu May 29 12:11:55 +0000 2014,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
"RT @johnpletz: Baseball and #bigdata: @Marlins draft #chicago's @cleversafe for video storage. If u film it, will they win? http://t.co/Czz…",Thu May 22 14:13:54 +0000 2014,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
RT @UberFacts: It is actually illegal to wear sagging pants in Illinois.,Thu May 22 02:36:03 +0000 2014,en,1298,False,0,False,,Gabe Greenbaum,gabegreenbaum
GOOGLE'S NIGHTMARE: European Court Rules That People Have A 'Right To Be Forgotten' http://t.co/pqRFYITOuD http://t.co/bGJniXd4Xv,Tue May 13 22:38:44 +0000 2014,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
Excited for the next group of Rockstar companies to join @PritzkerVC #LaunchU program over the summer from Kellogg... http://t.co/zDHkv8kskA,Tue May 13 19:39:18 +0000 2014,en,1,False,0,False,,Gabe Greenbaum,gabegreenbaum
