Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Can An App Fix Silicon Valley’s Workforce Diversity Problem? https://t.co/xExZNR2z6T via @motherboard,Wed Apr 20 21:15:37 +0000 2016,en,1,False,1,False,,Gary Benitt,garybenitt
How one startup uses 'inclusion technology' to tackle the diversity challenge https://t.co/fnStbolS2i via @hrdive,Wed Apr 20 17:45:39 +0000 2016,en,0,False,0,False,,Gary Benitt,garybenitt
Love that weird startup guy! https://t.co/9XLZgTQpk7,Thu Apr 14 23:31:45 +0000 2016,en,0,False,0,False,,Gary Benitt,garybenitt
. @howardlindzon on How Twitter Can Save Itself | Watch the video - Yahoo Finance UK https://t.co/dLQiEGQSrs via @YahooFinanceUK,Thu Apr 14 15:41:56 +0000 2016,en,2,False,2,False,,Gary Benitt,garybenitt
RT @narvarinc: Our CEO @amitbol shares his thoughts with @Hyken why post-purchase is critical @forbes https://t.co/pqkE1ilZKA #innovation #…,Wed Apr 13 04:05:37 +0000 2016,en,8,False,0,False,,Gary Benitt,garybenitt
Robinhood preps for zero-fee stock trading launch in China https://t.co/6GN8N9NilI via @techcrunch,Mon Apr 04 21:03:20 +0000 2016,en,0,False,2,False,,Gary Benitt,garybenitt
RT @howardlindzon: SparkFin 2.0: Spotify for market data. Beautifully designed stocks lists. https://t.co/Q9rXSqWCz5 via @howardlindzon htt…,Fri Mar 04 15:39:21 +0000 2016,en,59,False,0,False,,Gary Benitt,garybenitt
Welcoming The Leukemia and Lymphoma Society to the Classy Family https://t.co/ld3XWIIxhm via @classy,Tue Feb 23 17:54:02 +0000 2016,en,0,False,2,False,,Gary Benitt,garybenitt
ERA now accepting applications for Summer 2016 NYC Accelerator: https://t.co/peQsOUuWDB Deadline: Apr 1 Program starts June 6 @eroundtable,Tue Feb 23 03:51:00 +0000 2016,en,0,False,2,False,,Gary Benitt,garybenitt
New Rose Water by @somawater supports Flint. Buy @ @juiceservedhere or https://t.co/57irfYbso0 #heartsforhydration https://t.co/SHdkFNXziN,Mon Feb 22 16:28:45 +0000 2016,en,1,False,4,False,,Gary Benitt,garybenitt
The World's Most Innovative Companies by Sector: Social Good #FCMostInnovative https://t.co/UdSQOV6CFg go #classy !,Tue Feb 16 21:07:09 +0000 2016,en,0,False,0,False,,Gary Benitt,garybenitt
